,Accessory,Background,Beard,Clothes,Eyes,Glasses,Hair,Hat,Body,Head,Moon,Mouth,TOKEN_ID,Unique
0,Diamond Stud,Green,None,The Accountant,Demonic,None,Blond,None,Nightcrawler,Nightcrawler,Sun,Pierced Tongue,1,
1,None,Rust Brown,Big Beard,Vampire Nobility,Dark,Anime Hero Sunglasses,Black,None,Purple Count,Purple Count,Moon,Disgust,2,
2,None,Magenta,None,Old Worn Coat,Black,Old Fashioned Glasses,Base,Headphones,Zombie,Zombie,Sun,Rotten Teeth,3,
3,None,Twilight Purple,Goatee,OnlyFangs Shirt,Blue,Anime Hero Sunglasses,Red,None,Purple Count,Purple Count,Moon,Rotten Teeth,4,
4,None,Teal,Stubble,OnlyFangs Shirt,Demonic,Monocle,Red,Small Bowler Hat,Cyborg,Cyborg,Sun,Gold Fangs,5,
5,None,Rust Brown,Big Beard,Red Tracksuit,Red Eyes,Glasses,Blond,None,Blue,Blue,Moon,Tongue,6,
6,None,Orange,None,Business Suit,No Pupils,Blindfold,Black,None,Burning,Burning,Sun,Bloody Mouth,7,
7,Joint,Dark Teal,Stubble,Sea Captain,Bloodshot,Eye Patch,Gold,None,Burning,Burning,Sun,Bloody Mouth,8,
8,Pipe,Pink,None,OnlyFangs Shirt,Bloodshot,None,Base,Red Beret,Cyborg,Cyborg,Sun,Gold Grills,9,
9,None,Twilight Purple,None,Bulls Jersey,Dark,Eye Patch,Base,Red Cap,Cyborg,Cyborg,Moon,Tongue,10,
10,None,Magenta,None,Black Tracksuit,Black,Glasses,Base,Red Beret,Cyborg,Cyborg,Moon,Tongue,11,
11,Drool,Orange,None,Slayer,Bloodshot,Eye Patch,Green,Third Eye,Purple Count,Purple Count,Moon,Base,12,
12,None,Green,Stubble,Bloody Singlet,Demonic,Blindfold,Purple,None,Purple Count,Purple Count,Moon,Disgust,13,
13,None,Forest Green,Stubble,Sea Captain,Red Eyes,Eye Patch,Base,Witch Hunter,Nightcrawler,Nightcrawler,Sun,Tongue,14,
14,None,Blue,Stubble,Space Governor,Black,Blindfold,Purple,None,Shadow,Shadow,Moon,Single Bloody Tooth,15,
15,Cross,Forest Green,None,OnlyFangs Shirt,Dark,Eye Patch,Base,Small Bowler Hat,Blue,Blue,Moon,Diamond Grills,16,
16,None,Forest Green,Stubble,Black Fur Coat,Black,VR Headset,Red,None,Cyborg,Cyborg,Moon,Red Lipstick,17,
17,Silver Stud,Green,None,Red Hoodie,Black,Old Fashioned Glasses,Base,Mini Crown,Blue,Blue,Moon,Gold Grills,18,
18,None,Blue,None,Black Hoodie,Red Eyes,Anime Hero Sunglasses,Brown,None,Nightcrawler,Nightcrawler,Moon,Disgust,19,
