,block_numbers,timestamps,base_fee
0,13212868,2021-09-12 19:32:49,62.278826439
1,13212869,2021-09-12 19:33:35,70.052910167
2,13212870,2021-09-12 19:33:37,78.806210435
3,13212871,2021-09-12 19:34:03,88.648517041
4,13212872,2021-09-12 19:34:23,99.716095148
5,13212873,2021-09-12 19:34:25,103.600020434
6,13212874,2021-09-12 19:35:00,116.54565193
7,13212875,2021-09-12 19:35:38,131.100826674
8,13212876,2021-09-12 19:35:55,147.466860644
9,13212877,2021-09-12 19:36:00,165.731336717
10,13212878,2021-09-12 19:36:07,167.509541426
11,13212879,2021-09-12 19:36:30,185.561740396
12,13212880,2021-09-12 19:36:34,168.204814773
13,13212881,2021-09-12 19:36:42,181.852015701
14,13212882,2021-09-12 19:36:59,204.577850929
15,13212883,2021-09-12 19:37:47,230.124571843
16,13212884,2021-09-12 19:37:57,258.679439714
17,13212885,2021-09-12 19:38:24,276.386561686
18,13212886,2021-09-12 19:38:30,253.978631376
19,13212887,2021-09-12 19:38:38,273.396762354
20,13212888,2021-09-12 19:38:57,239.738148437
21,13212889,2021-09-12 19:39:17,269.505940867
22,13212890,2021-09-12 19:39:21,261.047676584
23,13212891,2021-09-12 19:39:29,252.786877244
24,13212892,2021-09-12 19:39:32,226.250140855
25,13212893,2021-09-12 19:39:48,254.513676107
26,13212894,2021-09-12 19:39:50,226.167659287
27,13212895,2021-09-12 19:39:54,200.288564344
28,13212896,2021-09-12 19:40:09,219.034186968
29,13212897,2021-09-12 19:40:15,207.0809438
30,13212898,2021-09-12 19:40:18,187.440111289
31,13212899,2021-09-12 19:40:19,169.832132075
32,13212900,2021-09-12 19:40:29,174.600302218
33,13212901,2021-09-12 19:40:54,188.995458389
34,13212902,2021-09-12 19:40:56,175.621123903
35,13212903,2021-09-12 19:40:58,154.722680867
36,13212904,2021-09-12 19:41:02,174.05472026
37,13212905,2021-09-12 19:41:16,166.893106804
38,13212906,2021-09-12 19:41:49,187.493746587
