,Unnamed: 0,Unnamed: 0.1,txid,to_account,TOKEN_ID,current_owner,rank,time
800,5954,5954,0x531139a67f33dcb137694df0e140291a454cdb51422531f914f2bea3eddbf8f0,0x371f8c6b67b6039b0a6b29279ce183d069908226,801,0x0000000000000000000000000000000000000000,722,2021-09-12T02:44:02
801,5951,5951,0x531139a67f33dcb137694df0e140291a454cdb51422531f914f2bea3eddbf8f0,0xe6518b0bcc23d9829ee99122e23cf610e681175b,802,0x0000000000000000000000000000000000000000,8283,2021-09-12T02:44:02
802,5955,5955,0x531139a67f33dcb137694df0e140291a454cdb51422531f914f2bea3eddbf8f0,0xc2bd8127d779fad560081827db0483af4ade1bd0,803,0x0000000000000000000000000000000000000000,5924,2021-09-12T02:44:02
803,5950,5950,0x531139a67f33dcb137694df0e140291a454cdb51422531f914f2bea3eddbf8f0,0x64c480274ef983a0178334f9c0395cd392724a32,804,0x0000000000000000000000000000000000000000,5728,2021-09-12T02:44:02
804,5944,5944,0x531139a67f33dcb137694df0e140291a454cdb51422531f914f2bea3eddbf8f0,0xfb222b26dc55a965af3b5a358efd87cb878c3eab,805,0x0000000000000000000000000000000000000000,5268,2021-09-12T02:44:02
805,5953,5953,0x531139a67f33dcb137694df0e140291a454cdb51422531f914f2bea3eddbf8f0,0xdd929b7f2ad5b351cf8d1746b6ab2aadd0fc3ca2,806,0x0000000000000000000000000000000000000000,1769,2021-09-12T02:44:02
806,5949,5949,0x531139a67f33dcb137694df0e140291a454cdb51422531f914f2bea3eddbf8f0,0x722ebc16b5538377a4859afd79489c36c1f1e3cb,807,0x0000000000000000000000000000000000000000,4127,2021-09-12T02:44:02
807,5946,5946,0x531139a67f33dcb137694df0e140291a454cdb51422531f914f2bea3eddbf8f0,0x38bbf749084c462b2469811e0e74fcb030a75648,808,0x0000000000000000000000000000000000000000,5594,2021-09-12T02:44:02
808,5945,5945,0x531139a67f33dcb137694df0e140291a454cdb51422531f914f2bea3eddbf8f0,0x5d6c52ee56c61a14f048826dc2478ded60bb3a19,809,0x0000000000000000000000000000000000000000,1479,2021-09-12T02:44:02
809,5948,5948,0x531139a67f33dcb137694df0e140291a454cdb51422531f914f2bea3eddbf8f0,0x119334c3f45a0764a51f34fb761d5a2d874d66a3,810,0x0000000000000000000000000000000000000000,8712,2021-09-12T02:44:02
810,5947,5947,0x531139a67f33dcb137694df0e140291a454cdb51422531f914f2bea3eddbf8f0,0x0922d8ffded4393a3222b32408649d038ce1d4ec,811,0x0000000000000000000000000000000000000000,881,2021-09-12T02:44:02
811,5952,5952,0x531139a67f33dcb137694df0e140291a454cdb51422531f914f2bea3eddbf8f0,0x272c38ad4acc6bd6f4fcb2ca1bd81b85857f0447,812,0x0000000000000000000000000000000000000000,3286,2021-09-12T02:44:02
8812,3295,3295,0x9e9fa0d76df2b228036027e0c5929c9bbe2c883e69f0b901bc86e58da6c94965,0x13da7c5866f092422bb874949e6d6372c8d68681,8813,0x0000000000000000000000000000000000000000,1729,2021-09-13T03:49:50
8813,3300,3300,0x9e9fa0d76df2b228036027e0c5929c9bbe2c883e69f0b901bc86e58da6c94965,0x2f1e4b9644a9ee9ec5a786d8aa8e900ad2085058,8814,0x0000000000000000000000000000000000000000,1069,2021-09-13T03:49:50
