,Unnamed: 0,txid,to_account,TOKEN_ID,current_owner,rank,time
8676,8676,0x06bba6d04d6a2357ec224b2052bb52e23e1b6f1c9b2540cb5b87272e2ec81ecd,0x9cd9aefbd6d423f69f5c9caf2fa9972381012b09,1,0x0000000000000000000000000000000000000000,2259,2021-09-09T15:00:08
8677,8677,0x06bba6d04d6a2357ec224b2052bb52e23e1b6f1c9b2540cb5b87272e2ec81ecd,0x9cd9aefbd6d423f69f5c9caf2fa9972381012b09,2,0x0000000000000000000000000000000000000000,4974,2021-09-09T15:00:08
8269,8269,0x124e0800cdec025c657ee45837bc153eac79856ff08ba5ba7523002331ecc906,0xbf5b824c2f3389d0a40f18499c84299bd679281e,3,0x0000000000000000000000000000000000000000,3653,2021-09-09T15:00:08
8270,8270,0x124e0800cdec025c657ee45837bc153eac79856ff08ba5ba7523002331ecc906,0xbf5b824c2f3389d0a40f18499c84299bd679281e,4,0x0000000000000000000000000000000000000000,5269,2021-09-09T15:00:08
5326,5326,0x64e36aa69296a11eff5a309de3f4eb2f3148232f5218d16e26fe56485a0f9afd,0xb5e4a6a03a1b680ccd7624bfd4f2dc343e79581b,5,0x0000000000000000000000000000000000000000,963,2021-09-09T15:00:08
5327,5327,0x64e36aa69296a11eff5a309de3f4eb2f3148232f5218d16e26fe56485a0f9afd,0xb5e4a6a03a1b680ccd7624bfd4f2dc343e79581b,6,0x0000000000000000000000000000000000000000,8347,2021-09-09T15:00:08
947,947,0xe5613c8493c10bd9186632c3281a3708a1e1c860a365cf5f8a151a94e9f52fa2,0xb735324786e02d22d9f7e028b3f7e89cc9556194,7,0x0000000000000000000000000000000000000000,5200,2021-09-09T15:00:08
946,946,0xe5613c8493c10bd9186632c3281a3708a1e1c860a365cf5f8a151a94e9f52fa2,0xb735324786e02d22d9f7e028b3f7e89cc9556194,8,0x0000000000000000000000000000000000000000,2209,2021-09-09T15:00:08
3395,3395,0x9c94ac0aeca20c1db7c10fa5adc03a74070d89a20e1d912200adbafd3c11dfe9,0xd0d33f0f3d96f857ac639e9f9f102b41654a35fa,9,0x0000000000000000000000000000000000000000,5995,2021-09-09T15:00:29
3394,3394,0x9c94ac0aeca20c1db7c10fa5adc03a74070d89a20e1d912200adbafd3c11dfe9,0xd0d33f0f3d96f857ac639e9f9f102b41654a35fa,10,0x0000000000000000000000000000000000000000,8643,2021-09-09T15:00:29
3849,3849,0x8ec00590afdda0cb1b1f1dfd88c19ccb77a6ce60307a720e72203a0c1c71aee3,0xd78a94dd56da1b74fda577225395150982652a81,11,0x0000000000000000000000000000000000000000,8587,2021-09-09T15:00:29
3850,3850,0x8ec00590afdda0cb1b1f1dfd88c19ccb77a6ce60307a720e72203a0c1c71aee3,0xd78a94dd56da1b74fda577225395150982652a81,12,0x0000000000000000000000000000000000000000,7369,2021-09-09T15:00:29
4686,4686,0x772f537410da07d0db6a6a3dd290dc2e85d4253aa4ed0ed27c01c6622e953f97,0xb87ebf06f8c99f43ecad940e4f1ace84eece776b,13,0x0000000000000000000000000000000000000000,5169,2021-09-09T15:01:07
4685,4685,0x772f537410da07d0db6a6a3dd290dc2e85d4253aa4ed0ed27c01c6622e953f97,0xb87ebf06f8c99f43ecad940e4f1ace84eece776b,14,0x0000000000000000000000000000000000000000,7344,2021-09-09T15:01:07
7438,7438,0x2a6dfa072b0b18dfd281e14e894640e512dbfdc615a06a12be506012f51780e2,0xb7c876bb33c4895e8be437ae64c73dc353434e93,15,0x0000000000000000000000000000000000000000,4933,2021-09-09T15:01:07
7437,7437,0x2a6dfa072b0b18dfd281e14e894640e512dbfdc615a06a12be506012f51780e2,0xb7c876bb33c4895e8be437ae64c73dc353434e93,16,0x0000000000000000000000000000000000000000,3312,2021-09-09T15:01:07
76,76,0xfe1807f330563d42f481a8c996f5a44bab08704291fa9cf1adebc815ce4b672b,0x514b638efbd58964d82a5d2107f107bd52440f1b,17,0x0000000000000000000000000000000000000000,2330,2021-09-09T15:01:07
75,75,0xfe1807f330563d42f481a8c996f5a44bab08704291fa9cf1adebc815ce4b672b,0x514b638efbd58964d82a5d2107f107bd52440f1b,18,0x0000000000000000000000000000000000000000,6609,2021-09-09T15:01:07
7535,7535,0x279a68a2d5b3a1891b86bb00ae31fe81a39b2e57b49c6c92e716e631b1112b85,0x9808714ed8bddcb9317d4083817a34d3743998ed,19,0x0000000000000000000000000000000000000000,7383,2021-09-09T15:01:07
7534,7534,0x279a68a2d5b3a1891b86bb00ae31fe81a39b2e57b49c6c92e716e631b1112b85,0x9808714ed8bddcb9317d4083817a34d3743998ed,20,0x0000000000000000000000000000000000000000,7529,2021-09-09T15:01:07
84,84,0xfda433e4a3016db6c8f6df081319204a2c0c23030b5a49e6189833a3f6d5f047,0xdef2a4305d90674db3addcd694154979a1811d00,21,0x0000000000000000000000000000000000000000,996,2021-09-09T15:01:07
85,85,0xfda433e4a3016db6c8f6df081319204a2c0c23030b5a49e6189833a3f6d5f047,0xdef2a4305d90674db3addcd694154979a1811d00,22,0x0000000000000000000000000000000000000000,8583,2021-09-09T15:01:07
4193,4193,0x84cc1ff8aac783cc9c9e3b8cecf88a7dfb689e2ad9524138e17d3b752e86c86c,0x5a9c3d1f0a9b6bb613b4be53a456b98095eaa2de,23,0x0000000000000000000000000000000000000000,7195,2021-09-09T15:01:07
4194,4194,0x84cc1ff8aac783cc9c9e3b8cecf88a7dfb689e2ad9524138e17d3b752e86c86c,0x5a9c3d1f0a9b6bb613b4be53a456b98095eaa2de,24,0x0000000000000000000000000000000000000000,8226,2021-09-09T15:01:07
3448,3448,0x9b0a249e3354c9851b1d93af9a44c90eaaa5878a844904cace8b635862ae879a,0xa79babfb8c58b113d80a72cf8c9cc90f5ef52424,25,0x0000000000000000000000000000000000000000,7289,2021-09-09T15:01:07
3449,3449,0x9b0a249e3354c9851b1d93af9a44c90eaaa5878a844904cace8b635862ae879a,0xa79babfb8c58b113d80a72cf8c9cc90f5ef52424,26,0x0000000000000000000000000000000000000000,6637,2021-09-09T15:01:07
8733,8733,0x04f62aaf83c39585e75087b8b49b533ee781e847fc63727b1c7b09d7814e23a2,0x4bee3a45b78d12f80b2bd3a9ff03581f6d4d7c11,27,0x0000000000000000000000000000000000000000,7290,2021-09-09T15:01:07
8734,8734,0x04f62aaf83c39585e75087b8b49b533ee781e847fc63727b1c7b09d7814e23a2,0x4bee3a45b78d12f80b2bd3a9ff03581f6d4d7c11,28,0x0000000000000000000000000000000000000000,7074,2021-09-09T15:01:07
73,73,0xfe22104ddcb6488329f496a3fe76eb074305f1358bb2ada3da12f49d005d87c2,0xbcd5aef4e58db31f9e0c6b0d36b7247adc3f9ffd,29,0x0000000000000000000000000000000000000000,2576,2021-09-09T15:01:07
74,74,0xfe22104ddcb6488329f496a3fe76eb074305f1358bb2ada3da12f49d005d87c2,0xbcd5aef4e58db31f9e0c6b0d36b7247adc3f9ffd,30,0x0000000000000000000000000000000000000000,2581,2021-09-09T15:01:07
1508,1508,0xd3fcb991916107ace7c53fa64b0c07229bff14938cdd3611fa7e99ec51a205e8,0xe0d4c69839ee6d8d6be2133a6af51d2bae27dc2d,31,0x0000000000000000000000000000000000000000,3258,2021-09-09T15:01:07
1509,1509,0xd3fcb991916107ace7c53fa64b0c07229bff14938cdd3611fa7e99ec51a205e8,0xe0d4c69839ee6d8d6be2133a6af51d2bae27dc2d,32,0x0000000000000000000000000000000000000000,631,2021-09-09T15:01:07
749,749,0xea409c757e9497ee5c67823b7b657a5f008f3125da668692664091185836fda1,0x038b716928a41ea42253ac043af4f8fdcd940098,33,0x0000000000000000000000000000000000000000,5086,2021-09-09T15:01:07
750,750,0xea409c757e9497ee5c67823b7b657a5f008f3125da668692664091185836fda1,0x038b716928a41ea42253ac043af4f8fdcd940098,34,0x0000000000000000000000000000000000000000,4141,2021-09-09T15:01:07
5920,5920,0x53bb4f6948bdf845f976a475916cb460f42192f4f7a123abe1ed3df2ba5bee2b,0xaaa44fcba6dd67abd3e88c994cef829332a73036,35,0x0000000000000000000000000000000000000000,1133,2021-09-09T15:01:07
5919,5919,0x53bb4f6948bdf845f976a475916cb460f42192f4f7a123abe1ed3df2ba5bee2b,0xaaa44fcba6dd67abd3e88c994cef829332a73036,36,0x0000000000000000000000000000000000000000,4923,2021-09-09T15:01:07
4538,4538,0x7c1948b0df12ef3a9daa8689ad4b221a18062985132e2751d060e219bb4c1494,0x0a611456392c14b0c6588712da0955583a6d72d0,37,0x0000000000000000000000000000000000000000,5107,2021-09-09T15:01:07
4539,4539,0x7c1948b0df12ef3a9daa8689ad4b221a18062985132e2751d060e219bb4c1494,0x0a611456392c14b0c6588712da0955583a6d72d0,38,0x0000000000000000000000000000000000000000,3791,2021-09-09T15:01:07
870,870,0xe73851ca82dcd129d5f5feca67fd5916ee7f92f740c9dea6a3289214018165d5,0x2c8ebedf91de8c55d4ba034afcb7a971b5c2aa81,39,0x0000000000000000000000000000000000000000,1631,2021-09-09T15:01:07
869,869,0xe73851ca82dcd129d5f5feca67fd5916ee7f92f740c9dea6a3289214018165d5,0x2c8ebedf91de8c55d4ba034afcb7a971b5c2aa81,40,0x0000000000000000000000000000000000000000,5504,2021-09-09T15:01:07
1108,1108,0xe0110ff63b018fb188e654cbe0e2ced3250645dcf769dd54b4e2eb6c79d94264,0x2a105b52818a584e108e7a5621c73ce6afb39f6e,41,0x0000000000000000000000000000000000000000,4716,2021-09-09T15:01:07
1109,1109,0xe0110ff63b018fb188e654cbe0e2ced3250645dcf769dd54b4e2eb6c79d94264,0x2a105b52818a584e108e7a5621c73ce6afb39f6e,42,0x0000000000000000000000000000000000000000,8765,2021-09-09T15:01:07
6323,6323,0x481313b568d9277e0f479df9fd60e6c652b36fcd10a2a0d185ee1295943048b2,0xfbcbbbab08403ef4dc1fb7ca81dde63dadc89f17,43,0x0000000000000000000000000000000000000000,2454,2021-09-09T15:01:07
6324,6324,0x481313b568d9277e0f479df9fd60e6c652b36fcd10a2a0d185ee1295943048b2,0xfbcbbbab08403ef4dc1fb7ca81dde63dadc89f17,44,0x0000000000000000000000000000000000000000,8705,2021-09-09T15:01:07
4369,4369,0x80bc66b0b6bdb9faa6d4340cc4c2c3b2db8087e99132dfaaa97aa65d50d4263d,0x97f7beb12bfb27eeb01f6159c4e05439dc9f1b75,45,0x0000000000000000000000000000000000000000,7515,2021-09-09T15:01:11
4370,4370,0x80bc66b0b6bdb9faa6d4340cc4c2c3b2db8087e99132dfaaa97aa65d50d4263d,0x97f7beb12bfb27eeb01f6159c4e05439dc9f1b75,46,0x0000000000000000000000000000000000000000,2337,2021-09-09T15:01:11
1380,1380,0xd837d659ee05fd5b5a184c67cf6941cb23636594be1a56b60e340aeacfc20125,0x480db6fa9af84d9ea92cce9deae56883bd2bf2ff,47,0x0000000000000000000000000000000000000000,1551,2021-09-09T15:01:11
1381,1381,0xd837d659ee05fd5b5a184c67cf6941cb23636594be1a56b60e340aeacfc20125,0x480db6fa9af84d9ea92cce9deae56883bd2bf2ff,48,0x0000000000000000000000000000000000000000,6471,2021-09-09T15:01:11
2683,2683,0xafcad5c3846a2d2857088ce2310f367ed2b2b2be6cbc1e2d0a359a81ead4030c,0x809b78cc5c82893002bade244e1ebffe7c96c781,49,0x0000000000000000000000000000000000000000,765,2021-09-09T15:01:11
2682,2682,0xafcad5c3846a2d2857088ce2310f367ed2b2b2be6cbc1e2d0a359a81ead4030c,0x809b78cc5c82893002bade244e1ebffe7c96c781,50,0x0000000000000000000000000000000000000000,1128,2021-09-09T15:01:11
4122,4122,0x874bebd503b7421a047ab040e8e809f46e4c00d43ff4be7c7eb4a5afba03d4e5,0xd976d44026283a935f7646c1eef551139485f9b7,51,0x0000000000000000000000000000000000000000,5171,2021-09-09T15:01:11
4121,4121,0x874bebd503b7421a047ab040e8e809f46e4c00d43ff4be7c7eb4a5afba03d4e5,0xd976d44026283a935f7646c1eef551139485f9b7,52,0x0000000000000000000000000000000000000000,5884,2021-09-09T15:01:11
6299,6299,0x4874419a8271be12757f878ea96c741cdbf335aed76c96698e311aaa0d274b79,0x911277aef7be6c33878b101ec6b739bd51483842,53,0x0000000000000000000000000000000000000000,8539,2021-09-09T15:01:11
6298,6298,0x4874419a8271be12757f878ea96c741cdbf335aed76c96698e311aaa0d274b79,0x911277aef7be6c33878b101ec6b739bd51483842,54,0x0000000000000000000000000000000000000000,1421,2021-09-09T15:01:11
3226,3226,0xa0bb9ea8a990ab0db49f2d2023383e1c7572512e41a11ef347138f5f65a55258,0xe1c296323cc6b6dc4dcefd39d588bcf6e454212d,55,0x0000000000000000000000000000000000000000,7786,2021-09-09T15:01:11
3225,3225,0xa0bb9ea8a990ab0db49f2d2023383e1c7572512e41a11ef347138f5f65a55258,0xe1c296323cc6b6dc4dcefd39d588bcf6e454212d,56,0x0000000000000000000000000000000000000000,7513,2021-09-09T15:01:11
2423,2423,0xb788146671a0a742283167d2b98aed6a94b603062fe31470ff74d128a84ba0eb,0x3e467a8119658140a599cce52d9ab04dd735d5bf,57,0x0000000000000000000000000000000000000000,1385,2021-09-09T15:01:11
2422,2422,0xb788146671a0a742283167d2b98aed6a94b603062fe31470ff74d128a84ba0eb,0x3e467a8119658140a599cce52d9ab04dd735d5bf,58,0x0000000000000000000000000000000000000000,2490,2021-09-09T15:01:11
530,530,0xf114dd43d658241d432b8e5ebad98c548876c78493a7b37689588e6940a745ce,0xb5c0a35f28cf8066f115a7986bbe7ec6e7c6ea12,59,0x0000000000000000000000000000000000000000,6257,2021-09-09T15:01:11
529,529,0xf114dd43d658241d432b8e5ebad98c548876c78493a7b37689588e6940a745ce,0xb5c0a35f28cf8066f115a7986bbe7ec6e7c6ea12,60,0x0000000000000000000000000000000000000000,1740,2021-09-09T15:01:11
2707,2707,0xaf1dce581c05710dbb9292887e83498d4b3ac0a4bc1512e6c0b25cf770776526,0x2b9cda35d9f23228c37317ebf4b283f4ce4d54ba,61,0x0000000000000000000000000000000000000000,2785,2021-09-09T15:01:11
2708,2708,0xaf1dce581c05710dbb9292887e83498d4b3ac0a4bc1512e6c0b25cf770776526,0x2b9cda35d9f23228c37317ebf4b283f4ce4d54ba,62,0x0000000000000000000000000000000000000000,8234,2021-09-09T15:01:11
4509,4509,0x7cb65f5fb664b62a1014567c68d0c835015742d715ca2365712643e4b3b4f70f,0xd33c950e4608c2fd081bcb851b2847430f101042,63,0x0000000000000000000000000000000000000000,7360,2021-09-09T15:01:35
