,TOKEN_ID,USER,DATE,RANK,PRICE
1167,4015,0x9d6c133b388c1fc9756ffa38c18e8e770e44dd93,2021-09-13T01:12:31.188704,1,1.0
3057,3044,0x8160257271da804b29e58564f39b56a5eadb91c8,2021-09-12T20:04:17.725367,4,0.79
2808,2173,0x3252045f8a1432d7ab5351e828438a481bb05638,2021-09-12T20:12:27.121896,6,0.8666
72,2173,0x3d8ee9ed6cfd851df910d8eb53b523ba41084ab4,2021-09-13T22:11:02.265704,6,0.888
4055,604,0x12c8301df59ff73453c04aa8e6df86cd2e524669,2021-09-11T04:56:22.523882,7,2.0
802,7086,0x29e466eb73bff51139b19efc160504bb2d2a19d8,2021-09-13T05:49:33.346127,8,1.0999
446,7086,0x1493c5b75cd17229e6edeb6a0614b2212f7a2d13,2021-09-13T14:35:22.034554,8,1.0
2154,7491,0x45e3472884fea19a86be55111faaa293d6c56305,2021-09-12T20:59:51.096109,14,0.89
1174,3693,0xe8995f9f598f82a14afb22dbcd07d87e93c7e47e,2021-09-13T01:11:00.354442,15,1.0
2158,3693,0x71670cd67c5ef172e42f593eda3a0f98005ddbde,2021-09-12T20:59:29.337254,15,0.899
373,4187,0x5030af6967df26a2bd7788b1d830c952e8ae66e4,2021-09-13T15:55:07.931172,16,0.9
133,2976,0x5f7c2d096a579748bd90187abcbc6f61f5fe7100,2021-09-13T21:12:04.900359,17,0.9
1985,8200,0xf777cf5352a23d96f8742b57ce76701ebcd07005,2021-09-12T21:23:30.197561,19,0.77
1978,8200,0x7309501a581ae14332420c341460fc3197e4e916,2021-09-12T21:25:03.897693,19,0.9
1514,6135,0xe9f834f353c0f7a847ae0ed0ac46e8cad6747f8f,2021-09-12T23:07:39.217653,28,0.888
6,6135,0xa9883cd7ddd66376547af299c512c551a3a0a27e,2021-09-13T22:58:38.414667,28,2.2
2695,6135,0x36772f3a584735d41c12892ebe2a5a2abe74efa6,2021-09-12T20:17:18.760494,28,0.777
3298,3850,0x8ef797e616ad41f858eddf2c2e8c3d2b0b2bfb14,2021-09-12T19:56:12.595585,29,0.55
1807,7090,0x2d56342ee9ea16711c84cb9d23f23e4a6d3082db,2021-09-12T21:55:18.617722,33,0.8444
3346,1324,0x02b0fd8e2fe65dfa605d989dc0ce653e927ca995,2021-09-12T19:54:30.890909,36,0.5555
2188,7255,0x08f70056654c86a3b4b2f85f7be708731a4a8537,2021-09-12T20:55:34.066130,40,0.89
2038,7811,0x3b334052bc8d623d7733c5318893ae4f33776959,2021-09-12T21:14:33.849935,44,0.8
97,7811,0x0b86a28fc1cbc23f0cf60534a38d707e68ef9e59,2021-09-13T21:43:47.225948,44,0.9
1153,6684,0xc2537df2b067f9bab342a1bf23ef66fb89339b65,2021-09-13T01:17:11.070738,45,1.0
9,5170,0xbea1a871cf6bf1fe159d2db2dfd46d9f5ffd5c15,2021-09-13T22:56:50.300902,48,0.99
1562,5170,0x6139bba2d3f12a6c5ea18ce678d1bcff65df7bb6,2021-09-12T22:53:31.307856,48,0.819
2871,4996,0x6c777b10bb1671f51c2ca64ef428c435541a13e0,2021-09-12T20:09:35.593452,57,0.8
1004,1615,0x9d6c133b388c1fc9756ffa38c18e8e770e44dd93,2021-09-13T02:44:42.042713,59,1.2
2711,1615,0xe872f35b902d05cd4771c11eb678e0d59859be4d,2021-09-12T20:16:39.255530,59,0.89
3134,4333,0xdd4eb4398789e930484de1aec2c5bc210f5a657b,2021-09-12T20:01:41.204869,61,0.7
757,8697,0x3659a232018ebd62b0693d265acba0049bcae446,2021-09-13T07:03:46.251755,62,1.1469
994,3228,0x9d72f197b9cef08b56a280dbbd495ae1c026e9aa,2021-09-13T02:47:42.038097,63,1.2
881,3228,0x67bd3f3fe35f31e68f34341bda7f032fcb357cc3,2021-09-13T04:17:58.554266,63,1.2
884,3228,0x052fdcfb81d8234def61076999b095b75da8fa36,2021-09-13T04:15:58.003788,63,0.99
1702,5475,0x308292ad5be57ec7a1425bb9393c6e53b7547639,2021-09-12T22:16:36.413956,65,0.79
371,5475,0x6e61851aa4312e1bea08e63ef6037c55758fb34c,2021-09-13T16:00:03.504490,65,0.9
3894,1313,0x1d74a28484a11380e30e9d7e2f6e46b22b7150bf,2021-09-12T19:39:49.320085,66,1.5
2905,2492,0xb70f05c4e9c5b438917bd8ac8825de51cfa6a207,2021-09-12T20:08:35.984161,69,0.8
3866,1137,0x486b5e4a43e5ad882421854fd2890ccf6fbbfcfa,2021-09-12T19:41:03.433753,72,1.2
2833,1333,0x63d19a379abb8f76b9cc46c95acda999ac5585ad,2021-09-12T20:11:27.195016,83,0.969
503,1078,0x06cb6b855313162f42c338689a5ae7b6b44f12be,2021-09-13T13:07:31.360028,90,1.1
500,1078,0x06cb6b855313162f42c338689a5ae7b6b44f12be,2021-09-13T13:10:31.732725,90,1.5
1730,4722,0x6f73487b48099abd6208e8464e93942c57c884da,2021-09-12T22:10:13.275470,92,0.75
2269,6286,0x4096dbd5b756a514c2f57bc5dbc58506fe61b262,2021-09-12T20:46:26.561569,93,0.89
1761,6286,0x59f53135b38e274de9174156a92165788dddbbd3,2021-09-12T22:03:55.401474,93,0.76
3085,4931,0x4bee3a45b78d12f80b2bd3a9ff03581f6d4d7c11,2021-09-12T20:03:13.467151,96,0.7
2683,3036,0x913514d6d23b8dd9df2eb5c60aa6b4a42c63882e,2021-09-12T20:17:48.771380,98,0.95
1044,5903,0x8ae2ac1abdcf50c3b964da14abb591d0d9ba44fc,2021-09-13T02:24:14.343959,101,1.1
730,5903,0x3db5eb6aa1d9fe9abaa3a1c64191ae1822d0abe7,2021-09-13T08:03:15.411209,101,1.03
2931,3815,0x486b5e4a43e5ad882421854fd2890ccf6fbbfcfa,2021-09-12T20:08:06.173711,104,0.8
1431,4431,0xb4197c81605734064789a721afcfcf45827c6706,2021-09-12T23:37:30.071237,110,0.86
3069,3258,0x2888be6982957103ea88ac10f4179df0a294e877,2021-09-12T20:04:13.484401,111,0.78
1264,4852,0xf87da1fe6c9d2d53627d5b0703e150ee3d4c02cf,2021-09-13T00:33:45.417549,113,0.98
3110,3306,0x769c548c2f969a5ef64fb6e4d46f2e7c729702c3,2021-09-12T20:02:27.462498,115,0.7
4117,196,0x649a8aaa8398900b704ecb4630e9e6fe1b301c33,2021-09-10T08:41:09.955961,120,2.45
3116,4527,0xf5139b79ee9c79973dd8102287aae8d2fe0d71da,2021-09-12T20:01:58.896391,122,0.75
3630,1964,0x0d79cce030ae9654aa9488524f407ce464297722,2021-09-12T19:47:32.185405,126,0.475
1527,8506,0x1d973d947b0f68ca339c37801ab2af8a06a501ba,2021-09-12T23:03:38.810795,129,0.849
1705,5231,0x429eb4045690a3107a499e3ad804d1ebd824f51a,2021-09-12T22:15:52.081743,130,0.76
2568,6377,0xb12bc4a0c497f1c3baee7031c5bfd119ecc0c906,2021-09-12T20:23:58.159133,131,0.95
586,8489,0xf158845adcfccb8474eafa0763139c91d4115225,2021-09-13T10:44:15.369093,132,1.1
15,8489,0x0d1d74535bcabda2da2cff5a53c2b899901d423b,2021-09-13T22:54:21.593722,132,0.9
279,1292,0x72d47083aa4593909535b19bbea290c495237226,2021-09-13T17:54:49.049587,134,1.29
1305,8734,0xf9f40128e49d2941fc7c906a9eca8bb65b54d60d,2021-09-13T00:22:50.917394,140,0.948
927,1782,0x78e73cb6934102a67a48c7917e1aa3ac9c9c83ac,2021-09-13T03:47:51.886086,144,1.3
2838,1782,0x73e4fdd812a1c28706cfbd03249731ef50f6f520,2021-09-12T20:11:00.541674,144,0.88
707,6610,0xc3baa0fa5f21af0157548bebf57028516fca7a71,2021-09-13T08:33:01.371636,145,1.02
1007,3529,0x795d7d64d16c1b30da853e5ca5c45568a41a93cc,2021-09-13T02:42:43.162211,148,1.2
2984,1845,0xfabe0e7955057cf9f646633cd64c141af7a2b770,2021-09-12T20:06:20.298903,153,0.79
