,TOKEN_ID,USER,DATE,RANK,PRICE
2301,9284,0xb7f9f538aa1b41ae2853eb63f1939187ffe70eb4,2021-09-22T20:42:38.884721,1,7.5
3578,7889,0x7e94db9eadc401bcf993f8e6f38730b873b18173,2021-09-22T18:22:31.290724,3,0.5291
1130,7889,0x89688542873276cd7d9cea936b25f37778a593fd,2021-09-23T07:11:42.935781,3,5.9
2788,7889,0xa9883cd7ddd66376547af299c512c551a3a0a27e,2021-09-22T19:32:42.831616,3,1.6942
4681,5624,0x42f85f6dc06eb6fe7ef607ac850fe633ffae221f,2021-09-22T15:48:51.958238,5,0.16
3775,9495,0x95f5272a4302e58a13422deaeffff646d2b940ab,2021-09-22T18:05:41.101950,6,0.109
5279,53,0x96bba2988a064af2ca6028ed21d53dbd6ced2b47,2021-09-20T10:14:39.928641,7,0.1048
5323,38,0x51c3016d6699480ec6becdf2155079c27ebae040,2021-09-20T08:57:04.812041,9,0.107
5333,43,0xcb03d7d779b6d4250d9ea3ca7feb01f24d096735,2021-09-20T08:42:07.406157,12,0.107
5320,47,0x51c3016d6699480ec6becdf2155079c27ebae040,2021-09-20T08:59:11.066833,14,0.106
2045,1704,0xb12f1f37767d19d63ca5a9889da95cb396c957eb,2021-09-22T21:26:35.154053,15,1.69
5635,1704,0x79137d62f126836f96fed0fe044c7c0023f6cd15,2021-09-19T11:05:09.928463,15,0.11
3557,1704,0xea531901be95912181c935b86a4dd15f4fabbbe8,2021-09-22T18:24:59.841413,15,0.299
5294,48,0x5cf27815411d0eac8eb726e7227fe09828a85780,2021-09-20T09:36:05.960594,16,0.105
6427,76,0xe37282c507e62446861e02491acf060571a1d6c2,2021-09-17T11:34:06.053335,17,0.01
5312,52,0xb961d17dbce3fa9f54959fa7ca245ce511d28dfd,2021-09-20T09:08:09.100345,18,0.107
3570,10455,0x7096f35c640cd0edfde78094c8a72f3d08179ad7,2021-09-22T18:23:02.534639,20,0.0999
6445,58,0xec7e61b272b8fe2eda86275f867253025d031214,2021-09-17T11:22:20.871345,21,0.2
5334,41,0xdcaba4bf782b693def3adf5b21d81de6328e00f7,2021-09-20T08:40:50.888691,23,0.107
3378,14,0x822b5a721b4bcf8e627f0dc287c57f187d0b17dc,2021-09-22T18:41:41.565359,24,0.25
6440,14,0x822b5a721b4bcf8e627f0dc287c57f187d0b17dc,2021-09-17T11:26:53.335932,24,0.19
5322,45,0x51c3016d6699480ec6becdf2155079c27ebae040,2021-09-20T08:57:47.759642,25,0.106
944,70,0x6d5f1fc2799d285f26951ad0d2bffd6a85cb2b6f,2021-09-23T10:27:08.444551,27,1.45
2457,69,0xa9883cd7ddd66376547af299c512c551a3a0a27e,2021-09-22T20:14:20.727034,28,0.4
1004,69,0x4791bc59e8bf9a12095c5a83612932adfead3809,2021-09-23T09:15:23.266742,28,1.49
5734,132,0x661e6ba870af4fca13f2ee7c45c7df33cfecdb4f,2021-09-19T00:48:55.654479,33,0.0999
2669,10330,0x633d2239166ae6ef8d38ce1674c8bc405e2550b8,2021-09-22T19:45:59.844466,34,1.5
2840,10330,0x2187f16f2d82da53581a2f48ebcffd415d68c997,2021-09-22T19:28:07.672190,34,0.9
1198,80,0x8d1db0c2fce84a914c7d9bc291980d79d0d8e8c3,2021-09-23T06:03:29.668854,35,1.4
1245,34,0x96bba2988a064af2ca6028ed21d53dbd6ced2b47,2021-09-23T05:10:55.926117,36,0.3
5330,34,0x96bba2988a064af2ca6028ed21d53dbd6ced2b47,2021-09-20T08:48:43.696570,36,0.107
