,block_numbers,timestamps,base_fee
0,13276766,2021-09-22 17:00:32,89.024973653
1,13276767,2021-09-22 17:00:35,83.018504677
2,13276768,2021-09-22 17:00:42,83.813090697
3,13276769,2021-09-22 17:01:00,85.343368964
4,13276770,2021-09-22 17:01:04,79.176846147
5,13276771,2021-09-22 17:01:06,74.624644637
6,13276772,2021-09-22 17:01:12,73.018317175
7,13276773,2021-09-22 17:01:19,67.323422848
8,13276774,2021-09-22 17:01:41,72.529439525
9,13276775,2021-09-22 17:01:58,81.581552354
10,13276776,2021-09-22 17:02:03,78.968587583
11,13276777,2021-09-22 17:02:14,69.559903772
12,13276778,2021-09-22 17:02:17,71.846316074
13,13276779,2021-09-22 17:02:20,65.787767026
14,13276780,2021-09-22 17:02:25,71.597566589
15,13276781,2021-09-22 17:02:26,63.920539134
16,13276782,2021-09-22 17:02:34,66.692402177
17,13276783,2021-09-22 17:02:43,63.243603565
18,13276784,2021-09-22 17:03:03,70.557276233
19,13276785,2021-09-22 17:03:04,64.089170774
20,13276786,2021-09-22 17:03:05,56.525295808
21,13276787,2021-09-22 17:03:07,58.888169991
22,13276788,2021-09-22 17:03:24,62.559682993
23,13276789,2021-09-22 17:03:32,58.892693151
24,13276790,2021-09-22 17:03:44,59.568220315
25,13276791,2021-09-22 17:04:00,64.10695484
26,13276792,2021-09-22 17:05:04,72.062632449
27,13276793,2021-09-22 17:05:07,80.88969729
28,13276794,2021-09-22 17:05:25,82.832925822
29,13276795,2021-09-22 17:05:31,74.730739149
30,13276796,2021-09-22 17:05:56,83.884580872
31,13276797,2021-09-22 17:06:03,80.869095163
32,13276798,2021-09-22 17:06:14,77.181749488
33,13276799,2021-09-22 17:06:28,81.348941001
34,13276800,2021-09-22 17:07:03,91.024233565
35,13276801,2021-09-22 17:07:07,82.878806879
36,13276802,2021-09-22 17:07:47,93.230227582
37,13276803,2021-09-22 17:07:53,91.695854962
38,13276804,2021-09-22 17:08:41,103.152555151
39,13276805,2021-09-22 17:08:43,98.602024021
40,13276806,2021-09-22 17:09:13,101.870333545
41,13276807,2021-09-22 17:09:38,98.816352629
42,13276808,2021-09-22 17:10:12,109.174366304
43,13276809,2021-09-22 17:10:14,98.742848947
44,13276810,2021-09-22 17:10:30,99.328706266
45,13276811,2021-09-22 17:10:31,86.912617983
46,13276812,2021-09-22 17:12:12,97.775332031
47,13276813,2021-09-22 17:12:50,109.987214341
48,13276814,2021-09-22 17:13:03,123.720403068
49,13276815,2021-09-22 17:13:19,120.272331931
50,13276816,2021-09-22 17:13:43,118.170617031
51,13276817,2021-09-22 17:14:07,111.994939836
52,13276818,2021-09-22 17:14:24,111.724337663
53,13276819,2021-09-22 17:14:32,115.065373911
54,13276820,2021-09-22 17:14:35,101.490410779
55,13276821,2021-09-22 17:14:43,98.159267144
56,13276822,2021-09-22 17:15:01,104.296612336
57,13276823,2021-09-22 17:15:23,103.279417037
58,13276824,2021-09-22 17:15:29,96.240697552
59,13276825,2021-09-22 17:16:26,108.029798039
60,13276826,2021-09-22 17:16:57,121.521809663
