,block_numbers,timestamps,base_fee
0,13242762,2021-09-17 10:50:03,46.976743403
1,13242763,2021-09-17 10:50:16,47.790514075
2,13242764,2021-09-17 10:50:36,46.760075953
3,13242765,2021-09-17 10:50:55,44.029059562
4,13242766,2021-09-17 10:51:03,48.082226761
5,13242767,2021-09-17 10:51:06,42.481608504
6,13242768,2021-09-17 10:51:12,46.149186859
7,13242769,2021-09-17 10:51:17,44.304651443
8,13242770,2021-09-17 10:51:58,49.840461152
9,13242771,2021-09-17 10:52:00,50.948500993
10,13242772,2021-09-17 10:52:21,52.521915952
11,13242773,2021-09-17 10:52:24,47.23347767
12,13242774,2021-09-17 10:52:32,42.413182797
13,13242775,2021-09-17 10:52:59,47.714346195
14,13242776,2021-09-17 10:53:06,47.369675651
15,13242777,2021-09-17 10:53:11,41.990433707
16,13242778,2021-09-17 10:53:22,45.951528137
17,13242779,2021-09-17 10:53:44,49.56459034
18,13242780,2021-09-17 10:53:47,43.877470355
19,13242781,2021-09-17 10:53:54,41.61414319
20,13242782,2021-09-17 10:54:05,43.161397607
21,13242783,2021-09-17 10:54:13,39.808356957
22,13242784,2021-09-17 10:54:15,40.68150811
23,13242785,2021-09-17 10:54:46,45.189324909
24,13242786,2021-09-17 10:54:49,42.588713509
25,13242787,2021-09-17 10:55:09,45.270166698
26,13242788,2021-09-17 10:55:12,41.28294282
27,13242789,2021-09-17 10:55:19,38.860682664
28,13242790,2021-09-17 10:55:20,34.003097331
29,13242791,2021-09-17 10:55:24,38.247999797
30,13242792,2021-09-17 10:55:25,33.823540984
31,13242793,2021-09-17 10:55:48,38.050639427
32,13242794,2021-09-17 10:56:20,37.442462423
33,13242795,2021-09-17 10:56:34,42.084121804
34,13242796,2021-09-17 10:56:50,47.340691993
35,13242797,2021-09-17 10:57:01,52.504837965
36,13242798,2021-09-17 10:57:17,54.562196286
37,13242799,2021-09-17 10:57:47,61.361478926
38,13242800,2021-09-17 10:57:51,55.491198733
39,13242801,2021-09-17 10:57:55,50.062701024
40,13242802,2021-09-17 10:58:00,47.828114817
41,13242803,2021-09-17 10:58:41,53.802069555
42,13242804,2021-09-17 10:59:01,60.455110628
43,13242805,2021-09-17 10:59:19,58.331236444
44,13242806,2021-09-17 10:59:24,56.988017082
45,13242807,2021-09-17 10:59:33,55.150365996
46,13242808,2021-09-17 10:59:59,57.476051415
47,13242809,2021-09-17 11:00:19,59.854031559
48,13242810,2021-09-17 11:00:31,56.192380875
49,13242811,2021-09-17 11:00:34,51.42855682
50,13242812,2021-09-17 11:00:39,52.364834713
51,13242813,2021-09-17 11:00:53,52.398090746
52,13242814,2021-09-17 11:00:58,48.643228223
53,13242815,2021-09-17 11:01:04,52.974723321
54,13242816,2021-09-17 11:01:33,59.58763164
55,13242817,2021-09-17 11:01:37,55.953408801
56,13242818,2021-09-17 11:01:56,56.554207595
57,13242819,2021-09-17 11:02:07,50.671739601
58,13242820,2021-09-17 11:02:12,50.205875873
59,13242821,2021-09-17 11:02:42,56.219268338
60,13242822,2021-09-17 11:03:01,50.629509233
61,13242823,2021-09-17 11:03:02,44.300820579
62,13242824,2021-09-17 11:03:05,49.748433417
63,13242825,2021-09-17 11:03:11,44.609298362
64,13242826,2021-09-17 11:03:19,46.100125871
65,13242827,2021-09-17 11:03:30,46.183691953
66,13242828,2021-09-17 11:03:34,41.954614719
67,13242829,2021-09-17 11:03:47,47.19381761
68,13242830,2021-09-17 11:05:02,53.091458658
69,13242831,2021-09-17 11:05:06,48.600526622
70,13242832,2021-09-17 11:05:08,54.6738566
71,13242833,2021-09-17 11:05:09,47.839624525
72,13242834,2021-09-17 11:06:20,53.78369146
73,13242835,2021-09-17 11:06:24,60.463661156
74,13242836,2021-09-17 11:06:27,52.905703512
75,13242837,2021-09-17 11:06:38,59.515119585
76,13242838,2021-09-17 11:07:02,60.193317682
77,13242839,2021-09-17 11:07:10,56.148830977
78,13242840,2021-09-17 11:07:34,58.105381443
79,13242841,2021-09-17 11:07:48,57.18778707
80,13242842,2021-09-17 11:07:49,51.214316835
81,13242843,2021-09-17 11:08:16,57.609721294
82,13242844,2021-09-17 11:08:21,55.073231517
83,13242845,2021-09-17 11:08:45,55.31517373
84,13242846,2021-09-17 11:08:57,54.031843502
85,13242847,2021-09-17 11:09:05,47.957673038
86,13242848,2021-09-17 11:09:09,53.912435024
87,13242849,2021-09-17 11:09:20,57.993693963
88,13242850,2021-09-17 11:09:51,61.05206004
89,13242851,2021-09-17 11:09:54,55.106888275
90,13242852,2021-09-17 11:10:14,57.037942641
91,13242853,2021-09-17 11:10:26,54.675592361
92,13242854,2021-09-17 11:10:32,51.758191145
93,13242855,2021-09-17 11:11:06,58.22291732
94,13242856,2021-09-17 11:11:21,60.345248427
95,13242857,2021-09-17 11:11:26,54.83517207
96,13242858,2021-09-17 11:11:32,51.088668069
97,13242859,2021-09-17 11:11:46,57.324508319
98,13242860,2021-09-17 11:12:02,57.531280686
99,13242861,2021-09-17 11:12:07,51.499200578
100,13242862,2021-09-17 11:12:17,55.748978554
101,13242863,2021-09-17 11:12:38,59.608170932
102,13242864,2021-09-17 11:12:39,52.723060376
103,13242865,2021-09-17 11:13:43,59.309618746
104,13242866,2021-09-17 11:13:54,52.785327153
105,13242867,2021-09-17 11:13:59,59.231059579
106,13242868,2021-09-17 11:14:06,62.914141633
107,13242869,2021-09-17 11:14:26,61.313296018
108,13242870,2021-09-17 11:14:35,57.038145342
109,13242871,2021-09-17 11:14:37,52.821662239
110,13242872,2021-09-17 11:14:39,46.30630926
111,13242873,2021-09-17 11:15:25,52.090499423
112,13242874,2021-09-17 11:15:44,58.594508328
113,13242875,2021-09-17 11:15:56,64.995876177
114,13242876,2021-09-17 11:16:23,58.783666201
115,13242877,2021-09-17 11:16:30,61.804671475
116,13242878,2021-09-17 11:16:42,57.107725549
117,13242879,2021-09-17 11:16:43,54.18942036
118,13242880,2021-09-17 11:17:03,56.810381088
119,13242881,2021-09-17 11:17:09,54.436638849
120,13242882,2021-09-17 11:17:10,47.632058993
121,13242883,2021-09-17 11:17:18,53.581883875
122,13242884,2021-09-17 11:17:50,55.729267163
123,13242885,2021-09-17 11:18:05,53.692082874
124,13242886,2021-09-17 11:18:13,50.630318247
125,13242887,2021-09-17 11:18:34,55.716541288
126,13242888,2021-09-17 11:18:44,51.597025982
127,13242889,2021-09-17 11:18:58,51.697917086
128,13242890,2021-09-17 11:19:54,58.158818176
129,13242891,2021-09-17 11:20:05,65.408138931
130,13242892,2021-09-17 11:20:08,59.08172786
131,13242893,2021-09-17 11:20:53,65.033026999
132,13242894,2021-09-17 11:21:03,59.532468543
133,13242895,2021-09-17 11:21:11,55.283569014
134,13242896,2021-09-17 11:21:12,49.484179003
135,13242897,2021-09-17 11:21:18,55.031856496
136,13242898,2021-09-17 11:21:27,51.481846364
137,13242899,2021-09-17 11:21:28,47.667754623
138,13242900,2021-09-17 11:22:03,53.623577206
139,13242901,2021-09-17 11:22:46,60.323187583
140,13242902,2021-09-17 11:22:54,63.046575127
141,13242903,2021-09-17 11:23:33,70.671797869
142,13242904,2021-09-17 11:24:01,64.18489597
143,13242905,2021-09-17 11:24:13,66.158072196
144,13242906,2021-09-17 11:24:30,62.964618744
145,13242907,2021-09-17 11:24:31,57.118127221
146,13242908,2021-09-17 11:24:57,64.231614501
147,13242909,2021-09-17 11:25:15,65.744299772
148,13242910,2021-09-17 11:25:39,62.170234186
149,13242911,2021-09-17 11:25:45,63.044697386
150,13242912,2021-09-17 11:26:14,66.164885584
151,13242913,2021-09-17 11:26:26,62.682512419
152,13242914,2021-09-17 11:26:42,63.345485721
153,13242915,2021-09-17 11:26:59,65.257321832
154,13242916,2021-09-17 11:27:00,59.71269596
155,13242917,2021-09-17 11:27:01,57.257846819
156,13242918,2021-09-17 11:27:03,51.830437549
157,13242919,2021-09-17 11:27:10,54.759109074
158,13242920,2021-09-17 11:27:13,48.65730657
159,13242921,2021-09-17 11:27:19,50.698160253
160,13242922,2021-09-17 11:27:58,57.030786333
161,13242923,2021-09-17 11:28:05,51.039040892
162,13242924,2021-09-17 11:28:22,56.116582951
163,13242925,2021-09-17 11:28:37,53.961365711
164,13242926,2021-09-17 11:28:54,55.113440157
165,13242927,2021-09-17 11:28:59,50.424512221
166,13242928,2021-09-17 11:29:00,46.582434161
167,13242929,2021-09-17 11:29:12,50.419591468
168,13242930,2021-09-17 11:29:28,50.481020234
169,13242931,2021-09-17 11:29:44,49.434143996
170,13242932,2021-09-17 11:29:52,47.776169346
171,13242933,2021-09-17 11:30:29,53.668338178
172,13242934,2021-09-17 11:30:32,52.613279795
173,13242935,2021-09-17 11:30:46,51.573919807
174,13242936,2021-09-17 11:30:48,45.892001899
175,13242937,2021-09-17 11:31:10,51.624048144
176,13242938,2021-09-17 11:31:11,48.430558352
177,13242939,2021-09-17 11:31:19,47.182026124
178,13242940,2021-09-17 11:31:26,41.937996772
179,13242941,2021-09-17 11:31:36,47.179680993
180,13242942,2021-09-17 11:31:37,44.033026699
181,13242943,2021-09-17 11:31:38,41.251107375
182,13242944,2021-09-17 11:31:44,40.566593029
183,13242945,2021-09-17 11:32:00,43.870603755
184,13242946,2021-09-17 11:32:09,43.545449218
185,13242947,2021-09-17 11:32:14,39.284178332
186,13242948,2021-09-17 11:32:17,37.323787954
187,13242949,2021-09-17 11:33:20,41.960102859
188,13242950,2021-09-17 11:33:42,47.199881154
189,13242951,2021-09-17 11:33:51,53.099488544
190,13242952,2021-09-17 11:33:59,53.173086477
191,13242953,2021-09-17 11:34:25,56.440083693
192,13242954,2021-09-17 11:34:30,52.324582283
193,13242955,2021-09-17 11:34:44,50.441144767
194,13242956,2021-09-17 11:34:45,46.17824154
195,13242957,2021-09-17 11:34:47,41.84283029
196,13242958,2021-09-17 11:35:27,46.953140288
197,13242959,2021-09-17 11:35:45,52.821535095
198,13242960,2021-09-17 11:36:14,59.42351301
199,13242961,2021-09-17 11:36:26,59.184944442
200,13242962,2021-09-17 11:36:33,54.273479855
201,13242963,2021-09-17 11:36:39,55.152907568
202,13242964,2021-09-17 11:36:46,50.046929519
203,13242965,2021-09-17 11:36:49,46.822076792
204,13242966,2021-09-17 11:36:58,47.614996176
205,13242967,2021-09-17 11:37:06,42.32528436
206,13242968,2021-09-17 11:37:15,44.802125435
207,13242969,2021-09-17 11:37:37,49.294005572
208,13242970,2021-09-17 11:38:17,55.452308894
209,13242971,2021-09-17 11:38:25,49.091311766
210,13242972,2021-09-17 11:39:04,55.222917242
211,13242973,2021-09-17 11:39:07,61.496689326
212,13242974,2021-09-17 11:39:10,54.545002263
213,13242975,2021-09-17 11:39:11,48.460043404
214,13242976,2021-09-17 11:39:15,47.074015492
215,13242977,2021-09-17 11:39:17,43.369273605
216,13242978,2021-09-17 11:39:23,45.631631762
217,13242979,2021-09-17 11:39:26,41.40575137
218,13242980,2021-09-17 11:39:31,36.931731577
219,13242981,2021-09-17 11:40:26,41.546438842
220,13242982,2021-09-17 11:40:59,46.738348752
221,13242983,2021-09-17 11:41:02,52.52196133
222,13242984,2021-09-17 11:41:18,58.543989687
223,13242985,2021-09-17 11:42:06,65.727274774
224,13242986,2021-09-17 11:42:12,59.316173404
225,13242987,2021-09-17 11:42:17,54.269104546
226,13242988,2021-09-17 11:42:21,50.306883758
227,13242989,2021-09-17 11:42:24,49.079064189
228,13242990,2021-09-17 11:42:26,45.565388464
229,13242991,2021-09-17 11:42:43,51.012144424
230,13242992,2021-09-17 11:42:45,45.762842577
231,13242993,2021-09-17 11:42:46,40.069952207
232,13242994,2021-09-17 11:42:53,45.072391893
233,13242995,2021-09-17 11:43:24,49.885623382
234,13242996,2021-09-17 11:43:43,44.654505503
235,13242997,2021-09-17 11:43:55,49.759993174
236,13242998,2021-09-17 11:44:02,45.076557322
237,13242999,2021-09-17 11:44:03,40.545853388
238,13243000,2021-09-17 11:44:06,39.547917558
239,13243001,2021-09-17 11:44:22,44.487624164
240,13243002,2021-09-17 11:44:43,48.678114419
241,13243003,2021-09-17 11:44:44,42.656319315
242,13243004,2021-09-17 11:45:00,43.682714603
243,13243005,2021-09-17 11:45:14,47.661147685
244,13243006,2021-09-17 11:45:18,44.336303243
245,13243007,2021-09-17 11:45:29,43.265677582
246,13243008,2021-09-17 11:45:35,40.852163412
247,13243009,2021-09-17 11:45:37,36.877185613
248,13243010,2021-09-17 11:46:39,41.437076381
249,13243011,2021-09-17 11:46:57,46.612139383
250,13243012,2021-09-17 11:48:12,52.434411993
251,13243013,2021-09-17 11:48:15,58.980429728
252,13243014,2021-09-17 11:48:23,55.603440346
253,13243015,2021-09-17 11:48:32,51.698299987
254,13243016,2021-09-17 11:48:36,58.160236367
255,13243017,2021-09-17 11:48:51,52.587520264
256,13243018,2021-09-17 11:49:00,59.126439219
257,13243019,2021-09-17 11:49:02,52.514712365
258,13243020,2021-09-17 11:49:12,51.307300226
259,13243021,2021-09-17 11:49:16,46.785264622
260,13243022,2021-09-17 11:49:27,52.428513673
261,13243023,2021-09-17 11:49:33,49.993656952
262,13243024,2021-09-17 11:49:58,53.616542707
263,13243025,2021-09-17 11:50:33,60.289712122
264,13243026,2021-09-17 11:50:38,54.976182899
265,13243027,2021-09-17 11:50:50,52.177124607
266,13243028,2021-09-17 11:51:02,52.118708403
267,13243029,2021-09-17 11:51:25,57.503090865
268,13243030,2021-09-17 11:51:29,51.574081819
269,13243031,2021-09-17 11:51:32,49.003120717
270,13243032,2021-09-17 11:51:37,46.299750156
271,13243033,2021-09-17 11:51:50,42.101176535
272,13243034,2021-09-17 11:51:54,40.906868524
273,13243035,2021-09-17 11:51:58,46.007519358
274,13243036,2021-09-17 11:52:11,47.787163052
275,13243037,2021-09-17 11:52:14,43.300041229
276,13243038,2021-09-17 11:53:59,48.712313644
277,13243039,2021-09-17 11:54:01,54.799422218
278,13243040,2021-09-17 11:54:08,61.630880763
279,13243041,2021-09-17 11:54:19,57.411231607
280,13243042,2021-09-17 11:54:21,50.557084686
281,13243043,2021-09-17 11:54:52,55.309166684
282,13243044,2021-09-17 11:55:14,55.570804392
283,13243045,2021-09-17 11:55:16,49.865008691
284,13243046,2021-09-17 11:55:22,47.763708029
285,13243047,2021-09-17 11:55:27,46.906254954
286,13243048,2021-09-17 11:55:32,45.109863828
287,13243049,2021-09-17 11:55:43,47.61429301
288,13243050,2021-09-17 11:55:47,43.270519623
289,13243051,2021-09-17 11:55:54,42.318928779
290,13243052,2021-09-17 11:55:59,42.793213588
291,13243053,2021-09-17 11:56:39,48.137685848
292,13243054,2021-09-17 11:56:40,49.430618359
293,13243055,2021-09-17 11:57:09,53.890704332
294,13243056,2021-09-17 11:57:19,50.97091675
295,13243057,2021-09-17 11:57:46,46.948340848
296,13243058,2021-09-17 11:58:04,52.816500042
297,13243059,2021-09-17 11:58:26,59.347888348
298,13243060,2021-09-17 11:58:55,61.913912501
299,13243061,2021-09-17 11:58:56,54.174673439
300,13243062,2021-09-17 11:59:02,53.021872957
301,13243063,2021-09-17 11:59:15,51.516586403
302,13243064,2021-09-17 11:59:21,50.482024734
303,13243065,2021-09-17 11:59:39,52.414509033
304,13243066,2021-09-17 11:59:41,46.857352875
305,13243067,2021-09-17 11:59:57,45.336224582
306,13243068,2021-09-17 11:59:59,40.696274321
307,13243069,2021-09-17 12:00:05,45.777694899
308,13243070,2021-09-17 12:00:27,51.485972666
309,13243071,2021-09-17 12:00:41,54.087298002
310,13243072,2021-09-17 12:00:42,48.423606539
311,13243073,2021-09-17 12:01:10,54.332655714
312,13243074,2021-09-17 12:01:13,50.708675276
313,13243075,2021-09-17 12:01:37,56.967594703
314,13243076,2021-09-17 12:01:45,55.478030663
315,13243077,2021-09-17 12:01:59,54.434112012
316,13243078,2021-09-17 12:02:05,50.046443156
317,13243079,2021-09-17 12:02:12,47.121589305
318,13243080,2021-09-17 12:02:16,47.408403497
319,13243081,2021-09-17 12:02:17,43.042056745
320,13243082,2021-09-17 12:02:35,47.244504182
321,13243083,2021-09-17 12:02:45,46.376870281
322,13243084,2021-09-17 12:03:05,50.563987077
323,13243085,2021-09-17 12:03:07,45.00479431
324,13243086,2021-09-17 12:03:08,39.71959966
325,13243087,2021-09-17 12:03:49,44.683507615
326,13243088,2021-09-17 12:04:07,50.268588598
327,13243089,2021-09-17 12:04:14,54.05145279
328,13243090,2021-09-17 12:04:25,51.955302318
329,13243091,2021-09-17 12:04:28,48.278308241
330,13243092,2021-09-17 12:04:29,44.027962018
331,13243093,2021-09-17 12:04:32,40.620975586
332,13243094,2021-09-17 12:04:42,43.035553737
333,13243095,2021-09-17 12:04:56,40.30495395
334,13243096,2021-09-17 12:05:19,45.338257759
335,13243097,2021-09-17 12:05:28,50.993289581
336,13243098,2021-09-17 12:05:45,57.131605114
337,13243099,2021-09-17 12:06:06,57.104433194
338,13243100,2021-09-17 12:06:08,51.093275997
339,13243101,2021-09-17 12:06:18,52.465678252
340,13243102,2021-09-17 12:06:39,56.016697887
341,13243103,2021-09-17 12:06:50,53.716201426
342,13243104,2021-09-17 12:06:55,47.277553258
343,13243105,2021-09-17 12:07:29,53.179281541
344,13243106,2021-09-17 12:07:34,59.245778545
345,13243107,2021-09-17 12:08:37,66.647638532
346,13243108,2021-09-17 12:09:00,74.972586174
347,13243109,2021-09-17 12:09:07,69.609583996
348,13243110,2021-09-17 12:09:12,64.896054548
349,13243111,2021-09-17 12:09:14,60.699529008
350,13243112,2021-09-17 12:09:21,58.200118666
351,13243113,2021-09-17 12:09:25,56.627877594
352,13243114,2021-09-17 12:09:27,50.294214178
353,13243115,2021-09-17 12:09:45,56.577437244
354,13243116,2021-09-17 12:09:54,54.888067029
355,13243117,2021-09-17 12:10:07,55.566648659
356,13243118,2021-09-17 12:10:09,50.484496104
