,txid,to_account,TOKEN_ID,current_owner,rank,time
0,0xb40993ac74cf30fc6a98d78d2f4f480f5de6a67e18e30789e67f14846aa243cc,0x193d802a97a4632df34eba214b8598422830a14c,11109,0x0000000000000000000000000000000000000000,9101,2021-09-22T17:30:33
1,0x0e632f26773c03ec6c63efa947f4d580e70b12d5d9055ee8e68cd0986d7254de,0x759fdb354df29e2b2d90d82e7723ece8e6f9113e,11108,0x0000000000000000000000000000000000000000,10023,2021-09-22T17:30:33
2,0x006e9cd33a0162b32da9eeecdbbf0574155d0960d6052320e75f0b8c9cc09c1f,0x6e73f0237612ce082d5317bc29f904d0d558e3d3,11107,0x0000000000000000000000000000000000000000,9199,2021-09-22T17:30:33
3,0x1ce500f4215dc9091d08377ad92e177a30be460206eb34f2dd4fe76667b2ff19,0x0b3a373bc43a1338286cd714acfd506a59db2a41,11106,0x0000000000000000000000000000000000000000,7365,2021-09-22T17:30:33
4,0x1ce500f4215dc9091d08377ad92e177a30be460206eb34f2dd4fe76667b2ff19,0x0b3a373bc43a1338286cd714acfd506a59db2a41,11105,0x0000000000000000000000000000000000000000,6054,2021-09-22T17:30:33
5,0x1ce500f4215dc9091d08377ad92e177a30be460206eb34f2dd4fe76667b2ff19,0x0b3a373bc43a1338286cd714acfd506a59db2a41,11104,0x0000000000000000000000000000000000000000,6876,2021-09-22T17:30:33
6,0x1ce500f4215dc9091d08377ad92e177a30be460206eb34f2dd4fe76667b2ff19,0x0b3a373bc43a1338286cd714acfd506a59db2a41,11103,0x0000000000000000000000000000000000000000,9033,2021-09-22T17:30:33
7,0x4ea743a1624dd9f79462e06139b2d5088954134e8eee1dcdf5214492036fbb84,0x1831d004c7bf6a5abae2d882c9797102783a330f,11102,0x0000000000000000000000000000000000000000,8162,2021-09-22T17:30:33
8,0x4ea743a1624dd9f79462e06139b2d5088954134e8eee1dcdf5214492036fbb84,0x1831d004c7bf6a5abae2d882c9797102783a330f,11101,0x0000000000000000000000000000000000000000,9774,2021-09-22T17:30:33
9,0x4ea743a1624dd9f79462e06139b2d5088954134e8eee1dcdf5214492036fbb84,0x1831d004c7bf6a5abae2d882c9797102783a330f,11100,0x0000000000000000000000000000000000000000,11023,2021-09-22T17:30:33
10,0x330d31efbe9698340634d6afa928f75a5467b109bbd1d413d1cf8f2756bed539,0x52a06f0e4c1dd9ab0f21156cf9a258e4e4588e0d,11099,0x0000000000000000000000000000000000000000,9356,2021-09-22T17:30:33
11,0x330d31efbe9698340634d6afa928f75a5467b109bbd1d413d1cf8f2756bed539,0x52a06f0e4c1dd9ab0f21156cf9a258e4e4588e0d,11098,0x0000000000000000000000000000000000000000,7949,2021-09-22T17:30:33
12,0xf21c4cd57769ef8fe5cbff0442fdc3c79e4f19077e8d1a065a851d66fc805cfd,0x884be9e43fec1f9e272bae79d68a8af31469b1d6,11097,0x0000000000000000000000000000000000000000,10207,2021-09-22T17:30:33
13,0xf21c4cd57769ef8fe5cbff0442fdc3c79e4f19077e8d1a065a851d66fc805cfd,0x884be9e43fec1f9e272bae79d68a8af31469b1d6,11096,0x0000000000000000000000000000000000000000,6639,2021-09-22T17:30:33
14,0xf21c4cd57769ef8fe5cbff0442fdc3c79e4f19077e8d1a065a851d66fc805cfd,0x884be9e43fec1f9e272bae79d68a8af31469b1d6,11095,0x0000000000000000000000000000000000000000,9521,2021-09-22T17:30:33
15,0xf21c4cd57769ef8fe5cbff0442fdc3c79e4f19077e8d1a065a851d66fc805cfd,0x884be9e43fec1f9e272bae79d68a8af31469b1d6,11094,0x0000000000000000000000000000000000000000,6012,2021-09-22T17:30:33
16,0xf21c4cd57769ef8fe5cbff0442fdc3c79e4f19077e8d1a065a851d66fc805cfd,0x884be9e43fec1f9e272bae79d68a8af31469b1d6,11093,0x0000000000000000000000000000000000000000,7725,2021-09-22T17:30:33
17,0xf21c4cd57769ef8fe5cbff0442fdc3c79e4f19077e8d1a065a851d66fc805cfd,0x884be9e43fec1f9e272bae79d68a8af31469b1d6,11092,0x0000000000000000000000000000000000000000,10339,2021-09-22T17:30:33
18,0xf21c4cd57769ef8fe5cbff0442fdc3c79e4f19077e8d1a065a851d66fc805cfd,0x884be9e43fec1f9e272bae79d68a8af31469b1d6,11091,0x0000000000000000000000000000000000000000,10358,2021-09-22T17:30:33
19,0xf21c4cd57769ef8fe5cbff0442fdc3c79e4f19077e8d1a065a851d66fc805cfd,0x884be9e43fec1f9e272bae79d68a8af31469b1d6,11090,0x0000000000000000000000000000000000000000,9396,2021-09-22T17:30:33
20,0xf21c4cd57769ef8fe5cbff0442fdc3c79e4f19077e8d1a065a851d66fc805cfd,0x884be9e43fec1f9e272bae79d68a8af31469b1d6,11089,0x0000000000000000000000000000000000000000,7936,2021-09-22T17:30:33
21,0xf21c4cd57769ef8fe5cbff0442fdc3c79e4f19077e8d1a065a851d66fc805cfd,0x884be9e43fec1f9e272bae79d68a8af31469b1d6,11088,0x0000000000000000000000000000000000000000,7935,2021-09-22T17:30:33
22,0xf21c4cd57769ef8fe5cbff0442fdc3c79e4f19077e8d1a065a851d66fc805cfd,0x884be9e43fec1f9e272bae79d68a8af31469b1d6,11087,0x0000000000000000000000000000000000000000,7902,2021-09-22T17:30:33
23,0xf21c4cd57769ef8fe5cbff0442fdc3c79e4f19077e8d1a065a851d66fc805cfd,0x884be9e43fec1f9e272bae79d68a8af31469b1d6,11086,0x0000000000000000000000000000000000000000,8282,2021-09-22T17:30:33
24,0xf21c4cd57769ef8fe5cbff0442fdc3c79e4f19077e8d1a065a851d66fc805cfd,0x884be9e43fec1f9e272bae79d68a8af31469b1d6,11085,0x0000000000000000000000000000000000000000,6157,2021-09-22T17:30:33
