,txid,to_account,TOKEN_ID,current_owner,rank
10060,0x5b82ede05f0fb32b321014aae673b67991c74e02b9a9e595c2400ee725853fb4,0x83eaaade60f906361c62fe41eaac89a726e92097,1,0x83eaaade60f906361c62fe41eaac89a726e92097,2071
10061,0x5b82ede05f0fb32b321014aae673b67991c74e02b9a9e595c2400ee725853fb4,0x83eaaade60f906361c62fe41eaac89a726e92097,2,0x83eaaade60f906361c62fe41eaac89a726e92097,2723
10063,0x5b82ede05f0fb32b321014aae673b67991c74e02b9a9e595c2400ee725853fb4,0x83eaaade60f906361c62fe41eaac89a726e92097,3,0x83eaaade60f906361c62fe41eaac89a726e92097,3555
10064,0x5b82ede05f0fb32b321014aae673b67991c74e02b9a9e595c2400ee725853fb4,0x83eaaade60f906361c62fe41eaac89a726e92097,4,0x83eaaade60f906361c62fe41eaac89a726e92097,2133
10065,0x5b82ede05f0fb32b321014aae673b67991c74e02b9a9e595c2400ee725853fb4,0x83eaaade60f906361c62fe41eaac89a726e92097,5,0x83eaaade60f906361c62fe41eaac89a726e92097,6444
10062,0x5b82ede05f0fb32b321014aae673b67991c74e02b9a9e595c2400ee725853fb4,0x83eaaade60f906361c62fe41eaac89a726e92097,6,0x83eaaade60f906361c62fe41eaac89a726e92097,9551
10066,0x5b82ede05f0fb32b321014aae673b67991c74e02b9a9e595c2400ee725853fb4,0x83eaaade60f906361c62fe41eaac89a726e92097,7,0x83eaaade60f906361c62fe41eaac89a726e92097,2988
10067,0x5b82ede05f0fb32b321014aae673b67991c74e02b9a9e595c2400ee725853fb4,0x83eaaade60f906361c62fe41eaac89a726e92097,8,0x83eaaade60f906361c62fe41eaac89a726e92097,6189
10068,0x5b82ede05f0fb32b321014aae673b67991c74e02b9a9e595c2400ee725853fb4,0x83eaaade60f906361c62fe41eaac89a726e92097,9,0x83eaaade60f906361c62fe41eaac89a726e92097,295
10059,0x184e958d858898aaf73bfd1a78a57655182428383eea17611c42950064b57b75,0x8114e78965b7f7e52e35b2cfbe33973a4ef320cb,10,0x7e57c37b03d15bbcc3eff2b76737fe761e82ee83,6918
10058,0xc659432ec25ce55f61e0657cc76d91a7ee1af28454252e1b4c379869381f328c,0xcba001cc3727a3e3549a79add63ce41323f7404b,11,0x9fcebf3cb7496133bbc924e68c12e439af07144c,1371
10057,0xbe7253db7023d8bcdd42537f2c39a03cc7224d54151c0242963e0eaedf7cd635,0x0c4061dac92ae19563def9f8728eb26af471fd22,12,0x0c4061dac92ae19563def9f8728eb26af471fd22,8360
10056,0x0160deeb47155507a7f86f6477d2a1838a35a6efc20497b12791887a5aeeb34d,0x96dc89dbe84970ee42a2f0b35fb50599e6745ff8,13,0x3ff23183a9c70665c14831e10cc6297b6ffd157c,4803
10055,0x647845a8ee38419f2645ce417736bde5cc088d50fd099f9766fe452447a1f877,0x44dc2ec15b3483fc8590f6b396cea5f8f2fbf3bd,14,0xdec00a8df45f9cf321636340921d3d9c91d23723,2899
10054,0x3a288fbe9d6c2fb5c4c4f7f7837f36daee3bbb17477edab1b49cb22bd894448f,0x73aeab4d6562277bd0380f8bcf6a658fcfb0da3e,15,0x73aeab4d6562277bd0380f8bcf6a658fcfb0da3e,2177
10045,0xdcccaef5cdc2e59ccd978f7b0d5b313e58d1f2bb65a4522d19a6619552fdebbf,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,16,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,222
10046,0xdcccaef5cdc2e59ccd978f7b0d5b313e58d1f2bb65a4522d19a6619552fdebbf,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,17,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,7946
10047,0xdcccaef5cdc2e59ccd978f7b0d5b313e58d1f2bb65a4522d19a6619552fdebbf,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,18,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,4397
10043,0xdcccaef5cdc2e59ccd978f7b0d5b313e58d1f2bb65a4522d19a6619552fdebbf,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,19,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,1553
10048,0xdcccaef5cdc2e59ccd978f7b0d5b313e58d1f2bb65a4522d19a6619552fdebbf,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,20,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,4554
10049,0xdcccaef5cdc2e59ccd978f7b0d5b313e58d1f2bb65a4522d19a6619552fdebbf,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,21,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,4109
