,txid,to_account,TOKEN_ID,current_owner,rank,time
9763,0xc7438ebbad991ca74bce64e7cb6ab7d2e684c17c71fd58eb90aad29e0ae7b827,0xb41f146670ce3dedac51d79956cd5e292be26ec4,1,0xb41f146670ce3dedac51d79956cd5e292be26ec4,1274,2021-08-26T23:26:11
9764,0xc7438ebbad991ca74bce64e7cb6ab7d2e684c17c71fd58eb90aad29e0ae7b827,0xb41f146670ce3dedac51d79956cd5e292be26ec4,2,0xb41f146670ce3dedac51d79956cd5e292be26ec4,1457,2021-08-26T23:26:11
9765,0xc7438ebbad991ca74bce64e7cb6ab7d2e684c17c71fd58eb90aad29e0ae7b827,0xb41f146670ce3dedac51d79956cd5e292be26ec4,3,0xb41f146670ce3dedac51d79956cd5e292be26ec4,9303,2021-08-26T23:26:11
9766,0xc7438ebbad991ca74bce64e7cb6ab7d2e684c17c71fd58eb90aad29e0ae7b827,0xb41f146670ce3dedac51d79956cd5e292be26ec4,4,0xb41f146670ce3dedac51d79956cd5e292be26ec4,3163,2021-08-26T23:26:11
9767,0xc7438ebbad991ca74bce64e7cb6ab7d2e684c17c71fd58eb90aad29e0ae7b827,0xb41f146670ce3dedac51d79956cd5e292be26ec4,5,0xb41f146670ce3dedac51d79956cd5e292be26ec4,3704,2021-08-26T23:26:11
9768,0xc7438ebbad991ca74bce64e7cb6ab7d2e684c17c71fd58eb90aad29e0ae7b827,0xb41f146670ce3dedac51d79956cd5e292be26ec4,6,0x2a7cf5fe333afaf6f66bd82e75c7df40b3112a3a,15,2021-08-26T23:26:11
9769,0xc7438ebbad991ca74bce64e7cb6ab7d2e684c17c71fd58eb90aad29e0ae7b827,0xb41f146670ce3dedac51d79956cd5e292be26ec4,7,0xb41f146670ce3dedac51d79956cd5e292be26ec4,7294,2021-08-26T23:26:11
9770,0xc7438ebbad991ca74bce64e7cb6ab7d2e684c17c71fd58eb90aad29e0ae7b827,0xb41f146670ce3dedac51d79956cd5e292be26ec4,8,0x2a7cf5fe333afaf6f66bd82e75c7df40b3112a3a,183,2021-08-26T23:26:11
9771,0xc7438ebbad991ca74bce64e7cb6ab7d2e684c17c71fd58eb90aad29e0ae7b827,0xb41f146670ce3dedac51d79956cd5e292be26ec4,9,0xb41f146670ce3dedac51d79956cd5e292be26ec4,3349,2021-08-26T23:26:11
9772,0xc7438ebbad991ca74bce64e7cb6ab7d2e684c17c71fd58eb90aad29e0ae7b827,0xb41f146670ce3dedac51d79956cd5e292be26ec4,10,0xb41f146670ce3dedac51d79956cd5e292be26ec4,865,2021-08-26T23:26:11
