,txid,to_account,TOKEN_ID,current_owner,rank,time
8741,0xc5fda37fa1819a10fd65f9578d82dd80082df9eaf3f1c70d8f87ea0e400269b4,0x307ba97323907ef811f3cc6b4c6ac8580aecb1bb,0,0x2d4c38d80914084d90c55ae6622eb7859ea9ab64,20,2021-08-08T00:38:10
8748,0xc5fda37fa1819a10fd65f9578d82dd80082df9eaf3f1c70d8f87ea0e400269b4,0x307ba97323907ef811f3cc6b4c6ac8580aecb1bb,1,0x208b82b04449cd51803fae4b1561450ba13d9510,6739,2021-08-08T00:38:10
8754,0xc5fda37fa1819a10fd65f9578d82dd80082df9eaf3f1c70d8f87ea0e400269b4,0x307ba97323907ef811f3cc6b4c6ac8580aecb1bb,2,0xa62d7ad2fddbad38a0aba25e40cdfe2edfa4d183,55,2021-08-08T00:38:10
8693,0x3043d0c375425cda6f0a69a9734272b6222ca00287ee5def8c7588b3d6e6b539,0xee5818e898015cb7748cdd13005c8c5ad70cf483,3,0xdf150a3aa0272a84077badf8542744460f065d1d,2604,2021-08-08T00:38:10
8699,0x3043d0c375425cda6f0a69a9734272b6222ca00287ee5def8c7588b3d6e6b539,0xee5818e898015cb7748cdd13005c8c5ad70cf483,4,0xccc2d9cf88b2ed7b11e5ba26bcbbf502e4a41874,33,2021-08-08T00:38:10
8708,0x3043d0c375425cda6f0a69a9734272b6222ca00287ee5def8c7588b3d6e6b539,0xee5818e898015cb7748cdd13005c8c5ad70cf483,5,0x4bcf39071cad8314628fad5da76eab9d66e0d49a,121,2021-08-08T00:38:10
8711,0x3043d0c375425cda6f0a69a9734272b6222ca00287ee5def8c7588b3d6e6b539,0xee5818e898015cb7748cdd13005c8c5ad70cf483,6,0xccc2d9cf88b2ed7b11e5ba26bcbbf502e4a41874,5989,2021-08-08T00:38:10
8719,0x3043d0c375425cda6f0a69a9734272b6222ca00287ee5def8c7588b3d6e6b539,0xee5818e898015cb7748cdd13005c8c5ad70cf483,7,0x208b82b04449cd51803fae4b1561450ba13d9510,18,2021-08-08T00:38:10
8724,0x3043d0c375425cda6f0a69a9734272b6222ca00287ee5def8c7588b3d6e6b539,0xee5818e898015cb7748cdd13005c8c5ad70cf483,8,0x4bcf39071cad8314628fad5da76eab9d66e0d49a,1761,2021-08-08T00:38:10
8733,0x1f6b27d3348da2c682753de2e9a7c5e81d8fffa988db61745b75a4d00ffe0b62,0x2e7c8e9159af216117c8b1ab0c92340b16f41908,9,0x5a89caaaa8e1208cd8ff9b5f8c791accb5f7371b,9,2021-08-08T00:38:10
8739,0x1f6b27d3348da2c682753de2e9a7c5e81d8fffa988db61745b75a4d00ffe0b62,0x2e7c8e9159af216117c8b1ab0c92340b16f41908,10,0x95b151458de695289875e01b5c97897d9716b22c,2073,2021-08-08T00:38:10
8745,0x1f6b27d3348da2c682753de2e9a7c5e81d8fffa988db61745b75a4d00ffe0b62,0x2e7c8e9159af216117c8b1ab0c92340b16f41908,11,0xdf150a3aa0272a84077badf8542744460f065d1d,21,2021-08-08T00:38:10
8752,0x1f6b27d3348da2c682753de2e9a7c5e81d8fffa988db61745b75a4d00ffe0b62,0x2e7c8e9159af216117c8b1ab0c92340b16f41908,12,0xc9705c60f6bbbef941b8a6a67606908e188d45f9,6578,2021-08-08T00:38:10
8755,0x1f6b27d3348da2c682753de2e9a7c5e81d8fffa988db61745b75a4d00ffe0b62,0x2e7c8e9159af216117c8b1ab0c92340b16f41908,13,0x5d0bf904675742091fbadb41bcdf53611568a3a3,7253,2021-08-08T00:38:10
8756,0x1f6b27d3348da2c682753de2e9a7c5e81d8fffa988db61745b75a4d00ffe0b62,0x2e7c8e9159af216117c8b1ab0c92340b16f41908,14,0x95b151458de695289875e01b5c97897d9716b22c,31,2021-08-08T00:38:10
8694,0x82a9a578fa603232c2e3256793dd9987cec4152e0242741b733fd93b1a44a50d,0x326710029af8b61f56fc56a809c1521bae59b643,15,0xefa755b82218dc287ed37bf6463c144ae6609076,14,2021-08-08T00:38:10
8701,0xc040a07a6177c70e335d3a1e5b294f53d25eb0eed0442e41a0a4affa03276eef,0x6186290b28d511bff971631c916244a9fc539cfe,16,0x6186290b28d511bff971631c916244a9fc539cfe,32,2021-08-08T00:38:10
8709,0xc040a07a6177c70e335d3a1e5b294f53d25eb0eed0442e41a0a4affa03276eef,0x6186290b28d511bff971631c916244a9fc539cfe,17,0x6186290b28d511bff971631c916244a9fc539cfe,11,2021-08-08T00:38:10
8712,0xc040a07a6177c70e335d3a1e5b294f53d25eb0eed0442e41a0a4affa03276eef,0x6186290b28d511bff971631c916244a9fc539cfe,18,0x6186290b28d511bff971631c916244a9fc539cfe,3595,2021-08-08T00:38:10
8716,0xc040a07a6177c70e335d3a1e5b294f53d25eb0eed0442e41a0a4affa03276eef,0x6186290b28d511bff971631c916244a9fc539cfe,19,0x6186290b28d511bff971631c916244a9fc539cfe,22,2021-08-08T00:38:10
8723,0xc040a07a6177c70e335d3a1e5b294f53d25eb0eed0442e41a0a4affa03276eef,0x6186290b28d511bff971631c916244a9fc539cfe,20,0x6186290b28d511bff971631c916244a9fc539cfe,3587,2021-08-08T00:38:10
8727,0xc040a07a6177c70e335d3a1e5b294f53d25eb0eed0442e41a0a4affa03276eef,0x6186290b28d511bff971631c916244a9fc539cfe,21,0x6186290b28d511bff971631c916244a9fc539cfe,8544,2021-08-08T00:38:10
8585,0xe133719e4a38cb8fa7c11ad57014b5c486d90ed43e1e4de866ea5326e3948457,0x53efbf19447cc138149794b075196d476416c826,22,0x53efbf19447cc138149794b075196d476416c826,7822,2021-08-08T00:38:35
8596,0xe133719e4a38cb8fa7c11ad57014b5c486d90ed43e1e4de866ea5326e3948457,0x53efbf19447cc138149794b075196d476416c826,23,0x53efbf19447cc138149794b075196d476416c826,471,2021-08-08T00:38:35
8605,0xe133719e4a38cb8fa7c11ad57014b5c486d90ed43e1e4de866ea5326e3948457,0x53efbf19447cc138149794b075196d476416c826,24,0x53efbf19447cc138149794b075196d476416c826,3837,2021-08-08T00:38:35
8622,0xe133719e4a38cb8fa7c11ad57014b5c486d90ed43e1e4de866ea5326e3948457,0x53efbf19447cc138149794b075196d476416c826,25,0x53efbf19447cc138149794b075196d476416c826,9691,2021-08-08T00:38:35
8628,0xe133719e4a38cb8fa7c11ad57014b5c486d90ed43e1e4de866ea5326e3948457,0x53efbf19447cc138149794b075196d476416c826,26,0x53efbf19447cc138149794b075196d476416c826,3133,2021-08-08T00:38:35
8634,0xe133719e4a38cb8fa7c11ad57014b5c486d90ed43e1e4de866ea5326e3948457,0x53efbf19447cc138149794b075196d476416c826,27,0x53efbf19447cc138149794b075196d476416c826,4740,2021-08-08T00:38:35
8569,0xbc272aeeb846bd7291bbd9288a3f6583378a42f8190d50ff7a1e2520d0b58cb2,0xd7e630afcf128feb8b9071a8412914478c00c22a,28,0xf3d9281fa183b74f32b96e1c5244596045f4ede8,3434,2021-08-08T00:38:35
8571,0xbc272aeeb846bd7291bbd9288a3f6583378a42f8190d50ff7a1e2520d0b58cb2,0xd7e630afcf128feb8b9071a8412914478c00c22a,29,0x6dd8e51d42498a6b9030c272db1a8d725407a861,8893,2021-08-08T00:38:35
8528,0xbc272aeeb846bd7291bbd9288a3f6583378a42f8190d50ff7a1e2520d0b58cb2,0xd7e630afcf128feb8b9071a8412914478c00c22a,30,0x8c4d8ef9a554cceeceb7d18e274bb5ee2891bcfa,7798,2021-08-08T00:38:35
8530,0xbc272aeeb846bd7291bbd9288a3f6583378a42f8190d50ff7a1e2520d0b58cb2,0xd7e630afcf128feb8b9071a8412914478c00c22a,31,0xddfba3aad19d3f466472b5ea8a5b0f77e59b4fc6,2405,2021-08-08T00:38:35
8581,0xbc272aeeb846bd7291bbd9288a3f6583378a42f8190d50ff7a1e2520d0b58cb2,0xd7e630afcf128feb8b9071a8412914478c00c22a,32,0xfdf30782eae3527765110c889464a0a467eef889,3510,2021-08-08T00:38:35
8586,0xbc272aeeb846bd7291bbd9288a3f6583378a42f8190d50ff7a1e2520d0b58cb2,0xd7e630afcf128feb8b9071a8412914478c00c22a,33,0xd7e630afcf128feb8b9071a8412914478c00c22a,451,2021-08-08T00:38:35
8588,0xb35bdb8ba261f0f84cb2ab20cc7f4f72a18df1447d9e15fe37c8dcb027485924,0xfb29ace7a0d650969ca940ecfb0d904d13ddc23f,34,0x0918d7d681711dccadaa624a6d367452e5c92444,6447,2021-08-08T00:38:35
8602,0xb35bdb8ba261f0f84cb2ab20cc7f4f72a18df1447d9e15fe37c8dcb027485924,0xfb29ace7a0d650969ca940ecfb0d904d13ddc23f,35,0x64413a81dc5cd26425db1a509924684a2a60b61b,1354,2021-08-08T00:38:35
8617,0xb35bdb8ba261f0f84cb2ab20cc7f4f72a18df1447d9e15fe37c8dcb027485924,0xfb29ace7a0d650969ca940ecfb0d904d13ddc23f,36,0x42d2b0492d9773c4857ae1dd42b5550394d2a901,2655,2021-08-08T00:38:35
8577,0xfb107ca9d181f1bcc9eba25cc7e0fb817d91e82b1d9cd71f712ecaca687a588e,0x1a35832c6db87868092bacd02b6e39305bc0edc9,37,0x6f5f89531837811e17720a31165d6f838f76df9b,9121,2021-08-08T00:38:35
8587,0xfb107ca9d181f1bcc9eba25cc7e0fb817d91e82b1d9cd71f712ecaca687a588e,0x1a35832c6db87868092bacd02b6e39305bc0edc9,38,0x1d5c30676ca03adae00257568b830c8d424a1e53,8594,2021-08-08T00:38:35
8600,0xfb107ca9d181f1bcc9eba25cc7e0fb817d91e82b1d9cd71f712ecaca687a588e,0x1a35832c6db87868092bacd02b6e39305bc0edc9,39,0xccc2d9cf88b2ed7b11e5ba26bcbbf502e4a41874,8688,2021-08-08T00:38:35
8570,0x1f5c039800e12b38faa8ff29af7a69e49436ad9f515fc9387d38d0c6756dc652,0x00ca5c968278bdd7d68bb42444d53df95837733f,40,0xeb70c4996fe587aa8a94a6498a6593141562dae1,2346,2021-08-08T00:38:35
8572,0x1f5c039800e12b38faa8ff29af7a69e49436ad9f515fc9387d38d0c6756dc652,0x00ca5c968278bdd7d68bb42444d53df95837733f,41,0x7193b82899461a6ac45b528d48d74355f54e7f56,5195,2021-08-08T00:38:35
8575,0x1f5c039800e12b38faa8ff29af7a69e49436ad9f515fc9387d38d0c6756dc652,0x00ca5c968278bdd7d68bb42444d53df95837733f,42,0x7686ca80aec40cdf122e334a053c45f94135f2bc,147,2021-08-08T00:38:35
8579,0x1f5c039800e12b38faa8ff29af7a69e49436ad9f515fc9387d38d0c6756dc652,0x00ca5c968278bdd7d68bb42444d53df95837733f,43,0xd7627772848a266d55a2607c5e48c2e5a79951de,5189,2021-08-08T00:38:35
8582,0x1f5c039800e12b38faa8ff29af7a69e49436ad9f515fc9387d38d0c6756dc652,0x00ca5c968278bdd7d68bb42444d53df95837733f,44,0x00ca5c968278bdd7d68bb42444d53df95837733f,2749,2021-08-08T00:38:35
8590,0x1f5c039800e12b38faa8ff29af7a69e49436ad9f515fc9387d38d0c6756dc652,0x00ca5c968278bdd7d68bb42444d53df95837733f,45,0xc585d35fb8c9d136d6443a30fd88ccbb5f4cb86d,3044,2021-08-08T00:38:35
8642,0xc6551a7b3b95bcfed94dced6a09f90d8873a63cbdac52d53adbb98ba20fbda0f,0x09a0da7289a60809992d819530833f4053124090,46,0x09a0da7289a60809992d819530833f4053124090,3335,2021-08-08T00:38:35
8648,0xc6551a7b3b95bcfed94dced6a09f90d8873a63cbdac52d53adbb98ba20fbda0f,0x09a0da7289a60809992d819530833f4053124090,47,0x545fe5914418fdff836ca163241a9e141d84f5c3,8954,2021-08-08T00:38:35
8661,0xc6551a7b3b95bcfed94dced6a09f90d8873a63cbdac52d53adbb98ba20fbda0f,0x09a0da7289a60809992d819530833f4053124090,48,0xc049af472eec8ce544765974c7ae88cf2b133393,8418,2021-08-08T00:38:35
8573,0x436c42fe084345dceadd6ae394eb5d815c9014eebd44ae6ba00829b5be76ead1,0xb7c5df33191c70888859948250ed099ec6dfa666,49,0x944fdea9d4956ce673c7545862cefccad6ee1b04,8962,2021-08-08T00:38:35
8576,0x436c42fe084345dceadd6ae394eb5d815c9014eebd44ae6ba00829b5be76ead1,0xb7c5df33191c70888859948250ed099ec6dfa666,50,0x63d4a56624a4b24dde2f7be35586ce637850010a,2159,2021-08-08T00:38:35
8558,0x436c42fe084345dceadd6ae394eb5d815c9014eebd44ae6ba00829b5be76ead1,0xb7c5df33191c70888859948250ed099ec6dfa666,51,0x907ba02b447f31ae1fe6f1c5e6a3954b5f085f45,8324,2021-08-08T00:38:35
8591,0x436c42fe084345dceadd6ae394eb5d815c9014eebd44ae6ba00829b5be76ead1,0xb7c5df33191c70888859948250ed099ec6dfa666,52,0xb8af1485efc9be8bb7567ee6b923f565e467f577,1849,2021-08-08T00:38:35
8597,0x436c42fe084345dceadd6ae394eb5d815c9014eebd44ae6ba00829b5be76ead1,0xb7c5df33191c70888859948250ed099ec6dfa666,53,0x798a0f86e2e267130b814361c0853640af4e629a,7181,2021-08-08T00:38:35
8568,0x436c42fe084345dceadd6ae394eb5d815c9014eebd44ae6ba00829b5be76ead1,0xb7c5df33191c70888859948250ed099ec6dfa666,54,0x208b82b04449cd51803fae4b1561450ba13d9510,693,2021-08-08T00:38:35
8574,0x577a6a6e4b4ebcef4adcb3ae9132e23789a1ea87373f82d0e2385066732436a2,0xb543ab76b16d71607f32786d982b330e8b0c9362,55,0x7c2223031c9c1733bbe2cefc9d47f3b2dcad3bff,5396,2021-08-08T00:38:35
8578,0x577a6a6e4b4ebcef4adcb3ae9132e23789a1ea87373f82d0e2385066732436a2,0xb543ab76b16d71607f32786d982b330e8b0c9362,56,0x7c2223031c9c1733bbe2cefc9d47f3b2dcad3bff,9972,2021-08-08T00:38:35
8583,0x577a6a6e4b4ebcef4adcb3ae9132e23789a1ea87373f82d0e2385066732436a2,0xb543ab76b16d71607f32786d982b330e8b0c9362,57,0x7c2223031c9c1733bbe2cefc9d47f3b2dcad3bff,4514,2021-08-08T00:38:35
8592,0x577a6a6e4b4ebcef4adcb3ae9132e23789a1ea87373f82d0e2385066732436a2,0xb543ab76b16d71607f32786d982b330e8b0c9362,58,0xe175336c11b3e6ba4177084342644ed920f48189,3981,2021-08-08T00:38:35
8563,0x577a6a6e4b4ebcef4adcb3ae9132e23789a1ea87373f82d0e2385066732436a2,0xb543ab76b16d71607f32786d982b330e8b0c9362,59,0x7c2223031c9c1733bbe2cefc9d47f3b2dcad3bff,7384,2021-08-08T00:38:35
