,txid,to_account,TOKEN_ID,current_owner,rank,time
8885,0x0c996fb460ccb7210c093c86f6e3d52230f71a88e3daf01ab26fe1c3c49a2fa1,0x69c38c760634c23f3a3d9be441eccbd2e50e5f73,0,0x69c38c760634c23f3a3d9be441eccbd2e50e5f73,9012,2021-09-01T19:37:16
8883,0x0c996fb460ccb7210c093c86f6e3d52230f71a88e3daf01ab26fe1c3c49a2fa1,0x69c38c760634c23f3a3d9be441eccbd2e50e5f73,1,0x69c38c760634c23f3a3d9be441eccbd2e50e5f73,3679,2021-09-01T19:37:16
8884,0x0c996fb460ccb7210c093c86f6e3d52230f71a88e3daf01ab26fe1c3c49a2fa1,0x69c38c760634c23f3a3d9be441eccbd2e50e5f73,2,0x69c38c760634c23f3a3d9be441eccbd2e50e5f73,616,2021-09-01T19:37:16
8886,0x0c996fb460ccb7210c093c86f6e3d52230f71a88e3daf01ab26fe1c3c49a2fa1,0x69c38c760634c23f3a3d9be441eccbd2e50e5f73,3,0x69c38c760634c23f3a3d9be441eccbd2e50e5f73,5406,2021-09-01T19:37:16
8887,0x0c996fb460ccb7210c093c86f6e3d52230f71a88e3daf01ab26fe1c3c49a2fa1,0x69c38c760634c23f3a3d9be441eccbd2e50e5f73,4,0x94d0ad4412a7af04c05ce5563b5cd68db448454c,8588,2021-09-01T19:37:16
8873,0x68b1490d636bdeb23dd83b9a56cc7fc05ddaca880e483d58ff4bf45147fb408e,0xef3867cb3d3baf773ec288ca93618bbc521df579,5,0xc1368e77ad531322585427e80d22f4d39ee8c1f2,8465,2021-09-01T19:37:33
8877,0x68b1490d636bdeb23dd83b9a56cc7fc05ddaca880e483d58ff4bf45147fb408e,0xef3867cb3d3baf773ec288ca93618bbc521df579,6,0xef3867cb3d3baf773ec288ca93618bbc521df579,717,2021-09-01T19:37:33
8874,0x68b1490d636bdeb23dd83b9a56cc7fc05ddaca880e483d58ff4bf45147fb408e,0xef3867cb3d3baf773ec288ca93618bbc521df579,7,0x1418fd8a1268cfc4b4f83da5c51b41f164163d5d,4590,2021-09-01T19:37:33
8878,0x68b1490d636bdeb23dd83b9a56cc7fc05ddaca880e483d58ff4bf45147fb408e,0xef3867cb3d3baf773ec288ca93618bbc521df579,8,0x780ac20eee36d4972921c7f7fc8c297c89b128b6,6398,2021-09-01T19:37:33
8879,0x68b1490d636bdeb23dd83b9a56cc7fc05ddaca880e483d58ff4bf45147fb408e,0xef3867cb3d3baf773ec288ca93618bbc521df579,9,0x41d583936ac5db773ed486754ff9af9174244444,6438,2021-09-01T19:37:33
