,txid,to_account,TOKEN_ID,current_owner,rank,time
9999,0x058a289685678977520561e1ded5087cb5267f7994ab9985a97bdd1ef258fe00,0x7428f69d853ee1bfcf121abddb206e8c47729b83,0,0xfef05cf80913f1d1e970f9587b0a884106d9e909,4257,2021-08-29T17:01:21
9997,0xca9eb39e338584e63f5d679c799436a0e6992d84b5e9c0807353f54a8fae12d8,0x5987c5546f31bfedba897f9259174fa642e4632d,1,0x5987c5546f31bfedba897f9259174fa642e4632d,9304,2021-08-29T17:01:39
9998,0x2c569793cc74f13da43db2fb153e6679521aa35c239846b9c97f4333320462e9,0x3cb68ce2cd00b236c45e69bc24142ac88e650138,2,0x3cb68ce2cd00b236c45e69bc24142ac88e650138,4303,2021-08-29T17:01:39
9993,0xf8dd2fb8f0a0271d2762cc98c8d0c7aa3884b27028ea2d59b9e80cb7a7878410,0xaf8dc4dd2021ab9d01a8421e6c39a1feb9a86f46,3,0xaf8dc4dd2021ab9d01a8421e6c39a1feb9a86f46,1055,2021-08-29T17:02:16
9994,0xf8dd2fb8f0a0271d2762cc98c8d0c7aa3884b27028ea2d59b9e80cb7a7878410,0xaf8dc4dd2021ab9d01a8421e6c39a1feb9a86f46,4,0xaf8dc4dd2021ab9d01a8421e6c39a1feb9a86f46,4981,2021-08-29T17:02:16
9995,0xa7319e96a05e4c976dd873e546a422b74fba57dbd8d1b46812a263c1ee8f32ff,0x8df5f5556c91f4c6c64722dd1295acec32d3e047,5,0x8df5f5556c91f4c6c64722dd1295acec32d3e047,7138,2021-08-29T17:02:16
9996,0xa7319e96a05e4c976dd873e546a422b74fba57dbd8d1b46812a263c1ee8f32ff,0x8df5f5556c91f4c6c64722dd1295acec32d3e047,6,0x8df5f5556c91f4c6c64722dd1295acec32d3e047,5641,2021-08-29T17:02:16
9992,0x6342255802af2b3ecc77e80adcfea29f9c742078a85811773bb3103b3e288983,0x55457e0b431ec486c6daaa0b156cb747d161c969,7,0x55457e0b431ec486c6daaa0b156cb747d161c969,2889,2021-08-29T17:02:38
9987,0xab0eddc2a922b8ade3417e7b57a9bb0854da8afdeaef970859d0728ad5f4c372,0x211527294058bff1b828729ed1ed3f92e60fb9f7,8,0x211527294058bff1b828729ed1ed3f92e60fb9f7,8736,2021-08-29T17:02:47
9988,0xab0eddc2a922b8ade3417e7b57a9bb0854da8afdeaef970859d0728ad5f4c372,0x211527294058bff1b828729ed1ed3f92e60fb9f7,9,0x211527294058bff1b828729ed1ed3f92e60fb9f7,3268,2021-08-29T17:02:47
