,txid,to_account,TOKEN_ID,current_owner,rank,time
7732,0x6525e078d52aa1500afd37fa9eb8c3ff4e72a340882210fa93c30310e27a1933,0x5c8fc210f2ccec69e0a78a0ce675fcdd39bf6ba8,0,0x0b7808cdc9c852efd93ef20e63806f1c97500783,939,2021-08-26T07:32:02
7729,0x89f1294aac1bec2ad640be0f57f16ba46a9667a9063d977e656855da15d9d21c,0x95b9b364fec724a26b38d940d4c4862516ec0b3c,1,0x95b9b364fec724a26b38d940d4c4862516ec0b3c,4520,2021-08-26T14:02:18
7731,0x89f1294aac1bec2ad640be0f57f16ba46a9667a9063d977e656855da15d9d21c,0x95b9b364fec724a26b38d940d4c4862516ec0b3c,2,0x95b9b364fec724a26b38d940d4c4862516ec0b3c,3003,2021-08-26T14:02:18
7730,0x89f1294aac1bec2ad640be0f57f16ba46a9667a9063d977e656855da15d9d21c,0x95b9b364fec724a26b38d940d4c4862516ec0b3c,3,0x95b9b364fec724a26b38d940d4c4862516ec0b3c,4272,2021-08-26T14:02:18
7726,0x60277f9530b7ae98e29bbc3fd57101e22cbe399ba73638f47c77a11858421fd8,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,4,0x6312327a69aebd7a7bccfc82c3566f4b8cc963c0,1729,2021-08-26T14:02:37
7728,0x60277f9530b7ae98e29bbc3fd57101e22cbe399ba73638f47c77a11858421fd8,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,5,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,6139,2021-08-26T14:02:37
7727,0x60277f9530b7ae98e29bbc3fd57101e22cbe399ba73638f47c77a11858421fd8,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,6,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,3558,2021-08-26T14:02:37
7723,0x7562551ff222a032871766de97b66bc1432c80da9b1a3813e2b658c2bf70abc2,0x751e5a06af932aaf55fa8a1688742963dde52ffb,7,0x751e5a06af932aaf55fa8a1688742963dde52ffb,6212,2021-08-26T14:03:29
7724,0x7562551ff222a032871766de97b66bc1432c80da9b1a3813e2b658c2bf70abc2,0x751e5a06af932aaf55fa8a1688742963dde52ffb,8,0x751e5a06af932aaf55fa8a1688742963dde52ffb,6507,2021-08-26T14:03:29
7725,0x7562551ff222a032871766de97b66bc1432c80da9b1a3813e2b658c2bf70abc2,0x751e5a06af932aaf55fa8a1688742963dde52ffb,9,0x751e5a06af932aaf55fa8a1688742963dde52ffb,7402,2021-08-26T14:03:29
7720,0xbc411124604d18ced7d029b75f7686cd12b2844f423bff9bb0d6bf815c01b0e2,0xf522f5ee6363ecec55e93c07103ff87adf841c86,10,0xf83606582cd186def879730c5490a4d3c7f2058b,332,2021-08-26T14:04:13
7721,0xbc411124604d18ced7d029b75f7686cd12b2844f423bff9bb0d6bf815c01b0e2,0xf522f5ee6363ecec55e93c07103ff87adf841c86,11,0xa4c8d9e4ec5f2831701a81389465498b83f9457d,599,2021-08-26T14:04:13
7722,0xbc411124604d18ced7d029b75f7686cd12b2844f423bff9bb0d6bf815c01b0e2,0xf522f5ee6363ecec55e93c07103ff87adf841c86,12,0x5539d403674eb38924ce7fa1d9804a0b9e7a9854,1390,2021-08-26T14:04:13
7715,0x589213e19b6b135f29fb7062262c0a9e8fcf13f263198e514c0da4f5b231cb4a,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,13,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,3068,2021-08-26T14:04:18
7716,0x589213e19b6b135f29fb7062262c0a9e8fcf13f263198e514c0da4f5b231cb4a,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,14,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,3531,2021-08-26T14:04:18
7718,0x589213e19b6b135f29fb7062262c0a9e8fcf13f263198e514c0da4f5b231cb4a,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,15,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,4055,2021-08-26T14:04:18
7714,0x61d8858a4d511819e077c0d5b989483ffd5627ed2b32a7e84ab6142c8a3da522,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,16,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,1571,2021-08-26T14:04:18
7717,0x61d8858a4d511819e077c0d5b989483ffd5627ed2b32a7e84ab6142c8a3da522,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,17,0x6312327a69aebd7a7bccfc82c3566f4b8cc963c0,2358,2021-08-26T14:04:18
7719,0x61d8858a4d511819e077c0d5b989483ffd5627ed2b32a7e84ab6142c8a3da522,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,18,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,4186,2021-08-26T14:04:18
7712,0xa3e4794a1dab95b5cbd691c7f05b644657db1baf2c3b8dc4a7cb81955e7d6e2c,0x63a64ecf0a751288e54aee7356842e448ea9485c,19,0x63a64ecf0a751288e54aee7356842e448ea9485c,1966,2021-08-26T14:04:20
7711,0xa3e4794a1dab95b5cbd691c7f05b644657db1baf2c3b8dc4a7cb81955e7d6e2c,0x63a64ecf0a751288e54aee7356842e448ea9485c,20,0x63a64ecf0a751288e54aee7356842e448ea9485c,1448,2021-08-26T14:04:20
7713,0xa3e4794a1dab95b5cbd691c7f05b644657db1baf2c3b8dc4a7cb81955e7d6e2c,0x63a64ecf0a751288e54aee7356842e448ea9485c,21,0x63a64ecf0a751288e54aee7356842e448ea9485c,3714,2021-08-26T14:04:20
7705,0xefaef89363b1c4e667d8152beab6ddbce39bc1af8e7fc907bc652c541e52bb95,0xeea8e8dadb85cf9774f4201e1942736063e96f27,22,0x42b10b1978d870a7cde0cddb4626384ff0b71d12,25,2021-08-26T14:04:42
7706,0xefaef89363b1c4e667d8152beab6ddbce39bc1af8e7fc907bc652c541e52bb95,0xeea8e8dadb85cf9774f4201e1942736063e96f27,23,0x60cfc05eb51c40b75a85588522b0f90d26507a7a,4749,2021-08-26T14:04:42
7707,0xefaef89363b1c4e667d8152beab6ddbce39bc1af8e7fc907bc652c541e52bb95,0xeea8e8dadb85cf9774f4201e1942736063e96f27,24,0xaa6b2771afcbeb512d521ac4fc75132b47dff8ef,6562,2021-08-26T14:04:42
7708,0x5f4fd881395781c8aa4d29b0419b1299a66452a82b5fe88be27757a8f7affd6f,0xfd3f1d1f95481f91404f2042855686d42bd8a07e,25,0x746645549c4e713add28adb30032728b131de1ac,6494,2021-08-26T14:04:42
7709,0x5f4fd881395781c8aa4d29b0419b1299a66452a82b5fe88be27757a8f7affd6f,0xfd3f1d1f95481f91404f2042855686d42bd8a07e,26,0xd0bc1f46e3f2dadbbd66b1c557caafa52a1dba81,302,2021-08-26T14:04:42
