,txid,to_account,TOKEN_ID,current_owner,rank,time
9999,0xb8dd8c77d316fd213fe5d0c92c76e91526f871fbb1c63d04b08737917602ad93,0x82888a271fae31794493b9f95d5f0f7175b810e3,0,0x82888a271fae31794493b9f95d5f0f7175b810e3,81,2021-08-06T06:37:31
9998,0xe47a6c44d74b3b0a3279fe1f3610cc8197e46aecf34f3504bc5874dbbbe8d6d9,0xa57878e3ae19d7cdf77a97c1b55e45eb864ea7db,1,0xa57878e3ae19d7cdf77a97c1b55e45eb864ea7db,3487,2021-08-06T07:03:57
9965,0x5ccb8192b6a5c3d3d3146d7e1b795876b530f1d94bd49cdd420d3ba8d9c68582,0x82888a271fae31794493b9f95d5f0f7175b810e3,2,0x85f85184de60090c555d7c75c0a37ec98890b2bb,10,2021-08-06T07:35:59
9966,0x5ccb8192b6a5c3d3d3146d7e1b795876b530f1d94bd49cdd420d3ba8d9c68582,0x82888a271fae31794493b9f95d5f0f7175b810e3,3,0x82888a271fae31794493b9f95d5f0f7175b810e3,854,2021-08-06T07:35:59
9958,0x5ccb8192b6a5c3d3d3146d7e1b795876b530f1d94bd49cdd420d3ba8d9c68582,0x82888a271fae31794493b9f95d5f0f7175b810e3,4,0x82888a271fae31794493b9f95d5f0f7175b810e3,462,2021-08-06T07:35:59
9967,0x5ccb8192b6a5c3d3d3146d7e1b795876b530f1d94bd49cdd420d3ba8d9c68582,0x82888a271fae31794493b9f95d5f0f7175b810e3,5,0x82888a271fae31794493b9f95d5f0f7175b810e3,4490,2021-08-06T07:35:59
9968,0x5ccb8192b6a5c3d3d3146d7e1b795876b530f1d94bd49cdd420d3ba8d9c68582,0x82888a271fae31794493b9f95d5f0f7175b810e3,6,0x82888a271fae31794493b9f95d5f0f7175b810e3,2693,2021-08-06T07:35:59
9969,0x5ccb8192b6a5c3d3d3146d7e1b795876b530f1d94bd49cdd420d3ba8d9c68582,0x82888a271fae31794493b9f95d5f0f7175b810e3,7,0x85f85184de60090c555d7c75c0a37ec98890b2bb,22,2021-08-06T07:35:59
9959,0x5ccb8192b6a5c3d3d3146d7e1b795876b530f1d94bd49cdd420d3ba8d9c68582,0x82888a271fae31794493b9f95d5f0f7175b810e3,8,0x82888a271fae31794493b9f95d5f0f7175b810e3,2426,2021-08-06T07:35:59
9970,0x5ccb8192b6a5c3d3d3146d7e1b795876b530f1d94bd49cdd420d3ba8d9c68582,0x82888a271fae31794493b9f95d5f0f7175b810e3,9,0x82888a271fae31794493b9f95d5f0f7175b810e3,584,2021-08-06T07:35:59
9971,0x5ccb8192b6a5c3d3d3146d7e1b795876b530f1d94bd49cdd420d3ba8d9c68582,0x82888a271fae31794493b9f95d5f0f7175b810e3,10,0xa7e75304d08f205dcedb7db2a8682992d4c62dcb,813,2021-08-06T07:35:59
