,txid,to_account,TOKEN_ID,current_owner,rank,time
9985,0xa68c42a90a8fc452d6525750ac21bae43db67939e26c2f8874cc36d24935dfa9,0x2cc96f1a3e55882de61b965b668ae3a5326f4ce0,1,0xc26e2fe325054c5016a27e016e508613cc35e19f,5371,2021-09-05T15:10:10
9987,0xa68c42a90a8fc452d6525750ac21bae43db67939e26c2f8874cc36d24935dfa9,0x2cc96f1a3e55882de61b965b668ae3a5326f4ce0,2,0x2cc96f1a3e55882de61b965b668ae3a5326f4ce0,1469,2021-09-05T15:10:10
9983,0xa68c42a90a8fc452d6525750ac21bae43db67939e26c2f8874cc36d24935dfa9,0x2cc96f1a3e55882de61b965b668ae3a5326f4ce0,3,0xd2d6505a6c51ada5ffc76d0395acfeed1dd4674f,9478,2021-09-05T15:10:10
9990,0xa68c42a90a8fc452d6525750ac21bae43db67939e26c2f8874cc36d24935dfa9,0x2cc96f1a3e55882de61b965b668ae3a5326f4ce0,4,0x1c016c5005332ac958936b7d2067f41120d336c2,9691,2021-09-05T15:10:10
9993,0xa68c42a90a8fc452d6525750ac21bae43db67939e26c2f8874cc36d24935dfa9,0x2cc96f1a3e55882de61b965b668ae3a5326f4ce0,5,0x2cc96f1a3e55882de61b965b668ae3a5326f4ce0,449,2021-09-05T15:10:10
9998,0xd3937658cb6db811876f4a2beec81f5a3589e748a5fa680450a5c7361a599ce1,0xe6214bd5acb11eaab72550d45acdb262803acffd,6,0xe6214bd5acb11eaab72550d45acdb262803acffd,3457,2021-09-05T15:10:10
9986,0x08e6f29621cfb42e784e12d6b3b944037bece6f2a19ca565627ee52e1ff2eea7,0x0a5ffda07a44334777c563f9b81ae7bfbfd44ad1,7,0x0a5ffda07a44334777c563f9b81ae7bfbfd44ad1,5506,2021-09-05T15:10:10
9988,0x7c6ce51536c00190a0073d409f475625d80ca3521bfc4c739557cdb0bf653ba0,0x13dd4c65252274a442428039ae815f3a13e84ff3,8,0x13dd4c65252274a442428039ae815f3a13e84ff3,3025,2021-09-05T15:10:10
9991,0x7c6ce51536c00190a0073d409f475625d80ca3521bfc4c739557cdb0bf653ba0,0x13dd4c65252274a442428039ae815f3a13e84ff3,9,0x13dd4c65252274a442428039ae815f3a13e84ff3,6865,2021-09-05T15:10:10
9992,0x7c6ce51536c00190a0073d409f475625d80ca3521bfc4c739557cdb0bf653ba0,0x13dd4c65252274a442428039ae815f3a13e84ff3,10,0x13dd4c65252274a442428039ae815f3a13e84ff3,3907,2021-09-05T15:10:10
9989,0xb27a4ad201267afa9a51fc23d8f72c9bd98dd73fa2d6ef2d17ac4e70c9f111ea,0x47760c4f4526ed9bedcec4891019974df31ac876,11,0x47760c4f4526ed9bedcec4891019974df31ac876,84,2021-09-05T15:10:10
