txid,to_account,TOKEN_ID,current_owner,rank,time,airdrop_or_mint
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,0,0x970951b757f5a641e0035ec04b4bcb3752ba4a88,2250,2021-08-24T21:21:18,Mint
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,1,0xd9d1c2623fbb4377d9bf29075e610a9b8b4805b4,4375,2021-08-24T21:21:18,Mint
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,2,0x25d47e895423b73044ce17413cb4dc0a1bcbe32d,4723,2021-08-24T21:21:18,Mint
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,3,0x5b6e57baeb62c530cf369853e15ed25d0c82a865,4129,2021-08-24T21:21:18,Mint
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,4,0x089ad55045fe72f1f77eaac7e166de9e277600a5,4161,2021-08-24T21:21:18,Mint
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,5,0xd9d1c2623fbb4377d9bf29075e610a9b8b4805b4,4562,2021-08-24T21:21:18,Mint
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,6,0x9c391a0ceeb28bd4416d5c3ff41a12cf0287d75e,4325,2021-08-24T21:21:18,Mint
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,7,0xd9d1c2623fbb4377d9bf29075e610a9b8b4805b4,4137,2021-08-24T21:21:18,Mint
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,8,0xdf9cfdfb1ecb30a88e14743d90c70126fb4c00b3,4280,2021-08-24T21:21:18,Mint
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,9,0x36b2b845a0c2fd77f4a42dfb84fe868fa245481f,4438,2021-08-24T21:21:18,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,10,0x976973b4312fba60e679b0f6de3512c02786992e,5368,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,11,0xd9d1c2623fbb4377d9bf29075e610a9b8b4805b4,4207,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,12,0xd9d1c2623fbb4377d9bf29075e610a9b8b4805b4,5967,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,13,0xd9d1c2623fbb4377d9bf29075e610a9b8b4805b4,1704,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,14,0xcacb27229b240152decefc85df55392b74c1f33c,5003,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,15,0xd9d1c2623fbb4377d9bf29075e610a9b8b4805b4,4528,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,16,0xb3ab5e4c42bec377a608a4a0b09f1fcf87100f0f,5613,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,17,0xfd2b80196ba90995515d0f752d26405546021b5c,4297,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,18,0xd9d1c2623fbb4377d9bf29075e610a9b8b4805b4,4818,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,19,0x91f54bc6b437895a02220699f19f4cb75e93a7d7,5609,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,20,0x77e59f02f35e62af041b8e4559d52bfb754f972b,4192,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,21,0x77e59f02f35e62af041b8e4559d52bfb754f972b,4536,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,22,0x77e59f02f35e62af041b8e4559d52bfb754f972b,4185,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,23,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,997,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,24,0x77e59f02f35e62af041b8e4559d52bfb754f972b,4167,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,25,0x77e59f02f35e62af041b8e4559d52bfb754f972b,4649,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,26,0x77e59f02f35e62af041b8e4559d52bfb754f972b,5610,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,27,0xde6694fa8159471e446ad270a7882f8caa611af8,4646,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,28,0x49f440636dea9d5992b3669754e27afc43c7ed23,4729,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,29,0x77e59f02f35e62af041b8e4559d52bfb754f972b,4574,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,30,0x77e59f02f35e62af041b8e4559d52bfb754f972b,5111,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,31,0x34502098951dfc0088aa53ea0e7481d186f79bce,5382,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,32,0xc5f17991e25c5a9a1c5aa18882cd0e18fd5472f9,3937,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,33,0x6f9cfacca63145c906fae462433aa1d1f147eec9,2394,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,34,0x6f9cfacca63145c906fae462433aa1d1f147eec9,5529,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,35,0x7d1a8bbfa620f9647c359d89e176ea5139149022,4758,2021-08-25T11:43:54,Mint
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,36,0x0f3a7b4223121f3c10748fb292fa44ff05750fff,5050,2021-08-25T11:43:54,Mint
