,txid,to_account,TOKEN_ID,current_owner,rank,time
5089,0xe7c6c734d68163875c0cbd10ab90f2935412ac0ff579a1ab1f1e5ae0c5204f6e,0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c,1,0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c,1817,2021-08-09T17:28:42
6296,0xe7c6c734d68163875c0cbd10ab90f2935412ac0ff579a1ab1f1e5ae0c5204f6e,0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c,2,0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c,3194,2021-08-09T17:28:42
6202,0xe7c6c734d68163875c0cbd10ab90f2935412ac0ff579a1ab1f1e5ae0c5204f6e,0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c,3,0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c,2348,2021-08-09T17:28:42
6321,0xe7c6c734d68163875c0cbd10ab90f2935412ac0ff579a1ab1f1e5ae0c5204f6e,0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c,5,0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c,812,2021-08-09T17:28:42
6253,0xe7c6c734d68163875c0cbd10ab90f2935412ac0ff579a1ab1f1e5ae0c5204f6e,0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c,6,0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c,5315,2021-08-09T17:28:42
5121,0xe7c6c734d68163875c0cbd10ab90f2935412ac0ff579a1ab1f1e5ae0c5204f6e,0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c,7,0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c,2694,2021-08-09T17:28:42
5107,0xe7c6c734d68163875c0cbd10ab90f2935412ac0ff579a1ab1f1e5ae0c5204f6e,0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c,10,0x011ea68c15f4a8316da45c1e7844311cdd0ba149,3643,2021-08-09T17:28:42
5122,0xe7dde63149527b6e5abf78aec8a338fc6fff64042e90dc097b82a7e3d44daa36,0xec2347d9c64922da279c5ee02ae71b949af6b924,11,0xec2347d9c64922da279c5ee02ae71b949af6b924,5513,2021-08-09T17:28:42
6205,0xe7dde63149527b6e5abf78aec8a338fc6fff64042e90dc097b82a7e3d44daa36,0xec2347d9c64922da279c5ee02ae71b949af6b924,12,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,836,2021-08-09T17:28:42
6348,0xe7dde63149527b6e5abf78aec8a338fc6fff64042e90dc097b82a7e3d44daa36,0xec2347d9c64922da279c5ee02ae71b949af6b924,14,0xec2347d9c64922da279c5ee02ae71b949af6b924,3047,2021-08-09T17:28:42
