,txid,to_account,TOKEN_ID,current_owner,rank,time
6288,0xc3f09d050d7291bfa569c3b3f0a5146b0a83bbee4fd9a8a38bc5520b85a1a3e6,0x1c9debb357b031e3220bedf6a4f3710c773c145d,0,0xae805b9eaa5a04f307b439484ed881e75d36ac73,6094,2021-09-03T16:43:27
6289,0xc3f09d050d7291bfa569c3b3f0a5146b0a83bbee4fd9a8a38bc5520b85a1a3e6,0x1c9debb357b031e3220bedf6a4f3710c773c145d,1,0xfeb6155c82eefb666cf06f93cae14232b2972887,4832,2021-09-03T16:43:27
6290,0xc3f09d050d7291bfa569c3b3f0a5146b0a83bbee4fd9a8a38bc5520b85a1a3e6,0x1c9debb357b031e3220bedf6a4f3710c773c145d,2,0x4ac9a97b3edb3f11b5ca91d8de9468cf4882a7af,4110,2021-09-03T16:43:27
6291,0xc3f09d050d7291bfa569c3b3f0a5146b0a83bbee4fd9a8a38bc5520b85a1a3e6,0x1c9debb357b031e3220bedf6a4f3710c773c145d,3,0xbd9a54c0cc23e75029116558d5bfc8e234743b0b,5363,2021-09-03T16:43:27
6292,0xc3f09d050d7291bfa569c3b3f0a5146b0a83bbee4fd9a8a38bc5520b85a1a3e6,0x1c9debb357b031e3220bedf6a4f3710c773c145d,4,0xc77747fd00be4bcafb0692ca2eae8545986f16ca,1555,2021-09-03T16:43:27
6293,0xc3f09d050d7291bfa569c3b3f0a5146b0a83bbee4fd9a8a38bc5520b85a1a3e6,0x1c9debb357b031e3220bedf6a4f3710c773c145d,5,0xf7db9808568de9b16503f3f8e2139bccfc8771c6,6874,2021-09-03T16:43:27
6294,0xc3f09d050d7291bfa569c3b3f0a5146b0a83bbee4fd9a8a38bc5520b85a1a3e6,0x1c9debb357b031e3220bedf6a4f3710c773c145d,6,0x479019890e5867c0666f0853124453afa0c297a5,750,2021-09-03T16:43:27
6295,0xc3f09d050d7291bfa569c3b3f0a5146b0a83bbee4fd9a8a38bc5520b85a1a3e6,0x1c9debb357b031e3220bedf6a4f3710c773c145d,7,0xde26498e159db6ef33071c288d6d0fe9c111c9fb,4621,2021-09-03T16:43:27
6296,0xc3f09d050d7291bfa569c3b3f0a5146b0a83bbee4fd9a8a38bc5520b85a1a3e6,0x1c9debb357b031e3220bedf6a4f3710c773c145d,8,0x0b0e76b0f5faf4932dbf0388701c54de8cd7f4af,4277,2021-09-03T16:43:27
6297,0xc3f09d050d7291bfa569c3b3f0a5146b0a83bbee4fd9a8a38bc5520b85a1a3e6,0x1c9debb357b031e3220bedf6a4f3710c773c145d,9,0x85a58fd890507331a1620c7329e5b61089954699,1440,2021-09-03T16:43:27
6298,0xc3f09d050d7291bfa569c3b3f0a5146b0a83bbee4fd9a8a38bc5520b85a1a3e6,0x1c9debb357b031e3220bedf6a4f3710c773c145d,10,0xdb03386fa0c72628a4d8a043a1384c532684503c,482,2021-09-03T16:43:27
6299,0xc3f09d050d7291bfa569c3b3f0a5146b0a83bbee4fd9a8a38bc5520b85a1a3e6,0x1c9debb357b031e3220bedf6a4f3710c773c145d,11,0x42ae4d226019a8e99afa4b4e4e416983568ead54,2030,2021-09-03T16:43:27
