,txid,to_account,TOKEN_ID,current_owner,rank,time
9939,0x1b360d05516d0355d1cd7d7e2b1256c8dbc8c0f96015067fe5c15250c99274be,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,0,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,5622,2021-09-05T01:14:04
9940,0x1b360d05516d0355d1cd7d7e2b1256c8dbc8c0f96015067fe5c15250c99274be,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,1,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,6485,2021-09-05T01:14:04
9941,0x1b360d05516d0355d1cd7d7e2b1256c8dbc8c0f96015067fe5c15250c99274be,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,2,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,278,2021-09-05T01:14:04
9942,0x1b360d05516d0355d1cd7d7e2b1256c8dbc8c0f96015067fe5c15250c99274be,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,3,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,5404,2021-09-05T01:14:04
9943,0x1b360d05516d0355d1cd7d7e2b1256c8dbc8c0f96015067fe5c15250c99274be,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,4,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,890,2021-09-05T01:14:04
9944,0x1b360d05516d0355d1cd7d7e2b1256c8dbc8c0f96015067fe5c15250c99274be,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,5,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,1289,2021-09-05T01:14:04
9945,0x1b360d05516d0355d1cd7d7e2b1256c8dbc8c0f96015067fe5c15250c99274be,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,6,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,9075,2021-09-05T01:14:04
9936,0x1b360d05516d0355d1cd7d7e2b1256c8dbc8c0f96015067fe5c15250c99274be,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,7,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,867,2021-09-05T01:14:04
9946,0x1b360d05516d0355d1cd7d7e2b1256c8dbc8c0f96015067fe5c15250c99274be,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,8,0xae3c8f5e1e6bcf98bcb716e7d4356ce765c69339,9952,2021-09-05T01:14:04
9947,0x1b360d05516d0355d1cd7d7e2b1256c8dbc8c0f96015067fe5c15250c99274be,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,9,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,3004,2021-09-05T01:14:04
9948,0x1b360d05516d0355d1cd7d7e2b1256c8dbc8c0f96015067fe5c15250c99274be,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,10,0xd7cc5bbf5c64f267872e529feb14347e50a46a6f,788,2021-09-05T01:14:04
