,txid,to_account,TOKEN_ID,current_owner,rank,time
10722,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,0,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,815,2021-06-14T08:13:21
10723,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,1,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,93,2021-06-14T08:13:21
10746,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,2,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,8266,2021-06-14T08:13:21
10747,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,3,0x319486cf6b383b4aec0b15978abbdb34f0fb73d0,8240,2021-06-14T08:13:21
10724,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,4,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,6965,2021-06-14T08:13:21
10748,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,5,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,4095,2021-06-14T08:13:21
10749,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,6,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,7783,2021-06-14T08:13:21
10725,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,7,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,4811,2021-06-14T08:13:21
10726,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,8,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,9945,2021-06-14T08:13:21
10750,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,9,0x88f09bdc8e99272588242a808052eb32702f88d0,9443,2021-06-14T08:13:21
10727,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,10,0x98d279de82eb4c6c41af9df8a7e28d8e3593a52f,4448,2021-06-14T08:13:21
10728,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,11,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,414,2021-06-14T08:13:21
10729,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,12,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,2103,2021-06-14T08:13:21
10730,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,13,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,2071,2021-06-14T08:13:21
10751,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,14,0x0fd02548060d5d72abd3af1594ecce545e5ac739,73,2021-06-14T08:13:21
10731,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,15,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,2577,2021-06-14T08:13:21
10732,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,16,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,77,2021-06-14T08:13:21
10733,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,17,0xd45e2b0770faa0c42fd81799aa36c700f5db2ffc,6810,2021-06-14T08:13:21
10752,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,18,0xecadb3a07c0c3ad5e43ebe376f54e1f6eddca25b,7636,2021-06-14T08:13:21
10753,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,19,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,3702,2021-06-14T08:13:21
10734,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,20,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,6383,2021-06-14T08:13:21
10735,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,21,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,7001,2021-06-14T08:13:21
10754,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,22,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,6601,2021-06-14T08:13:21
10736,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,23,0x319486cf6b383b4aec0b15978abbdb34f0fb73d0,997,2021-06-14T08:13:21
10755,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,24,0xc3c754a35b3f4c458971a38acca42d0787553d8e,4369,2021-06-14T08:13:21
10737,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,25,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,2187,2021-06-14T08:13:21
10738,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,26,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,1479,2021-06-14T08:13:21
10739,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,27,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,3891,2021-06-14T08:13:21
10740,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,28,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,1604,2021-06-14T08:13:21
10741,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,29,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,3664,2021-06-14T08:13:21
10742,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,30,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,3278,2021-06-14T08:13:21
10756,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,31,0x3e6fe23676757b1f5aa0ffeeafa34c7cda11278a,7805,2021-06-14T08:13:21
10757,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,32,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,7295,2021-06-14T08:13:21
10743,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,33,0x0cac9d46d090eb16c4f33a7a5f38536717faaddb,8806,2021-06-14T08:13:21
10758,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,34,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,7206,2021-06-14T08:13:21
10759,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,35,0xb765b07aa73c4a59db816bc1a821411077052b29,7721,2021-06-14T08:13:21
10760,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,36,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,4860,2021-06-14T08:13:21
10761,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,37,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,8384,2021-06-14T08:13:21
10744,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,38,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,6282,2021-06-14T08:13:21
10745,0x52646433fdbdb0bab02a1053e1fa627ce1be28a5a122f8e7bf69871fb752f203,0x5dbe591f4f72a245e9110638e3195f67ecf6d0f7,39,0x2f60d06fa6795365b7b42b27fa23e3e8c8b82f66,9249,2021-06-14T08:13:21
10714,0x33ff4bf60827d8049c4d67cb77417621b234e7cdd33752278176130071b88b96,0x8fb24403431734258594ec770acae83e9283459d,40,0x8fb24403431734258594ec770acae83e9283459d,7262,2021-06-20T18:59:47
10715,0x33ff4bf60827d8049c4d67cb77417621b234e7cdd33752278176130071b88b96,0x8fb24403431734258594ec770acae83e9283459d,41,0x8fb24403431734258594ec770acae83e9283459d,4942,2021-06-20T18:59:47
10716,0x33ff4bf60827d8049c4d67cb77417621b234e7cdd33752278176130071b88b96,0x8fb24403431734258594ec770acae83e9283459d,42,0x0a758c20b11d51e18b061e3b5444f79ee0aa67f6,9309,2021-06-20T18:59:47
10712,0x33ff4bf60827d8049c4d67cb77417621b234e7cdd33752278176130071b88b96,0x8fb24403431734258594ec770acae83e9283459d,43,0x8fb24403431734258594ec770acae83e9283459d,6302,2021-06-20T18:59:47
10717,0x33ff4bf60827d8049c4d67cb77417621b234e7cdd33752278176130071b88b96,0x8fb24403431734258594ec770acae83e9283459d,44,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,3986,2021-06-20T18:59:47
10713,0x33ff4bf60827d8049c4d67cb77417621b234e7cdd33752278176130071b88b96,0x8fb24403431734258594ec770acae83e9283459d,45,0x8fb24403431734258594ec770acae83e9283459d,1716,2021-06-20T18:59:47
10718,0x33ff4bf60827d8049c4d67cb77417621b234e7cdd33752278176130071b88b96,0x8fb24403431734258594ec770acae83e9283459d,46,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,197,2021-06-20T18:59:47
10719,0x33ff4bf60827d8049c4d67cb77417621b234e7cdd33752278176130071b88b96,0x8fb24403431734258594ec770acae83e9283459d,47,0x8fb24403431734258594ec770acae83e9283459d,8414,2021-06-20T18:59:47
10720,0x33ff4bf60827d8049c4d67cb77417621b234e7cdd33752278176130071b88b96,0x8fb24403431734258594ec770acae83e9283459d,48,0x8fb24403431734258594ec770acae83e9283459d,2943,2021-06-20T18:59:47
10721,0x33ff4bf60827d8049c4d67cb77417621b234e7cdd33752278176130071b88b96,0x8fb24403431734258594ec770acae83e9283459d,49,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,9647,2021-06-20T18:59:47
10615,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,50,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,8988,2021-06-20T18:59:51
10635,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,51,0xc49836598349d033f421bda86d9533e453a45ac2,1742,2021-06-20T18:59:51
10637,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,52,0x181a3d013da95ca6360172d15cd5b0257bcd1686,5217,2021-06-20T18:59:51
10638,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,53,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,2402,2021-06-20T18:59:51
10619,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,54,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,4295,2021-06-20T18:59:51
10642,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,55,0x0bf6305d4382c37a7c330604048ae9813ddade28,731,2021-06-20T18:59:51
10645,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,56,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,2258,2021-06-20T18:59:51
10649,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,57,0x1bb01159ab168acd0cc055ead980729a2adae919,405,2021-06-20T18:59:51
10654,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,58,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,8180,2021-06-20T18:59:51
10659,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,59,0x1aecaecc0eb9320d91d42f1b9fea111285b567b1,8408,2021-06-20T18:59:51
10663,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,60,0xb0ac0950221d8ce4893bb175b249a346b6825541,7916,2021-06-20T18:59:51
10666,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,61,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,4016,2021-06-20T18:59:51
10669,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,62,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,9720,2021-06-20T18:59:51
10673,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,63,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,10609,2021-06-20T18:59:51
10675,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,64,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,5838,2021-06-20T18:59:51
10677,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,65,0x2d4d49e9eb287b906b3d987ce8b598b230f68923,659,2021-06-20T18:59:51
10624,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,66,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,963,2021-06-20T18:59:51
10682,0x8004d49ce1846b4d857a61d7cbae33d604b54ce726e24743cc0f850b293b6b96,0x07c5ea539a54318780655b7a74fc379f3f37c7a6,67,0xa265bd2ba7e49bcc77cef4a7b05c7799ec8b8387,6434,2021-06-20T18:59:51
