,txid,to_account,TOKEN_ID,current_owner,rank,time
9958,0x336652cfd93439a54c90d514bbef8b6f775e0cb0d7e3f9aa28572538b61fe522,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,0,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,4529,2021-09-19T11:01:33
9960,0x336652cfd93439a54c90d514bbef8b6f775e0cb0d7e3f9aa28572538b61fe522,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,1,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,3620,2021-09-19T11:01:33
9962,0x336652cfd93439a54c90d514bbef8b6f775e0cb0d7e3f9aa28572538b61fe522,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,2,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,4708,2021-09-19T11:01:33
9964,0x336652cfd93439a54c90d514bbef8b6f775e0cb0d7e3f9aa28572538b61fe522,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,3,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,2274,2021-09-19T11:01:33
9966,0x336652cfd93439a54c90d514bbef8b6f775e0cb0d7e3f9aa28572538b61fe522,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,4,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,5442,2021-09-19T11:01:33
9968,0x336652cfd93439a54c90d514bbef8b6f775e0cb0d7e3f9aa28572538b61fe522,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,5,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,1260,2021-09-19T11:01:33
9970,0x336652cfd93439a54c90d514bbef8b6f775e0cb0d7e3f9aa28572538b61fe522,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,6,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,3231,2021-09-19T11:01:33
9971,0x336652cfd93439a54c90d514bbef8b6f775e0cb0d7e3f9aa28572538b61fe522,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,7,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,2692,2021-09-19T11:01:33
9973,0x336652cfd93439a54c90d514bbef8b6f775e0cb0d7e3f9aa28572538b61fe522,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,8,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,1688,2021-09-19T11:01:33
9975,0x336652cfd93439a54c90d514bbef8b6f775e0cb0d7e3f9aa28572538b61fe522,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,9,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,7048,2021-09-19T11:01:33
9977,0x336652cfd93439a54c90d514bbef8b6f775e0cb0d7e3f9aa28572538b61fe522,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,10,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,549,2021-09-19T11:01:33
9957,0x336652cfd93439a54c90d514bbef8b6f775e0cb0d7e3f9aa28572538b61fe522,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,11,0x3163cd724b4357d3fa70b6a008152b5f244f20a5,6523,2021-09-19T11:01:33
