,txid,to_account,TOKEN_ID,current_owner,rank,time
9874,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,0,0xc5f5f52479f19c945c97fac8d06570fb14091df3,4987,2021-08-03T02:28:50
9875,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,1,0xaa6fd0c3dd82e34b1a0ce7a526235336442fd678,651,2021-08-03T02:28:50
9876,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,2,0x5faa31ea9a79a8e4fa391de7cae5adc9b4b02833,6886,2021-08-03T02:28:50
9877,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,3,0xc5f5f52479f19c945c97fac8d06570fb14091df3,201,2021-08-03T02:28:50
9878,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,4,0xaa6fd0c3dd82e34b1a0ce7a526235336442fd678,770,2021-08-03T02:28:50
9879,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,5,0x596ce503796a75f7bdff0e3e300833d22b457f77,5550,2021-08-03T02:28:50
9880,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,6,0x76daa4c77e41ce078d2badf3337ec060e4590a6d,107,2021-08-03T02:28:50
9881,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,7,0xf4617b57ad853f4bc2ce3f06c0d74958c240633c,4233,2021-08-03T02:28:50
9872,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,8,0x63989a803b61581683b54ab6188ffa0f4baadf28,7336,2021-08-03T02:28:50
9882,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,9,0x63989a803b61581683b54ab6188ffa0f4baadf28,5581,2021-08-03T02:28:50
9883,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,10,0x63989a803b61581683b54ab6188ffa0f4baadf28,6041,2021-08-03T02:28:50
9884,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,11,0xcf3b555729822b93ab8f05c9124b10243cd3748f,1205,2021-08-03T02:28:50
9885,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,12,0x0433062f9f466c4a184b2ba0e4da38efea5e2f87,9561,2021-08-03T02:28:50
9886,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,13,0x63989a803b61581683b54ab6188ffa0f4baadf28,7479,2021-08-03T02:28:50
9887,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,14,0x63989a803b61581683b54ab6188ffa0f4baadf28,1244,2021-08-03T02:28:50
9888,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x63989a803b61581683b54ab6188ffa0f4baadf28,15,0x63989a803b61581683b54ab6188ffa0f4baadf28,6160,2021-08-03T02:28:50
9889,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,16,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,4154,2021-08-03T02:28:50
9890,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,17,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,3675,2021-08-03T02:28:50
9891,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,18,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,7389,2021-08-03T02:28:50
9892,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,19,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,3160,2021-08-03T02:28:50
9893,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,20,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,8732,2021-08-03T02:28:50
9894,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,21,0xb32872fd73959f47eecd94b108ef1b6a51588a71,3777,2021-08-03T02:28:50
9895,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,22,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,3380,2021-08-03T02:28:50
9896,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,23,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,7637,2021-08-03T02:28:50
9873,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,24,0xddf7ec79ad60dea00e0f40bd5a08aaaf785ea65b,4286,2021-08-03T02:28:50
9897,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,25,0x273dc0347cb3aba026f8a4704b1e1a81a3647cf3,320,2021-08-03T02:28:50
9898,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x81a76401a46fa740c911e374324e4046b84cfa33,26,0x81a76401a46fa740c911e374324e4046b84cfa33,9753,2021-08-03T02:28:50
9899,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x81a76401a46fa740c911e374324e4046b84cfa33,27,0x81a76401a46fa740c911e374324e4046b84cfa33,1266,2021-08-03T02:28:50
9900,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x81a76401a46fa740c911e374324e4046b84cfa33,28,0x81a76401a46fa740c911e374324e4046b84cfa33,1347,2021-08-03T02:28:50
9901,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x81a76401a46fa740c911e374324e4046b84cfa33,29,0x81a76401a46fa740c911e374324e4046b84cfa33,6826,2021-08-03T02:28:50
9902,0xfb34e9fee5bccfc0fb98e0d691fa25d5d1b821d4f18dcf6165a6d4976f171624,0x81a76401a46fa740c911e374324e4046b84cfa33,30,0x81a76401a46fa740c911e374324e4046b84cfa33,790,2021-08-03T02:28:50
