,TOKEN_ID,TOKEN_NAME,XrayBackground,XrayMutant,Background,Mutant,Clothing,Headwear,Accessories,AbstractBackground,AbstractMutants,SpecialBackground,SpecialMutant,SpecialClothing,HoloBackground,HoloMutant,SpecialHeadwear,SpecialAccessories,SpecialEyewear,CrownedBackground,CrownedMutant,CrownedAccessories
0,1,mutantcats #1,Galactic,Xray,,,,,,,,,,,,,,,,,,
1,10,mutantcats #10,,,Galactic,Bullous,RedShirt,DarkCap,Blutie,,,,,,,,,,,,,
2,100,mutantcats #100,,,Galactic,Zombie,DripMachine,Captain,Piercing,,,,,,,,,,,,,
3,1000,mutantcats #1000,,,Subdued,Bullous,TornRed,RedFedora,Blutie,,,,,,,,,,,,,
4,1001,mutantcats #1001,,,Minimal,Reptilian,TornBrown,Magician,ThirdEye,,,,,,,,,,,,,
5,1002,mutantcats #1002,,,Calm,Bullous,RedPuffer,Fedora,Blutie,,,,,,,,,,,,,
6,1003,mutantcats #1003,,,Blurple,Skeletal,TornBrown,Crimson,Moustache,,,,,,,,,,,,,
7,1004,mutantcats #1004,,,Minimal,Cyclops,TornGreen,Crimson,Blutie,,,,,,,,,,,,,
8,1005,mutantcats #1005,,,LimeLime,Bullous,TornPurple,Maroon,Moustache,,,,,,,,,,,,,
9,1006,mutantcats #1006,,,YellowWall,Spiked,TornPurple,NeonFedora,Blutie,,,,,,,,,,,,,
10,1007,mutantcats #1007,,,LimeLime,Zombie,Saucy,NeonFedora,Piercing,,,,,,,,,,,,,
11,1008,mutantcats #1008,,,Galactic,Skeletal,NeonShirt,Magician,Blutie,,,,,,,,,,,,,
12,1009,mutantcats #1009,,,LimeLime,Reptilian,DripMachine,NeonFedora,Blutie,,,,,,,,,,,,,
13,101,mutantcats #101,,,Subdued,Cyclops,TornPurple,NeonFedora,Blutie,,,,,,,,,,,,,
14,1010,mutantcats #1010,,,Faded,Skeletal,DripMachine,Crimson,Piercing,,,,,,,,,,,,,
15,1011,mutantcats #1011,,,Minimal,Zombie,RedShirt,DarkCap,Piercing,,,,,,,,,,,,,
16,1012,mutantcats #1012,,,Faded,Bullous,LungChain,DarkCap,ThirdEye,,,,,,,,,,,,,
17,1013,mutantcats #1013,,,Blurple,Spiked,TornPurple,NeonFedora,Piercing,,,,,,,,,,,,,
18,1014,mutantcats #1014,,,Faded,Reptilian,DripMachine,TreeOfLife,Moustache,,,,,,,,,,,,,
19,1015,mutantcats #1015,,,Calm,Radioactive,TornBrown,Magician,Blutie,,,,,,,,,,,,,
20,1016,mutantcats #1016,,,Minimal,Agnatha,LungChain,TreeOfLife,Piercing,,,,,,,,,,,,,
21,1017,mutantcats #1017,,,BlueDream,Zombie,LungChain,Bowtie,Blutie,,,,,,,,,,,,,
22,1018,mutantcats #1018,,,Subdued,Agnatha,NeonShirt,Crimson,ThirdEye,,,,,,,,,,,,,
23,1019,mutantcats #1019,,,BeachMind,Bullous,TornPurple,Crimson,Blutie,,,,,,,,,,,,,
24,102,mutantcats #102,,,LimeLime,Skeletal,RedShirt,Maroon,Piercing,,,,,,,,,,,,,
25,1020,mutantcats #1020,,,Minimal,Radioactive,DripMachine,TreeOfLife,Piercing,,,,,,,,,,,,,
26,1021,mutantcats #1021,,,Blurple,Radioactive,DripMachine,Maroon,Piercing,,,,,,,,,,,,,
27,1022,mutantcats #1022,,,EarthyMix,Spiked,TornPurple,Maroon,Blutie,,,,,,,,,,,,,
28,1023,mutantcats #1023,,,EarthyMix,Radioactive,Saucy,Maroon,Blutie,,,,,,,,,,,,,
29,1024,mutantcats #1024,,,,,,,,Minimal,MutantX,,,,,,,,,,,
30,1025,mutantcats #1025,,,,,,,,Minimal,NeonDream,,,,,,,,,,,
31,1026,mutantcats #1026,,,,,,,,Minimal,Psychedelic,,,,,,,,,,,
32,1027,mutantcats #1027,,,,,,,,,,Blurple,Zombie,RainbowShirt,,,,,,,,
33,1028,mutantcats #1028,,,,,,,,,,MaroonSaloon,Cyclops,MutantRobe,,,,,,,,
34,1029,mutantcats #1029,,,,,,,,,,Blurple,Anatomical,RainbowShirt,,,,,,,,
35,103,mutantcats #103,,,EarthyMix,Toxic,TornBrown,Maroon,Blutie,,,,,,,,,,,,,
36,1030,mutantcats #1030,,,,,,,,,,MaroonSaloon,Infected,MutantRobe,,,,,,,,
37,1031,mutantcats #1031,,,,,,,,,,Faded,Zombie,MutantRobe,,,,,,,,
38,1032,mutantcats #1032,,,,,,,,,,Minimal,Agnatha,GoldenRobe,,,,,,,,
39,1033,mutantcats #1033,,,,,,,,,,Blurple,Agnatha,RainbowShirt,,,,,,,,
40,1034,mutantcats #1034,,,,,,,,,,Blurple,Zombie,GoldenRobe,,,,,,,,
41,1035,mutantcats #1035,,,,,,,,,,Minimal,Bullous,GoldenRobe,,,,,,,,
42,1036,mutantcats #1036,,,,,,,,,,Blurple,Cyclops,GoldenRobe,,,,,,,,
43,1037,mutantcats #1037,,,,,,,,,,MaroonSaloon,Agnatha,RainbowShirt,,,,,,,,
44,1038,mutantcats #1038,,,,,,,,,,Subdued,Infected,MutantRobe,,,,,,,,
45,1039,mutantcats #1039,,,,,,,,,,Faded,Agnatha,RainbowShirt,,,,,,,,
46,104,mutantcats #104,,,Subdued,Skeletal,TornBrown,TreeOfLife,ThirdEye,,,,,,,,,,,,,
47,1040,mutantcats #1040,,,,,,,,,,Blurple,Melting,MutantRobe,,,,,,,,
48,1041,mutantcats #1041,,,,,,,,,,Blurple,Anatomical,GoldenRobe,,,,,,,,
