TOKEN_ID,TOKEN_NAME,Quak,Beak,Feathers,Wear
0,Quak #0,Brown Quak,Parrot-like,White Feathers,Egg-plate
1,Quak #1,Purple Quak,Chicken-like,Green Feathers,Glasses
2,Quak #2,Blue Quak,Crow-like,White Feathers,Flower
3,Quak #3,Purple Quak,Coot-like,Green Feathers,Horns
4,Quak #4,Blue Quak,Flamingo-like,Pink Feathers,Mail
5,Quak #5,Blue Quak,Crow-like,Pink Feathers,Earrings
6,Quak #6,Brown Quak,Coot-like,Red Feathers,Horns
7,Quak #7,Brown Quak,Flamingo-like,White Feathers,Chained
8,Quak #8,Purple Quak,Crow-like,Green Feathers,Chain
9,Quak #9,Brown Quak,Chicken-like,Purple Feathers,Hat
10,Quak #10,Green Quak,Chicken-like,Blue Feathers,Bubble
11,Quak #11,Purple Quak,Chicken-like,Purple Feathers,Tilted-hat
12,Quak #12,Green Quak,Crow-like,White Feathers,Ethereum
13,Quak #13,Brown Quak,Chicken-like,Teal Feathers,Ship
14,Quak #14,Purple Quak,Chicken-like,Pink Feathers,Blindfold
15,Quak #15,Brown Quak,Crow-like,Blue Feathers,Hat
16,Quak #16,Brown Quak,Chicken-like,White Feathers,Glasses
17,Quak #17,Purple Quak,Crow-like,Blue Feathers,Blindfold
18,Quak #18,Purple Quak,Chicken-like,Pink Feathers,Conical-hat
19,Quak #19,Brown Quak,Crow-like,White Feathers,Hat
20,Quak #20,Brown Quak,Coot-like,Purple Feathers,Mail
21,Quak #21,Blue Quak,Flamingo-like,White Feathers,Nightcap
22,Quak #22,Brown Quak,Puffin-like,White Feathers,Blindfold
23,Quak #23,Yellow Quak,Coot-like,Pink Feathers,Cigarette
24,Quak #24,Brown Quak,Coot-like,White Feathers,Chained
25,Quak #25,Blue Quak,Chicken-like,White Feathers,Blindfold
26,Quak #26,Brown Quak,Crow-like,White Feathers,Pipe
27,Quak #27,Brown Quak,Chicken-like,Red Feathers,Horns
28,Quak #28,Purple Quak,Flamingo-like,White Feathers,Conical-hat
29,Quak #29,Brown Quak,Crow-like,Blue Feathers,Ethereum
30,Quak #30,Brown Quak,Coot-like,Pink Feathers,Nightcap
31,Quak #31,Purple Quak,Crow-like,White Feathers,Hat
