TOKEN_ID,TOKEN_NAME,Background,Skin,Skin Pattern,Tail Spikes,Bling Level,Eyewear,Face,Clothing,Headwear,Face Detail,Vest,Special
1,Tezzardz #1,Purple,Purple,Freckles,Bone,$,Cool Shades,Straight Tongue Sad,Patterned Tee,Rainbow Spikes,,,
2,Tezzardz #2,Pink,Orange,Bolt,Gold,,Cool Shades,Straight Tongue Feisty,Skulls Shell Suit,Limited Spikes,,,
3,Tezzardz #3,Peach,Orange,Bolt,Rainbow,$,Disguise Glasses,Green Tongue Feisty,Gardening Utility Belt,Rainbow Spikes,,,
4,Tezzardz #4,Green,Red,Heavy Bolt,,$,Disguise Glasses,Straight Tongue Feisty,Space Onesie,Green Spikes,,,
5,Tezzardz #5,Yellow,Yellow,Freckles,,$,Cool Shades,Straight Tongue Sad,Silk Shirt Blue,Purple Spikes,Scar,Green,
6,Tezzardz #6,Blue,White,Freckles,Gold,$$$,,Tiny Face,Biker,Party Pal Hat,,Red,
7,Tezzardz #7,Blue,Yellow,Freckles,,$$$,,Split Tongue Feisty,Ghost Tee,Purple Spikes,,,
8,Tezzardz #8,Pink,Green,Heavy Freckles,,$$,Disguise Glasses,Split Tongue Feisty,Ghost Tee,Hunting Hat,,,
9,Tezzardz #9,Blue,Red,Bolt,Bone,$,Plain Specs,Split Tongue Angry,Patterned Sweater,Rainbow Spikes,,,
10,Tezzardz #10,Purple,Orange,Heavy,Rainbow,$,Gold Leaf Eye Patch,Straight Tongue Sad,Shrine Onesie,Limited Spikes,,,
11,Tezzardz #11,Peach,Red,Heavy Freckles,Bone,$$,Joke Eyes Glasses,Straight Tongue Sad,Tassle Jacket,Purple Spikes,,Red,
12,Tezzardz #12,Peach,Orange,Freckles,Gold,,,Tiny Face,Pink Biker,Rare Frog Hat,,,
13,Tezzardz #13,Peach,Orange,Heavy,Bone,$$,,Green Tongue Wavy Sassy,,Backwards Cap,,,
14,Tezzardz #14,Purple,Purple,Freckles,,$,Gold Leaf Eye Patch,Green Tongue Wavy Sassy,Rainbow Onesie,Plain Black Spikes,,,
15,Tezzardz #15,Blue,Green,Red,,$$,,Straight Tongue Sad,Ghost Tee,Rainbow Spikes,,,
16,Tezzardz #16,Blue,Purple,Freckles,Bone,$,Cool Shades,Green Tongue Feisty,Tassle Jacket,Backwards Cap Jungle,Scar,Red,
17,Tezzardz #17,Purple,Yellow,Purple,,$,Tech Scope,Green Tongue Wavy Sassy,Silk Shirt Dark,Purple Spikes,,Green,
18,Tezzardz #18,Yellow,Green,Heavy,,$$$$$,,Green Tongue Wavy Sassy,Gardening Utility Belt,Limited Spikes,,,
19,Tezzardz #19,Green,Red,Purple,Rainbow,$$$$,Cool Shades,Straight Tongue Sad,Meditation Tee,Rainbow Spikes,,,
20,Tezzardz #20,Pink,Red,Freckles,,$,Dopey Swimming Goggles,Straight Tongue Sad,Patterned Sweater,Party Pal Hat,,Pink,
21,Tezzardz #21,Blue,Yellow,Heavy,Bone,$$,,Bent Tongue Feisty,Tassle Jacket,Backwards Cap Flames,,Green,
22,Tezzardz #22,Pink,Green,Heavy Freckles,Rainbow,$,Dopey Swimming Goggles,Green Tongue Wavy Sassy,Fk Yeh Sweater,Red Spikes,,,
23,Tezzardz #23,Pink,Purple,Freckles,Bone,$,Flame Shades,Bent Tongue Feisty,Patterned Sweater,Purple Spikes,,,
24,Tezzardz #24,Pink,White,Bolt,,$$$,,Bent Tongue Feisty,Rainbow Onesie,Backwards Cap,,,
25,Tezzardz #25,Purple,Yellow,Orange,Bone,,Bad Eyesight Reybannes,Split Tongue Angry,Pink Biker,Rainbow Spikes,,Pink,
26,Tezzardz #26,Pink,White,Heavy Freckles,Bone,$,Hearts Shades,Green Tongue Feisty,Fk Yeh Sweater,Backwards Cap Jungle,,,
27,Tezzardz #27,Yellow,Purple,Heavy Freckles,Bone,$$$,Dopey Swimming Goggles,Split Tongue Pink Feisty,Skulls Shell Suit,Yellow Spikes,Scar,,
28,Tezzardz #28,Yellow,Purple,Bolt,,$,,Straight Tongue Sad,Meditation Tee,Hunting Hat,,,
29,Tezzardz #29,Blue,Purple,Heavy Bolt,Bone,$$,,Bent Tongue Feisty,Biker,,,Red,
30,Tezzardz #30,Blue,Green,Freckles,Bone,$$$,Gold Leaf Eye Patch,Blue Tongue Wavy Not Amused,Space Onesie,Purple Spikes,,,
31,Tezzardz #31,Pink,Purple,Heavy Freckles,Gold,$,Plain Specs,Green Tongue Wavy Sassy,Silk Shirt Blue,Plain Black Spikes,,,
32,Tezzardz #32,Blue,Green,Freckles,,$$,Flame Shades,Straight Tongue Feisty,Ghost Tee,Plain Black Spikes,,,
33,Tezzardz #33,Yellow,Green,Freckles,Rainbow,$,,Bent Tongue Feisty,Ghost Tee,Hunting Hat,,,
34,Tezzardz #34,Blue,Yellow,Bolt,Rainbow,$,Flame Shades,Bent Tongue Feisty,Ghost Tee,Hunting Hat,,,
35,Tezzardz #35,Green,Yellow,Heavy Freckles,Bone,$,,Straight Tongue Sad,Patterned Sweater,Red Spikes,,Pink,
36,Tezzardz #36,Pink,Orange,Bolt,Bone,$$$$$,Cool Shades,Straight Tongue Feisty,Firework Utility Belt,Plain Black Spikes,,,
37,Tezzardz #37,Peach,Orange,Heavy Freckles,,$$,,Green Tongue Feisty,Rainbow Onesie,Backwards Cap Flames,,,
38,Tezzardz #38,Pink,Green,Freckles,,$$,,Dumb Tongue,Tassle Jacket,Purple Spikes,,Red,
39,Tezzardz #39,Purple,Green,Bolt,Gold,,,Green Tongue Feisty,Rainbow Onesie,Yellow Spikes,,,
40,Tezzardz #40,Purple,Yellow,Heavy Freckles,,$$$$,Flame Shades,Split Tongue Pink Feisty,Meditation Tee,Rainbow Spikes,,,
41,Tezzardz #41,Green,Yellow,Heavy,Bone,,Gold Leaf Eye Patch,Green Tongue Wavy Sassy,Video Games Tee,Backwards Cap Jungle,Scar,,
42,Tezzardz #42,Blue,Purple,Heavy,Bone,$$,Hearts Shades,Straight Tongue Feisty,Tassle Jacket,,,Pink,
43,Tezzardz #43,Pink,Purple,Heavy,,$$$$,Hearts Shades,Straight Tongue Feisty,Video Games Tee,Rare Frog Hat,,,
44,Tezzardz #44,Purple,White,Freckles,,$$$,Hearts Shades,Split Tongue Angry,Silk Shirt Dark,,,,
45,Tezzardz #45,Green,Purple,Heavy Bolt,,$$$,Joke Eyes Glasses,Bent Tongue Feisty,Ghost Tee,,,,
46,Tezzardz #46,Purple,Green,Bolt,Rainbow,$$$$,Hearts Shades,Green Tongue Wavy Sassy,Ghost Tee,Limited Spikes,Scar,,
47,Tezzardz #47,Pink,Yellow,Bolt,,$,,Split Tongue Pink Feisty,Pink Biker,Purple Spikes,,,
48,Tezzardz #48,Blue,Yellow,Freckles,Bone,$,Plain Specs,Green Tongue Feisty,Video Games Tee,Yellow Spikes,,,
49,Tezzardz #49,Yellow,Green,Heavy Freckles,Bone,,,Tiny Face,Fk Yeh Sweater,Yellow Spikes,,,
50,Tezzardz #50,Green,Red,Heavy Bolt,Bone,$$$,,Straight Tongue Sad,Video Games Tee,Green Spikes,,,
51,Tezzardz #51,Blue,Orange,Heavy Freckles,,,Flame Shades,Split Tongue Feisty,Tassle Jacket,Fancy Hat,,,
52,Tezzardz #52,Peach,Red,Heavy Freckles,,$,Gold Leaf Eye Patch,Green Tongue Feisty,Space Onesie,Fancy Hat,,,
53,Tezzardz #53,Pink,Red,Heavy,Bone,$,,Bent Tongue Feisty,Space Onesie,Plain Black Spikes,,,
54,Tezzardz #54,Blue,Purple,Bolt,Rainbow,$$$$,Tech Scope,Split Tongue Pink Feisty,Silk Shirt Dark,Red Spikes,Scar,,
55,Tezzardz #55,Purple,Orange,Freckles,Bone,$$,,Split Tongue Pink Feisty,Silk Shirt Dark,,,Pink,
56,Tezzardz #56,Yellow,Green,Freckles,Gold,$,,Bent Tongue Feisty,Video Games Tee,Plain Black Spikes,,,
57,Tezzardz #57,Purple,White,Heavy Freckles,,$$,Hearts Shades,Dumb Tongue,Silk Shirt Blue,Sad Boi Cap,,Green,
58,Tezzardz #58,Yellow,Red,Purple,,$$,,Green Tongue Feisty,Rainbow Onesie,Party Pal Hat,,,
59,Tezzardz #59,Pink,Yellow,Freckles,,,Bad Eyesight Reybannes,Straight Tongue Feisty,Fk Yeh Sweater,Rainbow Spikes,,,
60,Tezzardz #60,Yellow,Orange,Freckles,,$$,,Split Tongue Feisty,Silk Shirt Dark,Hunting Hat,,,
61,Tezzardz #61,Peach,White,Heavy,,,Monocle,Straight Tongue Feisty,Gardening Utility Belt,Green Spikes,Scar,,
62,Tezzardz #62,Peach,Orange,Bolt,,$,Hearts Shades,Straight Tongue Feisty,Silk Shirt Dark,Plain Black Spikes,,,
63,Tezzardz #63,Yellow,Yellow,Heavy Freckles,,,Flame Shades,Straight Tongue Sad,Tassle Jacket,Party Pal Hat,,,
64,Tezzardz #64,Purple,Orange,Heavy,,,Gold Leaf Eye Patch,Split Tongue Feisty,Patterned Sweater,Green Spikes,,,
65,Tezzardz #65,Green,Red,Heavy,Gold,$$,Monocle,Blue Tongue Wavy Not Amused,Space Onesie,Green Spikes,Scar,,
66,Tezzardz #66,Peach,Purple,Bolt,Rainbow,$,Plain Specs,Bent Tongue Feisty,Ghost Tee,Backwards Cap Jungle,,,
67,Tezzardz #67,Peach,Orange,Heavy Freckles,,$,Cool Shades,Straight Tongue Sad,Meditation Tee,Purple Spikes,,,
68,Tezzardz #68,,,,,,,,,,,,Skellington
69,Tezzardz #69,Pink,Red,Freckles,Gold,,Cool Shades,Split Tongue Pink Feisty,Ghost Tee,Fancy Hat,,,
70,Tezzardz #70,Green,Yellow,Bolt,Bone,$$,,Bent Tongue Feisty,Space Onesie,Yellow Spikes,,,
71,Tezzardz #71,Peach,Purple,Bolt,Gold,$,Cool Shades,Green Tongue Feisty,Tech Armour,Limited Spikes,Scar,Pink,
72,Tezzardz #72,Purple,Red,Freckles,,,Cool Shades,Straight Tongue Sad,Patterned Sweater,Yellow Spikes,,Green,
73,Tezzardz #73,Pink,Green,Bolt,,$,,Split Tongue Feisty,Ghost Tee,Yellow Spikes,,,
74,Tezzardz #74,Pink,Yellow,Heavy,,$$,Cool Shades,Straight Tongue Feisty,Meditation Tee,Fancy Hat,,,
75,Tezzardz #75,Yellow,Green,Heavy Bolt,,$$,Tech Scope,Split Tongue Pink Feisty,Tassle Jacket,Backwards Cap Jungle,Scar,Red,
76,Tezzardz #76,Purple,Orange,Heavy Freckles,Bone,$$,Gold Leaf Eye Patch,Dumb Tongue,Patterned Sweater,Sad Boi Cap,,,
77,Tezzardz #77,Pink,Purple,Heavy Bolt,,$,,Straight Tongue Sad,Patterned Sweater,Party Pal Hat,,,
