,id,price,date_sold
1809,975,0.02,2021-08-31T16:46:34
1808,1540,2.0,2021-08-31T17:08:13
1807,2028,0.03,2021-08-31T17:34:01
1806,1280,0.02,2021-08-31T17:48:49
1805,3331,0.03,2021-08-31T18:19:40
1804,2206,0.02,2021-08-31T18:20:14
1803,2719,0.04,2021-08-31T18:22:09
1802,2908,0.028,2021-08-31T18:24:06
1801,1656,0.02,2021-08-31T18:24:46
1800,2425,0.029,2021-08-31T18:26:29
1798,890,0.09,2021-08-31T18:27:17
1799,3059,0.083,2021-08-31T18:27:17
1797,2692,0.35,2021-08-31T18:36:44
1796,3438,0.1,2021-08-31T18:40:09
1795,3159,0.035,2021-08-31T18:52:22
1794,3744,0.02,2021-08-31T19:08:41
1793,3160,0.26,2021-08-31T19:23:50
1792,2413,0.029,2021-08-31T19:39:21
1791,2698,0.09,2021-08-31T19:58:22
1790,3161,0.075,2021-08-31T22:40:26
1789,3688,0.07,2021-08-31T23:23:04
1788,1624,0.01,2021-09-01T01:21:42
1787,1627,0.009,2021-09-01T01:29:08
1786,1803,0.0199,2021-09-01T01:50:43
1785,3707,0.0249,2021-09-01T01:53:32
1784,1000,0.03,2021-09-01T03:18:05
1783,888,0.07,2021-09-01T03:21:12
1782,732,0.01,2021-09-01T03:46:31
1781,3532,0.15,2021-09-01T03:59:50
1780,16,0.01,2021-09-01T04:03:10
1779,19,0.01,2021-09-01T04:03:58
1778,5222,0.19,2021-09-01T04:05:43
1777,14,0.01,2021-09-01T04:11:37
1776,17,0.01,2021-09-01T04:14:24
1775,5706,0.15,2021-09-01T04:15:57
1774,3448,0.014,2021-09-01T04:16:02
1773,5707,0.13,2021-09-01T04:16:13
1772,2955,0.01,2021-09-01T04:16:58
1771,731,0.01,2021-09-01T04:20:55
1770,18,0.01,2021-09-01T04:21:03
1769,2954,0.01,2021-09-01T04:21:13
1768,12,0.01,2021-09-01T04:21:13
1767,328,0.0199,2021-09-01T04:21:51
1766,3759,0.09,2021-09-01T04:21:51
1765,11,0.01,2021-09-01T04:22:17
1764,1658,0.01,2021-09-01T04:22:53
1763,730,0.01,2021-09-01T04:22:53
1762,13,0.01,2021-09-01T04:22:53
1761,15,0.01,2021-09-01T04:22:53
1760,2956,0.01,2021-09-01T04:23:07
1759,729,0.01,2021-09-01T04:23:20
1758,3772,0.015,2021-09-01T04:23:45
1757,2953,0.02,2021-09-01T04:24:19
