,TOKEN_ID,USER,OFFER,DATE,RANK
0,8711,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.294,2021-12-16T04:36:28.292263,4634
1,8875,0x9eb0b9744545746428ae65f30b8f562fe10e1f11,0.28749,2021-12-16T03:48:17.982808,5545
2,4677,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.294,2021-12-16T03:21:16.568321,7168
3,4677,0x9ae6d4859109c83fab823ea4dfd42843568d1084,0.324135,2021-12-16T02:59:13.584943,7168
4,3919,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.294,2021-12-16T02:46:01.806248,1703
5,4677,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.294,2021-12-16T02:05:35.841307,7168
6,8486,0xb5d8b0bafb98cc37a4e6350f2df355d8800fd30e,0.294,2021-12-16T02:02:33.412537,8250
7,4683,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.294,2021-12-16T01:47:42.452477,6249
8,8486,0x8ff1e2e09c236c9c073b8e237157b0e1e145f596,0.31,2021-12-16T01:25:29.353395,8250
9,8486,0x8ff1e2e09c236c9c073b8e237157b0e1e145f596,0.31,2021-12-16T01:25:24.956971,8250
10,4677,0x7749b665555a9aaeb7006ca723eadf78848625a6,0.3087,2021-12-16T01:08:17.149053,7168
11,4677,0x7749b665555a9aaeb7006ca723eadf78848625a6,0.3087,2021-12-16T01:08:15.552189,7168
12,8486,0xb5d8b0bafb98cc37a4e6350f2df355d8800fd30e,0.294,2021-12-16T00:38:13.325326,8250
13,3919,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.294,2021-12-16T00:23:50.990658,1703
14,8486,0x905d88e540ffc5ca8d06e54daa5a64822d4b470d,0.42,2021-12-15T23:36:02.666328,8250
15,8711,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.294,2021-12-15T23:08:55.128863,4634
16,3919,0x05a20556c35bedd717ba48218d1644d37ef17499,0.291,2021-12-15T21:29:01.330775,1703
17,4518,0xa9c4d3f5c478953456d4a7800e15eadd9c172e05,0.5,2021-12-15T21:28:01.293611,3580
