,TOKEN_ID,USER,DATE,RANK,PRICE
3659,1922,0x350dfe6a1c06c4448a80df0245ca5264e39f16a8,2021-10-07T21:58:14.727067,1,4.6
3969,1922,0x52f0d5805045a14579bbdcd719e0086c5ef3574d,2021-10-07T21:46:07.743396,1,3.15
3008,2423,0xb93415060f8e45d956f3c2d0794e2a80a5a89655,2021-10-07T22:45:49.766322,8,5.0
2958,2423,0x70d5624e24f702ebde8cafc6960191135ca6d462,2021-10-07T22:50:42.863203,8,5.99
4144,1146,0xfdd50de023c9a705d9086bf821d15c7450ee93bf,2021-10-07T21:34:28.884687,15,3.9
2570,6051,0x72915ad3110eb31768a562f540ac1ebcd51d3dc8,2021-10-07T23:49:28.252407,19,5.55
3449,8489,0x9f5bf0aeba76620309558a8a7657299f63981360,2021-10-07T22:09:22.537729,21,3.17
3381,8489,0xf96d09c553db50ef8198eed965df9e660133c23a,2021-10-07T22:13:31.060409,21,5.0
3907,1478,0x44d6c9d5bce0831ec038d874dfb62464f40861b0,2021-10-07T21:48:24.906827,28,3.55
814,6599,0x4e6c806419de35adcc0309ed6706d48d5fee271d,2021-10-10T02:23:36.132425,30,8.6
699,2764,0xc002fd5048f462988e0eaf8d4bcf267afc741fa9,2021-10-10T15:46:18.844923,31,8.199
3132,6328,0x20e2a6aa802c034bf8ef0d4d8d152c1031fe6ec6,2021-10-07T22:34:42.400142,34,5.8
3829,987,0x1ba6019fb018a800bc9a4bdd46baf36af0406cc4,2021-10-07T21:51:42.138124,41,4.499
3305,3005,0xc88b963239b6918f74c3298bb1dc079b92671e42,2021-10-07T22:19:37.539505,43,5.69
3658,1924,0xda143aec7ee05e9d80a6ada8ec5ae82b32543240,2021-10-07T21:58:12.939662,44,4.95
256,2232,0x1ac87849ef856312dfee55a0943768260cc3888e,2021-10-12T15:21:19.690612,45,6.0
3780,2232,0x8353583c5d5cc8e50efe7548e8dcc18d0bad140a,2021-10-07T21:52:51.683654,45,4.0
715,939,0x545c68fa8688186a0dd1abb92a976ed348a715e3,2021-10-10T12:45:39.997013,47,6.41
709,939,0x0abfdca79f10f2a16a97930575408362473a25d9,2021-10-10T13:08:25.928369,47,8.09
2886,5402,0x0952ecc0080ed9a0cbd5839a3cc6758b85c3a835,2021-10-07T22:59:53.068413,48,6.1155
2459,7180,0xa8b4367f09e63a5234abd14f5ef6868b1aed0e7d,2021-10-08T00:16:51.230015,51,4.88
3786,2422,0x5d5924bff287d725db20ec718459088df92a8f77,2021-10-07T21:52:51.035981,53,4.0
3699,7922,0x0ad7906bec133a9c0b9b00e20cc9f692fad89919,2021-10-07T21:56:09.639242,56,4.1
1013,6840,0xaa75b8c9e01ac2e9fc041a39d36a6536540b2072,2021-10-09T19:55:45.019010,57,6.0
187,5677,0xd78532d93fcc92688cdf80f4f000f171112c80e8,2021-10-12T16:56:46.513223,58,6.4899
1510,5677,0x7a4a50fb054a9d054102dacfa62d5226a29cd2c9,2021-10-08T17:06:04.154448,58,5.8
136,5661,0xf7f189082878846c11a94ddac51c41afc7a7c772,2021-10-12T18:59:53.612715,62,6.69
1297,1564,0xb5010319dcaa7647730c82fac1f45f51a1a875c1,2021-10-09T04:06:46.822460,65,5.7
169,3578,0x384dd4072c80d19b839d76eeb31f28daffc554ea,2021-10-12T17:28:48.471434,66,6.5
3603,3377,0xb12f1f37767d19d63ca5a9889da95cb396c957eb,2021-10-07T22:01:12.958474,67,4.49
895,8390,0x7240a22e4c7cfa7ff851a4b38ef37b36136f5789,2021-10-09T23:09:40.794957,70,6.98
3441,1435,0x7d2f19a1cd262255cde63024ffd5bd3961fb0ad3,2021-10-07T22:09:45.224490,73,3.9
3392,1435,0xf96d09c553db50ef8198eed965df9e660133c23a,2021-10-07T22:12:43.689613,73,5.1069
1460,4482,0xaf4f39798a4d3210edf796ab8510c2e6af94bafd,2021-10-08T18:19:15.330647,76,5.9
2541,7709,0xc807f4900220b519c91550393f70477e13716db8,2021-10-07T23:57:13.250899,82,4.9
1709,3699,0x6ebfdc29d54db480914c0bf379c1912a233d1be2,2021-10-08T11:49:43.743046,83,5.19
1622,6674,0xbb323cd5544dfc50764625000e2a5f43e2f44250,2021-10-08T14:03:47.763492,84,5.15
2008,610,0x43c35dff1dbadea6c439a3326b3b10442c5022b8,2021-10-08T04:07:07.030287,87,5.866666
584,7058,0x93b8893e482faf7472e25b5994acb6ca3631cae6,2021-10-11T05:33:33.026178,90,6.5
3736,7058,0x8ca8d2cbc07edf6512cada0d2573c8f4802a1989,2021-10-07T21:54:21.264010,90,4.44
919,2769,0x7240a22e4c7cfa7ff851a4b38ef37b36136f5789,2021-10-09T22:28:38.626357,93,6.9
2030,8468,0xc013599c796aa0bbc468759304e0e6b007950c2c,2021-10-08T03:44:15.908124,96,5.92
1063,8482,0x9106e7df2d6c34a3ce9d1336b320372285a6ecc6,2021-10-09T16:47:17.153196,97,6.4
1443,5503,0x939601f6ac9c2f5608ea87aa70b360a2bb189c68,2021-10-08T19:06:25.684593,98,5.89
1287,3198,0xab7eb35e027cd543b0751d927a735be48037bb9d,2021-10-09T05:04:33.370437,99,5.7
243,7908,0xbc3a021ed1a205e62f9199ed661f62c18cd35734,2021-10-12T15:51:21.611894,100,5.57
3106,4355,0xbd74c3f96c38478460a0e3c88ac86dd133af72be,2021-10-07T22:37:39.224023,102,5.47
117,366,0xcdb1e7acd76166cccbb61c1d4cb86cc0c033ecfa,2021-10-12T20:45:47.090435,104,6.8
2528,2041,0x7a9e74cdc614670acbb665987062f8efdfcf33fd,2021-10-08T00:01:44.316682,105,6.123
2566,5926,0xa8b4367f09e63a5234abd14f5ef6868b1aed0e7d,2021-10-07T23:50:24.571412,106,5.555
3570,96,0x33c24130e22ef032c46568c7e29c690e1b93b534,2021-10-07T22:02:18.823064,107,6.5
3978,1172,0xd6c7820dfbae71e9159f5c1ba6869eb06284a900,2021-10-07T21:45:30.841974,109,3.6
1109,1172,0x67c018298f29057560082aab7334078cc6bdfb9c,2021-10-09T13:28:51.565600,109,6.33
2383,5758,0x9c4bd68d21bd0111c3c067ea4dcb3505561fb3e2,2021-10-08T00:36:34.507051,110,5.0
1549,4590,0x00d8789d37646469821fc4d516cfdfc3b728d742,2021-10-08T16:13:21.418716,112,5.6
3994,3995,0xd81be2dd1fe5e3f9aada3ffea6d64e62506edacc,2021-10-07T21:45:19.636838,113,3.85
1120,2810,0xc46828ae2e8229efb80ea6c832dd598d26d7d968,2021-10-09T12:41:42.029907,115,6.666
4306,5347,0x9357ac47b1c7c6dc850434e41d8a8107535f5a1d,2021-10-07T21:17:25.516819,116,6.9
388,5347,0x7504e06f69c1873c988bb51d94189489c5b2c904,2021-10-12T03:57:08.710654,116,6.75
1095,3649,0xe4da5af777455fc91c3c5c7732eeb08f89988bd0,2021-10-09T14:51:31.152917,118,6.43
3609,3649,0x95df515077b7bfe200dc3f9c541f9563e19aa3af,2021-10-07T22:00:22.637875,118,4.5
2335,481,0x709e8484023ce971be6ea6edf71473763a1e2af2,2021-10-08T00:51:43.593021,120,5.5
4170,2230,0x435d821ee5b346850545cb18443ca9808a9d47d0,2021-10-07T21:31:25.724187,122,3.9
369,4971,0x87180ec01780ef48f9a581ee22ea8651357a464a,2021-10-12T06:20:15.936996,126,6.46
2753,4971,0x272edd645f795263eb3c4d83b4214ded8982e3ed,2021-10-07T23:15:03.437345,126,5.7
994,1133,0x434191e1ed7b3197022ea38e115cc78b218db5a9,2021-10-09T20:33:52.452871,134,6.4
