TOKEN_ID,TOKEN_NAME,hairstyle,apparel,background,earrings,eyes,eyewear,face filter,forehead accessory,head accessory,lips,necklace,nose,skin,tattoo,goddess
1,8SIAN #1,jingju,military,thailand,white flora,big,none,none,none,none,geisha,white flora,small,hologram,none,
2,8SIAN #2,ninja,afghan dress,pink pattern,white flora,small,none,none,none,sleep mask,tongue twist,garuda,high,pale,none,
3,8SIAN #3,traditional thai,sailor fighter,dark blue,loop,big,none,none,none,none,geisha,none,round,beige,none,
4,8SIAN #4,rouge blue,sporty Top,cute,none,small sleepy,none,none,none,none,thick lips smile,pearl,high,pale,iban,
5,8SIAN #5,big wave,rouge red,blue,none,big catliner,none,none,none,none,tongue out,none,big,latte,none,
6,8SIAN #6,harajuku,empress,black,none,blue,none,none,none,vaposcent,small,abstract,small,latte,none,
7,8SIAN #7,gurung dress,harajuku,thailand,none,big,none,none,bindi dot,none,tongue out,none,high,pale,none,
8,8SIAN #8,hime,suit black,india,none,big roll,none,none,none,none,tongue twist,rapper,small,pale,none,
9,8SIAN #9,boycut,suit white,yellow gradient,none,almond sleepy,none,none,none,none,facemask cat,none,small,yellow,iban,
10,8SIAN #10,bidayuh,adat,nezha,none,big catliner,none,none,none,none,dumbfounded,none,high ring,yellow,none,
11,8SIAN #11,nyonya,thai,milk,none,big roll,sunglasses,none,empress mark,none,thick lips smile,indo,high,yellow,dragon,
12,8SIAN #12,highlight,sailor shirt,fan pattern,none,almond sleepy,none,none,none,sleep mask,geisha,none,small,beige,none,
13,8SIAN #13,empress,khutulun,yellow gradient,abstract,small eyes unimpressed ,sunglasses,none,none,none,geisha,none,round ring,gold,iban,
14,8SIAN #14,asian bowl,tube,thailand,none,small wink,red,none,none,none,small,pearl,big,espresso,none,
15,8SIAN #15,fairy black,nangkwak,yukionna,none,kumiho,none,none,none,none,kali,amaterasu,small,pale,none,
16,8SIAN #16,bidayuh,pink top,blue,none,blue,none,none,none,none,dumbfounded,none,small,espresso,none,
17,8SIAN #17,thai,nyonya,pink,white flora,geisha,none,none,none,sticker manekineko,geisha,none,big,beige,none,
18,8SIAN #18,thai,sarong,puteri gunung ledang,none,geisha,none,none,none,none,thick lips smile,none,round ring,latte,none,
19,8SIAN #19,harajuku,hanfu,red gradient,abstract,small sleepy,none,none,none,none,tongue twist,none,big ring,yellow,none,
20,8SIAN #20,helmet pink,pink top,dark blue,fan,big roll,none,none,none,rabbit ear,smile,none,small,latte,neck,
21,8SIAN #21,korean,nyonya,purple gradient,none,small,bling,none,none,none,thick lips smile,none,round ring,pale,iban,
22,8SIAN #22,bear,8sian blue,milk,none,big roll,none,none,none,halo,smile,none,big,yellow,iban,
23,8SIAN #23,korean,barotsaya,milk,none,big roll,red,none,none,sleep mask,tongue out,simple,round,espresso,none,
24,8SIAN #24,nezha,gurung,korea,tengu,small,none,none,empress mark,sticker bubbletea,tongue twist,simple,round,gold,none,
25,8SIAN #25,thai,batik,apsaras,none,big eyes unimpressed ,none,none,none,sticker bubbletea,red,mermaid,small,yellow,iban,
26,8SIAN #26,wavy,barotsaya,yellow,sushi,almond,gold,none,none,none,thick lips smile,airpod,big,yellow,none,
27,8SIAN #27,nezha,iron fan,lakshimi,lakshimi,small roll,none,none,none,none,kali,mermaid,round,beige,cyborg,
28,8SIAN #28,all back tied,mahjong,dark pink,abstract,big catliner,none,none,none,sleep mask,thick lips smile,none,round ring,beige,none,
