TOKEN_ID,TOKEN_NAME,Background,Bust,Head,Helmet,BustCover,Eyes,BaseDetail,Detail,EyesAccessory
0,Angry Ape #0000,bg 49,yellow blue bust,head teal vapor,,,,,,
1,Angry Ape #0001,bg 50,magenta bust,head circle tribe,chinese general,,,,,
2,Angry Ape #0002,bg 62,death bust,head red skin,,,,,,
3,Angry Ape #0003,bg 6,orange bust,head deep blue vapor,headphones blue orange,,,,,
4,Angry Ape #0004,bg 11,yellow bust,head black contrast,skull mask,hazmat yellow,,,,
5,Angry Ape #0005,bg 7,neon green bust,head checkered orange black,man bun,,eyes magenta,,,
6,Angry Ape #0006,bg 33,white magenta bust,head checkered red green,,,,,,
7,Angry Ape #0007,bg 34,blue orange bust,head two face 2,chinese soldier,mad left shoulder spike,,,,
8,Angry Ape #0008,bg 54,invert blue bust,head green skin,bandana black,,,terminator left side mouth,,
9,Angry Ape #0009,bg 40,neon green bust,head two face,,,eyes red,,,
10,Angry Ape #0010,bg 52,yellow blue bust,head og,devil horns red,japanese soldier armor,,,,
11,Angry Ape #0011,bg 9,invert green bust,head og,,mad rambo,,,,
12,Angry Ape #0012,bg 4,invert black bust,head magenta bleached,gas mask_02,,,,,
13,Angry Ape #0013,bg 39,goth bust,head striped white orange,elk horns yellow,,eyes glow magenta,,,
14,Angry Ape #0014,bg 9,original bust,head light orange vapor,roman helmet,,eyes glow blue,,,
15,Angry Ape #0015,bg 56,white magenta bust,head blue bleached,,bullet vest camo,,,,
16,Angry Ape #0016,bg 47,checkered blue black bust,head striped white orange,scifi white antennae mask,,eyes glow yellow,,,
17,Angry Ape #0017,bg 18,original bust,head white dark,,suspenders black,,,,
18,Angry Ape #0018,bg 13,original bust,head hyper yellow,devil horns black,,eyes glow yellow,,,
19,Angry Ape #0019,bg 20,original bust,head og,,,,,,
20,Angry Ape #0020,bg 53,yellow bust,head blue tribe,elk horns yellow,,eyes glow lime,,,
