TOKEN_ID,TOKEN_NAME,HYPE TYPE,BASTARDNESS,SONG WORD COUNT,SPEEDOMETER,NUM OF FRAMES,HEAD TURNS,FLOATY HEAD,BACKGROUND GLITCH LEVEL,BACKGROUND MOOD,TYPE,BACKGROUND,FACING DIRECTION,BAD HABIT(S),FACE,NECK,MOUTH,EYES,NOSE,EAR,HEAD,GLITCH PATTERN
0,BASTARD GAN PUNK V2 #0,HYPED AF (ANIMATED),GOD BASTARD,31,SWEEP PICKING (16.66 FPS),188,2,NAH,3 - NOISY,TRANSIENT COLORS,,,,,,,,,,,,
1,BASTARD GAN PUNK V2 #1,CALM AF (STILL),ONE OF A KIND BASTARD,35,,,,,,,LARGE,SOLID AF,RIGHT,EDIBLES???,NUTTIN',NUTTIN',MEDICAL MASK,EYE SHADOW,CLOWN NOSE,NUTTIN',STRINGY HAIR,
2,BASTARD GAN PUNK V2 #2,CALM AF (STILL),NOT A BASTARD,29,,,,,,,LARGE,GLITCHY AF,LEFT,BIG SMOKE,MUSTACHE,GOLD CHAIN,REGULAR,CLOWN EYES,NUTTIN',NUTTIN',BALD,GRID
3,BASTARD GAN PUNK V2 #3,CALM AF (STILL),$UGARWHALE BASTARD,27,,,,,,,LARGE,SOLID AF,RIGHT,EDIBLES???,HANDLEBARS,NUTTIN',LIPSTICK,BIG SHADES,NUTTIN',NUTTIN',WILD HAIR,
4,BASTARD GAN PUNK V2 #4,CALM AF (STILL),CD456 BASTARD,30,,,,,,,APE,GLITCHY AF,RIGHT,PIPE,NUTTIN',NUTTIN',LIPSTICK,HORNED RIM GLASSES,CLOWN NOSE,NUTTIN',WILD WHITE HAIR,PRISM
5,BASTARD GAN PUNK V2 #5,CALM AF (STILL),CD456 BASTARD,28,,,,,,,APE,GLITCHY AF,RIGHT,PIPE,MUSTACHE,NUTTIN',REGULAR,NERD GLASSES,NUTTIN',NUTTIN',TASSLE HAT,EGG CARTON
6,BASTARD GAN PUNK V2 #6,HYPED AF (ANIMATED),CD456 BASTARD,8,STRUMMING (12.5 FPS),192,1,NAH,4 - FLASHIE AF,TRANSIENT COLORS,,,,,,,,,,,,
7,BASTARD GAN PUNK V2 #7,HYPED AF (ANIMATED),EMO BASTARD,11,SWEEP PICKING (16.66 FPS),188,2,NAH,3 - NOISY,TRANSIENT COLORS,,,,,,,,,,,,
8,BASTARD GAN PUNK V2 #8,CALM AF (STILL),NECROMANCER BASTARD,28,,,,,,,APE,SOLID AF,RIGHT,DOUBLE BIG SMOKE,NORMAL BEARD,NUTTIN',LIPSTICK,HEART GLASSES,NUTTIN',NUTTIN',CRAZY HAIR,
9,BASTARD GAN PUNK V2 #9,CALM AF (STILL),L4M3R BASTARD,16,,,,,,,APE,SOLID AF,RIGHT,EDIBLES???,ROSY CHEEKS,NUTTIN',SMILE,X EYES,NUTTIN',NUTTIN',TASSLE HAT HOODIE,
10,BASTARD GAN PUNK V2 #10,CALM AF (STILL),SIMP BASTARD,31,,,,,,,ALIEN,SOLID AF,LEFT,EDIBLES???,CHINSTRAP,GOLD CHAIN,OPEN BUCKS,BIG SHADES,CLOWN NOSE,NUTTIN',BEANIE,
11,BASTARD GAN PUNK V2 #11,CALM AF (STILL),MAXIE BASTARD,16,,,,,,,ALIEN,SOLID AF,RIGHT,EDIBLES???,SHADOW BEARD,GOLD CHAIN,SMILE,CLOWN EYES,SMALL CLOWN NOSE,NUTTIN',BEANIE,
12,BASTARD GAN PUNK V2 #12,HYPED AF (ANIMATED),GAMER BASTARD,26,STRUMMING (12.5 FPS),192,2,NAH,4 - FLASHIE AF,TRANSIENT COLORS,,,,,,,,,,,,
13,BASTARD GAN PUNK V2 #13,HYPED AF (ANIMATED),ZOOMER BASTARD,34,SWEEP PICKING (16.66 FPS),188,2,NAH,3 - NOISY,TRANSIENT COLORS,,,,,,,,,,,,
14,BASTARD GAN PUNK V2 #14,HYPED AF (ANIMATED),POOR BASTARD,35,SWEEP PICKING (16.66 FPS),188,2,NAH,3 - NOISY,TRANSIENT COLORS,,,,,,,,,,,,
15,BASTARD GAN PUNK V2 #15,HYPED AF (ANIMATED),PERSONA NON GRATA BASTARD,31,SWEEP PICKING (16.66 FPS),188,4,NAH,3 - NOISY,TRANSIENT COLORS,,,,,,,,,,,,
16,BASTARD GAN PUNK V2 #16,CALM AF (STILL),PARASITE BASTARD,6,,,,,,,ALIEN,SOLID AF,RIGHT,BIG SMOKE 'n CIGGIE,NUTTIN',NUTTIN',GRILL,REGULAR SHADES,NUTTIN',GOLD EARRING,VAMPIRE HAIR,
