TOKEN_ID,TOKEN_NAME,Background,Body,Shirt,Eyes,Mouth,Hats,Attack,Defense,Special
1,Baby Ape Mutant Club #1,Orange,Pink and Green,Dr,Wide ,Grit,Rainbow,9,8,2
2,Baby Ape Mutant Club #2,Grey,Pink and Green,Senator,X ,stone,Daredevil,7,8,9
3,Baby Ape Mutant Club #3,Aqua,Lava,none,Stone,Stoopid,Daredevil,3,6,10
4,Baby Ape Mutant Club #4,Blue,Blue Leopard ,none,Crying,Funnel,none,8,6,7
5,Baby Ape Mutant Club #5,Purple,Red Leopard,Robe,Crying,Stoopid,Flying,7,3,9
6,Baby Ape Mutant Club #6,Dark Blue,Red Leopard,Leopard,Bloody,Funnel,Dino,10,8,2
7,Baby Ape Mutant Club #7,Yellow,Green Tiger,Tongue,Stone,Stubble,none,4,7,5
8,Baby Ape Mutant Club #8,Purple,Static,Tongue,Stone,Stoopid,Rainbow,4,6,3
9,Baby Ape Mutant Club #9,Purple,Skeleton,Cosmo,Wide ,Grit,Krakken,6,7,6
10,Baby Ape Mutant Club #10,Aqua,Blue Leopard ,none,Fish,Funnel,Cowboy,1,2,8
11,Baby Ape Mutant Club #11,Blue,Red Leopard,Sailor,Eye Patch,Grin,Squid,8,5,5
12,Baby Ape Mutant Club #12,Orange,Pink and Green,Space,Bloody,Funnel,Rainbow,2,9,3
13,Baby Ape Mutant Club #13,Blue,Pink and Green,Leopard,Wide ,Worm,Bunny,4,7,6
14,Baby Ape Mutant Club #14,Blue,Zombie,Yellow jail,Red,Cheesy,none,6,3,6
15,Baby Ape Mutant Club #15,Dark Blue,Red Leopard,Senator,Wide ,Funnel,Cowboy,8,4,6
16,Baby Ape Mutant Club #16,Yellow,Green Tiger,Space,Bloody,Stubble,Fuzzy,7,4,5
17,Baby Ape Mutant Club #17,Orange,Zombie,none,Bug,Worm,Daredevil,3,5,6
18,Baby Ape Mutant Club #18,Aqua,Green Tiger,Yellow jail,Goggle,Grit,none,8,5,6
19,Baby Ape Mutant Club #19,Aqua,Zebra,none,3d,stone,Rainbow,2,2,3
20,Baby Ape Mutant Club #20,Aqua,Skeleton,Space,Red,Stubble,Rainbow,6,4,4
21,Baby Ape Mutant Club #21,Purple,Zombie,Robe,Red,Rage,Krakken,5,8,5
22,Baby Ape Mutant Club #22,Grey,Pink and Green,none,Strained,stone,Ninja,5,6,7
23,Baby Ape Mutant Club #23,Purple,Green Tiger,none,Eye Patch,Stubble,none,9,7,8
24,Baby Ape Mutant Club #24,Yellow,Skeleton,Yellow jail,Eye Patch,Grin,Captain,5,6,9
25,Baby Ape Mutant Club #25,Dark Blue,Green Tiger,none,Wide ,Knife,none,1,6,7
26,Baby Ape Mutant Club #26,Aqua,Blue Leopard ,Yellow jail,Fish,Stoopid,none,7,2,2
