TOKEN_ID,TOKEN_NAME,Background,Fur,Neck,Mouth,Eye,Earring,Head
0,#0,Yellow,Dark,Alien Tattoo,Bubblegum,Black Glasses,Silver,Straw Hat
1,#1,New Punk Blue,Red,Alien Tattoo,Bored,3D Glasses,None,Brown Mafia Hat
2,#2,Blue,Dark,Bare,Surprise,Eyepatch,None,Party Hat
3,#3,Purple,Brown,Bow-Tie,Phoneme Wah,Zombie Eye,Double Silver,Magician
4,#4,Army Green,Dark,Bare,Bored,Black Glasses,None,Beanie
5,#5,Army Green,Golden Brown,Bare,Bored,Sad,Gold,Duck
6,#6,Aquamarine,Pink,Bow-Tie,Cigar,Black Glasses,Double Silver,Sakkat
7,#7,Aquamarine,Dark,Alien Tattoo,Cigarette,Holographic,None,Viking
8,#8,Yellow,Brown,Bare,Rainbow,Zombie Eye,None,Bare
9,#9,New Punk Blue,Golden Brown,Silver,Bored,X Eyes,None,Santa
10,#10,New Punk Blue,Gold,Bare,Angry,Sad,None,Violet Cap
11,#11,Yellow,Golden Brown,Alien Tattoo,Cigarette,Normal,Gold,Horns
12,#12,Orange,Golden Brown,Bare,Bored,Shutter Glasses,None,White Mafia Hat
13,#13,Aquamarine,Pink,Bare,Tongue Out,X Eyes,Silver,Brown Mafia Hat
14,#14,Orange,Brown,Bare,Bored,Small Blue Glasses,None,Bare
15,#15,Yellow,Golden Brown,Bare,Vampire,Summer Glasses,Silver,Bunny Ears
16,#16,Army Green,Brown,Anchor Tattoo,Beard,Black Glasses,None,Bare
17,#17,Purple,Dark,Silver,Pizza,Eyepatch,None,Peter Pan
18,#18,Blue,Pink,Bare,Rainbow,Normal,Silver,BBAC Blue Cap
19,#19,Orange,Tan,Anchor Tattoo,Beard,Blue Glasses,None,Sombrero
20,#20,Purple,Dark,Bare,Bored,3D Glasses,None,Magician
21,#21,Orange,Red,Bare,Beard,Brown Glasses,Gold,Crazy Hair
22,#22,New Punk Blue,Golden Brown,Bow-Tie,Bored,Zombie Eye,None,Beret
23,#23,Purple,Dark,Heart Tattoo,Phoneme Wah,Normal,None,Magician
24,#24,Purple,Robot,Neckband,Bored,Normal,None,Horns
25,#25,Blue,Albino,Silver,Bored,X Eyes,None,Dreadlocks
26,#26,Blue,Tan,Bare,Angry,Brown Glasses,Double Gold,Police
27,#27,Grey,Golden Brown,Bare,Cigarette,Black Glasses,Silver,Grey Cap
28,#28,Purple,Golden Brown,Z Chain,Bored,Normal,Silver,Knitted Orange
29,#29,Orange,Blue,Bare,Vampire,Normal,None,Knitted Orange
30,#30,Aquamarine,Dark,Bare,Cigar,Black Glasses,Silver,Bunny Ears
31,#31,Purple,Gold,Heart Tattoo,Pipe,Brown Glasses,None,Crazy Hair
32,#32,Blue,Dark,Ruby,Party Horn,Coins,Diamond Stud,Bare
33,#33,Blue,Pink,Bow-Tie,Tongue Out,Coins,None,Bare
34,#34,Blue,Dark,Ruby,Tongue Out,Blue Glasses,None,Sombrero
35,#35,Grey,Golden Brown,Z Chain,Vape,White Glasses,Double Silver,Horns
36,#36,Blue,Tan,Bare,Bubblegum,Blue Glasses,None,Viking
37,#37,Blue,Brown,Bare,Black Mask,3D Glasses,None,White Mafia Hat
38,#38,New Punk Blue,Brown,Bare,White Mask,Small Blue Glasses,None,Navy
39,#39,Blue,Pink,Bare,Unshaven,Hungover,Silver,Magician
40,#40,Yellow,Dark,Bare,Bubblegum,Big Black Glasses,Diamond Stud,Blue Headband
41,#41,New Punk Blue,Brown,Gold,Bored,Black Glasses,None,BBAC Blue Cap
42,#42,New Punk Blue,Dark,Bow-Tie,Angry,Eyepatch,None,Knitted Black
43,#43,New Punk Blue,Tan,Neckband,Big Beard,Robot,Double Silver,BBAC Winter Hat
44,#44,Aquamarine,Golden Brown,Alien Tattoo,Angry,Normal,Gold,Beret
45,#45,Purple,Golden Brown,Silver,Unshaven,Normal,Silver,BBAC Winter Hat
46,#46,Orange,Tan,Bare,Cigarette,Normal,Silver,Grey Cap
47,#47,Blue,Pink,Bare,Vampire,Zombie Eye,Double Gold,Knitted Orange
48,#48,Orange,Blue,Bare,Party Horn,Hungover,Diamond Stud,Brown Mafia Hat
49,#49,New Punk Blue,Golden Brown,Bare,Vampire,Scumbag,None,Magician
50,#50,Orange,Golden Brown,Z Chain,Angry,Brown Glasses,None,Red Headband
51,#51,Orange,Red,Alien Tattoo,Cigarette,Normal,None,White Mafia Hat
52,#52,Blue,Golden Brown,Bare,White Mask,Brown Glasses,None,Viking
53,#53,New Punk Blue,Brown,Z Chain,Pipe,Closed,None,Mohawk
54,#54,Purple,Tan,Bare,Bored,Shutter Glasses,None,Mohawk
55,#55,Orange,Pink,Bare,Bored,Normal,None,Fez
56,#56,Yellow,Dark,Alien Tattoo,White Mask,Coins,Double Silver,Red Bandana
57,#57,New Punk Blue,Golden Brown,Alien Tattoo,Surprise,Normal,Gold,Service
58,#58,Orange,Golden Brown,Neckband,Vape,Blue Glasses,None,Bare
59,#59,Orange,Golden Brown,Bare,Bored,Black Glasses,Silver,Kalpac
60,#60,New Punk Blue,Dark,Bow-Tie,Cigarette,Big Black Glasses,None,Mohawk
61,#61,Orange,Cream,Bare,Pizza,Small Blue Glasses,Double Silver,Green Mohawk
62,#62,Grey,Golden Brown,Bare,Tongue Out,Summer Glasses,None,Blue Bandana
63,#63,Blue,Blue,BBAC Tattoo,Phoneme Wah,Coins,None,Bare
64,#64,Orange,Tan,BBAC Tattoo,Surprise,Shutter Glasses,None,Blue Bandana
65,#65,Grey,Tan,Bare,Bubblegum,Normal,None,Red Headband
66,#66,Yellow,Golden Brown,Neckband,Bored,Sad,Gold,Blue Bandana
67,#67,Yellow,Pink,Ruby,Bored,Normal,Silver,Red Headband
