TOKEN_ID,TOKEN_NAME,Background,Fur,Torso,Eyes,Head,Nose,Earring,Cake's Special Batch
1,Caked Apes #1,Most Important Meal,Devil Clouds Grape Juice,Biker WTF,Candy Nickles,Kong Snapback,Beta Bandana,,
2,Caked Apes #2,Saturday Morning Cartoon Sunrise,Raspberry Weed Afterlife,Roboto Cat Fren,Zombie Plant,Cyclops Mopey Fren,Maneki Heart Raspberry,,
3,Caked Apes #3,Saturday Morning Cartoon Sunrise,Rainbow River Peach Cobbler,Doge Pup Degen Bag Raspberry,Drip Patch Snot,Slime Mopey,Beta Kong,,
4,Caked Apes #4,Ghostlove,Mint Lime,Smoking Mopey Robe Icy,Staring Daggers,Slime Hair,Cooler Cat,,
5,Caked Apes #5,Get Back To Work,Mint Lime,Hip Hop Slime,Sappy Skulls,Peaceful Pilot Primary,Maneki Grillz Gold,,
6,Caked Apes #6,Saturday Morning Cartoon Sunset,Rainbow River Peach Cobbler,Beta Zero Katana Lime Raspberryade,Maneki Gaze,Ape Angel Fren,Maneki Grillz Gold,,
7,Caked Apes #7,Drips Cotton Candy,Cyborg Cinnamon,Slime Guy Drip Purple Suspenders Fren,Robopets UFO Icy,Fox Fam Lime,Maneki Grillz Gold,,
8,Caked Apes #8,Casino Mouse Blueberry,Demon Prince,Raspberry Lemur Coat,Patch Plant Circuit Bored,Ape Angel Fren,Raspberry,,
9,Caked Apes #9,plain,Cyborg Lavender Fire,Hoodie Grape,Maneki Gaze,Slime Mopey,Alien Spaceship,,
10,Caked Apes #10,Casino Mouse Blueberry,Purple Pain,Peaceful General Salt,Zombie Plant,Mopey Hat,Angry Lime,,
11,Caked Apes #11,What Day Is It? Church Wine,Rainbow River Sherbet,Hip Hop Slime,Cyclops Moon,Beta Zero Coral Antlers,Raspberry Skull ,,
12,Caked Apes #12,Saturday Morning Cartoon Sunset,Rainbow River Sherbet Sketchbook,Pissbird Fren,Zombie Plant,Carrot Cake Fren,Alien Spaceship,,
13,Caked Apes #13,What Day Is It? Charcoal,Grape Slime,Doge Pup Degen Bag Icy,Candy Nickles,Cyclops Mopey Fren,Fake Smiles,,
14,Caked Apes #14,Sunrise,Grape Slime,Winks Fren,Sad Sight,Beta Zero Flow Lime Flow,Maneki Grillz Church Wine,,
15,Caked Apes #15,Casino Mouse Charcoal,Ice Cube,Peaceful General Salt,Patch Plant Circuit Bored,Cake Slice,Slime Portal,,
16,Caked Apes #16,Revolving World Hell,Devil Clouds Cinnamon,Hoodie Grape,Maneki Gaze,Peaceful Pilot Candy,Icy Graveyard,,
17,Caked Apes #17,Revolving World Hell,Demon Prince,Dagger Vest,Cyclops Moon,Cake Slice,Angry Lime,,
18,Caked Apes #18,Sunset,Ice Cube,Slime Suspenders,Raspberry Brain,Cake Slice,WTF Factory Lime,,
19,Caked Apes #19,Saturday Morning Cartoon Sunset,Burning Yeti,Beta Zero Katana Lime Raspberryade,Doge Pound Cherry,Brain Visor,Lime,,
20,Caked Apes #20,Casino Mouse Cloudy,Demon Prince,Biker WTF,Doge Pound Orange,Gutter Cat Raspberry,Lit Birthday Icy,,
