TOKEN_ID,TOKEN_NAME,1/1,Skin,Background,Cloth,Mouth,Eyes,Hats
1,Chubby Kaiju #1-1,None,Music Red,Rare,Purple Lover,Gangster,Sunglasses,Safety Helmet
2,Chubby Kaiju #2,None,Money Orange,SOS,Tentacles,Fish,Future Cyclopes,Cool Crown
3,Chubby Kaiju #3-3,None,Money Orange,Rare,Clown,Rainbow,Pirate,Sleep Hat
4,Chubby Kaiju #4-4,None,Money Teal,Common,K,Meh,Curious,Yarmulke
5,Chubby Kaiju #5-5,None,Power Wolf,Rare,Seal Suit,Greedy,Pirate,Cowboy
6,Chubby Kaiju #6-6,None,Money RainBow,Common,Polo,Angry,Curious,Bath
7,Chubby Kaiju #7-7,None,Music Green,Common,Football,Meh,Guilty,Beanie
8,Chubby Kaiju #8-8,None,Music Green,Uncommon,Formal Suit,Tongue,Purple Eye,Beret Hat
9,Chubby Kaiju #9-9,None,Power Black,Uncommon,Flannel,Upset,Purple Eye,Leprechaun
10,Chubby Kaiju #10-10,None,Music Gold,Uncommon,Chinese,Confuse,Suspicious,Baseball Cap
11,Chubby Kaiju #11-11,None,Money RainBow,Uncommon,Graduation,Teeth,Puke,Bowhat
12,Chubby Kaiju #12-12,None,Money Teal,Uncommon,Bathroom,Upset,Puke,Chef
13,Chubby Kaiju #13-13,None,Power Black,Uncommon,Construction Vest,Upset,Sad,Kids
14,Chubby Kaiju #14-14,None,Power Wolf,Common,Tshirt,Meh,Guilty,Womans Turban
15,Chubby Kaiju #15-15,None,Music Red,Epic,Racer,Bubblegum,Derp,Hatch
16,Chubby Kaiju #16-16,None,Money Teal,Epic,Racer,Bird,Derp,Pirate
17,Chubby Kaiju #17-17,None,Music Green,Uncommon,Chinese,Confuse,Purple Eye,HighTop
18,Chubby Kaiju #18-18,None,Music Red,Uncommon,Construction Vest,Teeth,Purple Eye,HighTop
19,Chubby Kaiju #19-19,None,Money Teal,Uncommon,Flannel,Teeth,Purple Eye,IceCream
20,Chubby Kaiju #20-20,None,Power Yellow,Common,Tshirt,Sad,Friendly,Vacation
21,Chubby Kaiju #21-21,None,Money Orange,Common,Arab,Normal,Dizzy,Vacation
22,Chubby Kaiju #22-22,None,Music Red,Uncommon,Casual,Confuse,Suspicious,IceCream
23,Chubby Kaiju #23-23,None,Power Yellow,Common,Shirt Tie,Sad,Dizzy,Clown Hair
24,Chubby Kaiju #24-24,None,Music Red,Common,Polo,Joke,Angry,Halo
25,Chubby Kaiju #25-25,None,Power Black,Uncommon,SOS Sweater,Upset,Puke,Leprechaun
26,Chubby Kaiju #26-26,None,Music Red,Uncommon,SOS Gold Sweater,Tongue,Purple Eye,HighTop
27,Chubby Kaiju #27-27,None,Music Gold,Uncommon,Bathroom,Throw Up,Purple Eye,Baseball Cap
28,Chubby Kaiju #28-28,None,Music Red,Common,Sweater,Confident,Curious,Unicorn
29,Chubby Kaiju #29-29,None,Money Teal,Common,Arab,Confident,Angry,Beanie
30,Chubby Kaiju #30-30,None,Music Red,Common,Nerdy,Meh,Guilty,Vacation
31,Chubby Kaiju #31-31,None,Power Yellow,Uncommon,Graduation,Upset,Sad,IceCream
32,Chubby Kaiju #32-32,None,Music Green,Rare,Winter,Greedy,Bandit,Cowboy
33,Chubby Kaiju #33-33,None,Music Red,Epic,Fish,Bird,Puke,Crocket Hat
34,Chubby Kaiju #34-34,None,Music Green,Common,Tshirt,Confident,Friendly,Yarmulke
35,Chubby Kaiju #35-35,None,Power Black,Common,Nerdy,Meh,Friendly,Unicorn
36,Chubby Kaiju #36-36,None,Money Orange,Common,Nerdy,Confident,Guilty,Clown Hair
37,Chubby Kaiju #37-37,None,Power Black,Common,Polo,Angry,Dizzy,Beanie
38,Chubby Kaiju #38-38,None,Power Wolf,Common,Football,Normal,Dizzy,Vacation
39,Chubby Kaiju #39-39,None,Money Orange,Common,Polo,Sad,Dizzy,Womans Turban
40,Chubby Kaiju #40-40,None,Music Gold,Common,Arab,Confident,Guilty,Vacation
41,Chubby Kaiju #41-41,None,Music Red,Common,Arab,Sad,Dizzy,Yarmulke
42,Chubby Kaiju #42-42,None,Money Teal,Common,Nerdy,Normal,Friendly,Womans Turban
43,Chubby Kaiju #43-43,None,Money Teal,Rare,Clown,Gangster,Derp,Chonmage
44,Chubby Kaiju #44-44,None,Money Teal,Epic,Penguin Suit,Bubblegum,Beauty,Roman Helmet
45,Chubby Kaiju #45-45,None,Power Black,Uncommon,SOS Gold Sweater,Teeth,Tears,IceCream
46,Chubby Kaiju #46-46,None,Power Yellow,Uncommon,Construction Vest,Confuse,Purple Eye,Leprechaun
47,Chubby Kaiju #47-47,None,Music Gold,Uncommon,Chinese,Upset,Tears,Round Hat
48,Chubby Kaiju #48-48,None,Money Orange,Uncommon,SOS Gold Sweater,Confuse,Suspicious,Round Hat
49,Chubby Kaiju #49-49,None,Money Orange,Uncommon,Graduation,Throw Up,Purple Eye,IceCream
50,Chubby Kaiju #50-50,None,Power Black,Common,Shirt Tie,Meh,Guilty,Yarmulke
51,Chubby Kaiju #51-51,None,Money Orange,Uncommon,Formal Suit,Teeth,Tears,Bowhat
52,Chubby Kaiju #52-52,None,Money Teal,Uncommon,Flannel,Teeth,Puke,Baseball Cap
53,Chubby Kaiju #53-53,None,Power Yellow,Common,Nerdy,Confident,Friendly,Beanie
54,Chubby Kaiju #54-54,None,Money RainBow,Common,Shirt,Meh,Angry,Yarmulke
55,Chubby Kaiju #55-55,None,Power Yellow,Rare,Seal Suit,SmokingPipe,Sunglasses,Cowboy
56,Chubby Kaiju #56-56,None,Power Yellow,Epic,Racer,Bubblegum,Flame,Pirate
57,Chubby Kaiju #57-57,None,Power Black,Common,Tshirt,Confident,Lazy,Red Cap
58,Chubby Kaiju #58-58,None,Music Red,Rare,Purple Lover,Clown,Pirate,Octopus
59,Chubby Kaiju #59-59,None,Power Wolf,Rare,Bearish,Rainbow,AlmostCry,Villager
60,Chubby Kaiju #60-60,None,Music Red,Rare,Hoodie,Gangster,Terrifying,Graduation
61,Chubby Kaiju #61-61,None,Music Green,Common,Sweater,Angry,Dizzy,Halo
62,Chubby Kaiju #62-62,None,Music Green,Common,Shirt Tie,Joke,Curious,Birthday
63,Chubby Kaiju #63-63,None,Power Yellow,Uncommon,SOS Gold Sweater,Throw Up,Sad,Beret Hat
64,Chubby Kaiju #64-64,None,Money Teal,Uncommon,Bathroom,Tongue,Sad,Leprechaun
65,Chubby Kaiju #65-65,None,Power Yellow,Rare,Tuxedo,Greedy,Sunglasses,Chonmage
66,Chubby Kaiju #66-66,None,Music Red,SOS,Ninja,SOS Covid Mask,Dragonball,Circuit Board
67,Chubby Kaiju #67-67,None,Money Orange,Common,Tshirt,Angry,Friendly,Clown Hair
68,Chubby Kaiju #68-68,None,Music Green,Uncommon,SOS Gold Sweater,Teeth,Suspicious,Military
69,Chubby Kaiju #69-69,None,Power Black,Common,TankTop,Confident,Lazy,Red Cap
70,Chubby Kaiju #70-70,None,Money Orange,Common,TankTop,Joke,Guilty,Halo
71,Chubby Kaiju #71-71,None,Power Black,Rare,Winter,Greedy,Sunglasses,Villager
72,Chubby Kaiju #72-72,None,Money Orange,Rare,YO,Gangster,Terrifying,Detective
73,Chubby Kaiju #73-73,None,Money Orange,Common,Arab,Joke,Curious,Yarmulke
74,Chubby Kaiju #74-74,None,Music Green,Rare,Seal Suit,Greedy,Bandit,Sleep Hat
75,Chubby Kaiju #75-75,None,Power Wolf,Common,Sweater,Sad,Curious,Farmer
76,Chubby Kaiju #76-76,None,Music Red,Common,Sweater,Sad,Dizzy,Unicorn
77,Chubby Kaiju #77-77,None,Power Yellow,Uncommon,SOS Gold Sweater,Throw Up,Suspicious,Kids
78,Chubby Kaiju #78-78,None,Power Yellow,Common,TankTop,Meh,Curious,Unicorn
79,Chubby Kaiju #79-79,None,Music Gold,Common,Arab,Joke,Dizzy,Beanie
80,Chubby Kaiju #80-80,None,Music Gold,Common,Arab,Normal,Dizzy,Birthday
81,Chubby Kaiju #81-81,None,Money Teal,Uncommon,Casual,Teeth,Puke,Leprechaun
82,Chubby Kaiju #82-82,None,Music Red,Uncommon,SOS Gold Sweater,Throw Up,SuperLazy,Beret Hat
83,Chubby Kaiju #83-83,None,Power Yellow,Common,Football,Joke,Dizzy,Beanie
84,Chubby Kaiju #84-84,None,Money Teal,Uncommon,Construction Vest,Tongue,Sad,Leprechaun
85,Chubby Kaiju #85-85,None,Power Wolf,Rare,Seal Suit,SmokingPipe,Derp,Greek
86,Chubby Kaiju #86-86,None,Music Green,Common,Arab,Normal,Guilty,Bath
87,Chubby Kaiju #87-87,None,Money Orange,SOS,T-rex,Fish,Dragonball,Cool Crown
88,Chubby Kaiju #88-88,None,Music Green,Rare,YO,Greedy,Derp,Detective
89,Chubby Kaiju #89-89,None,Music Gold,Common,Nerdy,Joke,Lazy,Red Cap
90,Chubby Kaiju #90-90,None,Music Red,Common,TankTop,Confident,Curious,Halo
91,Chubby Kaiju #91-91,None,Music Red,Common,Shirt Tie,Joke,Friendly,Halo
92,Chubby Kaiju #92-92,None,Money Teal,Rare,Hoodie,Rainbow,AlmostCry,Detective
93,Chubby Kaiju #93-93,None,Power Wolf,Common,Shirt Tie,Sad,Guilty,Womans Turban
