TOKEN_ID,TOKEN_NAME,Background,Body,Mouth,Eyes,Hat,Chain,Earrings,Legendary,Shoes
1,CryptoBat #1,Indigo,Cotton Candy,E-Puff,Eye Patch,Stray Hairs,,,,
2,CryptoBat #2,Slate,Aped In,Blue Toad Smile,Green Clown,Black Ozzy Hair,,,,
3,CryptoBat #3,Periwinkle,Swamp Lumps,Doogle Bug,Side Eye,Joker Hair,,,,
4,CryptoBat #4,Periwinkle,Ghostly White,E-Puff,High,Blonde Mohawk,Silver,,,
5,CryptoBat #5,Wedgewood,Brainzzz,Doogle Bug,Cute Brown,Bowler Hat,,,,
6,CryptoBat #6,Lavender,Gothic Black,Pizza,Purple Clown,,,,,
7,CryptoBat #7,Bone,Gothic Black,Clown Smile,Closed,Fez,,,,
8,CryptoBat #8,Ash,Royal Blue,Green Goo,High,Green Mohawk,,,,
9,CryptoBat #9,Ash,Emerald Green,Smirk,Green,Red Ozzy Hair,,,,
10,CryptoBat #10,Savvy Teal,Blonde Bombshell,Doogle Bug,Dead,Joker Hair,,,,
11,CryptoBat #11,Lavender,Dark Brown,Chill,Red Lasers,Blonde Mohawk,Gold Cross,,,
12,CryptoBat #12,Slate,Slimeee,Blood Fangz,Aye Eye Captain,Blonde Ozzy Hair,,,,
13,CryptoBat #13,Mantis,Gothic Black,Silver Fangz,Evil,Club Hat,,,,
14,CryptoBat #14,Batenza,Mouse Grey,Bored,Spectacles,White Captain Hat,,Ruby Stud,,
15,CryptoBat #15,Ash,Brainzzz,Peach Toad Smile,Ozzy Shades,Bowler Hat,,,,
16,CryptoBat #16,Slate,Slimeee,Fangy,Purple Shades,Blonde Mohawk,,,,
17,CryptoBat #17,Blush,Blonde Bombshell,Smirk,Brown,Jack O'Lantern,,,,
18,CryptoBat #18,Slate,Cotton Candy,Doogle Bug,Glasses,Joker Hair,,,,
19,CryptoBat #19,Ash,Blonde Bombshell,Blood Thirsty,Cute,Horns,,,,
20,CryptoBat #20,Noize,Slimeee,Trippy Goo,Blue Noun Glasses,Blonde Mohawk,,,,
21,CryptoBat #21,Slate,Slimeee,Green Goo,Brown,Blonde Ozzy Hair,,,,
22,CryptoBat #22,Lavender,Mouse Grey,Blue Toad Smile,Evil,Alfalfa,,,,
23,CryptoBat #23,Violet,Mouse Grey,Peach Toad Smile,Red Lasers,Alfalfa,,,,
24,CryptoBat #24,Ash,Gothic Black,Puff,Sassy,Black Ozzy Hair,,,,
25,CryptoBat #25,Charcoal,Gothic Black,Chill,Evil,Crown,Silver,,,
26,CryptoBat #26,Mantis,Dark Brown,Smiley,Dead,Banananananana,,,,
27,CryptoBat #27,Cosmic,Dark Brown,Chill,Cute,Yeehaw!,,,,
28,CryptoBat #28,Cosmic,Mouse Grey,E-Puff,Closed,Club Hat,,,,
29,CryptoBat #29,Charcoal,Plasma Red,Smirk,Blue Clown,Stray Hairs,Silver,Silver Hoop,,
30,CryptoBat #30,Mantis,Mouse Grey,Fruit Bat,Brown,Big Brain,,,,
31,CryptoBat #31,Ash,Ginger Puss,Smiley,Closed,Black Ozzy Hair,,,,
32,CryptoBat #32,Indigo,Light Brown,Smirk,Black Glasses,Fez,,Silver Hoop,,
33,CryptoBat #33,Indigo,Blonde Bombshell,Keep Safe!,High,White Captain Hat,,,,
34,CryptoBat #34,Noize,Light Brown,Chill,Side Eye,Blue RS Phat,,,,
35,CryptoBat #35,Charcoal,Plasma Red,Puff,Glasses,What The Duck,,,,
36,CryptoBat #36,Mantis,Gothic Black,Insect Tongue,Blue,Big Brain,,,,
37,CryptoBat #37,Periwinkle,Light Brown,Skull Teeth,Cute,Big Brain,,,,
38,CryptoBat #38,Asphalt,Zebra,Blood Thirsty,Glasses,Green RS Phat,,,,
39,CryptoBat #39,Mantis,Ghostly White,Bored,Spectacles,Stray Hairs,,Diamond Stud,,
40,CryptoBat #40,Violet,Emerald Green,Fangy,Red Noun Glasses,Green Mohawk,,,,
41,CryptoBat #41,Violet,Emerald Green,Blood Fangz,Green Clown,,,,,
42,CryptoBat #42,Slate,Ghostly White,Trippy Goo,Cute,Fez,,,,
43,CryptoBat #43,Asphalt,Light Brown,Doogle Bug,Eye Patch,Crown,,,,
44,CryptoBat #44,Lavender,Cotton Candy,Party Horn,Red Lasers,Blonde Mohawk,Gold,,,
45,CryptoBat #45,Periwinkle,Blonde Bombshell,Doogle Bug,Cute,Blonde Mohawk,,,,
46,CryptoBat #46,Blush,Emerald Green,Rose,Purple Clown,Red Ozzy Hair,,,,
47,CryptoBat #47,Ash,Mouse Grey,Doogle Bug,Side Eye,TopHat,Silver,,,
48,CryptoBat #48,Mantis,Patchwork,Fangy,Green,Halo,Gold Cross,,,
