TOKEN_ID,TOKEN_NAME,Type,Hat,Eyes,Nose,Clothes,Skin,Pattern,Background,Mouth,Tattoo,Skeleton,Goldchain
0,Cryptomories #0,Skeleton,Headphones,Cute Eyes,Normal,Bandana Red,Yellow,Flower Pattern,Purple,,,,
1,Cryptomories #1,Skeleton,Clown Hair Red,Retro Cartoon Eyes,Normal,Hoodie Black POM,Yellow,,Blue,,,,
2,Cryptomories #2,Skeleton,Knitted Beanie Orange,Exasperated Eyes,Normal,Suit Blue,Yellow,Flower Pattern,Light Orange,Cigarette,Small Tattoos,,
3,Cryptomories #3,Skeleton,Roman Helmet,Exasperated Eyes,Normal,Dress Pink,Blue,Flower Pattern,Blue,,,Painted Skeleton,
4,Cryptomories #4,Skeleton,Knitted Beanie Orange,Dead Eyes,Normal,Synthetic Cool Cat Fur Coat,Blue,,Beige,,,,
5,Cryptomories #5,Skeleton,Flower Blue,Rick Eyes,Normal,Hoodie Pink CM,Blue,,Green,Cigarette,,,
6,Cryptomories #6,Skeleton,Sea Captain's Hat,Retro Cartoon Eyes,Normal,T Pink B&B,Red,,Light Red,,,Painted Skeleton,
7,Cryptomories #7,Skeleton,Bandana Dark,Retro Cartoon Eyes,Normal,Sheriff Outfit,Yellow,,Light Red,,Small Tattoos,,
8,Cryptomories #8,Skeleton,Sangoku,Retro Cartoon Eyes,Normal,Bear Fur,Yellow,Flower Pattern,Light Red,,,Painted Skeleton,Gold Chain GM
9,Cryptomories #9,Skeleton,Astro Orange,Exasperated Eyes,Normal,T Pink B&B,Black,Flower Pattern,Aquamarine,,Big Tattoos,,
10,Cryptomories #10,Skeleton,,Gas Mask Bloodshot,Normal,Galactical Emperor Suit,Yellow,,Light Orange,,Big Tattoos,,
11,Cryptomories #11,Skeleton,Clown Hair Red,Spider Eyes,Normal,Tank Top Blue B&B,Blue,,Light Red,,,,
12,Cryptomories #12,Skeleton,Dread Long Brown,Regular Glasses,Normal,Hoodie Green B&B,,,Blue,,,,Gold Chain Skull
13,Cryptomories #13,Skeleton,Dread Short Dark,Retro Cartoon Eyes,Normal,King Robe,,Flower Pattern,Light Red,,,Painted Skeleton,
14,Cryptomories #14,Skeleton,Flower Crown Pink,Happy Eyes,Normal,Clown Outfit,,Aztec Patterns,Beige,,Small Tattoos,Painted Skeleton,
15,Cryptomories #15,Skeleton,Shell Red,Cyclop Eye,Normal,Work Outfit Red,Black,,Purple,,Big Tattoos,,
16,Cryptomories #16,Skeleton,Flower Crown Blue,Cute Eyes,Normal,Italian Plumber Oufit,,,Grey,Pipe,Big Tattoos,Painted Skeleton,
17,Cryptomories #17,Skeleton,Pirate Hat CM,Square Shades,Normal,Synthetic Cool Cat Fur Coat,Red,Aztec Patterns,Aquamarine,,Small Tattoos,Painted Skeleton,
18,Cryptomories #18,Skeleton,Arrow,Angry Eyes,Normal,Bear Fur,Blue,Aztec Patterns,Grey,,,,
19,Cryptomories #19,Skeleton,Unicorn Horn,Laser Eyes,Normal,Dress Pink,Blue,Aztec Patterns,Aquamarine,,Small Tattoos,,
20,Cryptomories #20,Zombie,Bandana Dark,Square Shades,Normal,Samurai Blue,,Aztec Patterns,Blue,,Small Tattoos,,Gold Chain Skull
21,Cryptomories #21,Skeleton,Biker Helmet Green Goggles,Retro Cartoon Eyes,Normal,Bear Fur,Blue,Flower Pattern,Grey,,Small Tattoos,,
22,Cryptomories #22,Skeleton,Headband Red,Fantasia Eyes,Normal,Bandana Blue,Aquamarine,,Blue,,Big Tattoos,,
23,Cryptomories #23,Zombie,Party Hat,Happy Eyes,Normal,Work Outfit Blue,,Aztec Patterns,Purple,,Big Tattoos,,
24,Cryptomories #24,Skeleton,Knitted Beanie Orange,Crazy Eyes,Normal,Admirals Coat Black,Yellow,Aztec Patterns,Beige,,Big Tattoos,,
25,Cryptomories #25,Skeleton,Dread Long Blond,Exasperated Eyes,Normal,Work Outfit Red,Red,Aztec Patterns,Purple,,Small Tattoos,Painted Skeleton,
26,Cryptomories #26,Skeleton,Manga Hair  Dark,Bored Eyes,Normal,Rick Outfit,Black,Flower Pattern,Beige,,Small Tattoos,Painted Skeleton,
27,Cryptomories #27,Skeleton,Arrow,Happy Eyes,Normal,T Pink B&B,,Flower Pattern,Beige,,Big Tattoos,,
28,Cryptomories #28,Devil,Dread Short Brown,Happy Eyes,Normal,Dress Pink,,,Beige,,,,
29,Cryptomories #29,Skeleton,Knight Helmet,Cyclop Eye,Normal,Admirals Coat White ,Blue,Flower Pattern,Aquamarine,,Small Tattoos,,
30,Cryptomories #30,Zombie,Dread Long Brown,Cute Spider Eyes,Normal,Bear Fur,,Flower Pattern,Purple,,Big Tattoos,,
31,Cryptomories #31,Skeleton,Cap B&B Purple,Happy Eyes,Normal,Clown Outfit,,Aztec Patterns,Aquamarine,,,Painted Skeleton,Gold Chain Skull
32,Cryptomories #32,Skeleton,,Exasperated Eyes,Normal,Hoodie Blue B&B,,Flower Pattern,Aquamarine,,,,
33,Cryptomories #33,Skeleton,Unicorn Horn,Logo Eyes,Normal,Samurai Blue,,Aztec Patterns,Blue,,,Painted Skeleton,
34,Cryptomories #34,Skeleton,Metal Spikes,Monocle,Normal,T Grey POM,,Aztec Patterns,Blue,,,Painted Skeleton,
35,Cryptomories #35,Skeleton,Bandana Blue,Cyclop's Glasses,Normal,Denim Overalls,Rainbow,,Aquamarine,,,,
36,Cryptomories #36,Skeleton,Dread Long Dark,Happy Eyes,Normal,Denim Overalls,,,Grey,,Small Tattoos,,Gold Chain Skull
37,Cryptomories #37,Skeleton,Rick Hair,Heart Eyes,Normal,Roman Soldier Armor,Black,Flower Pattern,Light Red,,,,
38,Cryptomories #38,Skeleton,Biker Helmet Black Spikes POM,Retro Cartoon Eyes,Normal,Dress Blue,Rainbow,Aztec Patterns,Aquamarine,,,,
39,Cryptomories #39,Skeleton,,Bored Eyes,Normal,Hoodie Pink CM,Rainbow,,Grey,,,,
40,Cryptomories #40,Robot,Metal Spikes Mohawk,Happy Eyes,Normal,Sweater Pink CM,,,Beige,,,,
41,Cryptomories #41,Skeleton,Arrow,Cool Shades,Normal,,Black,Flower Pattern,Green,,,,
42,Cryptomories #42,Zombie,Knitted Beanie Red,Aviator Glasses,Normal,Freedy Tank Top,,,Beige,,Big Tattoos,,
43,Cryptomories #43,Skeleton,,Sad Eyes,Normal,Work Outfit Red,Red,Aztec Patterns,Grey,,,,
44,Cryptomories #44,Devil,Vietnam Era Helmet,Bloodshot,Normal,T Grey POM,,Aztec Patterns,Aquamarine,,Big Tattoos,,
45,Cryptomories #45,Skeleton,Beret Green,Dead Eyes,Normal,T Grey POM,,,Beige,,Big Tattoos,,
46,Cryptomories #46,Skeleton,,Happy Eyes,Normal,T Grey POM,Red,Aztec Patterns,Blue,,Small Tattoos,,
47,Cryptomories #47,Skeleton,Sombrero,Heart Eyes,Normal,Freedy Tank Top,,,Beige,,Small Tattoos,,Gold Chain Skull
48,Cryptomories #48,Skeleton,Dread Long Dark,Regular Glasses,Normal,Dress Blue,Blue,,Aquamarine,Cigarette,,,
49,Cryptomories #49,Skeleton,Sport Headband,Exasperated Eyes,Normal,Armor Blue,Yellow,,Blue,,,,
50,Cryptomories #50,Gold,Pirate Hat CM,Bloodshot,Normal,Bathrobe White,,,Light Red,,,,
51,Cryptomories #51,Skeleton,Feather,Crazy Eyes,Normal,Italian Plumber Oufit,,,Grey,,Big Tattoos,Painted Skeleton,Gold Chain GM
52,Cryptomories #52,Skeleton,Knitted Beanie Orange,Regular Glasses,Clown,King Robe,Yellow,Aztec Patterns,Green,,Small Tattoos,,
53,Cryptomories #53,Robot,,Pirate Patch Peaceful,Normal,Denim Overalls,,,Green,,,,
54,Cryptomories #54,Devil,Sport Headband,Happy Eyes,Normal,Fake Shaolin Outfit,,Flower Pattern,Grey,,Big Tattoos,,
55,Cryptomories #55,OpenSkull,Moon,Cyclop Eye,Normal,Bandana Blue,,,Beige,Cigarette,,,Gold Chain Skull
56,Cryptomories #56,Zombie,Flower Blue,Dead Eyes,Normal,Badass Leather Jacket,,,Beige,,Small Tattoos,,
57,Cryptomories #57,Skeleton,,Retro Cartoon Eyes,Normal,Rick Outfit,Blue,,Light Red,,Big Tattoos,,Gold Chain GM
58,Cryptomories #58,Skeleton,,Happy Eyes,Normal,Sheriff Outfit,Blue,,Light Red,,Small Tattoos,,
59,Cryptomories #59,Devil,Savage Hair Red,Bored Eyes,Normal,Sweater Green CM,,,Aquamarine,,Big Tattoos,,
60,Cryptomories #60,Skeleton,Viking Helmet,Crazy Eyes,Normal,Badass Leather Jacket,,Aztec Patterns,Purple,,,,
61,Cryptomories #61,Zombie,Manga Hair  Purple,Cyclop's Glasses,Normal,Rick Outfit,,Aztec Patterns,Aquamarine,,,,
62,Cryptomories #62,Skeleton,,Heart Eyes,Normal,Dress Blue,Blue,Flower Pattern,Green,,Big Tattoos,,
63,Cryptomories #63,Skeleton,,Happy Eyes,Normal,Tank Top Grey POM,Red,Flower Pattern,Light Orange,,Small Tattoos,,
64,Cryptomories #64,Devil,Flower Crown Pink,Happy Eyes,Normal,T Grey POM,,,Light Red,Cigarette,,,
65,Cryptomories #65,Skeleton,Musician Hat,Exasperated Eyes,Normal,,Red,Aztec Patterns,Beige,,Small Tattoos,,
66,Cryptomories #66,Skeleton,Biker Helmet Green Goggles,Crazy Eyes,Normal,Hoodie Pink CM,,Flower Pattern,Green,,,,
67,Cryptomories #67,Skeleton,Party Hat,Aviator Glasses,Normal,Sheriff Outfit,,,Beige,,,Painted Skeleton,
68,Cryptomories #68,Skeleton,Musician Hat,Happy Eyes,Clown,Tank Top Blue B&B,,Flower Pattern,Green,Cigarette,,,
69,Cryptomories #69,Skeleton,Kitty Red Bow,Happy Eyes,Normal,Sweater Green CM,Blue,Aztec Patterns,Green,Tongue,Big Tattoos,,
70,Cryptomories #70,Skeleton,Vietnam Era Helmet,Bloodshot,Normal,Bathrobe White,Yellow,Flower Pattern,Green,,,,
71,Cryptomories #71,Zombie,,Cute Eyes,Normal,Hoodie Green B&B,,,Green,Cigarette,Big Tattoos,,
