TOKEN_ID,TOKEN_NAME,UNIQUENESS INDEX,NAME,Background ID,Skull Gene,Hair Gene,Eyes Gene,Nose Gene,Teeth Gene,Bones Gene,Beard Gene
0,CryptoSkull #0,26,Culmatrak,#15,#0,#122,#22,#2,#2,#15,#8
1,CryptoSkull #1,22,Hontaalthohr,#124,#0,#93,#45,#2,#5,#15,#8
2,CryptoSkull #2,22,Thosurdarm,#60,#10,#98,#9,#5,#0,#15,#8
3,CryptoSkull #3,12,Healnoul,#22,#5,#1,#73,#7,#1,#9,#8
4,CryptoSkull #4,22,Rauhri,#14,#8,#7,#88,#6,#5,#15,#8
5,CryptoSkull #5,22,Sechiuh,#79,#1,#13,#42,#6,#8,#15,#8
6,CryptoSkull #6,22,Thiummouhal,#6,#10,#52,#13,#6,#8,#15,#8
7,CryptoSkull #7,12,Khardec,#34,#6,#75,#5,#6,#4,#5,#8
8,CryptoSkull #8,16,Krizutrohr,#69,#3,#122,#2,#2,#5,#11,#8
9,CryptoSkull #9,1,Terminator,,,,,,,,
10,CryptoSkull #10,15,Bhaophristhel,#63,#1,#122,#2,#1,#9,#15,#4
11,CryptoSkull #11,16,Biblimahr,#58,#8,#122,#88,#4,#8,#12,#8
12,CryptoSkull #12,25,Broneac,#44,#12,#122,#66,#7,#0,#15,#8
13,CryptoSkull #13,22,Heachol,#24,#5,#52,#1,#5,#4,#15,#8
14,CryptoSkull #14,22,Erdurr,#66,#9,#10,#31,#6,#6,#15,#8
15,CryptoSkull #15,25,Roidhaodoih,#96,#13,#122,#11,#6,#1,#15,#8
16,CryptoSkull #16,22,Friudu,#61,#8,#76,#54,#7,#3,#15,#8
17,CryptoSkull #17,25,Vudax,#42,#2,#122,#79,#6,#7,#15,#8
18,CryptoSkull #18,13,Pheabhaal,#76,#2,#36,#80,#2,#2,#5,#8
19,CryptoSkull #19,1,Thor,,,,,,,,
20,CryptoSkull #20,1,Catrina,,,,,,,,
21,CryptoSkull #21,22,Gozzucun,#70,#14,#92,#25,#4,#2,#15,#8
