TOKEN_ID,TOKEN_NAME,NAME,BACKGROUND,FUR,EYES,CLOTHING,HAIR,MOUTH,PIERCINGS,NECKLACE,HANDBAGS
1,Desperate ApeWife #1,Stay Strong,Macaroon,Bubble gum,Staring,Stay Strong T-shirt ,Pink Bandana,Desperate Pink,,,
2,Desperate ApeWife #2,GoodDollar,H2O,Sky,Awake,GoodDollar Shirt,GoodDollar Hat,Pout,GoodDollar Earrings,,
3,Desperate ApeWife #3,,Eggplant,Tan,Happy,Bikini Red,Bucket Hat,Desperate Cigarette,,Gold Chain,
4,Desperate ApeWife #4,,Pumpkin,Tan,Staring,Maroon Bra,Tiara,Juvederm,,Pearls,
5,Desperate ApeWife #5,,Blueberry,Bubble gum,Crying,Sport Top,Short Wild Brown Hair,Juvederm,Double Loop Earings,Pearls,
6,Desperate ApeWife #6,,Oyster,Silver,Sunglasses Rave,Tie Dye,Princess,Desperate,Single Loop Earings,Ape Beaded Necklace,
7,Desperate ApeWife #7,,Pumpkin,Snow White,Angry,Rock T shirt,Kate Hair,Pout Gummy Snake,,Tennis Necklace,
8,Desperate ApeWife #8,,Mint,Snow White,Happy,White Buttoned Shirt,Minerva,Thinking,,,
9,Desperate ApeWife #9,,Pumpkin,Ocean Sand,Sunglasses High Fashion ,DAW T Shirt,Bunny Ears,Desperate Make Up,Double Loop Earings,,
10,Desperate ApeWife #10,,Watermelon,Tiger,Stoned,White Lingirie,Blonde Ponytails Hair,Desperate,Double Loop Earings,Leopard Scarf,
11,Desperate ApeWife #11,,Blueberry,Snow White,Awake,Pink Nightie,Short Wild Brown Hair,Thinking,Gold Heart Earings,Ape Beaded Necklace,
12,Desperate ApeWife #12,,Macaroon,Floral,Sunglasses Retro Red,Towel,Pink Pixie,Desperate Cigarette,,Bow Tie,
13,Desperate ApeWife #13,,Mint,Tan,Happy,White and Black Shirt,Flower Crown,Desperate,Multipul Earrings,Ape Beaded Necklace,
14,Desperate ApeWife #14,,H2O,Tan,Sunglasses Clubmasters,White Buttoned Shirt,Short Wild Brown Hair,Desperate Pink,Single Loop Earings,,
15,Desperate ApeWife #15,,Pumpkin,Sky,Stoned Gold Eye Shadow,Nurse,Anna Hair,Juvederm,Diamond Earings,,
16,Desperate ApeWife #16,,Mustard,Sky,Angry,White Lingirie,Nurse Hat,Desperate,,Ape Beaded Necklace,
17,Desperate ApeWife #17,,Mustard,Red Wine,Staring,Pink Nightie,Red Beret,Desperate,Cherry Earings,,
18,Desperate ApeWife #18,,Oyster,Zebra,Happy,Red Dress,Blonde Ponytails Hair,Desperate Peach,Multipul Earrings,Pearls,Leather Bag
19,Desperate ApeWife #19,,Watermelon,Ocean Sand,Cupid,Rock T shirt,Bucket Hat,Desperate Pink,,Pearls,
20,Desperate ApeWife #20,,H2O,Ocean Sand,DAW VR,Sport Bra,Marilyn Hair,Desperate Pink,,Yellow Diamond,
21,Desperate ApeWife #21,,Pumpkin,Bubble gum,Happy,Prep School Girl,Red Bandana,Desperate Pink,Single Loop Earings,,
22,Desperate ApeWife #22,,Eggplant,Sky,Sweet,Risky T shirt,DAW Cap,Desperate,,Multiple Necklaces,
23,Desperate ApeWife #23,,Mint,Tan,Stoned,Kimono,Safari Hat,Desperate,Multipul Earrings,,
24,Desperate ApeWife #24,,Pumpkin,Ocean Sand,Sunglasses High Fashion ,Bikini Red,Snow Hair,Desperate Piercings,Single Loop Earings,,
25,Desperate ApeWife #25,,Pumpkin,Charcoal,Stoned,DAW T Shirt,Short Wild Brown Hair,Desperate,Gold Heart Earings,,
26,Desperate ApeWife #26,,H2O,Sky,Hypnosis,Sport Top,Pink Bandana,Desperate,Single Loop Earings,,
27,Desperate ApeWife #27,,Macaroon,Bubble gum,Mutant,Nun Outfit,Tiara,Angry,,,
28,Desperate ApeWife #28,,Macaroon,Tan,LA Eyes,DAW Yoga Top,Tiara,Tongue Out,,Bow Tie,
29,Desperate ApeWife #29,,Watermelon,Charcoal,Staring,Italian Bodysuit,Tiara,Desperate Make Up,,Ape Beaded Necklace,
