TOKEN_ID,TOKEN_NAME,Sex,Fur,Eyes,Eyewear,Top,Neck,Head,Mouth,Nose,Ears,Expression,Background,Music,Dance
0,,Male,Cheetah,Mandala,Cyberpunk Glasses,Pink Jacket,FLUF Logo Chain,Flower Crown,Lollipop,Clown Nose,Santa Hat,Anger,Backalley,I Like to Party,Big Nod
1,,Male,Smoothie,Blue,,,Tie,FLUF Cap,Lollipop,Diamond Stud,Steel Rings,Mouth Open (Left),Swamp,Space Fluffle,Subtle Nod
2,,Male,Zombie (Black),Zombie,,,Tie,Bandana,Mooncrust Pizza,Gold Ring,Steel Rings & Studs,Mouth Open (Middle),Swamp,Hop On By,Side Nod
3,Lebron James,Male,Candy Floss,Portal,,,,Gold Cap,Party Horn,,Gold Rings & Studs,Anger,Mansion,NFT (Instrumental),Groove
4,🚨 Identity Thief Detected 🚨,Male,Moody Blue,Hypnotic,Star Glasses,,,,Party Horn,Steel Stud,Gold Rings,Mouth Open (Left) + Wink,Mansion,Beyond the Gates,Bob
5,,Male,Black & White,Xs,,,Glowstick Necklace,,Tongue Out,Steel Stud,,Grin + Wink,Mystic Valley,Run Rabbit,Subtle Nod
6,Miley Cyrus,Female,Winter,Green,Heart Glasses,Boob Tube,Bowtie (Gold),,Party Horn,Steel Ring,,Anger,Heaven,Rabbiton,Bob
7,Moonlite BunnyRanch,Female,Sandy,Green,Sunglasses,Dress,,Cowboy Hat,,Bone,Steel Rings & Studs,Smile,Beach,Floating or Flying,Side To Side
8,,Male,Tie Dye,Blue,Aviators,Gold Jacket,Tie,Flower Crown,Joint,Bull Ring,Gold Studs,Mouth Open (Right),Dancing in the Shroomlight,Desert Digging,Round
9,Private Joker,Male,Darkness,Demon,Round Glasses,,FLUF Logo Chain,Army Helmet,,,Steel Rings,Blank,Backalley,What the FLUF,Side To Side
10,,Male,Sandy,Scribble,,Tie Dye Singlet,,Holographic Cap,Carrot,,,Mouth Open (Right),Lambo,Ear Wobbler,Side Nod
11,Helios,Male,Smoothie,Purple Rings,,,VIP lanyard,Propeller Hat,Lip Piercings,,Steel Rings,Smile + Wink,Dancing in the Shroomlight,I Like to Party,Side To Side
