TOKEN_ID,TOKEN_NAME,Background,Eye,Fur,Eyewear,Tail,Object,Shirt,Hands,Hat,Expression,1-of-1,Special
1,Hungry Wolves 1,Grey Concrete,Cyborg,Clay,None,Glowing,Barbed Wire Fence,Black T-Shirt,Party Nail,Party Hat,Sad,,
2,Hungry Wolves 2,Rainbow Shine,Gold,Hay,None,Muddy,Guitar Amp,Bowtie,Party Nail,Pirate Hat,Hungry,,
3,Hungry Wolves 3,Rainbow Shine,No Pupils,Brown,None,None,Ice,Pack Chain,Muddy Paws,Beanie,Silly,,
4,Hungry Wolves 4,Rainbow Shine,Bloodshot,Red,None,Muddy,New Whip,Red Soccer Jersey,None,None,Excited,,
5,Hungry Wolves 5,Green Concrete,Yellow,Bronze,None,Gold Piercing,Boulder,Red Soccer Jersey,Handcuffs,Paper Crown,Angry,,
6,Hungry Wolves 6,Grey Concrete,Blue,Blue,None,None,Barbed Wire Fence,None,Glowing Nails,Gold Earring,Silly,,
7,Hungry Wolves 7,Blue Concrete,Blue,Rainbow,None,Gold Piercing,Throne,Red Soccer Jersey,Gold Nails,Red Bandana,Angry,,
8,Hungry Wolves 8,Ice,Cat Eyes,Glowing,None,Snow Covered,Trash Can,Bowtie,Brass Knuckles,Wizard Hat,Hungry,,
9,Hungry Wolves 9,Pink Concrete,Bloodshot,Hay,None,None,Ice,Biker Vest,Gold Nails,Beanie,Calm,,
10,Hungry Wolves 10,Magma,Blue,Bronze,None,Wood,Trash Can,Ripped White T-Shirt,Onyx Nails,Wizard Hat,Calm,,
11,Hungry Wolves 11,Magma,Blue,Golden,None,Muddy,Pile of Bananas,Ripped White T-Shirt,Gold Nails,Devil Horns,Excited,,
12,Hungry Wolves 12,Wolf Den,Yellow,Rainbow,None,None,Barbed Wire Fence,Headphones,Handcuffs,Gold Earring,Angry,,
13,Hungry Wolves 13,Rainbow Shine,Blue,Rainbow,None,Muddy,Pile of Gems,Banana T-Shirt,Brass Knuckles,Pirate Hat,Excited,,
14,Hungry Wolves 14,Graffiti,Bloodshot,Red,None,Gold Piercing,Guitar Amp,Robot Armor,Handcuffs,Party Hat,Calm,,
15,Hungry Wolves 15,Blood Spattered,Cyborg,Glowing,None,Glowing,Barbed Wire Fence,Robot Armor,None,Wizard Hat,Silly,,
16,Hungry Wolves 16,Ice,Bloodshot,Brown,None,Paper Crown,Bricks,Bowtie,Brass Knuckles,Captain's Hat,Calm,,
17,Hungry Wolves 17,Green Concrete,Gold,Glowing,None,Muddy,Trash Can,Bowtie,Onyx Nails,Paper Crown,Silly,,
18,Hungry Wolves 18,Pink Concrete,Gold,Camo,None,None,Boulder,Blue Soccer Jersey,Gold Bracelet,Party Hat,Calm,,
19,Hungry Wolves 19,Rave,Yellow,Zombie,None,Snow Covered,Trash Can,Headphones,Muddy Paws,Red Bandana,Excited,,
20,Hungry Wolves 20,Rainbow Shine,Bloodshot,Hay,None,Snow Covered,Bricks,Headphones,Party Nail,Captain's Hat,Silly,,
21,Hungry Wolves 21,Magma,Cyborg,Night,None,Gold Piercing,Guitar Amp,Ripped White T-Shirt,Gold Bracelet,None,Hungry,,
22,Hungry Wolves 22,Underwater,Blue,Arctic,None,None,Hay,Blue Soccer Jersey,Party Nail,Mohawk,Calm,,
23,Hungry Wolves 23,Green Concrete,Cat Eyes,Brown,None,Wood,Barbed Wire Fence,Hawaiian,Bloody Nails,Gold Earring,Hungry,,
24,Hungry Wolves 24,Blue Concrete,Gold,Clay,None,None,Trash Can,Ripped White T-Shirt,Rainbow Nails,Devil Horns,Calm,,
25,Hungry Wolves 25,Magma,Blue,Bronze,None,Paper Crown,Trash Can,Banana T-Shirt,Party Nail,None,Angry,,
26,Hungry Wolves 26,Blue Concrete,Blue,Grey,None,None,Trash Can,None,Biker Gloves,Mohawk,Calm,,
27,Hungry Wolves 27,Rainbow Shine,Blue,Clay,None,None,Ice,Headphones,Biker Gloves,Halo,Silly,,
28,Hungry Wolves 28,Green Concrete,Cat Eyes,Red,None,Wood,Ice,Hawaiian,Gold Nails,Santa Hat,Calm,,
29,Hungry Wolves 29,Rainbow Shine,Gold,Zombie,None,None,Bricks,Black T-Shirt,Brass Knuckles,None,Angry,,
30,Hungry Wolves 30,Underwater,Yellow,Glowing,None,None,Bricks,Hawaiian,Muddy Paws,None,Hungry,,
31,Hungry Wolves 31,Grey Concrete,Gold,Camo,None,Hay,Trash Can,Green Basketball Jersey,Gold Nails,Paper Crown,Calm,,
32,Hungry Wolves 32,Graffiti,Blue,Grey,None,Muddy,Pile of Bananas,Hawaiian,Bloody Nails,Captain's Hat,Calm,,
33,Hungry Wolves 33,Wolf Den,Blue,Rainbow,None,None,Pile of Gems,Green Basketball Jersey,Gold Bracelet,Gold Earring,Sad,,
34,Hungry Wolves 34,Pink Concrete,Bloodshot,Blue,None,Snow Covered,Trash Can,Bowtie,Biker Gloves,None,Silly,,
35,Hungry Wolves 35,Blue Concrete,Bloodshot,Zombie,None,Muddy,Trash Can,Bowtie,Party Nail,None,Excited,,
36,Hungry Wolves 36,Forest,Blue,Camo,None,Frozen,Trash Can,Yellow Basketball Jersey,Muddy Paws,Mohawk,Calm,,
37,Hungry Wolves 37,Grey Concrete,Cat Eyes,Bronze,None,None,New Whip,Red Soccer Jersey,Glowing Nails,Top Hat,Excited,,
38,Hungry Wolves 38,Grey Concrete,Blue,Glowing,None,Frozen,Pile of Bananas,Bowtie,Ruby Nails,Devil Horns,Calm,,
39,Hungry Wolves 39,Pink Concrete,Bloodshot,Brown,None,None,New Whip,Green Basketball Jersey,Muddy Paws,Red Bandana,Calm,,
40,Hungry Wolves 40,Magma,Yellow,Red,None,Muddy,Boulder,Bowtie,Glowing Nails,Devil Horns,Evil,,
41,Hungry Wolves 41,Blue Concrete,Blue,Glowing,None,Muddy,Ice,None,Party Nail,None,Sad,,
