TOKEN_ID,TOKEN_NAME,Backgrounds,Base character body,Eyes,Facial Hair,Mouth,Body accessories,Extra face accessories,Head accessories,Hand,Kandi,Rare,Hand ,Most Rare
1,#1,bg6,Male BASE 2,Male Eye 4,Facial Hair 3,Mouth 21,Necklace 20,Bandana 20,Male Hair 10,MaleHAND 2,Kandi 25,,,
2,#2,bg4,Female BASE 3,Female Eye 15,,Mouth 7,Necklace 11,Jewel 8,Animal Hood 4,FemaleHAND 3,Kandi 25,,,
3,#3,bg8,Female  BASE 5,Female Eye 7,,Mouth 7,Jacket 19,Face Mask 17,Hat 3,FemaleHAND 5,Kandi 15,,,
4,#4,bg14,Male BASE 5,Male Eye 10,Facial Hair 8,Mouth 24,Jacket 28,Face Mask 6,Hat 24,MaleHAND 5,Kandi 19,,,
5,#5,bg8,Female  BASE 5,Female Eye 3,,Mouth 20,T-Shirt 28,Animal Mask 12,Female Hair 15,FemaleHAND 5,Kandi 16,,,
6,#6,bg11,Female  BASE 5,Female Eye 4,,Mouth 21,Jacket 13,Face Mask 7,Female Hair 13,FemaleHAND 5,Kandi 17,,,
7,#7,bg18,Male BASE 2,Male Eye 9,Facial Hair 9,Mouth 9,Jacket 13,Male Face Tattoo 2,Male Hair 10,MaleHAND 2,Kandi 10,,,
8,#8,bg18,Female  BASE 5,Female Eye 12,,Mouth 18,Necklace 4,Bandana 15,Animal Hood 3,FemaleHAND 5,Kandi 25,,,
9,#9,bg11,Male BASE 2,Male Eye 8,Facial Hair 9,Mouth 17,Jacket 29,Animal Mask 20,Animal Hood 17,MaleHAND 2,Kandi 6,,,
10,#10,bg7,Male BASE 2,Male Eye 13,Facial Hair 7,Mouth 16,Necklace 3,Glasses 25,Hat 27,MaleHAND 2,Kandi 22,,,
11,#11,bg19,Male BASE 2,Male Eye 15,Facial Hair 7,Mouth 24,T-Shirt 1,Glasses 21,Animal Hood 14,MaleHAND 2,Kandi 6,,,
12,#12,bg7,Female BASE 4,Female Eye 1,,Mouth 25,Jacket 24,Female  Face Tattoo 2,Female Hair 10,FemaleHAND 4,Kandi 13,,,
13,#13,bg10,Male BASE 5,Male Eye 7,Facial Hair 9,Mouth 7,Necklace 28,Male Sugar Mask 4,Hat 27,MaleHAND 5,Kandi 30,,,
14,#14,bg2,Female  BASE 2,Female Eye 10,,Mouth 24,Jacket 26,Animal Mask 4,Female Hair 12,FemaleHAND 2,Kandi 12,,,
15,#15,bg11,Male BASE 3,Male Eye 10,Facial Hair 9,Mouth 20,Necklace 12,Glasses 18,Animal Hood 3,MaleHAND 3,Kandi 8,,,
16,#16,bg2,Male BASE 4,Male Eye 15,Facial Hair 7,Mouth 21,Jacket 18,Glasses 19,Hat 14,MaleHAND 4,Kandi 8,,,
17,#17,bg11,Male BASE 5,Male Eye 14,Facial Hair 4,Mouth 19,Necklace 6,Glasses 30,Animal Hood 1,MaleHAND 5,Kandi 30,,,
18,#18,bg4,Male BASE 3,Male Eye 13,Facial Hair 4,Mouth 28,Jacket 30,Face Mask 24,Male Hair 6,MaleHAND 3,Kandi 19,,,
19,#19,bg3,Male BASE 4,Male Eye 3,Facial Hair 10,Mouth 11,Necklace 23,Glasses 12,Hat 17,MaleHAND 4,Kandi 26,,,
20,#20,bg5,Female  BASE 2,Female Eye 14,,Mouth 7,Jacket 4,Bandana 1,Female Hair 13,FemaleHAND 2,Kandi 16,,,
21,#21,bg11,Female BASE 3,Female Eye 1,,Mouth 4,T-Shirt 13,Animal Mask 16,Animal Hood 22,FemaleHAND 3,Kandi 7,,,
22,#22,bg7,Male BASE 3,Male Eye 2,Facial Hair 5,Mouth 6,Necklace 13,Animal Mask 17,Animal Hood 24,MaleHAND 3,Kandi 4,,,
23,#23,bg11,Male BASE 5,Male Eye 3,Facial Hair 4,Mouth 18,Male Tattoo 2,Glasses 18,Male Hair 12,MaleHAND 5,Kandi 9,,,
24,#24,bg19,Male BASE 5,Male Eye 6,Facial Hair 7,Mouth 17,T-Shirt 1,Face Mask 1,Hat 25,MaleHAND 5,Kandi 30,,,
25,#25,bg8,Female  BASE 5,Female Eye 9,,Mouth 24,T-Shirt 1,Female  Face Tattoo 2,Animal Hood 17,FemaleHAND 5,Kandi 27,,,
26,#26,bg17,Male BASE 1,Male Eye 3,Facial Hair 2,Mouth 18,Necklace 27,Bandana 17,Animal Hood 10,MaleHAND 1,Kandi 6,,,
27,#27,bg3,Male BASE 3,Male Eye 10,Facial Hair 5,Mouth 5,Necklace 27,Animal Mask 23,Hat 7,MaleHAND 3,Kandi 11,,,
