TOKEN_ID,TOKEN_NAME,Type,Mouth,Eyewear,Headwear,Accessory
0,Larva Lad #0,Normal,Frown,Classic Shades,None,None
1,Larva Lad #1,Normal,Normal,Eye Patch,None,None
2,Larva Lad #2,Normal,Smile,None,Beanie,None
3,Larva Lad #3,Normal,Normal,Eye Patch,Knitted Cap,Vape
4,Larva Lad #4,Normal,Frown,3D Glasses,Peak Spike,Earring
5,Larva Lad #5,Normal,Smile,None,Bandana,None
6,Larva Lad #6,Normal,Normal,None,Messy Hair,None
7,Larva Lad #7,Normal,Normal,None,None,None
8,Larva Lad #8,Normal,Normal,Regular Shades,None,None
9,Larva Lad #9,Normal,Normal,Regular Shades,None,None
10,Larva Lad #10,Normal,Handlebars,None,Fedora,None
11,Larva Lad #11,Normal,Normal,Small Shades,Messy Hair,None
12,Larva Lad #12,Normal,Normal,None,Knitted Cap,Earring
13,Larva Lad #13,Normal,Normal,VR,Do-rag,None
14,Larva Lad #14,Normal,Normal,Regular Shades,None,None
15,Larva Lad #15,Normal,Normal,Horned Rim Glasses,Top Hat,None
16,Larva Lad #16,Zombie,Zombie,Regular Shades,None,None
17,Larva Lad #17,Normal,Normal,Small Shades,Messy Hair,None
18,Larva Lad #18,Normal,Smile,Classic Shades,Cowboy Hat,None
19,Larva Lad #19,Normal,Normal,Regular Shades,Peak Spike,None
20,Larva Lad #20,Normal,Handlebars,Regular Shades,Cap Forward,None
21,Larva Lad #21,Normal,Normal,Horned Rim Glasses,Beanie,None
22,Larva Lad #22,Normal,Smile,Regular Shades,Wild Hair,None
23,Larva Lad #23,Normal,Smile,None,Knitted Cap,None
24,Larva Lad #24,Normal,Handlebars,None,None,None
25,Larva Lad #25,Normal,Normal,Classic Shades,None,Pipe
26,Larva Lad #26,Normal,Normal,Regular Shades,Do-rag,None
27,Larva Lad #27,Normal,Smile,VR,None,Earring
28,Larva Lad #28,Normal,Smile,None,None,Cigarette
29,Larva Lad #29,Normal,Normal,Small Shades,None,None
30,Larva Lad #30,Normal,Smile,Regular Shades,None,Pipe
31,Larva Lad #31,Normal,Frown,Regular Shades,Messy Hair,None
32,Larva Lad #32,Normal,Normal,None,None,Pipe
33,Larva Lad #33,Normal,Normal,None,Knitted Cap,Pipe
34,Larva Lad #34,Normal,Smile,Small Shades,Knitted Cap,Cigarette
35,Larva Lad #35,Normal,Handlebars,Regular Shades,Peak Spike,None
36,Larva Lad #36,Normal,Smile,None,Cowboy Hat,None
37,Larva Lad #37,Normal,Normal,3D Glasses,Do-rag,None
38,Larva Lad #38,Normal,Smile,Small Shades,None,None
39,Larva Lad #39,Zombie,Zombie,Regular Shades,None,None
40,Larva Lad #40,Normal,Smile,Classic Shades,Messy Hair,None
41,Larva Lad #41,Normal,Frown,None,None,None
42,Larva Lad #42,Normal,Normal,VR,None,Vape
43,Larva Lad #43,Normal,Handlebars,Regular Shades,Cap,None
44,Larva Lad #44,Normal,Frown,Regular Shades,None,Cigarette
45,Larva Lad #45,Normal,Normal,None,Peak Spike,None
46,Larva Lad #46,Normal,Normal,Regular Shades,None,None
47,Larva Lad #47,Normal,Handlebars,Small Shades,None,None
48,Larva Lad #48,Ape,Ape,Small Shades,Cap Forward,None
49,Larva Lad #49,Normal,Frown,None,Knitted Cap,None
50,Larva Lad #50,Normal,Frown,Regular Shades,Messy Hair,None
51,Larva Lad #51,Normal,Smile,None,None,None
52,Larva Lad #52,Normal,Smile,None,Bandana,None
53,Larva Lad #53,Zombie,Zombie,Eye Patch,Cowboy Hat,None
54,Larva Lad #54,Normal,Normal,None,Cap Forward,None
55,Larva Lad #55,Normal,Normal,Horned Rim Glasses,Top Hat,None
56,Larva Lad #56,Normal,Normal,Classic Shades,Peak Spike,Pipe
57,Larva Lad #57,Normal,Frown,VR,None,None
58,Larva Lad #58,Normal,Smile,None,None,Earring
59,Larva Lad #59,Normal,Frown,VR,None,None
60,Larva Lad #60,Normal,Normal,3D Glasses,None,None
61,Larva Lad #61,Normal,Normal,None,Top Hat,None
62,Larva Lad #62,Normal,Smile,Eye Patch,Wild Hair,None
63,Larva Lad #63,Normal,Normal,VR,Top Hat,None
64,Larva Lad #64,Normal,Normal,VR,None,None
65,Larva Lad #65,Normal,Frown,None,None,Pipe
66,Larva Lad #66,Normal,Normal,None,None,Pipe
67,Larva Lad #67,Normal,Smile,Eye Patch,None,None
68,Larva Lad #68,Normal,Handlebars,3D Glasses,Wild Hair,Earring
69,Larva Lad #69,Normal,Normal,Regular Shades,None,None
70,Larva Lad #70,Normal,Smile,Small Shades,Messy Hair,None
71,Larva Lad #71,Normal,Normal,3D Glasses,Cowboy Hat,None
72,Larva Lad #72,Normal,Handlebars,Regular Shades,Messy Hair,None
73,Larva Lad #73,Normal,Smile,Small Shades,None,None
74,Larva Lad #74,Normal,Frown,None,Knitted Cap,None
75,Larva Lad #75,Normal,Normal,Small Shades,None,None
76,Larva Lad #76,Normal,Normal,None,None,None
77,Larva Lad #77,Normal,Normal,3D Glasses,Wild Hair,None
78,Larva Lad #78,Normal,Smile,Small Shades,Wild Hair,Vape
79,Larva Lad #79,Normal,Smile,None,Bandana,None
80,Larva Lad #80,Normal,Normal,3D Glasses,Peak Spike,Cigarette
81,Larva Lad #81,Normal,Normal,None,Beanie,None
82,Larva Lad #82,Normal,Normal,VR,None,Cigarette
83,Larva Lad #83,Normal,Smile,None,None,None
84,Larva Lad #84,Normal,Smile,3D Glasses,Cowboy Hat,None
