TOKEN_ID,TOKEN_NAME,Color,Case,Hands,Dial,Border,Bezel,Effect
1,#1 - Reading Diver,Ash,Dark Rainbow Carved,Baton 14,Mixed Arabic 11,Octa 6,Four Seasons,
2,#2 - Fighting Dark Dancer,Mint,Dark Meta,Breguet 3,Arabic 2,Ring 3,Light Handles,
3,#3 - Spinning Adventurer,Mint,Dark Rainbow Button Carved,Plongeur 1,Arabic 4,Ring 27,Heavy Left,
4,#4 - Sliding Blue Biker,Blue Light,Blue White Dark,Baton 41,Arabic 5,Ring 34,Big Top,
5,#5 - Mystic Dark Cruiser,White,Titan Button Dark,Modern 6,Mixed Arabic 14,,,
6,#6 - Hovering Light Gladiator,Olive,Light Collage 2,Baton 75,Mixed Arabic 12,Ring Light 12,All But Bottom,
7,#7 - Fighting Light Alchemist,Magenta,Light Colorful Dots,Spade 2,Mixed Arabic 6,Ring Light 73,Heavy Top,
8,#8 - Mystic Yellow Nerd,Red,Light MW Focused Carved,Lance 2,Mixed Arabic 14,Ring Light 21,Tiny Top,
9,#9 - Hiding Green Geek,White,Dark Olive Machine,Baton 22,Stick 5,Ring Rainbow 2,Big Blue,
10,#10 - Galactic Blue Skipper,Petrol,Light Sky Box 2,Plongeur 3,Roman,,,
11,#11 - Drunken Blue Joker,Orange,Dark Blue White Machine,Special 4,Arabic 7,Ring 40,Colorful Ring,
12,#12 - Crazy Pink Driver,Red,Light Pink Carved,Baton 56,Mixed Roman,Ring Light 75,Red Spikes,
13,#13 - Coding Light Alchemist,Green,Light Pink Sphere,Special 15,Flieger 4,Ring Light 76,Light Rainbow Protection,
14,#14 - Invisible Explorer,Petrol,Light Rainbow,Baton 61,Mixed Arabic 3,Ring Light 71,Full Ring,Explorer
15,#15 - Infinite Blue Poet,Ash,Dark Green Blue,Modern 3,Stick 2,Octa 8,Dots,
16,#16 - Invisible Blue Alchemist,Green Light,Light Blue Button Dark,Dauphine 6,Stick 3,Ring 23,Four sides,
17,#17 - Counting Light Player,Blue Mid,Light Colorful Dots,Dauphine 15,Flieger 1,Ring Light 39,Medium Iron Protection,
18,#18 - Lonely Blue Pianist,Blue Light,Dark Neon Blue Carved,Baton 47,Stick 4,Ring 13,Small Borders,
19,#19 - Lovely Red Digger,White,Red Button Dark,Baton 7,Arabic 2,,,
20,#20 - Running Pink Diver,Pink,Dark Velvet Machine,Baton 5,Mixed Arabic 8,Ring 12,,
21,#21 - Unbreakable Sorcerer,Green Light,Dark Meta Center,Special 7,Stick 2,Ring 57,North East,
22,#22 - Sliding Light Gladiator,Magenta,Light Colorful Dots,Baton 60,Special 1,Ring Light 69,Heavy Top,
23,#23 - Hunting Yellow Cowboy,Red,Light MW Focused Carved,Baton 81,Mixed Arabic 16,Ring Light 35,Medium Iron Protection,
24,#24 - Counting Elephant,Peach,Dark Summer Nights Blurred,Dauphine 9,Mixed Arabic 9,Ring 61,Big Blue,
25,#25 - Counting Light Poet,Red,Light Gray Carved,Baton 77,Stick 5,Ring Light 50,Full Ring,
26,#26 - Eternal Dark Architect,Orange,Dark Club Life,Modern 2,Stick 3,Ring Rainbow 1,North East,
27,#27 - Fighting Scorpion,Petrol,Light Florence Focused,Leaf 3,Stick 5,,,
28,#28 - Lonely Light Architect,Black,Light Collage 2,Baton 89,Stick 3,Ring Light 58,Light Iron Protection,
29,#29 - Whispering Green Mechanic,Magenta,Light Green Blue Transition,Dauphine 16,Special Arabic,Ring Light 32,Light Heavy Left,
30,#30 - Mystic Scientist,Peach,Olive Dark,Baton 13,Arabic 10,Ring 57,Heavy Left,Scientist
31,#31 - Mystic Warrior,Olive,Light Meta 3,Special 12,Mixed Arabic 3,Ring Light 25,Four Sides,
32,#32 - Mystic Pink Cowboy,Blue Light,Velvet Dark,Sword 2,Mixed Arabic 7,Ring 15,Lights,
33,#33 - Caring Dark Conductor,Blue Light,Dark VVV,Plongeur 2,Flieger 2,Ring 43,North East,
34,#34 - Racing Dreamer,Blue,Light Pixels 2,Baton 87,Mixed Arabic 6,Ring Light 48,Light Rainbow Protection,
35,#35 - Whispering Blue Lion,Mint,Light Blue Button Dark,Syringe 1,Mixed Arabic 8,Ring 17,Four sides,
36,#36 - Mystic Gambler,Magenta,Light Pixels,Baton 89,Mixed Arabic 7,,,
37,#37 - Flexing Blue Sailer,Blue Light,Dark Nostalgica,Lance 1,Flieger 1,Ring 18,Small Rainbow Protection,
38,#38 - Magical Dark Biker,Peach,Dark Pop,Baton 51,Mixed Arabic 11,Ring 2,Full Rainbow Protection,
39,#39 - Crazy Raider,Blue Light,Dark Blue Segments Blurred,Leaf 1,Roman,Ring 5,Gray Peaks,
40,#40 - Jumping Light Warrior,Black,Light Collage 1,Baton 83,Arabic 8,Ring Light 80,Full Ring,
41,#41 - Shining Blue Mechanic,Pink,Dark Nostalgica,Special 3,Arabic 4,Ring 29,Full Rainbow Protection,
42,#42 - Eternal Bouncer,Mint,Dark Sculpture,Baton 9,Mixed Arabic 11,Ring 47,Tiny Row,
43,#43 - Hunting Yellow Mechanic,Green,Light MW,Baton 81,Arabic 9,Ring Light 45,Sneaky Sides,
44,#44 - Counting Pink Singer,Lemon,Dark Olive Pink,Dauphine 9,Stick 3,Octa 6,Broken Rainbow,
45,#45 - Bumping Dark Biker,Blue Light,Dark Pop,Baton 34,Arabic 9,Ring 20,Iron Protection,
46,#46 - Sitting Blue Adventurer,Petrol,Light Blue Grip Carved,Baton 57,Flieger 4,Ring Light 78,Full Ring,
47,#47 - Jumping Pink Architect,Peach,Dark Oracle,Modern 3,Flieger 3,Ring 41,Light Handles,
48,#48 - Drunken Digger,Cyan,Dark Summer Nights Blurred,Baton 19,Special 3,Ring 43,Big Iron,
49,#49 - Hunting Pink Looper,Green Light,Dark Oracle,Special 8,Arabic 9,,,
50,#50 - Fishing Green Nerd,Pink,Dark Street Art,Special 6,Arabic 9,Octa 5,Light Handles,
51,#51 - Fishing Dark Dreamer,Green Light,Dark PC Eye,Baton 19,Stick 4,Octa 9,,
52,#52 - Spinning Green Geek,Magenta,Light 2 of 8,Baton 78,Arabic 9,Ring Light 48,Light Heavy Left,
53,#53 - Lonely Dark Biker,Green Light,Dark Night Crawler,Baton 22,Flieger 1,Ring 55,Iron Protection,
54,#54 - Spinning Looper,Black,Light Florence,Sword 7,Roman,Ring Light 1,Full Ring,
55,#55 - Hunting Explorer,Lemon,Dark Pixels With Lines,Baton 43,Special Arabic,Ring 50,Small Rainbow Protection,Explorer
56,#56 - Spinning Dark Diver,Orange,Dark Ship,Breguet 1,Arabic 9,Ring 25,Big Top,
57,#57 - Bumping Blue Cruiser,Green Light,Light Blue Button Dark,Baton 13,Arabic 5,Ring 16,Four Seasons,
58,#58 - Smoking Dark Painter,Blue Light,Dark Velvet,Special 8,Mixed Arabic 16,Ring 17,Light Iron,
59,#59 - Jumping Dark Geek,Pink,Dark 2049,Baton 11,Flieger 3,Octa 9,Tiny Row,
60,#60 - Eternal Dark Singer,Yellow,Dark 2049,Baton 21,California,Ring 50,Broken Rainbow,
61,#61 - Decent Dark Mechanic,Green Light,Dark Prism,Baton 34,Mixed Arabic 10,Ring 9,Heavy Left,
62,#62 - Grateful Light Digger,Petrol,Light Collage 2,Baton 73,Arabic 10,Ring Light 36,Light Rainbow Protection,
63,#63 - Drunken Dark Tiger,Lemon,Dark Ship,Alpha 4,Mixed Arabic 7,Ring 17,Lights,
64,#64 - Drunken Looper,Blue Mid,Light Colorful Sphere,Baton 96,Mixed Arabic 3,Ring Light 7,Light Heavy Left,
65,#65 - Unbreakable Red Herold,Yellow,Red Button Dark,Baton 37,Flieger 2,Octa 3,Lights,
66,#66 - Flexing Dark Diver,Pink,Dark PC Eye,Baton 5,Arabic 4,Ring 46,Light Top,
67,#67 - Spinning Red Bandit,Pink,Dark Red Velvet,Dauphine 7,Flieger 1,,,
68,#68 - Speaking Cruiser,Peach,Dark Rainbow Machine,Spade 1,Mixed Arabic 13,Ring 60,Lights,
69,#69 - Lonely Light Geek,Red,Light Collage 2,Baton 58,Arabic 10,Ring Light 9,Light Big Iron,
70,#70 - Drunken Blue Pianist,Lemon,Dark Pixels,Baton 39,Mixed Arabic 15,Ring 47,North East,
71,#71 - Whispering Pink Joker,Aero,Dark Olive Pink,Baton 31,Mixed Arabic 4,Octa 5,North East,
72,#72 - Spinning Blue Pianist,Blue Light,Blue Dark,Baton 8,Diver 2,,,
73,#73 - Coding Blue Tiger,Aero,Blue Button Dark,Baton 21,Special 2,Ring 54,Dots,
74,#74 - Singing Dark Looper,Blue Light,Dark Ship With Lines,Baton 36,Arabic 9,,,
75,#75 - Caring Green Adventurer,Blue,Light Mint Carved,Baton 55,Stick 5,Ring Light 55,Light Dots,
76,#76 - Racing Visionary,Mint,Dark Nostalgica,Baton 51,Stick 3,Ring 32,Light Handles,Visionary
77,#77 - Reading Pink Mechanic,Yellow,Dark Blue Mechanic,Modern 9,Diver 1,Octa 10,Heavy Left,
78,#78 - Hunting Green Judge,Cyan,Dark Street Art,Modern 2,Arabic 3,,,
79,#79 - Magical Pink Painter,Ash,Dark Mini Bow,Baton 42,Diver 2,Ring 43,Heavy Left,
80,#80 - Jumping Blue Bouncer,Orange,Dark Pixels With Lines,Baton 11,Stick 2,Ring 12,Big Top,
81,#81 - Decent Sailer,Green,Light Florence,Baton 84,Mixed Arabic 5,Ring Light 29,Full Ring,
82,#82 - Decent Blue Scorpion,Yellow,Light Blue Button Dark,Dauphine 5,Mixed Arabic 4,Ring 60,Colorful Ring,
83,#83 - Sitting Blue Biker,Pink,Dark Mediterranean Life,Baton 50,Stick 3,Ring 61,Four sides,
84,#84 - Galactic Explorer,Blue Light,Dark Equalizer,Dauphine 7,Arabic Roman,Ring 30,Sharp Ring,Explorer
85,#85 - Flexing Pink Alchemist,Pink,Dark Oracle,Baton 46,Mixed Arabic 11,,,
86,#86 - Galactic Light Painter,Blue,Light Colorful Focus,Baton 58,Special 3,Ring Light 59,Light Broken Rainbow,
87,#87 - Whispering Pianist,Peach,Dark Rainbow Carved,Baton 42,Arabic 3,Ring 46,All Yellow,
88,#88 - Singing Blue Lion,Blue Light,Blue Dark,Dauphine 10,Mixed Arabic 7,Ring Rainbow 2,North East,
89,#89 - Bumping Dark Raider,Ash,Dark Meta Distorted,Dauphine 3,Flieger 4,,,
90,#90 - Coding Mechanic,Black,Light Meta 3,Baton 72,Arabic Roman,Ring Light 27,Light Broken Rainbow,
91,#91 - Reading Yellow Scorpion,Olive,Light MW,Sword 6,Special 2,Ring Light 9,,
92,#92 - Speaking Light Driver,Black,Light Collage 3,Special 14,Mixed Arabic 7,Ring Light 1,Full Ring,
93,#93 - Angry Sorcerer,Olive,Light Meta 2,Dauphine 18,Mixed Arabic 16,Octa Light 3,Top and Bottom Protection,
94,#94 - Whispering Blue Dreamer,Blue Light,Dark Mediterranean Life 2,Dauphine 2,Mixed Roman,Ring 5,Tiny Row,
95,#95 - Working Pink Player,Mint,Dark Olive Pink,Baton 47,California,Octa 10,Light Iron,
96,#96 - Unbreakable Green Trader,Yellow,Olive Button Dark,Special 6,Special 1,,,
97,#97 - Caring Diver,Cyan,Dark Rainbow Button,Sword 3,Mixed Arabic 6,Octa 10,All Yellow,
98,#98 - Seeing Dark Lion,Cyan,Dark 2049,Dauphine 2,Mixed Arabic 7,Ring 64,All Yellow,
99,#99 - Mystic Light Mechanic,Blue Mid,Light Collage 1 Focused,Baton 78,Flieger 1,Ring Light 6,,
100,#100 - Decent Blue Cruiser,Mint,Dark Pixels,Syringe 1,Mixed Arabic 10,Ring 57,Colorful Seasons,
101,#101 - Happy Blue Sailer,Cyan,Dark Mediterranean Life,Baton 11,Mixed Arabic 5,Ring 61,Light Handles,
102,#102 - Flexing Joker,Green Light,Dark Rainbow,Breguet 1,Mixed Arabic 9,,,
103,#103 - Speaking Scientist,Magenta,Light Meta 1,Flame 2,Mixed Arabic 13,Ring Light 4,Light Dots,Scientist
104,#104 - Counting Blue Gladiator,Aero,Dark Meta Grid,Sword 3,Flieger 5,Ring 6,Small Borders,
105,#105 - Hunting Blue Poet,Pink,Dark Mediterranean Life 2,Plongeur 2,Flieger 5,Ring Rainbow 3,Iron Protection,
106,#106 - Drunken Blue Bandit,Peach,Dark Neon Blue,Baton 12,Stick 1,Ring 56,North East,
107,#107 - Jumping Yellow Driver,Magenta,Light Yellow 1 of 4,Baton 67,Flieger 3,Ring Light 63,Light Iron Protection,
108,#108 - Eternal Spy,Green,Light Meta 4,Baton 97,Arabic 7,Ring Light Zebra,Light Iron Protection,
109,#109 - Crazy Dark Looper,Orange,Dark Night Crawler,Alpha 4,Stick 3,Ring 10,Small Borders,
110,#110 - Shining Pink Dancer,Blue Light,Dark Mini Bow,Dauphine 8,Stick 4,,,
111,#111 - Hiding Pink Gambler,Yellow,Velvet Dark,Special 6,Special 2,Ring 52,Heavy Left,
112,#112 - Coding Blue Nerd,Pink,Blue White Dark,Breguet 3,Stick 3,Ring 29,Big Blue,
113,#113 - Invisible Pink Nerd,Orange,Pink Button Dark,Special 2,Arabic 5,Ring 63,Four sides,
114,#114 - Fishing Tiger,Red,Light Colorful Sphere 2,Sword 6,Diver 1,Octa Light 3,All But Bottom,
115,#115 - Mystic Dark Diver,Ash,Dark Colorful,Modern 8,Arabic 10,Ring 32,Light Top,
116,#116 - Grateful Warrior,Yellow,Dark Blue Segments Blurred,Baton 37,Mixed Arabic 12,Ring 26,Big Iron,
117,#117 - Reading Blue Dancer,Blue Light,Dark Blue Black,Modern 4,Arabic 8,Octa 6,All Yellow,
118,#118 - Flexing Visionary,Olive,Light 3 of 4,Baton 91,Arabic 7,Ring Light 79,Light Rainbow Protection,Visionary
119,#119 - Bumping Green Poet,Orange,Black Forest Circles,Baton 34,Mixed Arabic 5,Ring 40,Heavy Left,
120,#120 - Reading Biker,Aero,Dark Meta Center,Leaf 1,Arabic 4,Ring 24,Lights,
121,#121 - Hovering Dark Bouncer,Blue Light,Dark Colorful Lights Blurred,Modern 8,Mixed Arabic 13,Ring 41,Light Iron,
122,#122 - Flexing Dark Sorcerer,Yellow,Dark Club Life,Dauphine 6,Mixed Arabic 3,Ring 25,Dots,
123,#123 - Flexing Red Singer,Aero,Dark Red Velvet,Syringe 1,Arabic 7,,,
124,#124 - Invisible Green Geek,Pink,Dark Olive Machine,Plongeur 2,Special 2,Ring 20,Colorful Ring,
