TOKEN_ID,TOKEN_NAME,Faction,Fur,Face,Shirt,Item,Top
0,Hooligan #0,Hare Raisers,Polkadot Pink,OG,Military Vest Red,Extinguisher Gray,Bucket Hat Purple
1,Hooligan #1,Rogue Jumpers,OG Red,Decayed Teeth,Varsity Jacket Blue,Boxing Gloves Red,Tuft Seafoam
2,Hooligan #2,Mutant,Mutant Lizard Purple,Mutant Ghoul Eyes,Torn Tee Black,Time Bomb,Red Plumber Hat
3,Hooligan #3,Playboyz,OG Red,OG Gold Teeth,Suit Red,Spray Paint Seafoam,Pompadour White
4,Hooligan #4,Cypher Buns,Cypher Brown,Big Eyes,Cypher Suit Purple,Paint Sprayer,Tuft Yellow
5,Hooligan #5,Hare Raisers,Femme Purple,OG,WAGMI Tee Gray,Time Bomb,Poofball Yellow
6,Hooligan #6,Hare Raisers,Polkadot Silver,Hypnotized,Hoodie Purple,Paintball Gun Red,Tuft Black
7,Hooligan #7,Playboyz,Paintbomb Green,OG Gold Teeth,Suit Black,Sledgehammer Red,Captain Hat Gold
8,Hooligan #8,Mutant,Mutant Lizard Red,Green Mutant Eyes,Torn Flannel Gray,Flamethrower Red,Fez Red
9,Hooligan #9,Punk Bunnis,Polkadot Brown,OG,Big Logo Tee Brown,Time Bomb,Hockey Mask Black
10,Hooligan #10,Hare Raisers,Bar Fight Brown,Hypnotized,WAGMI Tee Gray,Carrot Dagger,Tuft Brown
11,Hooligan #11,Cypher Buns,Cypher Red,Big Eyes,Cyphersuit Black,None,Ponytail Seafoam
12,Hooligan #12,Hare Raisers,OG Blue,Big Eyes,Hoodie Blue,None,Poofball Black
13,Hooligan #13,Playboyz,Paintbomb Yellow,OG,Suit Black,Sherlock Pipe,Captain Hat Black
14,Hooligan #14,Playboyz,OG Onyx,OG Gold Teeth,Robe Blue,Extinguisher Gray,Captain Hat White
15,Hooligan #15,Hare Raisers,OG White,Decayed Teeth,Small Logo Tee Brown,None,Poofball Red
16,Hooligan #16,Cypher Buns,Cypher Orange,Decayed Teeth,Cypher Suit Blue,None,Balaclava Blue
17,Hooligan #17,Playboyz,Bar Fight Gray,Decayed Teeth,Suit White,None,Bandana Purple
