TOKEN_ID,TOKEN_NAME,background,sers,head I,eye,accessories,facialHair,accessories II,mems,head II,accessories I,apes,zombie,alien
1,NounPunks #1,bc9715,serA,artistHat,nounishI,none,none,cigar,,,,,,
2,NounPunks #2,65837f,serC,blueHelmet,nounidhG,goldEarringRight,none,none,,,,,,
3,NounPunks #3,63968f,,,nounishE,aerpod,,,memA,greenAquaShave,none,,,
4,NounPunks #4,65837f,serC,blueMohak,nounishD,none,none,none,,,,,,
5,NounPunks #5,63968f,,,nounishD,none,,,mem,darkK,darkRedLipstick,,,
6,NounPunks #6,008080,,greenMohak,nounishC,aerpod,brownStache,Joint,,,,chimp,,
7,NounPunks #7,bc9715,serC,orangeHelmet,nounishA,goldChain,none,none,,,,,,
8,NounPunks #8,63968f,,,nounishD,goldChain,,,memA,redHair,Choker,,,
9,NounPunks #9,ac90cb,serA,whiteSidepart,nounishD,goldEarringRight,none,none,,,,,,
10,NounPunks #10,63968f,serB,sweptOrange,arGlasses,aerpod,none,none,,,,,,
11,NounPunks #11,254763,serB,bald,oldVR,none,none,Vape,,,,,,
12,NounPunks #12,b00921,serC,orangeCrazyHair,nounishB,goldEarringRight,none,none,,,,,,
13,NounPunks #13,a5937e,,,nounishD,aerpod,,,mem,greenHelmet,pinkLipstick,,,
14,NounPunks #14,254763,,,3D,wagmiNeckTatt,,,memA,blondeH,redLipstick,,,
15,NounPunks #15,midnight,serC,redHelmet,3D,aerpod,none,none,,,,,,
16,NounPunks #16,swamp,serA,grayHelmet,nounishF,goldEarringRight,none,none,,,,,,
17,NounPunks #17,midnight,serD,SweptBlackYellow,nounishI,none,yellowStache,none,,,,,,
18,NounPunks #18,midnight,serC,funcapC,nounishC,goldEarringRight,none,none,,,,,,
19,NounPunks #19,bc9715,serC,yellowHelmet,nounishD,none,none,none,,,,,,
20,NounPunks #20,3d5b99,serC,darkAfro,nounishC,none,none,none,,,,,,
21,NounPunks #21,2F3635,serD,rainbowMohak,nounishC,goldEarringLeft,none,none,,,,,,
22,NounPunks #22,3d5b99,serD,blackCrazyHair,nounishJ,goldChain,none,none,,,,,,
23,NounPunks #23,snowy,,,nounishD,goldChain,,,memA,rainbowMohak,redLipstick,,,
24,NounPunks #24,008080,serC,sweptBlackBlue,nounishJ,none,none,blunt,,,,,,
25,NounPunks #25,2F3635,,,nounishF,none,,,mem,greenHelmet,none,,,
26,NounPunks #26,ac90cb,,bald,nounishD,none,none,none,,,,ape,,
27,NounPunks #27,swamp,serD,sweptBlackBlue,nounishC,vibeNeckTatt,none,none,,,,,,
28,NounPunks #28,254763,serC,greenHelmet,nounishC,none,none,none,,,,,,
29,NounPunks #29,3d5b99,,,nounishF,gmNeckTatt,,,memA,blondeC,none,,,
30,NounPunks #30,63968f,,,nounidhG,none,,,mem,blueAquaShave,smile,,,
31,NounPunks #31,254763,,,nounishJ,goldEarringRight,,,memB,bald,none,,,
32,NounPunks #32,63968f,serC,blackMohawk,nounishJ,swampNeckTatt,none,none,,,,,,
33,NounPunks #33,008080,serB,darkAfro,nounishH,none,none,none,,,,,,
34,NounPunks #34,65837f,,,nounishC,goldEarringRight,,,mem,darkB,redLipstick,,,
35,NounPunks #35,254763,,,nounishJ,none,,,memB,darkG,redLipstick,,,
36,NounPunks #36,ac90cb,serA,SweptBlackYellow,nounishJ,wagmiNeckTatt,brownBeard,none,,,,,,
37,NounPunks #37,008080,serD,oldHat,nounishC,none,none,none,,,,,,
38,NounPunks #38,3d5b99,,,nounishC,gmNeckTatt,,,mem,rainbowMohak,none,,,
39,NounPunks #39,ac90cb,,,nounishC,gmNeckTatt,,,memD,blondeC,darkRedLipstick,,,
40,NounPunks #40,ac90cb,serD,sweptBlackBlue,nounishD,goldEarringLeft,none,none,,,,,,
41,NounPunks #41,a5937e,serB,artistHat,nounishI,none,none,none,,,,,,
42,NounPunks #42,a5937e,serC,sweptBlackBlue,nounishJ,goldEarringRight,none,none,,,,,,
43,NounPunks #43,008080,serA,dracula,nounishA,none,none,none,,,,,,
44,NounPunks #44,snowy,serD,shortBrown,nounishD,none,none,none,,,,,,
45,NounPunks #45,bc9715,,,nounidhG,aerpod,,,memA,darkC,pinkLipstick,,,
46,NounPunks #46,008080,,,nounishA,none,,,mem,bald,darkRedLipstick,,,
47,NounPunks #47,254763,,,nounishD,aerpod,,,memA,greyround,vape,,,
48,NounPunks #48,a5937e,serB,floppyHat,nounishC,gmNeckTatt,none,none,,,,,,
49,NounPunks #49,63968f,serC,blackCrazyHair,nounishD,swampNeckTatt,none,none,,,,,,
50,NounPunks #50,2F3635,serC,shortDark,nounishA,aerpod,none,none,,,,,,
51,NounPunks #51,65837f,,,nounishD,vibeNeckTatt,,,memB,greyround,Choker,,,
52,NounPunks #52,2F3635,serD,blackCrazyHair,nounidhG,gmNeckTatt,none,none,,,,,,
53,NounPunks #53,3d5b99,serB,sweptBlackBlue,nounishJ,goldEarringRight,none,none,,,,,,
54,NounPunks #54,matrixC,serA,shortDark,nounishD,goldEarringRight,yellowStache,blunt,,,,,,
