TOKEN_ID,TOKEN_NAME,Clothing,Emotion,Eyes,Skin,Teeth,Hat,Mouth Props,Glasses,Necklace,Accessories,Nose,Jacket,Earrings,Legendary
1,#1,Sweater Purple,Excited,QR,Panda,White,Bucket Hat Blue,Cigarette,,,,,,,
2,#2,Sweater Purple,Serious,Blue,Orangutan,,Bucket Hat Black,,,,,,,,
3,#3,Suit Blue,Serious,Brown,Polkadots,,Fedora Red,,Glasses Modern,,,,,,
4,#4,,Serious,Blue,Light Brown,,Ski Bobble Green,,Glasses Iconic,,,,,,
5,#5,Tanktop White,Serious,Deep Blue,Blond,,Cap Backwards White,,Glasses Round,,,,,,
6,#6,,Seducing,Grey,Leopard,,Bucket Hat Blue,,,Thin Silver,,,,,
7,#7,Sweater Yellow,Serious,Brown,Black,,Bucket Hat White,,,,,,,,
8,#8,,Seducing,Brown,Blond,,,,,,,,,,
9,#9,Sweater Black,Excited,Deep Blue,Blond,Gold,Cap Backwards White,,,,,,,,
10,#10,Suit Blue,Bored,Yellow,White,,Beanie Black,,Glasses Sun,,Rifle,,,,
11,#11,Hoodie White,Bored,Grey,Leopard,,,,Party,,,,,,
12,#12,Sweater Red,Smile,Stoned,Orangutan,Vampire,Bucket Hat Red,,,,,Half Bull Ring,,,
13,#13,Turtleneck Black,Smile,Deep Blue,Light Brown,Rotten,Fedora Red,,Glasses Round,,,,,,
14,#14,Spartan,Serious,Cat Eyes,Polkadots,,Bandana Red,,,,Rifle,,,,
15,#15,Suit Velvet,,,Rock,,Headband Red,,,,Axes,,,,
16,#16,T-Shirt Yellow,Smile,Turquoise,Polkadots,White,Bucket Hat Yellow,,,,,Half Bull Ring,,,
17,#17,Sweater Green,Seducing,Deep Blue,Orangutan,,Bucket Hat Black,,Party,King Silver,,,,,
18,#18,Suit Grey,Seducing,Black,White,,Bucket Hat Black,,Ski Goggles Blue,,,,,,
19,#19,Sweater Yellow,Smile,Yellow,Orangutan,White,Ski Bobble Red,,,Love Gold,,Half Bull Ring,,,
20,#20,,Bored,Deep Blue,Light Brown,,Bucket Hat White,,Glasses Oval,,,,,,
21,#21,Sweater Yellow,Bored,Blind,Polkadots,,,,,,,Lock,,,
22,#22,,Smile,Yellow,Light Brown,Tiger,,,,,,,,,
23,#23,Polo Green,,,Gold,,,,Ski Goggles Blue,Retro Headphones Green,,,,,
24,#24,Hoodie White,Smile,Yellow,Light Brown,Rainbow,Fedora Red,,Laser Green,,Axes,Half Bull Ring,,,
25,#25,Polo Blue,,,Lava,,Squid Blue,,,Spiritual Silver,,,Leather Jacket,,
26,#26,Sweater Green,Serious,Yellow,Light Brown,,Cap Backwards White,,,,Rifle,,,,
27,#27,,Excited,Deep Blue,Blond,White,Beanie Red,,,Chain Silver,,,,,
28,#28,Hoodie Orange,Seducing,Brown,Black,,Bucket Hat Blue,,,,,,,,
29,#29,Sweater Gray,Excited,Turquoise,Tiger,White,Cap Blue,,,Love Gold,,,,,
30,#30,Hoodie Gold,,,Lava,,Crown,,Ski Goggles Bronze,,,,,,
31,#31,Sweater Black,Bored,Green,Black,,Beanie Black,,Laser Green,King Silver,,,,,
32,#32,Sweater Red,Serious,Brown,Orangutan,,Fedora Pinstripes White,,,Thin Silver,,,,,
33,#33,,Seducing,Yellow,Panda,,Beanie White,,Glasses Oval,,,,,,
34,#34,Hoodie White,Excited,Green,Orangutan,White,Beanie White,,Glasses Iconic,,,Half Bull Ring,,,
35,#35,Basketball Shirt Blue,Bored,Yellow,Orangutan,,Fedora White,,,,,,,,
36,#36,Sweater White,Serious,Deep Blue,Orangutan,,,,,Love Gold,,,,,
37,#37,Sweater Silver,,,Lizard,,Ski Bobble Green,,,,,,,,
38,#38,Suit Grey,Smile,Deep Blue,Panda,White,Beanie Blue,,,,,,,,
39,#39,Suit Green,Excited,Blue,Black,White,Bucket Hat Blue,,,,,Lock,,,
40,#40,Polo Blue,,,Silver,,,,Ski Goggles Bronze,,,,,,
41,#41,,Serious,Stoned,Orangutan,,,,Blue Pill Red Pill,,,,,,
42,#42,Hoodie White,Excited,Brown,Light Brown,White,Bucket Hat Biege,,,,,,,,
43,#43,Hoodie Pink,Bored,Grey,Brown,,,,Glasses Sun,,,,,,
44,#44,Sweater Purple,Bored,Blue,Light Brown,,Ski Bobble Blue,,,,,,,,
45,#45,,Seducing,Brown,White,,,,,Love Silver,,,,,
46,#46,,Excited,Yellow,White,White,Cap Backwards White,,,,,,,,
47,#47,Hoodie Black,Serious,Deep Blue,Brown,,Bucket Hat Yellow,,Glasses Oval,,,,,,
48,#48,,Excited,Yellow,Black,White,Bucket Hat Blue,,,,,Half Bull Ring,,,
