TOKEN_ID,TOKEN_NAME,BOSS,Background,Fur,Mask,Mouth,Eyes,Clothes,Hat,Tail
0,Raccoon Mafia #0,Tony,,,,,,,,
1,Raccoon Mafia #1,Morte,,,,,,,,
2,Raccoon Mafia #2,,Purple,Gray,Gold,Chain,Suspicious,Roses Shirt,Sombrero,Thorns
3,Raccoon Mafia #3,,Orange,Black,Black,Cigarette,Suspicious,,Fedora,Chains
4,Raccoon Mafia #4,,Green,Brown,Black,Smile,Thin Sunglasses,White Rose Shirt,Borsalino,Cards
5,Raccoon Mafia #5,,Yellow,Dark Gray,Burgundy,Calm,Heterochromia,Plaid Shirt,,
6,Raccoon Mafia #6,,Red,Dark Gray,Ginger,Grin,Angry,Jersey,,Thorns
7,Raccoon Mafia #7,,Yellow,Gray,Dark Brown,Calm,Suspicious,Killer,Broad Brim,
8,Raccoon Mafia #8,,Green,Camel,Black,Smile,Bloodshot,Green Vest,Straw Hat,
9,Raccoon Mafia #9,,Green,Brown,Black,Calm,Red,Leather Jacket,Military Cap,Barbwire
10,Raccoon Mafia #10,,Green,Black,Dark Brown,Diamond,Angry,Short Sleeve Shirt,Homburg,
11,Raccoon Mafia #11,,Blue,Camel,Burgundy,Calm,Square Sunglasses,Black Coat,Straw Hat,Thorns
12,Raccoon Mafia #12,,Red,Camel,Ginger,Dagger,Disgruntled,Dealer,,Cards
13,Raccoon Mafia #13,,Red,Black,Burgundy,Smile,Red,Velvet Vest,Borsalino,
14,Raccoon Mafia #14,,Purple,Dark Gray,Dark Gray,Bullet,Squint,Green Vest,Borsalino,
15,Raccoon Mafia #15,,Orange,Camel,Gray,Smile,Bored,,Press Hat,
16,Raccoon Mafia #16,,Yellow,Wounded,Silver,Grin,Bored,Green Vest,Derby,Thorns
17,Raccoon Mafia #17,,Orange,Gray,Dark Gray,Calm,Grumpy,Priest,,
18,Raccoon Mafia #18,,Yellow,Camel,Burgundy,Calm,Suspicious,Khaki Shirt,Headband,
19,Raccoon Mafia #19,,Green,Black,Black,Smile,Super Angry,Plaid Shirt,Straw Hat,
20,Raccoon Mafia #20,,Purple,Brown,Ginger,Grillz,Monocle,,,Chains
21,Raccoon Mafia #21,,Blue,Brown,Dark Gray,Grin,Bored,Bathrobe,Pilot Hat,
22,Raccoon Mafia #22,,Orange,Black,Gray,Calm,Scar,Robber,,
23,Raccoon Mafia #23,,Blue,Brown,Dark Gray,Open,Eyeband,,Red Bandana,Casino
24,Raccoon Mafia #24,,Red,Black,Dark Gray,Calm,Disgruntled,Platinum Suit,Hoodlum,Casino
25,Raccoon Mafia #25,,Yellow,Dark Gray,Ginger,Calm,Square Sunglasses,Green Vest,Flat Gray,
26,Raccoon Mafia #26,,Orange,Gray,Black,Cigar,Suspicious,Khaki Shirt,Borsalino,
27,Raccoon Mafia #27,,Purple,Wounded,Black,Grin,Innocent,Gentleman,,Thorns
28,Raccoon Mafia #28,,Blue,Gray,Gray,Open,Thin Sunglasses,,Beanie,Chains
29,Raccoon Mafia #29,,Purple,Black,Burgundy,Cigar,Innocent,Red Suspenders,,
30,Raccoon Mafia #30,,Green,Brown,Burgundy,Smile,Bored,Hawaiian,Cowboy,Cards
31,Raccoon Mafia #31,,Yellow,Dark Gray,Burgundy,Grin,Monocle,,Straw Hat,
32,Raccoon Mafia #32,,Blue,Camel,Burgundy,Calm,Square Glasses,Dealer,,
33,Raccoon Mafia #33,,Orange,Gray,Ginger,Grin,Grumpy,,Derby,Barbwire
34,Raccoon Mafia #34,,Red,Dark Gray,Black,Open,Bloodshot,Diamond Tie,,
35,Raccoon Mafia #35,,Yellow,Black,Gray,Chilli,Suspicious,Officer,Red Bandana,
36,Raccoon Mafia #36,,Blue,Wounded,Dark Gray,Grin,Calm,Robber,Press Hat,
37,Raccoon Mafia #37,,Yellow,Black,Gray,Chain,Calm,Bitcoin Chain,Boss Hat,Chains
38,Raccoon Mafia #38,,Purple,Gray,Black,Cigar,Monocle,Black Shirt,Gold Embroidery,Dynamite
