TOKEN_ID,TOKEN_NAME,Factory Model,Collection,Current Class,Factory Class,Car Rating,Experience Points,Current Color,Stock Color,Win Percentage,Engine Level,Tires Level,NOS System,Supercharger,Dual Exhaust,Drive Train Upgrade,Performance Chip,Connection
1,RR Car #1 Red Dragon,Red Dragon,Genesis,Aero,Aero,5400,700,CW-001,CW-001,0,2,2,0,0,0,0,0,CryptoWhips
2,RR Car #2 Solar Flare,Solar Flare,Genesis,Aero,Aero,2040,600,CW-002,CW-002,0,1,2,0,0,0,0,0,CryptoWhips
3,RR Car #3 Night Stalker,Night Stalker,Genesis,Aero,Aero,2040,600,CW-003,CW-003,0,1,2,0,0,0,0,0,CryptoWhips
4,RR Car #4 Blue Ocean,Blue Ocean,Genesis,Aero,Aero,2040,600,CW-004,CW-004,0,1,2,0,0,0,0,0,CryptoWhips
5,RR Car #5 Diamond,Diamond,Genesis,Aero,Aero,2040,600,CW-005,CW-005,0,1,2,0,0,0,0,0,CryptoWhips
6,RR Car #6 Lady in Red,Lady in Red,Genesis,Aero,Aero,2040,600,CW-006,CW-006,0,1,2,0,0,0,0,0,CryptoWhips
7,RR Car #7 Blue Steel,Blue Steel,Genesis,Aero,Aero,2040,600,CW-007,CW-007,0,1,2,0,0,0,0,0,CryptoWhips
8,RR Car #8 Dreamsicle,Dreamsicle,Genesis,Aero,Aero,2040,600,CW-008,CW-008,0,1,2,0,0,0,0,0,CryptoWhips
9,RR Car #9 ✪Black Stallion✪,Black Stallion,Genesis,Aero,Aero,2040,600,CW-009,CW-009,0,1,2,0,0,0,0,0,CryptoWhips
10,RR Car #10 Purple Passion,Purple Passion,Genesis,Aero,Aero,5400,700,CW-010,CW-010,0,2,2,0,0,0,0,0,CryptoWhips
11,RR Car #11 Red Runner,Red Runner,Genesis,Aero,Aero,2040,600,CW-011,CW-011,0,1,2,0,0,0,0,0,CryptoWhips
12,RR Car #12 Classic Overachiever,Classic Overachiever,Genesis,Aero,Aero,2040,600,CW-012,CW-012,0,1,2,0,0,0,0,0,CryptoWhips
13,RR Car #13 Lucky Number,Lucky Number,Genesis,Aero,Aero,2040,600,CW-013,CW-013,0,1,2,0,0,0,0,0,CryptoWhips
14,RR Car #14 Blizzard,Blizzard,Genesis,Aero,Aero,2040,600,CW-014,CW-014,0,1,2,0,0,0,0,0,CryptoWhips
15,RR Car #15 Blue Moon,Blue Moon,Genesis,Aero,Aero,5400,700,CW-015,CW-015,0,2,2,0,0,0,0,0,CryptoWhips
16,RR Car #16 Wen Lambo,Wen Lambo,Genesis,Aero,Aero,5400,700,CW-016,CW-016,0,2,2,0,0,0,0,0,CryptoWhips
17,RR Car #17 Trouble,Trouble,Genesis,Aero,Aero,2040,600,CW-017,CW-017,0,1,2,0,0,0,0,0,CryptoWhips
18,RR Car #18 Streaks,Streaks,Genesis,Aero,Aero,2040,600,CW-018,CW-018,0,1,2,0,0,0,0,0,CryptoWhips
19,RR Car #19 HODL,HODL,Genesis,Aero,Aero,2040,600,CW-019,CW-019,0,1,2,0,0,0,0,0,CryptoWhips
20,RR Car #20 Dreamstate,Dreamstate,Genesis,Aero,Aero,2040,600,CW-020,CW-020,0,1,2,0,0,0,0,0,CryptoWhips
21,RR Car #21 Dangerloop,Dangerloop,Genesis,Aero,Aero,2040,600,CW-021,CW-021,0,1,2,0,0,0,0,0,CryptoWhips
22,RR Car #22 Crew,Crew,Genesis,Aero,Aero,2040,600,CW-022,CW-022,0,1,2,0,0,0,0,0,CryptoWhips
23,RR Car #23 Greenbacks,Greenbacks,Genesis,Aero,Aero,2040,600,CW-023,CW-023,0,1,2,0,0,0,0,0,CryptoWhips
24,RR Car #24 Goldfinger,Goldfinger,Genesis,Aero,Aero,5400,700,CW-024,CW-024,0,2,2,0,0,0,0,0,CryptoWhips
25,RR Car #25 Lightning,Lightning,Genesis,Aero,Aero,2040,600,CW-025,CW-025,0,1,2,0,0,0,0,0,CryptoWhips
26,RR Car #26 Swag Wagon,Swag Wagon,Genesis,Aero,Aero,2040,600,CW-026,CW-026,0,1,2,0,0,0,0,0,CryptoWhips
27,RR Car #27 Welcome to the Jungle,Welcome to the Jungle,Genesis,Aero,Aero,5400,700,CW-027,CW-027,0,2,2,0,0,0,0,0,CryptoWhips
28,RR Car #28 Disney,Leap of Faith,Genesis,Aero,Aero,2040,600,CW-028,CW-028,0,1,2,0,0,0,0,0,CryptoWhips
29,RR Car #29 Red Rover Red Rover,Red Rover Red Rover,Genesis,Aero,Aero,2040,600,CW-029,CW-029,0,1,2,0,0,0,0,0,CryptoWhips
30,RR Car #30 Big Bird,Big Bird,Genesis,Aero,Aero,2040,600,CW-030,CW-030,0,1,2,0,0,0,0,0,CryptoWhips
31,RR Car #31 Rojo Rápido,Rojo Rápido,Genesis,Aero,Aero,2040,600,CW-031,CW-031,0,1,2,0,0,0,0,0,CryptoWhips
32,RR Car #32 Beast,Beast,Genesis,Aero,Aero,2040,600,CW-032,CW-032,0,1,2,0,0,0,0,0,CryptoWhips
33,RR Car #33 Gold Delight,Gold Delight,Genesis,Aero,Aero,2040,600,CW-033,CW-033,0,1,2,0,0,0,0,0,CryptoWhips
34,RR Car #34 Blue Sky,Blue Sky,Genesis,Aero,Aero,2040,600,CW-034,CW-034,0,1,2,0,0,0,0,0,CryptoWhips
35,RR Car #35 White Lightning,White Lightning,Genesis,Aero,Aero,5400,700,CW-035,CW-035,0,2,2,0,0,0,0,0,CryptoWhips
36,RR Car #36 Gromit,Gromit,Genesis,Aero,Aero,2040,600,CW-036,CW-036,0,1,2,0,0,0,0,0,CryptoWhips
37,RR Car #37 Thrill Ride,Thrill Ride,Genesis,Aero,Aero,2040,600,CW-037,CW-037,0,1,2,0,0,0,0,0,CryptoWhips
38,RR Car #38 Cheeky,Cheeky,Genesis,Aero,Aero,2040,600,CW-038,CW-038,0,1,2,0,0,0,0,0,CryptoWhips
39,RR Car #39 Not So Mini,Not So Mini,Genesis,Aero,Aero,5400,700,CW-039,CW-039,0,2,2,0,0,0,0,0,CryptoWhips
40,RR Car #40 Yeah Baby Yeah,Yeah Baby Yeah,Genesis,Aero,Aero,2040,600,CW-040,CW-040,0,1,2,0,0,0,0,0,CryptoWhips
41,RR Car #41 Runaway Baby,Runaway Baby,Genesis,Aero,Aero,5400,700,CW-041,CW-041,0,2,2,0,0,0,0,0,CryptoWhips
42,RR Car #42 Green Goo,Green Goo,Genesis,Aero,Aero,2040,600,CW-042,CW-042,0,1,2,0,0,0,0,0,CryptoWhips
43,RR Car #43 Silly Putty,Silly Putty,Genesis,Aero,Aero,2040,600,CW-043,CW-043,0,1,2,0,0,0,0,0,CryptoWhips
44,RR Car #44 Liquid Dreams,Liquid Dreams,Genesis,Aero,Aero,2040,600,CW-044,CW-044,0,1,2,0,0,0,0,0,CryptoWhips
45,RR Car #45 Love Shack,Love Shack,Genesis,Aero,Aero,2040,600,CW-045,CW-045,0,1,2,0,0,0,0,0,CryptoWhips
46,RR Car #46 Thunderbolt,Thunderbolt,Genesis,Aero,Aero,2040,600,CW-046,CW-046,0,1,2,0,0,0,0,0,CryptoWhips
47,RR Car #47 The Beast,The Beast,Genesis,Aero,Aero,2040,600,CW-047,CW-047,0,1,2,0,0,0,0,0,CryptoWhips
48,RR Car #48 Rosé All Day,Rosé All Day,Genesis,Aero,Aero,5400,700,CW-048,CW-048,0,2,2,0,0,0,0,0,CryptoWhips
49,RR Car #49 Chick Magnet,Chick Magnet,Genesis,Aero,Aero,2040,600,CW-049,CW-049,0,1,2,0,0,0,0,0,CryptoWhips
50,RR Car #50 Roman Holiday,Roman Holiday,Genesis,Aero,Aero,2040,600,CW-050,CW-050,0,1,2,0,0,0,0,0,CryptoWhips
51,RR Car #51 Furious Icarus,Furious Icarus,Genesis,Aero,Aero,5400,700,CW-051,CW-051,0,2,2,0,0,0,0,0,CryptoWhips
52,RR Car #52 General Lee,General Lee,Genesis,Aero,Aero,2040,600,CW-052,CW-052,0,1,2,0,0,0,0,0,CryptoWhips
53,RR Car #53 Vampire in Brooklyn,Vampire in Brooklyn,Genesis,Aero,Aero,2040,600,CW-053,CW-053,0,1,2,0,0,0,0,0,CryptoWhips
54,RR Car #54 Dirty Mary Crazy Larry,Dirty Mary Crazy Larry,Genesis,Aero,Aero,2040,600,CW-054,CW-054,0,1,2,0,0,0,0,0,CryptoWhips
55,RR Car #55 Poison Ivy,Poison Ivy,Genesis,Aero,Aero,2040,600,CW-055,CW-055,0,1,2,0,0,0,0,0,CryptoWhips
56,RR Car #56 She So Fine,She So Fine,Genesis,Aero,Aero,5400,700,CW-056,CW-056,0,2,2,0,0,0,0,0,CryptoWhips
57,RR Car #57 Black Beauty,Black Beauty,Genesis,Aero,Aero,2040,600,CW-057,CW-057,0,1,2,0,0,0,0,0,CryptoWhips
58,RR Car #58 Mercury [ON HOLD DO NOT BUY],Mercury,Genesis,Aero,Aero,2040,600,CW-058,CW-058,0,1,2,0,0,0,0,0,CryptoWhips
59,RR Car #59 The Alchemist,The Alchemist,Genesis,Aero,Aero,2040,600,CW-059,CW-059,0,1,2,0,0,0,0,0,CryptoWhips
60,RR Car #60 Betty White,Betty White,Genesis,Aero,Aero,2040,600,CW-060,CW-060,0,1,2,0,0,0,0,0,CryptoWhips
61,RR Car #61 Admiral,Admiral,Genesis,Aero,Aero,5400,700,CW-061,CW-061,0,2,2,0,0,0,0,0,CryptoWhips
62,RR Car #62 Calypso,Calypso,Genesis,Aero,Aero,2040,600,CW-062,CW-062,0,1,2,0,0,0,0,0,CryptoWhips
63,RR Car #63 Blaze,Blaze,Genesis,Aero,Aero,2040,600,CW-063,CW-063,0,1,2,0,0,0,0,0,CryptoWhips
64,RR Car #64 Dagger,Dagger,Genesis,Aero,Aero,2040,600,CW-064,CW-064,0,1,2,0,0,0,0,0,CryptoWhips
65,RR Car #65 Heavy Metal,Heavy Metal,Genesis,Aero,Aero,2040,600,CW-065,CW-065,0,1,2,0,0,0,0,0,CryptoWhips
