TOKEN_ID,TOKEN_NAME,TOKEN_ADDRESS,Background,Base Model,Desk,Monitor 1,Monitor 2,Monitor 3,Mouth,Hoodie,Favorite Programming Language
2267,Shadowy Super Coder #2267,Ags7RoajdUbcaH7jThZfxem5d3U9EkRaU2V5kUmGJnaB,Pink,Tan,Red Metal,Glitch Two,Glitch Two,Matrix,Red Smile,Shadowy Hacker,Swift
1128,Shadowy Super Coder #1128,FevujzNAGJ6hx3bTQcG9xeGwQPTX7rK9nwxdp124g9vt,Light-Blue,Pale,Bronze Metal,Glitch One,Glitch Two,Matrix,Purple Smile,Shark Hacker,Solidity
8108,Shadowy Super Coder #8108,2tKyNTfTb3JvpkJCbPf3K1jANTanL6mybs7aAJpEagKJ,Gold,Tan,Bronze Metal,Trading Dark,Access Granted,Access Granted,Red Smirk,Cat-Ear Hacker,Rust
3824,Shadowy Super Coder #3824,9839Q2Sv2oBNC65pPXQfUA2t4GiSv6f5wYdidVYhJnXg,Light-Orange,Chestnut,Red Metal,Glitch Two,Glitch One,Glitch One,Purple Smirk,Squid Game Hacker,Swift
4402,Shadowy Super Coder #4402,2jautpZdd1w4gwLnShNSKqz1ARc9g1EvS1A1YR1Kq3Lm,Light-Yellow,Tan,Purple Metal,Trading Dark,Matrix,Linux,Pink Smirk,Captain America Hacker,Fortran
8441,Shadowy Super Coder #8441,CXdK851D1esQ9vjDrgXHkCwieo6xqSsWLHu9L6fvhU1x,Red,Tan,Bronze Metal,Matrix,Linux,Solmane,Purple Smile,Captain America Hacker,Fortran
1556,Shadowy Super Coder #1556,2XizEVEpVckPaxRUqoNaiemZDgJx5SvT2tFPCYgbeJa2,Noire,Natural,Red Metal,Alpha Art Exchange,Serum,Ninja,Red Smile,Monke Hacker,R
3056,Shadowy Super Coder #3056,GiHwsEsiCo5Da4mQ82xpDAacXPVQ7hPzn6b9PYuvCXu,Noire,Chestnut,Bronze Metal,Linux,Hacked,Glitch One,Purple Smile,Cat-Ear Hacker,JavaScript
1482,Shadowy Super Coder #1482,BteooJ8DKkyfCnUMMtKUXaeM8R27JqkfVjysqg4NsSC6,Red,Natural,Silver Metal,Hacked,Linux,Access Granted,Pink Smirk,Punk Hacker,Rust
2895,Shadowy Super Coder #2895,4ToS28eTVGB3gtHSpD6HfsrQrC8Xx7PZockoDA2Ee8JT,Gold,Pale,Red Metal,Glitch One,Trading Dark,Linux,Purple Smile,Sci-Fi Hacker,Swift
9605,Shadowy Super Coder #9605,GawbPNHFikQYA3ZLCWZMa1Z69CU898h4EjxgUocWStPh,Light-Orange,Chestnut,Bronze Metal,Glitch Two,Trading Dark,Investin,Pink Smirk,Shadowy Hacker,Fortran
963,Shadowy Super Coder #963,7dBNe2bA5e6wrMYWxGBi2B6GoQxJAyVHrk6ZvqxtFbCL,Gold,Chestnut,Bronze Metal,Matrix,Glitch Two,Hacked,Pink Smirk,Captain America Hacker,C
3292,Shadowy Super Coder #3292,2jn6HVsD2A7wSp3V3TMqQAirKYFkmTjNkTgTPxUqSviT,Violet,Tan,Bronze Metal,Goo,Trading Dark,Hacked,Purple Smile,Neon Solana Hacker,C++
3005,Shadowy Super Coder #3005,G6xiDhsg5dpHzUWNLMEjpYjG72pFLsee3qzndztNgxZw,Magenta,Natural,Bronze Metal,Access Granted,Glitch Two,Linux,Purple Smile,Shadowy Hacker,C#
4784,Shadowy Super Coder #4784,CyMGdhZH2L7VUsbrB4BM7CBr4VAtoS8rtjPugGEMJx8F,Violet,Pale,Red Metal,Matrix,Matrix,Access Granted,Pink Smirk,Cat-Ear Hacker,Python
6175,Shadowy Super Coder #6175,DYejCZHKEZb3dS7sLem16AvSfUNznUdu82XeQEPqKjM3,Gold,Chestnut,Silver Metal,Pengulice,Solflare,Glitch Two,Purple Smile,Captain America Hacker,Go
4218,Shadowy Super Coder #4218,BhQWgJLDFWXYR3a1KTVGWRTuAnqRdiXHfVJoQFzrZeZu,Noire,Natural,Bronze Metal,Hacked,Interstellar,Access Granted,Pink Smile,Dragon Hacker,JavaScript
