TOKEN_ID,TOKEN_NAME,Background,Expression,Clothing,Accessories,Headwear,Eyewear
1,Shaq Gives Back #1,Yellow,No Expression,Panhandle Jersey,Christmas Lights,Police Hat,Reading Glasses
2,Shaq Gives Back #2,Army Green,Smile No Teeth,Witness Protection,None,Police Hat,Earring
3,Shaq Gives Back #3,Yellow,Smile No Teeth,Panhandle Jersey,Present,None,Reading Glasses
4,Shaq Gives Back #4,Gray,No Expression,Showtime Jersey,Donuts,None,None
5,Shaq Gives Back #5,Blue,Smile With Teeth,Flames Jersey,Present,Viking Helmet,Pink Sunglasses
6,Shaq Gives Back #6,Army Green,Smile With Teeth,Witness Protection,Christmas Lights,None,Yellow Sunglasses
7,Shaq Gives Back #7,Blue,Smile With Teeth,Hockey Jersey,Christmas Lights,Fedora,None
8,Shaq Gives Back #8,Yellow,Tongue Out,Flames Jersey,None,Cowboy Hat,None
9,Shaq Gives Back #9,Yellow,Laughing,Flames Jersey,Toys,State Trooper Hat,Pink Sunglasses
10,Shaq Gives Back #10,Yellow,No Expression,Shamrock,None,Police Hat,Pink Sunglasses
11,Shaq Gives Back #11,Blue,Tongue Out,Panhandle Jersey,None,Headband,Yellow Sunglasses
12,Shaq Gives Back #12,Aquamarine,No Expression,Shamrock,Toys,Captains Hat,Black Sunglasses
13,Shaq Gives Back #13,Army Green,Smile With Teeth,Professor,Christmas Lights,Cowboy Hat,Earring
14,Shaq Gives Back #14,Gray,Smile With Teeth,Witness Protection,Toys,Top Hat,None
15,Shaq Gives Back #15,Army Green,Tongue Out,Panhandle Jersey,None,None,Blue Sunglasses
16,Shaq Gives Back #16,Blue,No Expression,Showtime Jersey,None,None,Blue Sunglasses
17,Shaq Gives Back #17,Yellow,No Expression,Showtime Jersey,Wings,State Trooper Hat,Purple Sunglasses
18,Shaq Gives Back #18,Aquamarine,Smile No Teeth,Police Officer,None,Viking Helmet,None
19,Shaq Gives Back #19,Gray,No Expression,Shamrock,Pizza,Cowboy Hat,None
20,Shaq Gives Back #20,Purple,No Expression,Flames Jersey,None,State Trooper Hat,Green Sunglasses
21,Shaq Gives Back #21,Gray,No Expression,Police Officer,Donuts,None,None
22,Shaq Gives Back #22,Gray,Smile With Teeth,Shamrock,None,None,None
23,Shaq Gives Back #23,Yellow,Smile With Teeth,Shamrock,None,Police Hat,None
24,Shaq Gives Back #24,Army Green,Smile No Teeth,Shamrock,None,State Trooper Hat,Green Sunglasses
25,Shaq Gives Back #25,Yellow,Smile No Teeth,Flames Jersey,None,Headband,Green Sunglasses
