TOKEN_ID,TOKEN_NAME,Background,Clothes,Mouth,Eyes,Fur,Hat,Earring
1,Superlative Apes #1,Pink,Pink T-Shirt,Bored,Green Bored,Blue And Green,Slapes Flipped Brim,
2,Superlative Apes #2,Purple,Hip Hop,Dumbfounded,Purple Zombie,Grey,Laurel Wreath,
3,Superlative Apes #3,Pink,Pimp Coat,Phonemeh Yuh,Green Angry,Dark Grey,Commie Hat,Yellow Cross
4,Superlative Apes #4,Yellow,Superlative Apes T-Shirt,Cigar,Blindfolded,Seperated,Bandana,
5,Superlative Apes #5,Yellow,Yellow T-Shirt,Hypno Grin,Sunglasses,Yellow,Commie Hat,
6,Superlative Apes #6,Pink,Slapes T-Shirt,Jovial,Pink Bored,Green,Bandana,
7,Superlative Apes #7,Happyland,Coat,Bored,Stoned,Robot,Prussian Helmet,Yellow Cross
8,Superlative Apes #8,Fantasy,Admirals Coat,Hypno Grin,Yellow Crying,Blue And Green,Colorful Army Helmet,
9,Superlative Apes #9,Green,Bones T-Shirt,Rainbow,Yellow Suprised,Blue And Green,Bunny Ears,
10,Superlative Apes #10,Spaceland,Guayabera,Unshaven,Blindfolded,Robot,Short Mohawk,
11,Superlative Apes #11,Blue,Space Suit,Rage,Rainbow Laser,Robot,King's Crown,
12,Superlative Apes #12,Yellow,Admirals Coat,Jovial,Normal Closed,Blue,Beanie,Simple
13,Superlative Apes #13,Sky,Bandolier,Tobacco Pipe,Blindfolded,Ocean,Fez,
14,Superlative Apes #14,Jungle,Slapes T-Shirt,Rage,Pirate,Dark Grey,,Simple
15,Superlative Apes #15,Green,Tweed Suit,Unshaven,Yellow Crying,Green And Purple,Slapes Flipped Brim,Banana
16,Superlative Apes #16,Green,Superlative Apes T-Shirt,Bored,Yellow Bored,Robot,Bowler,Green Hoops
17,Superlative Apes #17,Jungle,Slapes T-Shirt,Cigarette,Normal Closed,Albino,,
18,Superlative Apes #18,Northern Light,Bones T-Shirt,Bored,Yellow Bored,Yellow,Baby's Bonnet,
19,Superlative Apes #19,Purple,Slapes T-Shirt,Rage,Stoned,Blue,,
20,Superlative Apes #20,Spaceland,,Small Grin,Yellow Bored,Yellow,Party Hat,
21,Superlative Apes #21,Pink,Kings Robe,Checkmark,Blindfolded,Happiness,,Rainbow
22,Superlative Apes #22,Purple,,Hypno Grin,Pirate,Green And Purple,Captain's Hat,
23,Superlative Apes #23,Blue,Blue T-Shirt,Unshaven,Blue Sad,Dark Grey,,
24,Superlative Apes #24,Blue,Superlative Apes T-Shirt,Unshaven,Yellow Bored,Candy,Slapes Flipped Brim,
25,Superlative Apes #25,Yellow,Work Vest,Kazoo,Pink Bored,Purple,Brush,
26,Superlative Apes #26,Love,Leather Punk Jacket,Bored,Yellow Crying,Dark Grey,Party Hat,
27,Superlative Apes #27,Arura,Yellow T-Shirt,Small Grin,Pirate,Diversity,Colorful Army Helmet,
28,Superlative Apes #28,Blue,Caveman Pelt,Jovial,Blue Sad,Purple,,Simple
29,Superlative Apes #29,Purple,Biker Vest,Bored,Green Bored,Pink And Blue,Party Hat,Simple
30,Superlative Apes #30,Universe,Leather Jacket,Cigarette Unshaven,Purple Bored,Candy,Faux Hawk,Green Hoops
31,Superlative Apes #31,Spaceland,Admirals Coat,Dumbfounded,Green Bored,Green And Purple,Brush,
32,Superlative Apes #32,Purple,Holes T-Shirt,Small Grin,Blue Bored,Blue,Party Hat,
33,Superlative Apes #33,Pink,Space Suit,Unshaven,Pink Crossed,Blue,Beanie,
34,Superlative Apes #34,Green,,Rage,Green Bored,Grey,Army Hat,
35,Superlative Apes #35,Green,Bones T-Shirt,Cigarette,Sunglasses,Diversity,Girl's Hair Short,
36,Superlative Apes #36,Yellow,Coat,Cigarette,3D Glasses,Blue And Green,Short Mohawk,
37,Superlative Apes #37,Yellow,,Grin,Eyes Peeling Out,Blue And Green,Slapes Flipped Brim,
38,Superlative Apes #38,Universe,Hawaiian,Dumbfounded,Yellow Bored,Ocean,Bandana,
39,Superlative Apes #39,Colorgasm,Admirals Coat,Bored,Pink Crossed,Purple,Beanie,Purple Cross
40,Superlative Apes #40,Yellow,Turtleneck,Tobacco Pipe,Yellow Suprised,Blue And Green,Safari Helmet,
41,Superlative Apes #41,Purple,Puffy Vest,Unshaven,Green Bored,Grey,Banana Cap,
42,Superlative Apes #42,Jungle,Slapes T-Shirt,Cigarette,Normal Closed,Yellow,Banana Cap,Pink Hoops
43,Superlative Apes #43,Yellow,Colorful Sweater,Tongue Out,Green Angry,Blue,Sushi Chef Headband,Yellow Cross
44,Superlative Apes #44,Blue,Admirals Coat,Rage,Blue Sad,Ocean,,
45,Superlative Apes #45,Yellow,Tanktop,Rage,Sunglasses,Dark Grey,Stuntman Helmet,
46,Superlative Apes #46,Blue,Puffy Vest,Cigarette Unshaven,Yellow Suprised,Blue And Green,Beanie,Pink Hoops
47,Superlative Apes #47,Blue,Admirals Coat,Unshaven,Purple Bored,Purple,Party Hat,
48,Superlative Apes #48,Green,Bandolier,Cigarette,Blindfolded,Pink And Blue,Stuntman Helmet,
49,Superlative Apes #49,Pink,Army Jacket,Unshaven,Yellow Suprised,Candy,Short Mohawk,
50,Superlative Apes #50,Spaceland,,Small Grin,Sunglasses,Green And Purple,Cowboy Hat,
51,Superlative Apes #51,Purple,,Dumbfounded,Yellow Crying,Diversity,,Simple
52,Superlative Apes #52,Blue,Sleeveless T,Unshaven,Purple Bored,Blue,Captain's Hat,
53,Superlative Apes #53,Yellow,Leather Jacket,Unshaven,3D Glasses,Diversity,Girl's Hair Short,Purple Cross
54,Superlative Apes #54,Purple,Blue T-Shirt,Grin,Pink Bored,Green And Purple,Colorful Army Helmet,
55,Superlative Apes #55,Spaceland,Colorful T-Shirt,Dumbfounded,Normal Closed,Albino,Slapes Flipped Brim,Pink Hoops
56,Superlative Apes #56,Blue,Superlative Apes T-Shirt,Bored,Yellow Crying,Happiness,Horns,
57,Superlative Apes #57,Blue,,Bored,Yellow Bored,Ocean,Banana Cap,
58,Superlative Apes #58,Blue,Yellow T-Shirt,Unshaven,Pink Crossed,Green,Beanie,
59,Superlative Apes #59,Pink,Tweed Suit,Small Grin,Pink Crossed,Dark Grey,Party Hat,
60,Superlative Apes #60,Purple,Colorful Sweater,Phoneme L,Pirate,Purple,,
61,Superlative Apes #61,Blue,Bones T-Shirt,Dagger Of Colors,Sunglasses,Blue,Commie Hat,Pink Hoops
62,Superlative Apes #62,Yellow,Green T-Shirt,Bored,Pink Bored,Happiness,Brush,
63,Superlative Apes #63,Yellow,Slapes T-Shirt,Tongue Out,Purple Bored,Yellow,Bandana,Green Hoops
64,Superlative Apes #64,Pink,Biker Vest,Jovial,Pink Crossed,Grey,,
65,Superlative Apes #65,Purple,Tanktop,Phonemeh Ooo,Stoned,Dark Grey,King's Crown,Simple
66,Superlative Apes #66,Purple,Blue T-Shirt,Discomfort,Blue Sad,Green,Commie Hat,
67,Superlative Apes #67,Blue,Blue T-Shirt,Bored,Pink Crossed,Yellow,,
68,Superlative Apes #68,Pink,Space Suit,Unshaven,Stoned,Green And Purple,,
69,Superlative Apes #69,Colorgasm,Yellow T-Shirt,Bored,Yellow Bored,Ocean,Captain's Hat,Yellow Cross
70,Superlative Apes #70,Sky,Kings Robe,Jovial,Normal Closed,Pink And Blue,Faux Hawk,
71,Superlative Apes #71,Purple,Tweed Suit,Pizza,Yellow Crying,Purple,Faux Hawk,
72,Superlative Apes #72,Jungle,Yellow T-Shirt,Small Grin,Pink Bored,Pink,Bandana,
73,Superlative Apes #73,Yellow,Bandolier,Jovial,Stoned,Blue,Spinner Hat,
74,Superlative Apes #74,Sky,Leather Jacket,Checkmark,Green Bored,Yellow,,Purple Cross
75,Superlative Apes #75,Blue,Tweed Suit,Pizza,Stoned,Dark Grey,Seaman's Hat,
76,Superlative Apes #76,Yellow,Work Vest,Tongue Out,Green Angry,Yellow,Sushi Chef Headband,Simple
77,Superlative Apes #77,Jungle,Green T-Shirt,Bored,Rainbow Laser,Seperated,Beanie,
78,Superlative Apes #78,Purple,,Dumbfounded,Yellow Bored,Grey,Party Hat,
79,Superlative Apes #79,Pink,,Cigarette Unshaven,Pirate,Diversity,Beanie,
80,Superlative Apes #80,Purple,Tuxedo T-Shirt,Unshaven,Pink Crossed,Blue,,
81,Superlative Apes #81,Purple,Hip Hop,Bored,Pirate,Green And Purple,Bowler,
