TOKEN_ID,TOKEN_NAME,Background,Eyes,Clothes,Fur,Mouth,Hat-Hair,Item,Glasses,Ninja Clothes,Hat,Unique
1,Ape Kids Club #1,bronze,closed,T-shirt yellow,blue candy,candy snot,pigtail red,,,,,
2,Ape Kids Club #2,orange cloud,WAGMI,football,sparkle,mask pink,,skeleton pumpkin,,,,
3,Ape Kids Club #3,orange cloud,big,karate,super green,annoy,brown short,,,,,
4,Ape Kids Club #4,dark orange,cartoon,diaper,blue,eating,,,,,,
5,Ape Kids Club #5,blue cloud,clown,karate,blue,kiss,blue short,,cat,,,
6,Ape Kids Club #6,gray cloud,retro 1,,green,eating,,,,ninja dark green,,
7,Ape Kids Club #7,dark orange,WAGMI,pajamas,light blue,kiss,,,blue polarized,,,
8,Ape Kids Club #8,dot,sleepy,madam suit,sparkle,pacifier blue,,baseball,,,,
9,Ape Kids Club #9,dark orange,hypnotized,boxing,light blue,big smile,,,,,,
10,Ape Kids Club #10,punk blue,star,pharaoh,gold,pizza,,puppy 3,,,,
11,Ape Kids Club #11,silver,bored,puffy vest,dark,jovial,,sheriff,,,crown,
12,Ape Kids Club #12,galaxy,punk,doctor,gray,kiss,curly blond,drum,,,,
13,Ape Kids Club #13,punk blue,hypnotized,,light pink,Oop,,,,,headband,
14,Ape Kids Club #14,teal,punk,cute creature clothes,hard pink,friend,,,blue polarized,,,
15,Ape Kids Club #15,pink cloud,punk,T-shirt pink,blue candy,smile,blue short,,,,,
16,Ape Kids Club #16,light pink,cartoon,sailor,purple,phoneme L,,,,,bean,
17,Ape Kids Club #17,light,playful,,hard pink,clown,,,,,skeleton beanie,
18,Ape Kids Club #18,dark orange,wide,witch skull,brown,chick,,,,,firefighter helmet,
19,Ape Kids Club #19,light blue,cartoon,worker,hard pink,rejection,,,,,,
20,Ape Kids Club #20,orange cloud,angry,pharaoh,light blue,lollipop,,karate,piggy,,,
21,Ape Kids Club #21,rainbow 2,punk,ice princess suit,gradient,bunny teeth 1,brown short,balloon,,,,
22,Ape Kids Club #22,gold,playful,doctor,sparkle,rejection,pigtail brown,,,,,
23,Ape Kids Club #23,blue cloud,closed,basketball tank,glass,mask grey,,cake,,,,
24,Ape Kids Club #24,dark orange,big,,mint,open smiling,,,,,wood doll hat,
25,Ape Kids Club #25,silver,punk,basketball tank,blue candy,party 2,,guitar,,,,
26,Ape Kids Club #26,light blue,look,,green,phoneme ooo,,,,,,
27,Ape Kids Club #27,dark orange,wide,,sparkle,jovial,,,,,,
28,Ape Kids Club #28,gradient,WAGMI,astronaut,green,pacifier gold,,drum,,,,
29,Ape Kids Club #29,light,clown,sailor,super green,open smiling,,,,,,
30,Ape Kids Club #30,teal,green,,super green,big smile,,,,,,
31,Ape Kids Club #31,pink cloud,big,granny,super green,rejection,pigtail red,balloon,,,,
32,Ape Kids Club #32,light blue,gold,,light pink,lollipop,,,,,,
33,Ape Kids Club #33,light blue,wide,diaper,light pink,big smile,,,,,firefighter helmet,
34,Ape Kids Club #34,light purple,punk,harry,dark,lazy,,,,,wood doll hat,
35,Ape Kids Club #35,teal,green,doctor,hard pink,open smiling,,,,,karate,
36,Ape Kids Club #36,light pink,look,karate,orange brown,bunny teeth 1,,,,,,
37,Ape Kids Club #37,punk blue,wide,T-shirt red,mint,big smile,,,,,suit hat,
38,Ape Kids Club #38,light pink,closed,diaper,red,phoneme L,,,black,,,
39,Ape Kids Club #39,light yellow,blink,cute creature clothes,super green,discomfort,,,,,,
40,Ape Kids Club #40,light purple,closed,,green,Oop,,,,,firefighter helmet,
41,Ape Kids Club #41,punk blue,blink,karate,hard pink,lazy,,,,,,
42,Ape Kids Club #42,light,hypnotized,scout 2,brown,friend,,,,,,
43,Ape Kids Club #43,light blue,blink,,orange,big smile,,,,,picnic hat,
44,Ape Kids Club #44,light pink,look,karate,orange,annoy,,,,,party hat,
45,Ape Kids Club #45,light green,wide,,dark,big smile,,,,,AKC,
46,Ape Kids Club #46,light,punk,casual 2,blue,bunny teeth 1,,,,,,
47,Ape Kids Club #47,punk blue,look,zookeeper,brown,phoneme oh,,,,,bandana purple,
48,Ape Kids Club #48,silver,bored,santa,glass,pacifier pink,,merry-go-round,square,,,
49,Ape Kids Club #49,light purple,look,fur jacket,light pink,chick,,,black,,,
50,Ape Kids Club #50,light yellow,punk,witch skull,dark,Oop,,,,,,
51,Ape Kids Club #51,light purple,WAGMI,,orange,phoneme ooo,,,,,,
52,Ape Kids Club #52,light,closed,boxing,hard pink,phoneme L,,,,,,
53,Ape Kids Club #53,light purple,hypnotized,,mint,phoneme L,,,,,suit hat,
54,Ape Kids Club #54,light,WAGMI,yummytee,green,bunny teeth 1,,,,,headband,
55,Ape Kids Club #55,light green,big,boxing,blue,smile,,,,,party hat,
