TOKEN_ID,TOKEN_NAME,Hat,Ear,Hair,Beard,Clothes,Skin,Background,Eyes,Mouth,Cheek,Face
0,BUTTHEAD #0,Party,Triple Earring,Undercut Blue,Gentlemen Mustache Brown,Polo Shirt,Dark Brown with tattoos,Gradient,,,,
1,BUTTHEAD #1,,,Punk Red,Gentlemen Mustache Blonde,Party Tank Top,Dark Brown,Pastel Green,Leon,,,
2,BUTTHEAD #2,FEZ,,Emo Black,,Band Shirt,White with tattoos,Grey,,Straw,,
3,BUTTHEAD #3,,Headphones,Punk Green,Three-Day Brown,Jeans Jacket,White,Peach,,,,
4,BUTTHEAD #4,Snapback Red,,Crop,,Beige Shirt,Porcelain,Sand,Buttons,,,
5,BUTTHEAD #5,Halo,,Sissy Dark Blonde,,Beige Shirt,White,Grey,,,,
6,BUTTHEAD #6,,,Emo Dark Blonde,,College Sweater,White,Magenta,Black Sunglasses ,Cigar,,
7,BUTTHEAD #7,Flat Cap Black,,Shoulder Long Orange,Full Blonde,Hoodie,Brown with tattoos,Grey,Insect,Rainbow,,
8,BUTTHEAD #8,Police,Safety Pin,Mullet Blonde,Scruff Black,T-Shirt with Suspenders,White with tattoos,Sand,Matrix,,,
9,BUTTHEAD #9,,,Half Bald,,Dungarees ,Light,Grey,Steam Punk,Corn Straw,,
10,BUTTHEAD #10,,,Nick Bowl Colorful,Full Brown,Pimp Coat Multicolor Pink,Light with tattoos,Beige,,,,
11,BUTTHEAD #11,,,Average Blonde,Full Grey,Fight Club,Dark Brown with tattoos,Grey,Googly Eyes,,,
12,BUTTHEAD #12,,Earring,Punk Green,Mustache Pink,Lumberjack,Brown,Beige,Kiss,,,
13,BUTTHEAD #13,Beer,,Short,,Bullseye Shirt,Light,Cyan,Bike,Cigarette,,
14,BUTTHEAD #14,Safety Helmet,Safety Pin,Suave ,,Jeans Jacket,Brown,Sand,,,,
15,BUTTHEAD #15,Party,,,,T-Shirt Lilac,Infrared,Gradient,,Pipe,,
16,BUTTHEAD #16,,,Mob-Top,Mustache Brown,American Football,Light,Sand,,,,
17,BUTTHEAD #17,,,Sissy Brown,Three-Day Black,Gentlemen,Brown,Beige,Broken,Bubble Gum,,
18,BUTTHEAD #18,Beanie Red,,Crop,,Ripped Shirt,White,Gradient,Monocle,,,
19,BUTTHEAD #19,Pizza,,Nick Bowl Colorful,Three-Day Blonde,Lumberjack,Light,Peach,,,,
20,BUTTHEAD #20,Flat Cap Black,Headphones,Crop,,Shirt and Sweater,Light,Peach,,,,
21,BUTTHEAD #21,Turban,Triple Earring,Fringe,Full Blonde,Punk Leather Jacket,Dark Brown,Cyan,,Pipe,,
22,BUTTHEAD #22,,,Sissy Brown,Scruff Blonde,Shirt Dark,Brown with tattoos,Cyan,,,,
23,BUTTHEAD #23,Sailor,,Emo Dark Blonde,,Tracksuit,Dark Brown,Magenta,Black Sunglasses ,Rainbow,,
24,BUTTHEAD #24,Pizza,,Suave ,,Beige Shirt,Brown,Peach,,,,
25,BUTTHEAD #25,Beret,,Dreads Colorful,Gentlemen Mustache Blonde,Prison Shirt,Light with tattoos,Grey,,Cigarette,,
26,BUTTHEAD #26,Beanie Black,Headphones,Average Blonde,Scruff Black,Punk Leather Jacket,Dark Brown,Magenta,,,,
27,BUTTHEAD #27,Hat Black,Diamond,20s,,Space Shirt,White,Grey,,,,
28,BUTTHEAD #28,Mesh Cap Buttheads,,Fringe,Full Grey,Striped Blue T-Shirt,White,Peach,Laser,,,
29,BUTTHEAD #29,,,Clown,Mustache Pink,Punk Leather Jacket,Brown with tattoos,Cyan,Laser,,,
30,BUTTHEAD #30,,,Shoulder Long Colorful,,Caveman,Brown,Magenta,Monocle,,,
31,BUTTHEAD #31,,Earring,Shoulder Long Orange,Three-Day Brown,Bullseye Shirt,Brown,Magenta,Hippie,,,
32,BUTTHEAD #32,Hat Black,,Mullet Blonde,,Hoodie,Light,Magenta,Lolita,,,
33,BUTTHEAD #33,,,Punk Red,,Prison Shirt,White,Cyan,Pineapple,Corn Straw,,
34,BUTTHEAD #34,Mesh Cap Buttheads,,Slicked Back,Three-Day Brown,Punk Leather Jacket,Dark Brown,Peach,,Bubble Gum,,
35,BUTTHEAD #35,Pizza,,Long Blonde,Three-Day Black,Dude,Dark Brown,Gradient,,Cigar,,
36,BUTTHEAD #36,,Safety Pin,Very Short,,Shirt and Sweater,Light,Grey,Hippie,,,
37,BUTTHEAD #37,Snapback Red,,Crop,,T-Shirt Lilac,Gold,Sand,,,,
38,BUTTHEAD #38,,,Bowl Colorful,Gentlemen Mustache Blonde,College Sweater,Light,Sand,Lolita,,,
39,BUTTHEAD #39,Cowboy Hat Brown,,Dreads Colorful,,Ice Hockey,Light,Peach,Lolita,,,
40,BUTTHEAD #40,Visor Red,,Suave ,Mustache Brown,Desert Jacket,Brown,Green,,,,
41,BUTTHEAD #41,,,,Mustache Pink,T-Shirt Lilac,Brown,Green,Steam Punk,Corn Straw,,
42,BUTTHEAD #42,Mesh Cap Fish,,Mullet Brown,,Dungarees ,White,Peach,Speed,Bubble Gum,,
43,BUTTHEAD #43,,,Dreads Brown,Mustache Blonde,Gigolo Outfit,Light,Grey,Hippie,,,
44,BUTTHEAD #44,Bucket Hat Orange,,Sissy Dark Blonde,Three-Day Brown,Flamingo,Brown,Sand,X-Ray,Cigar,,
45,BUTTHEAD #45,Charlie Chaplin,,Shoulder Long Orange,,Shirt and Sweater,Brown,Gradient,,,,
46,BUTTHEAD #46,Halo,,20s,Scruff Brown,Punk Leather Jacket,White,Green,,,,
47,BUTTHEAD #47,,,Very Short,Gentlemen Mustache Blonde,Ice Hockey,Light,Peach,Sweets,,,
48,BUTTHEAD #48,,,Punk Red,Scruff Brown,Polo Shirt,Light,Sand,Star,,,
49,BUTTHEAD #49,Bucket Hat Orange,Safety Pin,Slicked Back,Three-Day Black,Dressing Gown,White,Sand,,Toothpick,,
50,BUTTHEAD #50,,,Afro Pink,,Beige Shirt,White,Grey,,,,
51,BUTTHEAD #51,,Triple Earring,Short,Gentlemen Mustache Brown,Band Shirt,White,Grey,Kiss,,,
52,BUTTHEAD #52,Mesh Cap Fish,Headphones,Mullet Brown,,Caveman,Dark Brown with tattoos,Beige,Hippie,,,
