TOKEN_ID,TOKEN_NAME,Background,Fur,Mouth,Eyes,Clothes,Hat,Power,Speed,Cuteness,Intelligence,Total skills
1,Panda #1,Cerulean,Silver,Mad,Orange Iris,Vampire,Blue Partyhat,89,90,88,29,296
2,Panda #2,Lime,Brown,Ninja Mask,Green Iris,Yin Yang Necklace,Bun,21,41,73,53,188
3,Panda #3,Azure,Pink,gm,Cyber,Holographic Jacket,Yellow Paper Crown,57,97,37,4,195
4,Panda #4,Lime,Camo,Neutral,Green Iris,Black Hoodie,Kitsune,53,100,77,84,314
5,Panda #5,Cerulean,Gold,Pink Gum,Red Noun,Blue Bandana,Lotus Flower,82,62,40,50,234
6,Panda #6,Cerulean,Purple,Rainbow Grill,Mad,Gold Necklace,Jester,72,86,22,43,223
7,Panda #7,Dawn,Black,Surgical Mask,Glasses,Yin Yang Necklace,Black Conical,47,38,45,93,223
8,Panda #8,Lime,Black,Neutral,Blue Iris,Demon Wings,Koi,35,54,90,45,224
9,Panda #9,Gold,Albino,Rose,Blue Iris,Leather Jacket,Red Beanie,8,44,49,89,190
10,Panda #10,Cerulean,Brown,Party Horn Yellow,Orange Iris,Prisoner,Laurel Wreath,47,62,3,88,200
11,Panda #11,Cerulean,Brown,Neutral,Sad,Prisoner,Bamboo Conical,7,22,13,65,107
12,Panda #12,Banana,Rainbow,Bamboo,Eyepatch,Blue Bandana,Lotus Flower,97,81,65,60,303
13,Panda #13,Cerulean,Blue,gm,Green Iris,Angel Wings,Bun,36,85,36,68,225
14,Panda #14,Banana,Albino,Sad,Cyber,Red Tuxedo,Red Beanie,84,51,44,19,198
15,Panda #15,Cerulean,Brown,Rainbow Grill,Anime,Vampire,Yellow Paper Crown,31,4,20,30,85
16,Panda #16,Neon Green,Blue,Blue Gum,Orange Iris,Leather Jacket,Koi,78,54,64,53,249
17,Panda #17,Cerulean,Pink,Surgical Mask,Orange Iris,Leather Jacket,Silver Crown,73,76,51,75,275
18,Panda #18,Violet,Camo,Ninja Mask,Mad,Prisoner,Jester,98,98,90,43,329
19,Panda #19,Neon Green,DMT,Surgical Mask,Anime,Gold Necklace,Black Conical,80,77,41,16,214
20,Panda #20,Lime,Galaxy,Neutral,Blue Iris,Yellow Tuxedo,Kitsune,2,83,23,10,118
21,Panda #21,Vaporwave,Purple,gm,Sad,Blue Hoodie,Santa,86,10,63,0,159
22,Panda #22,Banana,Red,Evil Cigarette,Cyber,Superpanda,Pink Paper Crown,79,17,77,99,272
23,Panda #23,Banana,Purple,Pizza,Orange Iris,Pirate,Bun,50,72,17,80,219
24,Panda #24,Teal,Purple,Jester,Pink Shutter,Leather Jacket,Laurel Wreath,31,38,16,17,102
25,Panda #25,Banana,Mermaid,Neutral,Green Iris,Pink Tuxedo,Halo,82,1,63,87,233
26,Panda #26,Teal,Albino,Neutral,Monocle,Night's Watch,Bamboo Conical,7,50,14,30,101
27,Panda #27,Teal,Pink,Sad,Pink Shutter,Shakespear,Santa,7,48,46,4,105
28,Panda #28,Banana,Brown,Bamboo,Vaporwave,Black Hoodie,Blue Paper Crown,87,14,81,10,192
29,Panda #29,Teal,Camo,Bamboo,Green Shutter,Black Tuxedo,Earth Dragon,48,70,94,20,232
30,Panda #30,Neon Green,Gold,Neutral,Red Noun,Shakespear,Laurel Wreath,23,49,13,76,161
31,Panda #31,Lime,Blue,Happy,Glasses,Pink Tuxedo,Pink Partyhat,97,34,7,75,213
32,Panda #32,Lime,Albino,Bamboo,Thug Life,Gold Necklace,Bamboo Conical,30,100,84,8,222
33,Panda #33,Cerulean,Albino,Vampire,Glasses,Red Tuxedo,Red Beanie,84,57,35,13,189
34,Panda #34,Cerulean,Brown,Ninja Mask,Hypno,Panda Necklace,Blue Beanie,40,61,75,81,257
35,Panda #35,Teal,Black,Pai Mei,Vaporwave,Samurai,Earth Dragon,92,75,89,15,271
36,Panda #36,Gold,Camo,Gold Grill,Green Iris,Shakespear,Bun,67,45,24,84,220
37,Panda #37,Cerulean,Albino,Neutral,Cyborg,Wizard Robe,Celestial Dragon,64,67,89,96,316
38,Panda #38,Coral,Mermaid,Banana,Hearts,Red Bandana,Black Conical,94,92,53,81,320
39,Panda #39,Coral,Brown,Bamboo,Orange Iris,Blue Tuxedo,Pink Partyhat,22,23,36,2,83
40,Panda #40,Coral,Brown,Blue Gum,Anime,Blue Tuxedo,Nogitsune,63,76,58,52,249
41,Panda #41,Lavender,Rainbow,Mad,Vaporwave,Blue Hoodie,Gold Crown,95,87,0,11,193
42,Panda #42,Banana,Purple,Happy,Orange Iris,Red Tuxedo,Laurel Wreath,88,10,31,89,218
43,Panda #43,Cerulean,Black,Pai Mei,Eyepatch,Vampire,Halo,98,71,97,62,328
44,Panda #44,Goodmorning,Red,Mad,Blue Iris,Pink Tuxedo,Gold Crown,45,11,30,61,147
45,Panda #45,Cerulean,DMT,Neutral,Orange Iris,Red Hoodie,Blue Paper Crown,48,62,58,68,236
46,Panda #46,Cerulean,Brown,Neutral,Green Iris,Blue Hoodie,Silver Crown,47,24,84,6,161
47,Panda #47,Banana,Black,Blue Gum,Blue Laser,Red Bandana,Jester,50,46,74,69,239
48,Panda #48,Lime,Purple,gm,Green Iris,Pink Tuxedo,Silver Crown,26,93,19,4,142
49,Panda #49,Lavender,Blue,Surgical Mask,Anime,Blue Bandana,Baby Panda,83,91,29,93,296
50,Panda #50,Lime,Black,Sad,Blue Iris,Black Tuxedo,Bamboo Conical,9,50,100,14,173
51,Panda #51,Banana,Rainbow,Joint,Green Iris,Koi Tattoo,Blue Beanie,26,62,90,90,268
