TOKEN_ID,TOKEN_NAME,animation,hair,face accessory,eyes,earrings,horns,colour scheme,halo,other accessories
0,Imp #0,Look left,Triple poof,Cheek arrow,Fire pupils,Piercings,Double horns,Pink Forest,,
1,Imp #1,Look right,Fisherman beanie,Moustache beard,Yokai eyes,Single earring,Medium horns,Neon Lantern,Balloons,Turtleneck
2,Imp #2,Look left,Backwards cap,,Eyelashes,Rose earring,Medium horns,Grape lipstick,,Turtleneck
3,Imp #3,Look right,Metrosexual,Nosering,Normal Eyes,,Medium horns,Spearmint sunset,,Spear
4,Imp #4,Look right,,Goatee,Fire pupils,Stretcher,Small horns,Angry Flamingo,Top ghost,Captain vest
5,Imp #5,Float,Goggles,Kunai,Eyelashes,,Split horns,Berry Blossom,Kid,Big wings
6,Imp #6,Float,Geisha cut,Drool,Normal Eyes,Top Piercings,Big horns,Cherry Tides,,Black and white wings
7,Imp #7,Float,Fedora,Broken glasses,Panda,Top Piercings,Slick horns,Angry Flamingo,Paper plane,Ice cream
8,Imp #8,Float,Beanie,Specs,Eyelashes,Spike earring,Small horns,Spearmint Cherry,,Turtleneck
9,Imp #9,Look right,Super Saiyan,Tooth,Normal Eyes,Moon earrings,Small horns,Spearmint Cherry,,
10,Imp #10,Look right,Three braids,Broken glasses,Stubborn eyes,Eth earring,Medium horns,Angry Flamingo,,Ice cream
11,Imp #11,Look right,,Disco glasses,Empty eyes,Moon earrings,Double horns,Neon Juice,,Bottom Ghost
12,Imp #12,Float,Quiff,,Eyes closed,Single earring,Medium horns,Spearmint Cherry,,Tag
13,Imp #13,Look left,,,Panda,Rose earring,Double horns,Grape lipstick,Moon,Monk collar
14,Imp #14,Float,Bowl cut beanie,Black shades,Normal Eyes,BTC earring,Thin horns,Spearmint sunset,,Imp Tail
15,Imp #15,Float,Six dots,Ofuda,Empty eyes,,Split horns,Neon Juice,,Aux Cables
16,Imp #16,Look left,Hood,,Tired,Moon earrings,Medium horns,Spearmint sunset,,Royal mantle
