TOKEN_ID,TOKEN_NAME,Background,Fur,Jersey,Eyes,Mouth,Earring,Hat
1,NBAYC #1,Yellow,Brown,Charlape Hornape,Sunglasses,Bubblegum,Silver Hoops,Drake
2,NBAYC #2,Yellow,Blue,L-APE Clipps,3D Glasses,Bubblegum,Silver Stud,Drake
3,NBAYC #3,Blue,Cream,L-APE Lapers,Eyepatch,Angry,None,Horns
4,NBAYC #4,Gray,Red,Charlape Hornape,Regular,Tongue Out,Gold Stud,Drake
5,NBAYC #5,Purple,Cream,Philape 76,Regular,Gold Grin Grill,Silver Cross,
6,NBAYC #6,Violet,Black,New Apeleans Pelics,Blindfold,Jovial,Gold Hoop,Spinner Hat
7,NBAYC #7,Aquamarine,Dark Brown,Brook Napes,Eyepatch,Gold Grin Grill,Gold Stud,Faux Hawk
8,NBAYC #8,Blue,Blue,Portlape Blaz ,Laser,Mouth 5,Gold Stud,
9,NBAYC #9,Red,Red,New Yape K,Regular,Gold Grin Grill,Diamond Stud,Spinner Hat
10,NBAYC #10,Gray,Dark Brown,Hapeston Rockapes,Blindfold,Angry,Silver Stud,Halo
11,NBAYC #11,Orange,Black,New Yape K,Sunglasses,Angry,None,Cap
12,NBAYC #12,Violet,Golden Brown,Meme Bears ,3D Glasses,Mouth 5,Gold Stud,Drake
13,NBAYC #13,Yellow,Cream,Milwaping Buc ,3D Glasses,Grin,Gold Stud,Beanie
14,NBAYC #14,Gray,Black,Dappas Mavs,Blindfold,Grin,Gold Hoop,Faux Hawk
15,NBAYC #15,Violet,White,New Apeleans Pelics,Sunglasses,Tongue Out,Gold Stud,Captain Hat
16,NBAYC #16,Aquamarine,Blue,Sacramentape Crowned,Regular,Mouth 5,None,Space Jam Bunny
17,NBAYC #17,Blue,Golden Brown,L-APE Lapers,3D Glasses,Jovial,Diamond Stud,Spinner Hat
18,NBAYC #18,Orange,Blue,Dapetroit Pistapes,Regular,Tongue Out,Silver Cross,Spinner Hat
19,NBAYC #19,Gray,Brown,Indianape Papcers,Blindfold,Tongue Out,Silver Stud,Cap
20,NBAYC #20,Red,White,Oklahomapes,Regular,Jovial,Silver Stud,Drake
21,NBAYC #21,Blue,Gray,New Yape K,3D Glasses,Grin,Diamond Stud,Captain Hat
22,NBAYC #22,Orange,Pink,Portlape Blaz ,3D Glasses,Grin,Gold Hoop,None
23,NBAYC #23,Gray,Cheetah,Oklahomapes,Laser,Grin,Diamond Stud,Horns
24,NBAYC #24,Red,White,L-APE Lapers,3D Glasses,Cigar,Diamond Stud,Cap
25,NBAYC #25,Blue,Dark Brown,New Apeleans Pelics,Laser,Mouth 5,None,Beanie
26,NBAYC #26,Violet,Dark Brown,Clevelape Cavalape,3D Glasses,Mouth 5,Gold Hoop,Space Jam Bunny
27,NBAYC #27,Gray,Red,Brook Napes,Blindfold,Mouth 5,Gold Stud,Cap
28,NBAYC #28,Red,Black,New Yape K,Blindfold,Jovial,Silver Cross,Red Bandana
29,NBAYC #29,Red,Red,Indianape Papcers,3D Glasses,Angry,None,Space Jam Bunny
30,NBAYC #30,Orange,Gold,Hapeston Rockapes,Laser,Cigar,None,Captain Hat
31,NBAYC #31,Violet,Cream,Sacramentape Crowned,Sunglasses,Cigar,Silver Cross,Halo
32,NBAYC #32,Violet,Gray,Sacramentape Crowned,Regular,Mouth 5,Gold Hoop,
33,NBAYC #33,Blue,Dark Brown,New Yape K,Laser,Bubblegum,Diamond Stud,Beanie
34,NBAYC #34,Blue,Gold,Portlape Blaz ,Sunglasses,Cigar,Silver Cross,Red Bandana
35,NBAYC #35,Aquamarine,Black,Utape Jazzy,Eyepatch,Mouth 5,Gold Stud,Captain Hat
36,NBAYC #36,Red,White,Dappas Mavs,Laser,Cigar,Gold Hoop,Halo
37,NBAYC #37,Violet,Gray,Whapington Wizz,Laser,Angry,Gold Stud,Captain Hat
38,NBAYC #38,Gray,Dark Brown,Chic bullish,Eyepatch,Tongue Out,Silver Stud,Captain Hat
39,NBAYC #39,Yellow,Cream,New Yape K,Regular,Angry,Diamond Stud,Space Jam Bunny
40,NBAYC #40,Yellow,Blue,Indianape Papcers,3D Glasses,Gold Grin Grill,None,Cap
41,NBAYC #41,Red,Tan,Sacramentape Crowned,3D Glasses,Angry,Diamond Stud,Drake
42,NBAYC #42,Blue,Gold,Oklahomapes,Sunglasses,Tongue Out,Diamond Stud,None
43,NBAYC #43,Purple,Cream,L-APE Lapers,Sunglasses,Angry,Diamond Stud,
44,NBAYC #44,Gray,Red,Clevelape Cavalape,Sunglasses,Mouth 5,Gold Hoop,Red Bandana
45,NBAYC #45,Violet,Red,Hapeston Rockapes,Laser,Gold Grin Grill,Gold Stud,Captain Hat
46,NBAYC #46,Gray,Cheetah,Dapetroit Pistapes,Blindfold,Mouth 5,Gold Hoop,Spinner Hat
47,NBAYC #47,Violet,Dark Brown,Milwaping Buc ,Laser,Bubblegum,Silver Hoops,Captain Hat
48,NBAYC #48,Yellow,Gray,Miaping fire,Blindfold,Tongue Out,Gold Stud,Spinner Hat
49,NBAYC #49,Violet,Gold,Brook Napes,Sunglasses,Mouth 5,Silver Stud,Captain Hat
50,NBAYC #50,Aquamarine,Gray,Chic bullish,Sunglasses,Gold Grin Grill,None,Halo
51,NBAYC #51,Blue,White,T-Raptorapes,Laser,Grin,Diamond Stud,Horns
52,NBAYC #52,Orange,Pink,Portlape Blaz ,Sunglasses,Tongue Out,Diamond Stud,Beanie
53,NBAYC #53,Orange,Tan,Clevelape Cavalape,Eyepatch,Grin,Diamond Stud,Beanie
54,NBAYC #54,Aquamarine,Red,Chic bullish,Blindfold,Tongue Out,Diamond Stud,Beanie
55,NBAYC #55,Aquamarine,Red,T-Raptorapes,Blindfold,Cigar,Gold Hoop,Beanie
56,NBAYC #56,Orange,White,Bapeston Celts,Sunglasses,Gold Grin Grill,Silver Stud,Red Bandana
57,NBAYC #57,Yellow,White,Minnesotape Wolves,Laser,Mouth 5,Silver Cross,Cap
58,NBAYC #58,Yellow,Red,Chic bullish,3D Glasses,Bubblegum,Silver Cross,Halo
59,NBAYC #59,Aquamarine,Tan,San-Apetonio Apes,Sunglasses,Tongue Out,Diamond Stud,Red Bandana
