TOKEN_ID,TOKEN_NAME,Background,Skin,Body,Face,Head
0,Pudgy Penguin #0,Purple,Mint,Hoodie Pink,Winking,Wizard Hat
1,Pudgy Penguin #1,Beige,Light Gray,Tribal Necklace,Beard,Bowl Cut
2,Pudgy Penguin #2,Blue,Normal,Bow Tie Pink,Blushing,Durag Red
3,Pudgy Penguin #3,Blue,Olive Green,Shirt Red,Normal,Durag Red
4,Pudgy Penguin #4,Red,Olive Green,Kimono Blue,Aviator,Afro With Pick
5,Pudgy Penguin #5,Purple,Normal,Surfboard Necklace,Monocle,Grizzly Bear Hat
6,Pudgy Penguin #6,Tangerine,Olive Green,Lei Pink,Beard,Jester's Hat
7,Pudgy Penguin #7,Beige,Normal,Vote 4 Pudgy,Monocle,Bucket Hat Green
8,Pudgy Penguin #8,Mint,Light Gray,Overalls,Hero Mask Blue,Sideways Blue
9,Pudgy Penguin #9,Beige,Cream,Puffer Orange,Cross Eyed,Pirate Hat
10,Pudgy Penguin #10,Blue,Cream,Poncho,Winking,Cowboy Hat
11,Pudgy Penguin #11,Pink,Normal,Christmas Lights,Cute,Hat Red
12,Pudgy Penguin #12,Beige,Light Gray,Shirt Red,Scar,Bucket Hat Tan
13,Pudgy Penguin #13,Blue,Dark Gray,Overalls,Blushing,Sombrero
14,Pudgy Penguin #14,Purple,Olive Green,Turtleneck Green,Squad,Cowboy Hat
15,Pudgy Penguin #15,Pink,Normal,Shirt Red,Winking,Hat Red
16,Pudgy Penguin #16,Blue,Normal,Kimono Blue,Circle Glasses,Wizard Hat
17,Pudgy Penguin #17,Purple,Normal,Lei Pink,Clout Goggles,Pirate Hat
18,Pudgy Penguin #18,Tangerine,Dark Gray,Heart,Normal,Macaroni
19,Pudgy Penguin #19,Beige,Cream,Huddle Shirt,Clout Goggles,Backwards Hat Blue
20,Pudgy Penguin #20,Tangerine,Baby Pink,Christmas Sweater Blue,Winking,Pirate Hat
21,Pudgy Penguin #21,Red,Cream,Shirt Blue,Cross Eyed,Flat Cap Blue
22,Pudgy Penguin #22,Mint,Baby Pink,Puffer Green,Clout Goggles,Top Hat
23,Pudgy Penguin #23,Blue,Normal,Shirt Red,Circle Glasses,Polar Bear Hat
24,Pudgy Penguin #24,Yellow,Normal,Bronze Medal,Normal,Backwards Hat Red
25,Pudgy Penguin #25,Mint,Gold,Turtleneck Blue,Winking,Beanie Orange
26,Pudgy Penguin #26,Beige,Light Gray,Bow Tie Pink,Winking,Grizzly Bear Hat
27,Pudgy Penguin #27,Beige,Red,Tribal Necklace,Winking,Grizzly Bear Hat
28,Pudgy Penguin #28,Tangerine,Mint,Turtleneck Green,Aviator,Headband
29,Pudgy Penguin #29,Purple,Maroon,Lei Purple,Villain Mask,Egg
30,Pudgy Penguin #30,Tangerine,Olive Green,Hawaiian Shirt,Winking,Sombrero
31,Pudgy Penguin #31,Red,Maroon,Lab Coat,Goggles,Backwards Hat Red
32,Pudgy Penguin #32,Pink,Normal,Scarf Blue,Football,Bucket Hat Green
33,Pudgy Penguin #33,Yellow,Baby Pink,Turtleneck Blue,Football,Flat Cap Black
34,Pudgy Penguin #34,Mint,Light Gray,Vote 4 Pudgy,Blushing,Headband
35,Pudgy Penguin #35,Purple,Mint,Lei Pink,Cucumbers,Durag Red
36,Pudgy Penguin #36,Tangerine,Light Gray,Turtleneck Grey,Circle Glasses,Top Hat
37,Pudgy Penguin #37,Purple,Leopard Pink,Poncho,Cute,Headband
38,Pudgy Penguin #38,Tangerine,Normal,Tank Top Yellow,Blushing,Pirate Hat
