TOKEN_ID,TOKEN_NAME,Background,Base,Stripes,Eyes,Mouth,Nose,Body,Headwear
0,# 0,Yellow,Yellow,Blue,Sunglasses,Standard,Blue,None,None
1,# 1,Purple,Purple,White,Tired,Cigarette,Purple,Red Polo,Pirate Hat
2,# 2,Blue,Purple,Pink,Sunglasses,Whistling,Blue,Black Polo,Afro
3,# 3,Black,Neon Green,Orange,Glasses,Standard,Green,Yellow Tee,Bunny Ears
4,# 4,Blue,Pink,Purple,Glasses,Tongue Out,Clown Nose,Bra,Bunny Ears
5,# 5,Green,Yellow,Green,Sunglasses,Honey Comb,Clown Nose,Black Polo,Fishing Hat
6,# 6,Pink,Red,Black,Bloodshot,Honey Comb,Clown Nose,Purple Tee,Horns
7,# 7,Yellow,Black,Light Blue,Spooked,Tongue Out,Red,Red Polo,Fishing Hat
8,# 8,Purple,Red,Red,Sunglasses,Tongue Out,Purple,White Tee,Afro
9,# 9,Yellow,Green,White,Angry,Lip Bite,Blue,Police Uniform,Fishing Hat
10,# 10,Violet,Yellow,Yellow,Happy,Blunt,Green,Referee,Baseball Cap
11,# 11,Blue,Red,Green,Happy,Steak,Purple,Blue Tee,Top Hat
12,# 12,Light Blue,Neon Green,Blue,Angry,Yawning,Black,Blue Tee,Tricorn
13,# 13,Black,Red,Red,Sad,Lip Bite,Purple,Red Polo,Fishing Hat
14,# 14,Pink,Neon Green,Purple,Angry,Smiling,Green,White Polo,Afro
15,# 15,Black,White,White,Angry,Whistling,Orange,Referee,Tricorn
16,# 16,Black,Red,Blue,Sunglasses,Smiling,Green,Blue Tee,Clown Hair
17,# 17,Purple,Red,Light Blue,Wink,Lip Bite,Blue,Green Tee,Spinner Hat
18,# 18,Yellow,Blue,Pink,Spooked,Sad,Purple,Police Uniform,Top Hat
19,# 19,Yellow,Red,Blue,Spooked,Honey Comb,Black,White Tee,Afro
20,# 20,Blue,Black,Green,Happy,Sad,Purple,Green Tee,Santa Hat
21,# 21,Purple,Yellow,Purple,Eye Patch,Tongue Out,Red,Green Tee,Santa Hat
22,# 22,Purple,Green,Blue,Sunglasses,Tongue Out,Blue,Purple Tee,Top Hat
23,# 23,Purple,Yellow,Black,Angry,Steak,Black,Black Polo,Bunny Ears
24,# 24,Purple,Red,Orange,Sad,Lip Bite,Green,White Tee,None
25,# 25,Black,Red,Light Blue,Tired,Lip Bite,Green,Green Tee,Cowboy Hat
26,# 26,Green,Neon Green,Yellow,Tired,Tongue Out,Orange,Green Tee,Top Hat
27,# 27,Black,Pink,Black,Sunglasses,Honey Comb,Purple,Purple Tee,Baseball Cap
28,# 28,Purple,Blue,Purple,Angry,Yawning,Purple,None,Cowboy Hat
29,# 29,Blue,Red,Red,Angry,Standard,Purple,Yellow Tee,None
30,# 30,Green,Orange,Light Blue,Angry,Smiling,Green,Police Uniform,None
31,# 31,Grey,Orange,Blue,Angry,Tongue Out,Purple,Police Uniform,Baseball Cap
32,# 32,Black,Red,Black,Spooked,Pipe,Clown Nose,White Tee,Cowboy Hat
33,# 33,Yellow,Yellow,Purple,Sunglasses,Lip Bite,Blue,None,None
34,# 34,Beige,Red,Yellow,Angry,Lip Bite,Orange,Black Polo,None
35,# 35,Green,Purple,Blue,Angry,Whistling,Purple,Referee,Afro
36,# 36,Violet,Purple,Orange,Goggles,Cigarette,Red,Purple Tee,Top Hat
