TOKEN_ID,TOKEN_NAME,Special Edition,Trait Count,Color,Power Unit,Quantum Core,Right Sensor,Face,Apex,Sense Emulator,AUX,Torso,BG,Left Sensor,Hands,Matching Sets
1005,vogu #1005,,10,Wrath,Core,Core,Rabbit,Patrician,Industrial Sensor,Offender,Bypass,Monk,Grey Day,,,1.5273704789833826
1016,vogu #1016,,11,Neptune,Small Cell,Core,Kouwei Vibes,Governor,Range Finder,Inhaler,Core,Leather Jacket,Orange Gradient,APS,,1.5273704789833826
102,vogu #102,,9,Nebula Red,Kouwei,Core,,Core,Industrial Sensor,Sticker,,Monk,Green Gradient,Infrared,,1.5273704789833826
1027,vogu #1027,,9,Navy,Core,Runtime Meter,,Grigori,Garsi,Extended Release,,Wind Breaker,Orange Gradient,Core,,1.5273704789833826
1031,vogu #1031,,9,Wrath,Centurion,Ongo,Core,VRT,Echelon-3,Sticker,,Core,Black Graphic,,,1.5273704789833826
1032,vogu #1032,,9,Titan,Core,Patrician,,Centurion,Cutter,Offender,,Kouwei,Pink Gradient,Core,,1.5273704789833826
1034,vogu #1034,,9,Nebula Red,Core,Patrician,,Recon,Core,Inhaler,,Graphic Tee,Orange Gradient,,Gadget,1.5273704789833826
1045,vogu #1045,,9,Cotton Candy,Core,Core,,Recon,Emoji,Offender,,Kouwei,Orange Gradient,Infrared,,1.5273704789833826
1047,vogu #1047,,10,Echelon Grey,Patrician,Centurion,Ongo,VRT,Emoji,Core,,Tracksuit,Black Graphic,Core,,1.5273704789833826
1052,vogu #1052,,10,Echelon Grey,Small Cell,Core,,Core,Emoji,Inhaler,Bypass,Leather Jacket,Purple Gradient,Rabbit,,1.5273704789833826
1054,vogu #1054,,9,Navy,Centurion,Core,Rabbit,EMO-LED,,Inhaler,,Tracksuit,Blue Gradient,Core,,1.5273704789833826
1057,vogu #1057,,9,Wrath,EMP Shields,Core,,Vandalized,Centurion,Inhaler,,Leather Jacket,Blue Gradient,Core,,1.5273704789833826
107,vogu #107,,11,Cotton Candy,Centurion,Core,Ongo,VRT,Industrial Sensor,Inhaler,Kouwei,Graphic Tee,Orange Gradient,Core,,1.5273704789833826
1070,vogu #1070,,10,Snake,Core,Core,APS,Kouwei,Industrial Sensor,Inhaler,,Patrician,Black Graphic,,Gadget,1.5273704789833826
1083,vogu #1083,,9,Neptune,Core,Ongo,Rabbit,Patrician,Strobe,,,Wind Breaker,Purple Gradient,Core,,1.5273704789833826
1092,vogu #1092,,8,Navy,Core,Core,,Centurion,Transmission,Inhaler,,Tracksuit,Green Gradient,,,1.5273704789833826
1096,vogu #1096,,12,Wrath,Core,Patrician,Core,VRT,Centurion,Offender,Bypass,Ongo,Grey Gradient,Kouwei,Double Fisting,1.5273704789833826
1098,vogu #1098,,10,Cotton Candy,Patrician,Core,,Centurion,Garsi,Core,,Puff Jacket,Grey Gradient,APS,Beverage,1.5273704789833826
1102,vogu #1102,,10,Neptune,Kouwei,Core,Cat,VRT,Emoji,Extended Release,,Kimono,Black Graphic,Core,,1.5273704789833826
1105,vogu #1105,,8,Grape,Core,Core,,Field Agent,Industrial Sensor,Kouwei,,Graphic Tee,Pink Gradient,,,1.5273704789833826
1110,vogu #1110,,10,Nova Blue,Small Cell,Runtime Meter,Core,VRT,Core,Inhaler,,Graphic Tee,Orange Gradient,Kouwei,,1.5273704789833826
1114,vogu #1114,,8,Nova Blue,Patrician,Core,Core,Ongo,Strobe,,,Tracksuit,Pink Gradient,,,1.5273704789833826
1118,vogu #1118,,10,Wrath,Kouwei,Runtime Meter,Core,Core,Transmission,Extended Release,Bypass,Patrician,Green Gradient,,,1.5273704789833826
1121,vogu #1121,,10,Snake,Ongo,Core,Acoustic Array,Echelon-3,Emoji,Extended Release,,Tracksuit,Blue Gradient,Core,,1.5273704789833826
1130,vogu #1130,,10,Nebula Red,Small Cell,Patrician,Core,Core,Kouwei,Inhaler,,Leather Jacket,Purple Gradient,Cat,,1.5273704789833826
1131,vogu #1131,,9,34 Tauri,Kouwei,Core,,Vandalized,Emoji,Inhaler,,Centurion,Orange Gradient,Core,,1.5273704789833826
1140,vogu #1140,,8,Neptune,Patrician,Core,,Core,,V-THC,,Ongo,Blue Gradient,,Boba,1.5273704789833826
1141,vogu #1141,,10,Pulsar White,Core,Runtime Meter,,Recon,Range Finder,Inhaler,,Wind Breaker,Black Graphic,Core,Boba,1.5273704789833826
1144,vogu #1144,,9,Cotton Candy,EMP Shields,Core,,Centurion,Industrial Sensor,Kouwei,,Tourist,Purple Gradient,Core,,1.5273704789833826
1156,vogu #1156,,8,Nebula Red,Kouwei,Core,,Centurion,Range Finder,Inhaler,,Core,Green Gradient,,,1.5273704789833826
116,vogu #116,,10,Neptune,EMP Shields,Core,Ongo,Core,Industrial Sensor,Kouwei,,Leather Jacket,Blue Gradient,Cat,,1.5273704789833826
1179,vogu #1179,,8,Navy,Kouwei,Core,,Core,Centurion,Sticker,,Kimono,Purple Gradient,,,1.5273704789833826
1180,vogu #1180,,10,Neptune,Core,Core,,ISO,Industrial Sensor,Offender,ETH,Graphic Tee,Black Graphic,Kouwei,,1.5273704789833826
1182,vogu #1182,,9,Neptune,Core,Core,Kouwei,Recon,Emoji,Inhaler,,Graphic Tee,Pink Gradient,,,1.5273704789833826
1183,vogu #1183,,10,Snake,Core,Kouwei,Acoustic Array,Centurion,Garsi,Ongo,,Tracksuit,Grey Gradient,Core,,1.5273704789833826
1184,vogu #1184,,9,Nova Blue,Core,Core,,VRT,Emoji,Extended Release,,BDVXP,Purple Gradient,Ongo,,1.5273704789833826
1190,vogu #1190,,8,Titan,Ongo,Patrician,,EMO-LED,,Core,,Tracksuit,Grey Gradient,Core,,1.5273704789833826
1191,vogu #1191,,9,Titan,Core,Ongo,,EMO-LED,,Centurion,Faction,Puff Jacket,Blue Gradient,Core,,1.5273704789833826
1192,vogu #1192,,10,Nova Blue,Centurion,Ongo,Core,Core,Garsi,Inhaler,,Kouwei,Black Graphic,Rabbit,,1.5273704789833826
1194,vogu #1194,,9,Nova Blue,Small Cell,Core,Core,EMO-LED,,Extended Release,,Centurion,Blue Gradient,APS,,1.5273704789833826
1195,vogu #1195,,10,Navy,Core,Kouwei,,Centurion,Patrician,Core,Bypass,BDVXP,Orange Gradient,Infrared,,1.5273704789833826
1199,vogu #1199,,10,Pulsar White,Patrician,Core,Acoustic Array,VRT,Garsi,Extended Release,,Wind Breaker,Black Graphic,Core,,1.5273704789833826
1200,vogu #1200,,10,Nebula Red,Core,Core,APS,Recon,Garsi,Extended Release,,Tracksuit,Black Graphic,Rabbit,,1.5273704789833826
1215,vogu #1215,,9,Wrath,Centurion,Core,Kouwei Vibes,VRT,Industrial Sensor,Ongo,,Core,Purple Gradient,,,1.5273704789833826
1217,vogu #1217,,9,Cotton Candy,Kouwei,Core,,Centurion,Transmission,Ongo,,Leather Jacket,Green Gradient,Core,,1.5273704789833826
1219,vogu #1219,,10,Navy,Patrician,Core,Core,Ongo,Industrial Sensor,Offender,,Wind Breaker,Grey Gradient,Kouwei,,1.5273704789833826
1221,vogu #1221,,10,Grape,Kouwei,Centurion,Acoustic Array,VRT,,Inhaler,Formula-V,Core,Black Graphic,Core,,1.5273704789833826
123,vogu #123,,8,34 Tauri,Ongo,Core,,Core,Industrial Sensor,Inhaler,,Graphic Tee,Pink Gradient,,,1.5273704789833826
1231,vogu #1231,,11,Navy,Kouwei,Core,Core,Centurion,Emoji,Inhaler, USB V.0,Tactical,Blue Gradient,Infrared,,1.5273704789833826
1239,vogu #1239,,11,Grape,Kouwei,Ongo,Centurion,Core,Industrial Sensor,Inhaler,Patrician,Graphic Tee,Purple Gradient,Core,,1.5273704789833826
124,vogu #124,,10,Grape,Kouwei,Core,Core,VRT,Industrial Sensor,Patrician,,Sergeant,Blue Gradient,Ongo,,1.5273704789833826
1246,vogu #1246,,8,Nova Blue,Ongo,Core,,Core,Centurion,Patrician,,Leather Jacket,Black Graphic,,,1.5273704789833826
1250,vogu #1250,,10,Nebula Red,Ongo,Core,,Kouwei,Echelon-3,Offender,,Core,Purple Gradient,APS,Double Fisting,1.5273704789833826
1257,vogu #1257,,10,Echelon Grey,Kouwei,Runtime Meter,Core,VRT,Industrial Sensor,Ongo,,Graphic Tee,Orange Gradient,Core,,1.5273704789833826
1258,vogu #1258,,10,Pulsar White,Centurion,Core,Kouwei,Ongo,Core,Inhaler,,Tactical,Grey Gradient,Infrared,,1.5273704789833826
1262,vogu #1262,,9,Neptune,Core,Centurion,Core,Graffiti,,Kouwei,,Graphic Tee,Ethan S. Brewerton,Ongo,,1.5273704789833826
1271,vogu #1271,,10,Cotton Candy,Kouwei,Centurion,Core,Field Agent,Emoji,Ongo,,Tracksuit,Grey Gradient,Core,,1.5273704789833826
1273,vogu #1273,,8,Wrath,Centurion,Core,Core,EMO-LED,,,,Wind Breaker,Orange Gradient,Infrared,,1.5273704789833826
1277,vogu #1277,,10,Neptune,Centurion,Runtime Meter,Core,VRT,Industrial Sensor,Kouwei,,TUX,Purple Gradient,Core,,1.5273704789833826
1280,vogu #1280,,9,Grape,Extended Range,Core,Core,Patrician,Ongo,,,PBJ,Black Graphic,Kouwei,,1.5273704789833826
1284,vogu #1284,,10,Pulsar White,Core,Patrician,Cat,Centurion,Range Finder,Inhaler,,Monk,Grey Day,Core,,1.5273704789833826
1285,vogu #1285,,10,Cotton Candy,Patrician,Runtime Meter,Cat,Core,Industrial Sensor,Ongo,,Graphic Tee,Pink Gradient,Core,,1.5273704789833826
1296,vogu #1296,,9,Pulsar White,EMP Shields,Core,Core,Echelon-3,Ongo,,,Tourist,Grey Day,APS,,1.5273704789833826
13,vogu #13,,9,Echelon Grey,Core,Core,,Centurion,Industrial Sensor,Extended Release,,Graphic Tee,Grey Day,Kouwei,,1.5273704789833826
131,vogu #131,,8,Nova Blue,Core,Runtime Meter,Ongo,Patrician,,,,Tracksuit,Pink Gradient,Core,,1.5273704789833826
1315,vogu #1315,,9,Neptune,Centurion,Runtime Meter,Core,Core,Echelon-3,,,Tracksuit,Ethan S. Brewerton,Kouwei,,1.5273704789833826
132,vogu #132,,10,Snake,Patrician,Runtime Meter,Core,VRT,Emoji,Kouwei,,Puff Jacket,Grey Gradient,Core,,1.5273704789833826
1322,vogu #1322,,9,Grape,Core,Core,,VRT,Trinity,Inhaler,,Leather Jacket,Grey Gradient,Cat,,1.5273704789833826
1325,vogu #1325,,8,Cotton Candy,EMP Shields,Core,,EMO-LED,,Inhaler,,Ongo,Pink Gradient,Core,,1.5273704789833826
1327,vogu #1327,,9,Neptune,Patrician,Core,Ongo,Core,Centurion,Inhaler,,Tracksuit,Black Graphic,,,1.5273704789833826
1331,vogu #1331,,9,Echelon Grey,Core,Centurion,Ongo,Core,Industrial Sensor,Inhaler,,Tactical,Orange Gradient,,,1.5273704789833826
1335,vogu #1335,,9,Echelon Grey,Core,Kouwei,Core,Vandalized,Industrial Sensor,Inhaler,,Puff Jacket,Black Graphic,,,1.5273704789833826
1336,vogu #1336,,9,Nebula Red,Centurion,Core,Core,Recon,Range Finder,Offender,,Leather Jacket,Grey Gradient,,,1.5273704789833826
1343,vogu #1343,,9,Titan,Patrician,Centurion,Core,EMO-LED,,Inhaler,,Tracksuit,Blue Gradient,Core,,1.5273704789833826
1344,vogu #1344,,9,Wrath,Kouwei,Core,Core,Centurion,Cutter,Inhaler,,Wind Breaker,Grey Gradient,,,1.5273704789833826
1345,vogu #1345,,8,Snake,Extended Range,Core,,Core,Garsi,Kouwei,,Kimono,Orange Gradient,,,1.5273704789833826
136,vogu #136,,10,Titan,Centurion,Core,Ongo,Field Agent,Cutter,Offender,,Patrician,Green Gradient,Core,,1.5273704789833826
137,vogu #137,,9,Nova Blue,Patrician,Core,,EMO-LED,,Inhaler,Faction,Sergeant,Pink Gradient,Core,,1.5273704789833826
1370,vogu #1370,,10,Grape,Kouwei,Core,Core,Field Agent,Emoji,Offender,,Puff Jacket,Green Gradient,Ongo,,1.5273704789833826
1373,vogu #1373,,9,Snake,Kouwei,Core,,VRT,Core,Offender,,Wind Breaker,Blue Gradient,Centurion,,1.5273704789833826
1396,vogu #1396,,10,Snake,Kouwei,Core,Centurion,Core,Echelon-3,Inhaler,,Patrician,Blue Gradient,Rabbit,,1.5273704789833826
1400,vogu #1400,,9,Grape,Small Cell,Core,Kouwei Vibes,EMO-LED,,Patrician,,BDVXP,Blue Gradient,Core,,1.5273704789833826
1403,vogu #1403,,9,Navy,Core,Kouwei,APS,Core,Industrial Sensor,Offender,,Tracksuit,Orange Gradient,,,1.5273704789833826
1409,vogu #1409,,10,Snake,Small Cell,Patrician,Core,Governor,Industrial Sensor,Kouwei,,Kimono,Purple Gradient,Core,,1.5273704789833826
1411,vogu #1411,,9,Snake,Kouwei,Core,Core,Jack,Industrial Sensor,,,BDVXP,Black Graphic,Ongo,,1.5273704789833826
1441,vogu #1441,,9,Nebula Red,Centurion,Core,Core,Kouwei,Echelon-3,Inhaler,,Tracksuit,Blue Gradient,,,1.5273704789833826
1443,vogu #1443,,10,34 Tauri,Kouwei,Patrician,Core,Core,Centurion,Inhaler,,Tracksuit,Purple Gradient,APS,,1.5273704789833826
1445,vogu #1445,,10,Grape,Kouwei,Core,Rabbit,Grigori,Transmission,Extended Release,,Ongo,Orange Gradient,Core,,1.5273704789833826
1447,vogu #1447,,8,Grape,Kouwei,Core,,EMO-LED,,Ongo,,Patrician,Blue Gradient,Core,,1.5273704789833826
1453,vogu #1453,,10,Navy,Core,Centurion,Core,VRT,Emoji,Inhaler,Bypass,Wind Breaker,Grey Gradient,,,1.5273704789833826
146,vogu #146,,11,Echelon Grey,Centurion,Core,Acoustic Array,Recon,Emoji,Ongo,Formula-V,Tourist,Purple Gradient,Core,,1.5273704789833826
1469,vogu #1469,,10,Nebula Red,Kouwei,Core,Core,Patrician,Garsi,Centurion,,Wind Breaker,Blue Gradient,,Betting Slips,1.5273704789833826
1473,vogu #1473,,9,Pulsar White,Patrician,Core,Kouwei,Core,Industrial Sensor,Centurion,,Leather Jacket,Purple Gradient,,,1.5273704789833826
1487,vogu #1487,,9,34 Tauri,Kouwei,Core,,Core,Echelon-3,Offender,,Tracksuit,Grey Day,APS,,1.5273704789833826
1491,vogu #1491,,10,Wrath,Kouwei,Core,APS,Patrician,Ongo,Offender,,TUX,Purple Gradient,Core,,1.5273704789833826
1500,vogu #1500,,9,Snake,Core,Core,Rabbit,Patrician,Centurion,,,BDVXP,Grey Day,Ongo,,1.5273704789833826
1506,vogu #1506,,10,Neptune,Patrician,Centurion,,Core,Emoji,Inhaler,Core,Tourist,Purple Gradient,Ongo,,1.5273704789833826
1508,vogu #1508,,11,Nebula Red,Small Cell,Patrician,Kouwei,Recon,Centurion,Inhaler,Core,Wind Breaker,Pink Gradient,Core,,1.5273704789833826
152,vogu #152,,8,Pulsar White,Kouwei,Core,Core,Centurion,Garsi,,,Leather Jacket,Orange Gradient,,,1.5273704789833826
1520,vogu #1520,,9,Grape,Core,Core,,EMO-LED,,Inhaler,,BDVXP,Blue Gradient,Infrared,Gadget,1.5273704789833826
1523,vogu #1523,,10,Nebula Red,Centurion,Core,Core,Recon,Strobe,Inhaler,,Leather Jacket,Purple Gradient,,Coffee,1.5273704789833826
1531,vogu #1531,,11,Navy,Centurion,Ongo,Core,VRT,Emoji,Extended Release,Kouwei,Patrician,Grey Gradient,Core,,1.5273704789833826
1534,vogu #1534,,8,Titan,Small Cell,Core,,EMO-LED,,Offender,,Graphic Tee,Grey Day,Core,,1.5273704789833826
1539,vogu #1539,,9,Neptune,Kouwei,Core,,Courier,Industrial Sensor,Inhaler,,Tactical,Pink Gradient,Core,,1.5273704789833826
1540,vogu #1540,,11,Pulsar White,Kouwei,Core,Core,Centurion,Garsi,Extended Release,,Leather Jacket,Black Graphic,Ongo,Boba,1.5273704789833826
1557,vogu #1557,,8,34 Tauri,Kouwei,Core,,Core,Emoji,Ongo,,Graphic Tee,Orange Gradient,,,1.5273704789833826
1568,vogu #1568,,11,Grape,Small Cell,Core,,Field Agent,Industrial Sensor,Kouwei, USB V.0,Tracksuit,Black Graphic,Core,Boba,1.5273704789833826
1574,vogu #1574,,10,Navy,Core,Core,Rabbit,Centurion,Emoji,Inhaler,,PBJ,Pink Gradient,Kouwei,,1.5273704789833826
1579,vogu #1579,,10,Nova Blue,Core,Core,Kouwei,Patrician,Emoji,Inhaler,,Super Puff,Grey Day,Rabbit,,1.5273704789833826
1588,vogu #1588,,9,Navy,Ongo,Patrician,,Kouwei,Core,Inhaler,,Graphic Tee,Tropical Virtual,Core,,1.5273704789833826
1589,vogu #1589,,8,Cotton Candy,Centurion,Core,,EMO-LED,,,Kouwei,BDVXP,Black Graphic,Core,,1.5273704789833826
1598,vogu #1598,,11,Pulsar White,Core,Core,Ongo,VRT,Cutter,Extended Release,,Wind Breaker,Pink Gradient,Kouwei,Boba,1.5273704789833826
1600,vogu #1600,,9,Wrath,Patrician,Core,Core,Grigori,Industrial Sensor,,,Wind Breaker,Black Graphic,Infrared,,1.5273704789833826
1611,vogu #1611,,11,Nebula Red,Small Cell,Core,Centurion,Echelon-3,Industrial Sensor,Inhaler,,Puff Jacket,Grey Gradient,Core,Coffee,1.5273704789833826
1614,vogu #1614,,8,Wrath,Core,Core,,Centurion,Ongo,Extended Release,,PBJ,Grey Gradient,,,1.5273704789833826
1633,vogu #1633,,9,Pulsar White,Centurion,Kouwei,,Core,Emoji,Inhaler,,Leather Jacket,Green Gradient,Core,,1.5273704789833826
1664,vogu #1664,,8,Snake,Core,Patrician,Acoustic Array,EMO-LED,,Kouwei,,Core,Orange Gradient,,,1.5273704789833826
167,vogu #167,,9,Nova Blue,Centurion,Runtime Meter,Core,VRT,Core,Offender,,Tourist,Green Gradient,,,1.5273704789833826
1677,vogu #1677,,9,Navy,Core,Ongo,Core,Field Agent,Centurion,Offender,,Puff Jacket,Grey Day,,,1.5273704789833826
1679,vogu #1679,,10,Navy,Core,Kouwei,Core,EMO-LED,,Inhaler,Faction,Tracksuit,Black Graphic,Centurion,,1.5273704789833826
1684,vogu #1684,,7,Nebula Red,Patrician,Core,Core,Graffiti,,,,Wind Breaker,Green Gradient,,,1.5273704789833826
1686,vogu #1686,,11,Cotton Candy,Core,Kouwei,Core,VRT,Range Finder,Inhaler,,Leather Jacket,Pink Gradient,APS,Joint,1.5273704789833826
1707,vogu #1707,,9,34 Tauri,Core,Core,Acoustic Array,Graffiti,,Inhaler,,Tourist,Blue Gradient,Kouwei,,1.5273704789833826
1716,vogu #1716,,8,Pulsar White,Centurion,Core,Core,Jack,Echelon-3,,,Puff Jacket,Grey Gradient,,,1.5273704789833826
1721,vogu #1721,,9,Nova Blue,Core,Core,Kouwei,Centurion,Garsi,Inhaler,,Tactical,Green Gradient,,,1.5273704789833826
1730,vogu #1730,,9,Echelon Grey,Core,Core,,Tri-Focal ACS,Emoji,Kouwei,Patrician,Leather Jacket,Blue Gradient,,,1.5273704789833826
1734,vogu #1734,,10,Cotton Candy,Extended Range,Kouwei,Core,Core,Centurion,Inhaler,,Wind Breaker,Blue Gradient,Ongo,,1.5273704789833826
1736,vogu #1736,,9,Pulsar White,Core,Core,APS,VRT,Garsi,Offender,,Graphic Tee,Purple Gradient,,,1.5273704789833826
1737,vogu #1737,,10,Titan,Small Cell,Core,Core,EMO-LED,,Inhaler,Kouwei,Graphic Tee,Purple Gradient,APS,,1.5273704789833826
1742,vogu #1742,,10,Echelon Grey,Core,Patrician,Core,Governor,Garsi,Centurion,,Wind Breaker,Grey Day,Rabbit,,1.5273704789833826
1745,vogu #1745,,9,Snake,Kouwei,Core,,Echelon-3,Ongo,Extended Release,,Patrician,Purple Gradient,Core,,1.5273704789833826
1747,vogu #1747,,9,Titan,Core,Core,,ISO,Centurion,Sticker,,Kouwei,Blue Gradient,Rabbit,,1.5273704789833826
1752,vogu #1752,,8,Nebula Red,Extended Range,Core,,Ongo,Emoji,,,Tracksuit,Pink Gradient,Core,,1.5273704789833826
1760,vogu #1760,,9,Grape,Small Cell,Core,Kouwei,Centurion,Emoji,Core,,Leather Jacket,Orange Gradient,,,1.5273704789833826
1763,vogu #1763,,9,Pulsar White,Centurion,Core,,VRT,Industrial Sensor,V-THC,,Tactical,Purple Gradient,Core,,1.5273704789833826
177,vogu #177,,10,34 Tauri,Core,Core,Ongo,EMO-LED,,Inhaler,Bypass,Leather Jacket,Purple Gradient,,Boba,1.5273704789833826
1771,vogu #1771,,10,Snake,Core,Core,Acoustic Array,VRT,Emoji,Sticker,,Leather Jacket,Grey Gradient,Kouwei,,1.5273704789833826
1779,vogu #1779,,9,Cotton Candy,Core,Centurion,,ISO,Ongo,Inhaler,,PBJ,Grey Gradient,Core,,1.5273704789833826
1780,vogu #1780,,9,Nebula Red,Kouwei,Core,APS,Vandalized,Industrial Sensor,Core,,Graphic Tee,Pink Gradient,,,1.5273704789833826
1796,vogu #1796,,10,Snake,Patrician,Core,Core,Centurion,Emoji,Inhaler,,Kimono,Blue Gradient,Infrared,,1.5273704789833826
1809,vogu #1809,,10,Snake,Centurion,Core,Acoustic Array,Echelon-3,Garsi,Core,,Puff Jacket,Purple Gradient,Cat,,1.5273704789833826
1810,vogu #1810,,10,Nebula Red,Kouwei,Ongo,Core,VRT,,Offender,Faction,Monk,Grey Gradient,Core,,1.5273704789833826
1812,vogu #1812,,10,Snake,Extended Range,Core,Core,Tri-Focal ACS,Industrial Sensor,Patrician,,Puff Jacket,Pink Gradient,APS,,1.5273704789833826
1813,vogu #1813,,9,Nebula Red,Kouwei,Runtime Meter,Rabbit,EMO-LED,,Core,,Leather Jacket,Black Graphic,Core,,1.5273704789833826
1829,vogu #1829,,9,Wrath,Small Cell,Runtime Meter,Core,Core,Centurion,Sticker,,Graphic Tee,Pink Gradient,,,1.5273704789833826
