,txid,to_account,TOKEN_ID,current_owner,rank,time
0,0x505a710b5a172f8e3545bcd52d9dfe151ebeb931a12455e694fc6c7b76ac66e5,0x80bac2fdab18a3dcb67510cbda7e0b434190aa9a,669,0x0000000000000000000000000000000000000000,1301,2022-01-13T21:42:44
1,0x2e309b380e3c3e4bbb0f30eca98c5ad83f1d8261a43e978e6d5c032d3c4048a8,0x7e8da2446b846643f54237e6fcab44b9cc527bb7,614,0x0000000000000000000000000000000000000000,810,2022-01-13T16:38:26
2,0x2c0f558411fc2aeb434836c2cdcb24fbdea9b460cf3481280a515b9841877c14,0xcbf130e75c60017f56829a66f1dc19a660a635aa,1201,0x0000000000000000000000000000000000000000,380,2022-01-13T14:20:14
3,0xb1b5ed92f9d19994e241992478742575e6bae53a67c8d3bae65bae97387256be,0xb2252e61b5dfb93030bfbb54b8c1ebcc0e3d4d44,963,0x0000000000000000000000000000000000000000,997,2022-01-13T10:58:36
4,0xb1b5ed92f9d19994e241992478742575e6bae53a67c8d3bae65bae97387256be,0xb2252e61b5dfb93030bfbb54b8c1ebcc0e3d4d44,468,0x0000000000000000000000000000000000000000,98,2022-01-13T10:58:36
5,0xb1b5ed92f9d19994e241992478742575e6bae53a67c8d3bae65bae97387256be,0xb2252e61b5dfb93030bfbb54b8c1ebcc0e3d4d44,543,0x0000000000000000000000000000000000000000,180,2022-01-13T10:58:36
6,0xb1b5ed92f9d19994e241992478742575e6bae53a67c8d3bae65bae97387256be,0xb2252e61b5dfb93030bfbb54b8c1ebcc0e3d4d44,1285,0x0000000000000000000000000000000000000000,354,2022-01-13T10:58:36
7,0xb1b5ed92f9d19994e241992478742575e6bae53a67c8d3bae65bae97387256be,0xb2252e61b5dfb93030bfbb54b8c1ebcc0e3d4d44,261,0x0000000000000000000000000000000000000000,1141,2022-01-13T10:58:36
8,0x7d23bcbffdd8c0e722b5d83a3330e0f068bb09922a11e203aba0e4159f5689cd,0xcea1c73cb3cd25c5c8b306657e389698da6b9f40,1467,0x0000000000000000000000000000000000000000,705,2022-01-13T10:30:49
9,0xf0f8946aef63ddc66b312b956cca99553182c361137433fa545831198c074a06,0x2d5d08d4359c4005aa3326b49c96fba32dbbbc4e,1432,0x0000000000000000000000000000000000000000,1142,2022-01-13T08:25:35
10,0xf0f8946aef63ddc66b312b956cca99553182c361137433fa545831198c074a06,0x2d5d08d4359c4005aa3326b49c96fba32dbbbc4e,1540,0x0000000000000000000000000000000000000000,1322,2022-01-13T08:25:35
11,0xf0f8946aef63ddc66b312b956cca99553182c361137433fa545831198c074a06,0x2d5d08d4359c4005aa3326b49c96fba32dbbbc4e,465,0x0000000000000000000000000000000000000000,1034,2022-01-13T08:25:35
12,0xf0f8946aef63ddc66b312b956cca99553182c361137433fa545831198c074a06,0x2d5d08d4359c4005aa3326b49c96fba32dbbbc4e,1330,0x0000000000000000000000000000000000000000,833,2022-01-13T08:25:35
13,0xf0f8946aef63ddc66b312b956cca99553182c361137433fa545831198c074a06,0x2d5d08d4359c4005aa3326b49c96fba32dbbbc4e,1229,0x0000000000000000000000000000000000000000,1121,2022-01-13T08:25:35
14,0xc18845720a14b32c09356c04b151177eee663d3702a544fd674d5fb8fd3817a9,0xc3baa0fa5f21af0157548bebf57028516fca7a71,294,0x0000000000000000000000000000000000000000,798,2022-01-13T08:20:55
15,0xc18845720a14b32c09356c04b151177eee663d3702a544fd674d5fb8fd3817a9,0xc3baa0fa5f21af0157548bebf57028516fca7a71,776,0x0000000000000000000000000000000000000000,1205,2022-01-13T08:20:55
16,0xc18845720a14b32c09356c04b151177eee663d3702a544fd674d5fb8fd3817a9,0xc3baa0fa5f21af0157548bebf57028516fca7a71,283,0x0000000000000000000000000000000000000000,898,2022-01-13T08:20:55
17,0xc18845720a14b32c09356c04b151177eee663d3702a544fd674d5fb8fd3817a9,0xc3baa0fa5f21af0157548bebf57028516fca7a71,43,0x0000000000000000000000000000000000000000,277,2022-01-13T08:20:55
18,0xc18845720a14b32c09356c04b151177eee663d3702a544fd674d5fb8fd3817a9,0xc3baa0fa5f21af0157548bebf57028516fca7a71,1260,0x0000000000000000000000000000000000000000,1152,2022-01-13T08:20:55
19,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,515,0x0000000000000000000000000000000000000000,857,2022-01-13T08:14:13
20,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,1437,0x0000000000000000000000000000000000000000,503,2022-01-13T08:14:13
21,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,1822,0x0000000000000000000000000000000000000000,852,2022-01-13T08:14:13
22,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,924,0x0000000000000000000000000000000000000000,1,2022-01-13T08:14:13
23,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,1137,0x0000000000000000000000000000000000000000,964,2022-01-13T08:14:13
24,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,1745,0x0000000000000000000000000000000000000000,758,2022-01-13T08:14:13
25,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,89,0x0000000000000000000000000000000000000000,266,2022-01-13T08:14:13
26,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,907,0x0000000000000000000000000000000000000000,339,2022-01-13T08:14:13
27,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,1361,0x0000000000000000000000000000000000000000,504,2022-01-13T08:14:13
28,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,260,0x0000000000000000000000000000000000000000,715,2022-01-13T08:14:13
29,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,991,0x0000000000000000000000000000000000000000,472,2022-01-13T08:14:13
30,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,372,0x0000000000000000000000000000000000000000,760,2022-01-13T08:14:13
31,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,1870,0x0000000000000000000000000000000000000000,229,2022-01-13T08:14:13
32,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,1913,0x0000000000000000000000000000000000000000,94,2022-01-13T08:14:13
33,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,735,0x0000000000000000000000000000000000000000,575,2022-01-13T08:14:13
34,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,1929,0x0000000000000000000000000000000000000000,731,2022-01-13T08:14:13
35,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,435,0x0000000000000000000000000000000000000000,1023,2022-01-13T08:14:13
36,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,630,0x0000000000000000000000000000000000000000,1252,2022-01-13T08:14:13
37,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,1626,0x0000000000000000000000000000000000000000,881,2022-01-13T08:14:13
38,0x59dc1f33398a420b7a95a8ebd0bf5fca6a4767eeda5a7fe42c972b808e463def,0x387f125fc97f1ed7222f0688ed1acd1cc50f7c1a,324,0x0000000000000000000000000000000000000000,756,2022-01-13T08:14:13
39,0x90caed16f70ed61115e10f9043c3973012e2ed21a6784b211094f25ae75cdffc,0xf9960aff0bc9a4afdd934e6902d26e6072af5eaa,1673,0x0000000000000000000000000000000000000000,1060,2022-01-13T07:28:56
40,0xef2d77d81c24855266d99485821cf8285220bade627e6f63d9b034b27a7caaad,0x978f062f9965ebc786b56f111028b60a1067665b,715,0x0000000000000000000000000000000000000000,572,2022-01-13T07:02:25
41,0xef2d77d81c24855266d99485821cf8285220bade627e6f63d9b034b27a7caaad,0x978f062f9965ebc786b56f111028b60a1067665b,1981,0x0000000000000000000000000000000000000000,1264,2022-01-13T07:02:25
42,0xef2d77d81c24855266d99485821cf8285220bade627e6f63d9b034b27a7caaad,0x978f062f9965ebc786b56f111028b60a1067665b,775,0x0000000000000000000000000000000000000000,1336,2022-01-13T07:02:25
43,0xef2d77d81c24855266d99485821cf8285220bade627e6f63d9b034b27a7caaad,0x978f062f9965ebc786b56f111028b60a1067665b,642,0x0000000000000000000000000000000000000000,734,2022-01-13T07:02:25
44,0xef2d77d81c24855266d99485821cf8285220bade627e6f63d9b034b27a7caaad,0x978f062f9965ebc786b56f111028b60a1067665b,606,0x0000000000000000000000000000000000000000,311,2022-01-13T07:02:25
45,0xd1930af219f16cfe9c636da6fc34da55755a58abc06cdef126d89d041c555d9b,0x978f062f9965ebc786b56f111028b60a1067665b,972,0x0000000000000000000000000000000000000000,702,2022-01-13T07:01:14
46,0xd1930af219f16cfe9c636da6fc34da55755a58abc06cdef126d89d041c555d9b,0x978f062f9965ebc786b56f111028b60a1067665b,1511,0x0000000000000000000000000000000000000000,1216,2022-01-13T07:01:14
47,0xd1930af219f16cfe9c636da6fc34da55755a58abc06cdef126d89d041c555d9b,0x978f062f9965ebc786b56f111028b60a1067665b,1077,0x0000000000000000000000000000000000000000,992,2022-01-13T07:01:14
