,txid,to_account,TOKEN_ID,current_owner,rank,time
3331,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,0,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,1804,2021-11-18T00:45:51
3330,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,1352,2021-11-18T00:45:51
3329,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,2,0x2ec78e9d49ee5962b5d30c526afdb33f69f4707d,2332,2021-11-18T00:45:51
3328,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,3,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,2281,2021-11-18T00:45:51
3327,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,4,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,1716,2021-11-18T00:45:51
3326,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,5,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,874,2021-11-18T00:45:51
3325,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,6,0xbc91cd73384d81161376aa9f86999e8830eb22d1,1678,2021-11-18T00:45:51
3324,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,7,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,944,2021-11-18T00:45:51
3323,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,8,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,391,2021-11-18T00:45:51
3322,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,9,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,1419,2021-11-18T00:45:51
3321,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,10,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,1759,2021-11-18T00:45:51
3320,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,11,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,2194,2021-11-18T00:45:51
3319,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,12,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,2526,2021-11-18T00:45:51
3318,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,13,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,778,2021-11-18T00:45:51
3317,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,14,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,1076,2021-11-18T00:45:51
3316,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,15,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,2061,2021-11-18T00:45:51
3315,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,16,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,101,2021-11-18T00:45:51
3314,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,17,0xe67412e94dfbf041cf781a16df775a3fcd5739d2,2812,2021-11-18T00:45:51
3313,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,18,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,1284,2021-11-18T00:45:51
3312,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,19,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,3314,2021-11-18T00:45:51
3311,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,20,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,1058,2021-11-18T00:45:51
3310,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,21,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,3136,2021-11-18T00:45:51
3309,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,22,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,3151,2021-11-18T00:45:51
3308,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,23,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,2015,2021-11-18T00:45:51
3307,0x6d08473e2921c05d96f85443a29c64cf3b74b4607cb6c0bc70db92838e1098f1,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,24,0x09d5a7944b49c9a3fb58cf0e55f28d62d2ad7567,1222,2021-11-18T00:45:51
3282,0xd020608434b9f8d30c3553526498da06431e7640758ec617d646134f170508c7,0x444dd5f2c4813031c0047128283b0895d5db0d06,25,0x444dd5f2c4813031c0047128283b0895d5db0d06,561,2021-11-18T00:51:37
3283,0xd020608434b9f8d30c3553526498da06431e7640758ec617d646134f170508c7,0x444dd5f2c4813031c0047128283b0895d5db0d06,26,0x444dd5f2c4813031c0047128283b0895d5db0d06,2907,2021-11-18T00:51:37
3284,0xd020608434b9f8d30c3553526498da06431e7640758ec617d646134f170508c7,0x444dd5f2c4813031c0047128283b0895d5db0d06,27,0x444dd5f2c4813031c0047128283b0895d5db0d06,2651,2021-11-18T00:51:37
